,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,K. Middleton misses 2-pt jump shot from 17 ft,,0,0
1,1,11:34.0,,Defensive rebound by P. Beverley,0,0
2,1,11:12.0,,Turnover by Team (shot clock),0,0
3,1,11:00.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,0
4,1,10:56.0,,Defensive rebound by M. Gortat,0,0
5,1,10:48.0,,M. Gortat makes 2-pt layup at rim (assist by T. Harris),0,2
6,1,10:44.0,Turnover by G. Antetokounmpo (bad pass),,0,2
7,1,10:35.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by M. Gortat),0,4
8,1,10:15.0,M. Brogdon misses 3-pt jump shot from 25 ft,,0,4
9,1,10:11.0,,Defensive rebound by M. Gortat,0,4
10,1,10:04.0,,D. Gallinari misses 3-pt jump shot from 27 ft,0,4
11,1,10:01.0,Defensive rebound by K. Middleton,,0,4
12,1,9:57.0,K. Middleton misses 2-pt layup from 4 ft,,0,4
13,1,9:50.0,Offensive rebound by G. Antetokounmpo,,0,4
14,1,9:50.0,G. Antetokounmpo misses 2-pt dunk from 1 ft,,0,4
15,1,9:49.0,,Defensive rebound by T. Harris,0,4
16,1,9:41.0,,T. Harris misses 3-pt jump shot from 27 ft,0,4
17,1,9:38.0,,Offensive rebound by D. Gallinari,0,4
18,1,9:35.0,,D. Gallinari makes 2-pt jump shot from 13 ft,0,6
19,1,9:16.0,B. Lopez misses 3-pt jump shot from 27 ft,,0,6
20,1,9:13.0,,Defensive rebound by T. Harris,0,6
21,1,9:09.0,,Turnover by T. Harris (bad pass; steal by B. Lopez),0,6
22,1,9:03.0,M. Brogdon makes 2-pt layup from 1 ft,,2,6
23,1,8:53.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,2,6
24,1,8:48.0,Defensive rebound by M. Brogdon,,2,6
25,1,8:39.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by B. Lopez),,5,6
26,1,8:24.0,,Def 3 sec tech foul by Team,5,6
27,1,8:24.0,,D. Gallinari makes technical free throw,5,7
28,1,8:18.0,,Personal foul by E. Bledsoe (drawn by S. Gilgeous-Alexander),5,7
29,1,8:05.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,5,7
30,1,8:03.0,Defensive rebound by G. Antetokounmpo,,5,7
31,1,7:57.0,B. Lopez misses 3-pt jump shot from 25 ft,,5,7
32,1,7:53.0,,Defensive rebound by T. Harris,5,7
33,1,7:48.0,,P. Beverley makes 3-pt jump shot from 28 ft,5,10
34,1,7:38.0,Offensive foul by G. Antetokounmpo (drawn by D. Gallinari),,5,10
35,1,7:38.0,Turnover by G. Antetokounmpo (offensive foul),,5,10
36,1,7:38.0,E. İlyasova enters the game for M. Brogdon,,5,10
37,1,7:28.0,,P. Beverley misses 2-pt jump shot from 8 ft (block by B. Lopez),5,10
38,1,7:28.0,,Offensive rebound by S. Gilgeous-Alexander,5,10
39,1,7:23.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by G. Antetokounmpo),5,10
40,1,7:19.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,7,10
41,1,7:08.0,,Shooting foul by K. Middleton (drawn by S. Gilgeous-Alexander),7,10
42,1,7:08.0,,S. Gilgeous-Alexander makes free throw 1 of 2,7,11
43,1,7:08.0,,S. Gilgeous-Alexander makes free throw 2 of 2,7,12
44,1,6:52.0,K. Middleton makes 2-pt jump shot from 10 ft,,9,12
45,1,6:36.0,,T. Harris misses 3-pt jump shot from 25 ft,9,12
46,1,6:32.0,Defensive rebound by B. Lopez,,9,12
47,1,6:26.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,9,12
48,1,6:22.0,Offensive rebound by E. Bledsoe,,9,12
49,1,6:22.0,E. Bledsoe makes 2-pt layup from 1 ft,,11,12
50,1,6:12.0,,M. Gortat makes 2-pt jump shot from 10 ft (assist by S. Gilgeous-Alexander),11,14
