,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,TORONTO_ACTION,NEW ORLEANS_SCORE,TORONTO_SCORE
0,1,11:42.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,2,0
1,1,11:20.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by K. Lowry),2,2
2,1,11:04.0,E. Moore makes 2-pt layup from 1 ft,,4,2
3,1,10:52.0,,K. Lowry misses 2-pt layup from 3 ft (block by A. Davis),4,2
4,1,10:52.0,,Offensive rebound by Team,4,2
5,1,10:41.0,,K. Leonard misses 2-pt layup from 3 ft,4,2
6,1,10:39.0,Defensive rebound by J. Randle,,4,2
7,1,10:31.0,J. Randle misses 3-pt jump shot from 25 ft,,4,2
8,1,10:27.0,,Defensive rebound by P. Siakam,4,2
9,1,10:26.0,,P. Siakam makes 2-pt layup from 2 ft,4,4
10,1,10:26.0,,Shooting foul by W. Johnson (drawn by P. Siakam),4,4
11,1,10:26.0,,P. Siakam makes free throw 1 of 1,4,5
12,1,10:15.0,W. Johnson makes 2-pt jump shot from 19 ft (assist by A. Davis),,6,5
13,1,10:00.0,,K. Lowry misses 3-pt jump shot from 29 ft,6,5
14,1,9:57.0,Defensive rebound by J. Randle,,6,5
15,1,9:50.0,E. Moore makes 2-pt jump shot from 13 ft (assist by J. Randle),,8,5
16,1,9:33.0,,K. Leonard makes 2-pt jump shot from 11 ft,8,7
17,1,9:26.0,J. Holiday misses 3-pt jump shot from 25 ft,,8,7
18,1,9:22.0,,Defensive rebound by S. Ibaka,8,7
19,1,9:18.0,,Turnover by K. Lowry (bad pass; steal by J. Holiday),8,7
20,1,9:10.0,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Holiday),,11,7
21,1,9:00.0,,K. Leonard misses 3-pt jump shot from 26 ft,11,7
22,1,8:58.0,Defensive rebound by J. Holiday,,11,7
23,1,8:44.0,J. Holiday makes 2-pt jump shot from 14 ft,,13,7
24,1,8:18.0,,K. Leonard makes 2-pt jump shot from 21 ft (assist by S. Ibaka),13,9
25,1,8:03.0,J. Holiday makes 2-pt jump shot from 1 ft (assist by J. Randle),,15,9
26,1,8:03.0,Shooting foul by D. Green (drawn by J. Holiday),,15,9
27,1,8:03.0,J. Holiday misses free throw 1 of 1,,15,9
28,1,8:03.0,,Defensive rebound by K. Leonard,15,9
29,1,7:54.0,,K. Leonard makes 2-pt jump shot from 13 ft (assist by K. Lowry),15,11
30,1,7:41.0,E. Moore misses 3-pt jump shot from 23 ft,,15,11
31,1,7:41.0,,Defensive rebound by S. Ibaka,15,11
32,1,7:19.0,,K. Lowry misses 3-pt jump shot from 23 ft,15,11
33,1,7:11.0,,Offensive rebound by S. Ibaka,15,11
34,1,7:11.0,,S. Ibaka makes 2-pt layup from 1 ft,15,13
35,1,6:59.0,Turnover by J. Randle (bad pass; steal by D. Green),,15,13
36,1,6:54.0,,S. Ibaka misses 3-pt jump shot from 27 ft,15,13
37,1,6:52.0,,Offensive rebound by D. Green,15,13
38,1,6:52.0,,D. Green misses 3-pt jump shot from 24 ft,15,13
39,1,6:52.0,Defensive rebound by Team,,15,13
40,1,6:52.0,,Toronto full timeout,15,13
41,1,6:42.0,Personal foul by P. Siakam (drawn by A. Davis),,15,13
42,1,6:37.0,A. Davis misses 2-pt hook shot from 9 ft,,15,13
43,1,6:33.0,,Defensive rebound by P. Siakam,15,13
44,1,6:30.0,,P. Siakam makes 2-pt jump shot from 15 ft,15,15
45,1,6:28.0,,Violation by Team (delay of game),15,15
46,1,6:10.0,A. Davis makes 2-pt hook shot from 4 ft,,17,15
47,1,5:48.0,,Personal foul by J. Randle (drawn by S. Ibaka),17,15
48,1,5:41.0,,Personal foul by W. Johnson (drawn by K. Leonard),17,15
49,1,5:29.0,,K. Leonard misses 3-pt jump shot from 26 ft,17,15
50,1,5:25.0,,Offensive rebound by S. Ibaka,17,15
51,1,5:24.0,,S. Ibaka makes 2-pt hook shot from 8 ft,17,17
52,1,5:09.0,J. Randle misses 2-pt jump shot from 12 ft,,17,17
53,1,5:05.0,,Defensive rebound by S. Ibaka,17,17
54,1,5:03.0,,Personal foul by W. Johnson (drawn by D. Green),17,17
55,1,5:03.0,D. Miller enters the game for W. Johnson,,17,17
56,1,4:56.0,,K. Leonard misses 2-pt jump shot from 12 ft,17,17
57,1,4:52.0,,Offensive rebound by S. Ibaka,17,17
58,1,4:47.0,,K. Leonard misses 2-pt jump shot from 12 ft,17,17
59,1,4:44.0,Defensive rebound by A. Davis,,17,17
60,1,4:34.0,E. Moore makes 2-pt jump shot from 6 ft (assist by A. Davis),,19,17
61,1,4:21.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by S. Ibaka),19,20
62,1,4:11.0,Personal foul by D. Green (drawn by A. Davis),,19,20
63,1,4:11.0,C. Diallo enters the game for J. Randle,,19,20
64,1,4:11.0,,F. VanVleet enters the game for D. Green,19,20
65,1,4:04.0,Turnover by A. Davis (lost ball; steal by F. VanVleet),,19,20
66,1,3:59.0,,K. Leonard makes 2-pt dunk at rim (assist by K. Lowry),19,22
67,1,3:50.0,J. Holiday makes 3-pt jump shot from 24 ft,,22,22
68,1,3:37.0,,P. Siakam misses 2-pt layup from 1 ft,22,22
