,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,Personal foul by G. Dragić (drawn by J. Harris),0,0
1,1,11:32.0,,A. Crabbe misses 3-pt jump shot from 23 ft,0,0
2,1,11:28.0,Defensive rebound by J. Winslow,,0,0
3,1,11:21.0,G. Dragić makes 2-pt layup from 6 ft,,2,0
4,1,11:03.0,,Turnover by D. Russell (palming),2,0
5,1,10:52.0,R. McGruder makes 2-pt layup from 3 ft,,4,0
6,1,10:38.0,,E. Davis makes 2-pt hook shot from 4 ft (assist by D. Russell),4,2
7,1,10:16.0,G. Dragić makes 2-pt jump shot from 17 ft,,6,2
8,1,10:02.0,,E. Davis misses 2-pt hook shot from 7 ft,6,2
9,1,10:00.0,Defensive rebound by J. Winslow,,6,2
10,1,9:54.0,J. Winslow makes 2-pt layup from 4 ft,,8,2
11,1,9:43.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),8,5
12,1,9:24.0,H. Whiteside misses 3-pt jump shot from 22 ft,,8,5
13,1,9:21.0,,Defensive rebound by E. Davis,8,5
14,1,9:14.0,,D. Russell misses 2-pt jump shot from 17 ft,8,5
15,1,9:10.0,Defensive rebound by J. Winslow,,8,5
16,1,9:02.0,J. Richardson misses 3-pt jump shot from 25 ft,,8,5
17,1,9:00.0,,Defensive rebound by E. Davis,8,5
18,1,8:51.0,,Personal foul by J. Winslow (drawn by J. Dudley),8,5
19,1,8:37.0,,J. Dudley misses 2-pt jump shot from 7 ft,8,5
20,1,8:31.0,Defensive rebound by J. Richardson,,8,5
21,1,8:29.0,J. Winslow misses 2-pt layup from 3 ft,,8,5
22,1,8:26.0,,Defensive rebound by E. Davis,8,5
23,1,8:19.0,,A. Crabbe misses 2-pt layup from 3 ft,8,5
24,1,8:17.0,Defensive rebound by J. Winslow,,8,5
25,1,8:15.0,Turnover by J. Winslow (bad pass; steal by A. Crabbe),,8,5
26,1,8:08.0,,J. Harris misses 3-pt jump shot from 26 ft,8,5
27,1,8:06.0,Defensive rebound by R. McGruder,,8,5
28,1,7:55.0,H. Whiteside makes 2-pt layup from 4 ft,,10,5
