,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:51.0,,Personal foul by R. Hood (drawn by O. Porter),0,0
1,1,11:45.0,,O. Porter makes 2-pt jump shot from 13 ft (assist by J. Wall),0,2
2,1,11:30.0,R. Hood makes 2-pt jump shot from 17 ft (assist by T. Thompson),,2,2
3,1,11:15.0,,O. Porter makes 2-pt jump shot from 11 ft,2,4
4,1,10:54.0,C. Sexton misses 2-pt jump shot from 13 ft,,2,4
5,1,10:52.0,,Defensive rebound by J. Wall,2,4
6,1,10:35.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),2,7
7,1,10:22.0,J. Smith misses 3-pt jump shot from 26 ft,,2,7
8,1,10:20.0,,Defensive rebound by D. Howard,2,7
9,1,10:07.0,,O. Porter makes 2-pt jump shot from 12 ft,2,9
10,1,9:45.0,Turnover by T. Thompson (traveling),,2,9
11,1,9:29.0,,B. Beal misses 2-pt layup from 5 ft (block by L. Nance),2,9
12,1,9:26.0,,Offensive rebound by B. Beal,2,9
13,1,9:23.0,,B. Beal misses 2-pt layup from 3 ft,2,9
14,1,9:21.0,Defensive rebound by T. Thompson,,2,9
15,1,9:14.0,Shooting foul by D. Howard (drawn by L. Nance),,2,9
16,1,9:14.0,L. Nance makes free throw 1 of 2,,3,9
17,1,9:14.0,L. Nance makes free throw 2 of 2,,4,9
18,1,9:03.0,,Personal foul by T. Thompson (drawn by D. Howard),4,9
19,1,8:49.0,,Shooting foul by T. Thompson (drawn by M. Morris),4,9
20,1,8:49.0,,M. Morris makes free throw 1 of 2,4,10
21,1,8:49.0,,M. Morris makes free throw 2 of 2,4,11
22,1,8:29.0,Turnover by L. Nance (bad pass; steal by J. Wall),,4,11
23,1,8:29.0,D. Nwaba enters the game for T. Thompson,,4,11
24,1,8:22.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by O. Porter),4,14
25,1,8:16.0,Cleveland full timeout,,4,14
26,1,8:12.0,Personal foul by M. Morris (drawn by L. Nance),,4,14
27,1,8:07.0,J. Smith makes 2-pt jump shot from 18 ft (assist by L. Nance),,6,14
28,1,7:50.0,,D. Howard misses 2-pt hook shot from 10 ft,6,14
29,1,7:48.0,Defensive rebound by L. Nance,,6,14
30,1,7:41.0,J. Smith makes 2-pt jump shot from 20 ft (assist by L. Nance),,8,14
31,1,7:21.0,,B. Beal misses 3-pt jump shot from 27 ft,8,14
32,1,7:19.0,Defensive rebound by D. Nwaba,,8,14
33,1,7:12.0,C. Sexton makes 2-pt jump shot from 15 ft,,10,14
