,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by B. Beal),0,3
1,1,11:27.0,J. Randle misses 2-pt jump shot from 14 ft,,0,3
2,1,11:24.0,,Defensive rebound by T. Bryant,0,3
3,1,11:14.0,,K. Oubre makes 2-pt layup from 2 ft (assist by J. Wall),0,5
4,1,11:03.0,E. Moore makes 2-pt layup from 1 ft (assist by N. Mirotić),,2,5
5,1,10:53.0,,O. Porter misses 2-pt jump shot from 18 ft,2,5
6,1,10:49.0,Defensive rebound by J. Randle,,2,5
7,1,10:29.0,E. Moore makes 2-pt jump shot from 20 ft,,4,5
8,1,10:11.0,,Turnover by J. Wall (lost ball; steal by J. Holiday),4,5
9,1,10:06.0,E. Moore makes 2-pt jump shot from 21 ft,,6,5
10,1,9:50.0,,B. Beal makes 2-pt jump shot from 21 ft,6,7
11,1,9:39.0,N. Mirotić misses 3-pt jump shot from 25 ft,,6,7
12,1,9:34.0,,Defensive rebound by K. Oubre,6,7
13,1,9:25.0,,J. Wall misses 3-pt jump shot from 27 ft,6,7
14,1,9:22.0,Defensive rebound by W. Johnson,,6,7
15,1,9:14.0,J. Holiday misses 2-pt layup from 4 ft,,6,7
16,1,9:11.0,Offensive rebound by J. Randle,,6,7
17,1,9:11.0,J. Randle makes 2-pt layup from 2 ft,,8,7
18,1,9:05.0,,O. Porter makes 2-pt jump shot from 6 ft,8,9
19,1,9:05.0,,Shooting foul by E. Moore (drawn by O. Porter),8,9
20,1,9:05.0,,O. Porter makes free throw 1 of 1,8,10
21,1,8:49.0,W. Johnson misses 2-pt jump shot from 13 ft,,8,10
22,1,8:46.0,,Defensive rebound by K. Oubre,8,10
23,1,8:42.0,,K. Oubre misses 3-pt jump shot from 27 ft,8,10
24,1,8:41.0,Defensive rebound by Team,,8,10
25,1,8:30.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,10,10
26,1,8:21.0,,Personal foul by W. Johnson (drawn by B. Beal),10,10
