,QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
0,1,11:44.0,N. Jokić misses 2-pt jump shot from 15 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Lowry,0,0
2,1,11:29.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),0,3
3,1,11:04.0,G. Harris misses 3-pt jump shot from 24 ft,,0,3
4,1,11:02.0,,Defensive rebound by K. Lowry,0,3
5,1,10:56.0,,K. Leonard misses 3-pt jump shot from 23 ft,0,3
6,1,10:54.0,Defensive rebound by G. Harris,,0,3
7,1,10:47.0,P. Millsap misses 2-pt jump shot from 11 ft,,0,3
8,1,10:44.0,Offensive rebound by N. Jokić,,0,3
9,1,10:40.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by N. Jokić),,3,3
10,1,10:24.0,,S. Ibaka makes 3-pt jump shot from 27 ft (assist by P. Siakam),3,6
11,1,9:59.0,J. Hernangómez makes 2-pt jump shot from 23 ft (assist by N. Jokić),,5,6
12,1,9:43.0,,Turnover by P. Siakam (lost ball; steal by J. Hernangómez),5,6
13,1,9:35.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,5,6
14,1,9:32.0,,Defensive rebound by K. Leonard,5,6
15,1,9:32.0,,Personal foul by G. Harris (drawn by K. Leonard),5,6
16,1,9:09.0,,S. Ibaka misses 3-pt jump shot from 27 ft,5,6
17,1,9:04.0,,Offensive rebound by D. Green,5,6
18,1,8:55.0,,Turnover by P. Siakam (bad pass),5,6
19,1,8:41.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,7,6
20,1,8:26.0,,D. Green misses 3-pt jump shot from 23 ft,7,6
21,1,8:24.0,Defensive rebound by J. Hernangómez,,7,6
22,1,8:12.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,10,6
23,1,7:58.0,,K. Leonard misses 3-pt jump shot from 27 ft,10,6
24,1,7:57.0,Defensive rebound by N. Jokić,,10,6
25,1,7:53.0,J. Hernangómez misses 2-pt dunk from 1 ft (block by K. Lowry),,10,6
26,1,7:51.0,,Defensive rebound by K. Leonard,10,6
27,1,7:37.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),10,8
28,1,7:29.0,Personal foul by P. Siakam (drawn by P. Millsap),,10,8
29,1,7:21.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,12,8
30,1,7:13.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),12,10
31,1,7:02.0,G. Harris makes 2-pt jump shot from 9 ft (assist by N. Jokić),,14,10
32,1,6:43.0,,P. Siakam makes 2-pt layup from 2 ft (assist by S. Ibaka),14,12
33,1,6:30.0,J. Murray makes 2-pt jump shot from 16 ft,,16,12
34,1,6:20.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),16,14
35,1,6:09.0,J. Murray misses 2-pt layup at rim,,16,14
36,1,6:07.0,,Defensive rebound by K. Leonard,16,14
37,1,6:04.0,Loose ball foul by J. Murray (drawn by K. Leonard),,16,14
38,1,6:04.0,,Toronto full timeout,16,14
39,1,6:00.0,,Turnover by K. Lowry (bad pass),16,14
40,1,5:43.0,J. Murray misses 3-pt jump shot from 26 ft,,16,14
41,1,5:40.0,,Defensive rebound by S. Ibaka,16,14
42,1,5:32.0,,K. Lowry misses 3-pt jump shot from 26 ft,16,14
43,1,5:29.0,Defensive rebound by P. Millsap,,16,14
44,1,5:24.0,Personal foul by S. Ibaka (drawn by N. Jokić),,16,14
45,1,5:14.0,Turnover by J. Hernangómez (bad pass),,16,14
46,1,5:07.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by K. Lowry),16,16
