,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:48.0,,Shooting foul by J. Teague (drawn by N. Bjelica),0,0
1,1,11:48.0,,N. Bjelica makes free throw 1 of 2,0,1
2,1,11:48.0,,N. Bjelica makes free throw 2 of 2,0,2
3,1,11:30.0,Shooting foul by N. Bjelica (drawn by J. Teague),,0,2
4,1,11:30.0,J. Teague makes free throw 1 of 2,,1,2
5,1,11:30.0,J. Teague makes free throw 2 of 2,,2,2
6,1,11:18.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),2,4
7,1,11:01.0,A. Wiggins misses 3-pt jump shot from 25 ft,,2,4
8,1,10:58.0,,Defensive rebound by W. Cauley-Stein,2,4
9,1,10:54.0,,I. Shumpert makes 2-pt jump shot from 18 ft,2,6
10,1,10:32.0,Turnover by K. Towns (3 sec),,2,6
11,1,10:25.0,,D. Fox makes 2-pt jump shot from 14 ft,2,8
12,1,10:16.0,A. Wiggins misses 3-pt jump shot from 23 ft,,2,8
13,1,10:16.0,Offensive rebound by K. Towns,,2,8
14,1,10:12.0,K. Towns makes 2-pt layup from 1 ft,,4,8
15,1,10:04.0,,B. Hield misses 2-pt jump shot from 14 ft,4,8
16,1,10:00.0,Defensive rebound by K. Towns,,4,8
17,1,9:54.0,T. Gibson misses 2-pt layup from 2 ft,,4,8
18,1,9:51.0,,Defensive rebound by N. Bjelica,4,8
19,1,9:48.0,,Shooting foul by R. Covington (drawn by D. Fox),4,8
20,1,9:48.0,,D. Fox misses free throw 1 of 2,4,8
21,1,9:48.0,,Offensive rebound by Team,4,8
22,1,9:48.0,,D. Fox makes free throw 2 of 2,4,9
23,1,9:34.0,Turnover by J. Teague (out of bounds lost ball),,4,9
24,1,9:26.0,,D. Fox makes 2-pt layup from 2 ft,4,11
25,1,9:11.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,6,11
26,1,8:50.0,,Turnover by N. Bjelica (bad pass; steal by T. Gibson),6,11
27,1,8:46.0,R. Covington makes 2-pt layup from 2 ft (assist by J. Teague),,8,11
28,1,8:39.0,,I. Shumpert misses 3-pt jump shot from 23 ft,8,11
29,1,8:37.0,Defensive rebound by T. Gibson,,8,11
30,1,8:21.0,K. Towns makes 2-pt jump shot from 11 ft (assist by J. Teague),,10,11
31,1,8:01.0,,W. Cauley-Stein misses 2-pt layup from 2 ft (block by K. Towns),10,11
32,1,7:58.0,,Offensive rebound by D. Fox,10,11
33,1,7:56.0,,N. Bjelica misses 3-pt jump shot from 24 ft,10,11
34,1,7:52.0,,Offensive rebound by B. Hield,10,11
35,1,7:51.0,,Turnover by B. Hield (bad pass; steal by A. Wiggins),10,11
36,1,7:43.0,A. Wiggins makes 2-pt jump shot from 9 ft,,12,11
37,1,7:25.0,,Shooting foul by T. Gibson (drawn by N. Bjelica),12,11
38,1,7:25.0,,N. Bjelica makes free throw 1 of 2,12,12
39,1,7:25.0,,N. Bjelica misses free throw 2 of 2,12,12
40,1,7:20.0,Defensive rebound by R. Covington,,12,12
41,1,7:00.0,J. Teague misses 2-pt layup from 2 ft,,12,12
42,1,6:58.0,,Defensive rebound by N. Bjelica,12,12
43,1,6:50.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),12,15
44,1,6:37.0,Turnover by A. Wiggins (lost ball; steal by D. Fox),,12,15
45,1,6:23.0,,I. Shumpert misses 3-pt jump shot from 25 ft,12,15
46,1,6:21.0,,Offensive rebound by Team,12,15
47,1,6:21.0,Loose ball foul by A. Wiggins (drawn by N. Bjelica),,12,15
48,1,6:21.0,,Sacramento full timeout,12,15
49,1,6:11.0,,D. Fox makes 2-pt jump shot from 20 ft,12,17
50,1,5:47.0,K. Towns misses 2-pt hook shot from 8 ft,,12,17
51,1,5:47.0,Offensive rebound by Team,,12,17
52,1,5:47.0,,M. Bagley enters the game for N. Bjelica,12,17
53,1,5:47.0,,B. Bogdanović enters the game for B. Hield,12,17
54,1,5:34.0,Turnover by A. Wiggins (out of bounds lost ball),,12,17
55,1,5:26.0,,Turnover by D. Fox (out of bounds lost ball),12,17
56,1,5:26.0,D. Rose enters the game for R. Covington,,12,17
57,1,5:26.0,D. Šarić enters the game for T. Gibson,,12,17
58,1,5:12.0,K. Towns misses 2-pt jump shot from 23 ft,,12,17
59,1,5:09.0,,Defensive rebound by M. Bagley,12,17
60,1,5:04.0,,D. Fox makes 2-pt jump shot from 2 ft,12,19
61,1,4:46.0,J. Teague misses 2-pt jump shot from 8 ft (block by W. Cauley-Stein),,12,19
62,1,4:43.0,Offensive rebound by J. Teague,,12,19
63,1,4:40.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,14,19
64,1,4:29.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,14,19
65,1,4:28.0,Defensive rebound by Team,,14,19
66,1,4:09.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Teague),,16,19
67,1,3:50.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,16,19
68,1,3:49.0,,Offensive rebound by M. Bagley,16,19
69,1,3:49.0,,Shooting foul by K. Towns (drawn by M. Bagley),16,19
70,1,3:49.0,,M. Bagley makes free throw 1 of 2,16,20
71,1,3:49.0,,K. Koufos enters the game for W. Cauley-Stein,16,20
72,1,3:49.0,,M. Bagley makes free throw 2 of 2,16,21
73,1,3:39.0,D. Rose makes 2-pt jump shot from 12 ft,,18,21
74,1,3:23.0,,I. Shumpert misses 2-pt jump shot from 12 ft,18,21
75,1,3:19.0,Defensive rebound by K. Towns,,18,21
76,1,3:16.0,Shooting foul by D. Fox (drawn by D. Šarić),,18,21
77,1,3:16.0,D. Šarić makes free throw 1 of 2,,19,21
78,1,3:16.0,T. Jones enters the game for J. Teague,,19,21
79,1,3:16.0,,Y. Ferrell enters the game for D. Fox,19,21
80,1,3:16.0,D. Šarić makes free throw 2 of 2,,20,21
81,1,3:04.0,,Y. Ferrell makes 2-pt layup from 2 ft,20,23
82,1,2:49.0,D. Rose makes 2-pt jump shot from 20 ft,,22,23
83,1,2:30.0,,K. Koufos makes 2-pt hook shot from 8 ft,22,25
84,1,2:15.0,A. Wiggins makes 2-pt layup from 1 ft,,24,25
85,1,2:05.0,,Personal foul by D. Šarić (drawn by Y. Ferrell),24,25
86,1,2:05.0,Minnesota full timeout,,24,25
87,1,2:05.0,G. Dieng enters the game for K. Towns,,24,25
88,1,2:05.0,,J. Jackson enters the game for I. Shumpert,24,25
89,1,2:05.0,,Y. Ferrell makes free throw 1 of 2,24,26
90,1,2:05.0,,Y. Ferrell makes free throw 2 of 2,24,27
91,1,1:43.0,G. Dieng makes 3-pt jump shot from 23 ft (assist by D. Šarić),,27,27
92,1,1:26.0,,K. Koufos makes 2-pt dunk from 1 ft (assist by M. Bagley),27,29
93,1,1:10.0,T. Jones misses 2-pt jump shot from 3 ft,,27,29
94,1,1:08.0,,Defensive rebound by M. Bagley,27,29
95,1,1:03.0,,J. Jackson makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),27,32
96,1,0:53.0,D. Rose misses 2-pt layup from 2 ft (block by K. Koufos),,27,32
97,1,0:49.0,,Defensive rebound by Y. Ferrell,27,32
98,1,0:46.0,,J. Jackson misses 3-pt jump shot from 25 ft,27,32
99,1,0:43.0,Defensive rebound by G. Dieng,,27,32
100,1,0:37.0,Shooting foul by K. Koufos (drawn by A. Wiggins),,27,32
101,1,0:37.0,,Technical foul by,27,32
102,1,0:37.0,,Y. Ferrell makes technical free throw,27,33
103,1,0:37.0,A. Wiggins makes free throw 1 of 2,,28,33
104,1,0:37.0,A. Wiggins makes free throw 2 of 2,,29,33
105,1,0:30.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by Y. Ferrell),29,35
106,1,0:11.0,A. Wiggins makes 2-pt jump shot from 16 ft,,31,35
107,1,0:00.0,,Y. Ferrell misses 2-pt jump shot from 11 ft,31,35
108,1,0:00.0,,Offensive rebound by Team,31,35
109,2,11:41.0,G. Dieng makes 2-pt jump shot from 21 ft,,33,35
110,2,11:18.0,,K. Koufos misses 2-pt hook shot from 9 ft,33,35
111,2,11:15.0,Defensive rebound by T. Jones,,33,35
112,2,11:12.0,J. Okogie makes 2-pt layup from 1 ft (assist by T. Jones),,35,35
113,2,10:53.0,,Offensive foul by K. Koufos (drawn by J. Okogie),35,35
114,2,10:53.0,,Turnover by K. Koufos (offensive foul),35,35
115,2,10:42.0,D. Rose makes 2-pt jump shot from 17 ft (assist by D. Šarić),,37,35
116,2,10:24.0,,Sacramento full timeout,37,35
117,2,10:24.0,,N. Bjelica enters the game for K. Koufos,37,35
118,2,10:15.0,,J. Jackson misses 3-pt jump shot from 23 ft,37,35
119,2,10:12.0,Defensive rebound by G. Dieng,,37,35
120,2,10:06.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),,39,35
121,2,9:53.0,,N. Bjelica makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),39,37
122,2,9:33.0,G. Dieng misses 2-pt layup from 6 ft (block by N. Bjelica),,39,37
123,2,9:33.0,,Defensive rebound by Team,39,37
124,2,9:12.0,,M. Bagley makes 2-pt layup from 2 ft,39,39
125,2,8:55.0,D. Rose misses 2-pt jump shot from 18 ft,,39,39
126,2,8:50.0,,Defensive rebound by M. Bagley,39,39
127,2,8:40.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by B. Bogdanović),39,41
128,2,8:23.0,G. Dieng makes 2-pt dunk from 3 ft (assist by D. Rose),,41,41
129,2,8:04.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),41,44
130,2,7:41.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Okogie),,43,44
131,2,7:29.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,43,47
132,2,7:07.0,D. Rose misses 2-pt jump shot from 19 ft,,43,47
133,2,7:07.0,,Defensive rebound by M. Bagley,43,47
134,2,7:01.0,,N. Bjelica makes 2-pt dunk at rim (assist by Y. Ferrell),43,49
135,2,6:51.0,Minnesota full timeout,,43,49
