,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:39.0,J. Holiday misses 2-pt jump shot from 20 ft,,0,0
1,1,11:35.0,,Defensive rebound by N. Vučević,0,0
2,1,11:23.0,,D. Augustin misses 3-pt jump shot from 27 ft,0,0
3,1,11:18.0,Defensive rebound by L. Markkanen,,0,0
4,1,11:03.0,Shooting foul by D. Augustin (drawn by R. Arcidiacono),,0,0
5,1,11:03.0,R. Arcidiacono makes free throw 1 of 2,,1,0
6,1,11:03.0,R. Arcidiacono misses free throw 2 of 2,,1,0
7,1,11:00.0,,Defensive rebound by J. Isaac,1,0
8,1,10:44.0,,A. Gordon misses 2-pt jump shot from 13 ft,1,0
9,1,10:41.0,Defensive rebound by L. Markkanen,,1,0
10,1,10:23.0,W. Carter makes 2-pt jump shot from 17 ft (assist by R. Arcidiacono),,3,0
11,1,10:14.0,,J. Isaac makes 2-pt layup from 3 ft,3,2
12,1,10:14.0,,Shooting foul by Z. LaVine (drawn by J. Isaac),3,2
13,1,10:14.0,,J. Isaac makes free throw 1 of 1,3,3
14,1,9:57.0,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),,5,3
15,1,9:44.0,,N. Vučević misses 2-pt jump shot from 19 ft,5,3
16,1,9:42.0,Defensive rebound by R. Arcidiacono,,5,3
17,1,9:31.0,Shooting foul by E. Fournier (drawn by J. Holiday),,5,3
18,1,9:31.0,J. Holiday misses free throw 1 of 3,,5,3
19,1,9:31.0,Offensive rebound by Team,,5,3
20,1,9:31.0,J. Holiday makes free throw 2 of 3,,6,3
21,1,9:31.0,J. Holiday makes free throw 3 of 3,,7,3
22,1,9:16.0,,Turnover by J. Isaac (bad pass; steal by L. Markkanen),7,3
23,1,9:09.0,L. Markkanen misses 2-pt layup from 2 ft,,7,3
24,1,9:06.0,,Defensive rebound by N. Vučević,7,3
25,1,8:56.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by D. Augustin),7,5
26,1,8:41.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Isaac),,7,5
27,1,8:37.0,Offensive rebound by J. Holiday,,7,5
28,1,8:37.0,J. Holiday misses 2-pt jump shot from 10 ft,,7,5
29,1,8:37.0,,Defensive rebound by D. Augustin,7,5
30,1,8:25.0,,E. Fournier makes 2-pt layup from 2 ft,7,7
31,1,8:14.0,Offensive foul by W. Carter (drawn by J. Isaac),,7,7
32,1,8:14.0,Turnover by W. Carter (offensive foul),,7,7
33,1,8:14.0,R. Lopez enters the game for W. Carter,,7,7
34,1,8:03.0,,A. Gordon misses 3-pt jump shot from 26 ft,7,7
35,1,7:59.0,Defensive rebound by J. Holiday,,7,7
36,1,7:51.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,10,7
37,1,7:38.0,,Personal foul by R. Arcidiacono (drawn by D. Augustin),10,7
38,1,7:28.0,,E. Fournier makes 2-pt jump shot from 13 ft,10,9
39,1,7:12.0,Z. LaVine misses 3-pt jump shot from 26 ft,,10,9
40,1,7:10.0,,Defensive rebound by D. Augustin,10,9
41,1,7:02.0,,A. Gordon misses 3-pt jump shot from 23 ft,10,9
42,1,7:00.0,Defensive rebound by J. Holiday,,10,9
43,1,6:51.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,13,9
44,1,6:26.0,,N. Vučević misses 2-pt jump shot from 20 ft,13,9
45,1,6:22.0,Defensive rebound by Z. LaVine,,13,9
46,1,6:15.0,Z. LaVine makes 2-pt layup from 3 ft,,15,9
47,1,6:01.0,,J. Isaac misses 3-pt jump shot from 25 ft,15,9
48,1,5:58.0,Defensive rebound by R. Lopez,,15,9
49,1,5:40.0,Turnover by Z. LaVine (bad pass; steal by N. Vučević),,15,9
50,1,5:35.0,,E. Fournier misses 2-pt hook shot from 3 ft,15,9
51,1,5:32.0,Defensive rebound by R. Arcidiacono,,15,9
52,1,5:23.0,L. Markkanen misses 3-pt jump shot from 23 ft,,15,9
53,1,5:19.0,,Defensive rebound by D. Augustin,15,9
54,1,5:18.0,,Orlando full timeout,15,9
55,1,5:18.0,K. Dunn enters the game for R. Arcidiacono,,15,9
56,1,5:18.0,B. Portis enters the game for L. Markkanen,,15,9
57,1,5:18.0,,J. Simmons enters the game for A. Gordon,15,9
58,1,5:11.0,,N. Vučević makes 2-pt hook shot from 1 ft (assist by E. Fournier),15,11
59,1,4:56.0,B. Portis misses 3-pt jump shot from 25 ft,,15,11
60,1,4:53.0,Offensive rebound by Team,,15,11
61,1,4:53.0,,J. Grant enters the game for D. Augustin,15,11
62,1,4:42.0,Shooting foul by J. Grant (drawn by B. Portis),,15,11
63,1,4:42.0,B. Portis makes free throw 1 of 2,,16,11
64,1,4:42.0,B. Portis makes free throw 2 of 2,,17,11
65,1,4:28.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),17,13
66,1,4:08.0,R. Lopez misses 2-pt hook shot from 6 ft,,17,13
67,1,4:05.0,,Defensive rebound by J. Isaac,17,13
68,1,3:46.0,,J. Grant makes 2-pt layup from 1 ft (assist by N. Vučević),17,15
69,1,3:43.0,Personal foul by J. Simmons (drawn by K. Dunn),,17,15
70,1,3:43.0,,T. Ross enters the game for E. Fournier,17,15
71,1,3:36.0,Turnover by K. Dunn (bad pass; steal by J. Isaac),,17,15
72,1,3:33.0,,Personal foul by R. Lopez (drawn by J. Isaac),17,15
73,1,3:33.0,S. Harrison enters the game for Z. LaVine,,17,15
74,1,3:21.0,,N. Vučević misses 2-pt hook shot from 8 ft,17,15
75,1,3:19.0,Defensive rebound by B. Portis,,17,15
76,1,3:11.0,K. Dunn makes 2-pt layup at rim,,19,15
77,1,2:54.0,,J. Isaac misses 2-pt jump shot from 20 ft,19,15
78,1,2:51.0,Defensive rebound by S. Harrison,,19,15
79,1,2:50.0,Personal foul by J. Isaac (drawn by B. Portis),,19,15
80,1,2:50.0,Chicago full timeout,,19,15
81,1,2:50.0,J. Parker enters the game for J. Holiday,,19,15
82,1,2:50.0,,M. Bamba enters the game for J. Isaac,19,15
83,1,2:50.0,,A. Gordon enters the game for N. Vučević,19,15
84,1,2:50.0,B. Portis misses free throw 1 of 2,,19,15
85,1,2:50.0,Offensive rebound by Team,,19,15
86,1,2:50.0,B. Portis misses free throw 2 of 2,,19,15
87,1,2:48.0,,Defensive rebound by A. Gordon,19,15
88,1,2:37.0,,Turnover by J. Grant (bad pass; steal by B. Portis),19,15
89,1,2:31.0,Turnover by S. Harrison (lost ball; steal by J. Grant),,19,15
90,1,2:27.0,,J. Grant makes 2-pt layup at rim (assist by M. Bamba),19,17
91,1,2:10.0,J. Parker misses 2-pt jump shot from 20 ft,,19,17
92,1,2:06.0,,Defensive rebound by M. Bamba,19,17
93,1,1:55.0,,A. Gordon misses 2-pt layup from 3 ft,19,17
94,1,1:53.0,Defensive rebound by K. Dunn,,19,17
95,1,1:46.0,B. Portis makes 2-pt layup from 1 ft (assist by S. Harrison),,21,17
96,1,1:30.0,,T. Ross makes 2-pt jump shot from 21 ft (assist by M. Bamba),21,19
97,1,1:18.0,K. Dunn misses 2-pt jump shot from 15 ft,,21,19
98,1,1:15.0,,Defensive rebound by J. Grant,21,19
99,1,1:13.0,,Shooting foul by S. Harrison (drawn by J. Simmons),21,19
100,1,1:13.0,,J. Simmons makes free throw 1 of 2,21,20
101,1,1:13.0,,J. Simmons misses free throw 2 of 2,21,20
102,1,1:09.0,Defensive rebound by B. Portis,,21,20
103,1,0:58.0,R. Lopez makes 2-pt hook shot from 2 ft,,23,20
104,1,0:52.0,,Personal foul by B. Portis (drawn by A. Gordon),23,20
105,1,0:52.0,,A. Gordon makes free throw 1 of 2,23,21
106,1,0:52.0,,A. Gordon makes free throw 2 of 2,23,22
107,1,0:35.0,K. Dunn makes 3-pt jump shot from 23 ft (assist by J. Parker),,26,22
108,1,0:14.0,,Personal foul by R. Lopez (drawn by M. Bamba),26,22
109,1,0:14.0,,M. Bamba misses free throw 1 of 2,26,22
110,1,0:14.0,,Offensive rebound by Team,26,22
111,1,0:14.0,,M. Bamba makes free throw 2 of 2,26,23
112,1,0:05.0,K. Dunn misses 2-pt layup at rim (block by T. Ross),,26,23
113,1,0:01.0,,Defensive rebound by T. Ross,26,23
114,1,0:01.0,,Personal foul by K. Dunn (drawn by T. Ross),26,23
115,1,0:01.0,,T. Ross makes free throw 1 of 2,26,24
116,1,0:01.0,,T. Ross misses free throw 2 of 2,26,24
117,1,0:00.0,Defensive rebound by J. Parker,,26,24
118,2,11:45.0,,J. Simmons makes 2-pt dunk at rim (assist by A. Gordon),26,26
119,2,11:21.0,R. Lopez misses 2-pt hook shot from 6 ft,,26,26
120,2,11:18.0,,Defensive rebound by M. Bamba,26,26
121,2,11:13.0,,M. Bamba makes 2-pt jump shot from 19 ft (assist by J. Simmons),26,28
122,2,10:53.0,R. Arcidiacono misses 2-pt layup from 2 ft (block by M. Bamba),,26,28
123,2,10:51.0,,Defensive rebound by D. Augustin,26,28
124,2,10:47.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),26,31
125,2,10:40.0,Chicago full timeout,,26,31
126,2,10:40.0,J. Holiday enters the game for R. Lopez,,26,31
127,2,10:40.0,L. Markkanen enters the game for J. Parker,,26,31
128,2,10:32.0,Z. LaVine misses 2-pt hook shot from 7 ft,,26,31
129,2,10:27.0,,Defensive rebound by J. Simmons,26,31
130,2,10:14.0,,M. Bamba misses 3-pt jump shot from 23 ft,26,31
131,2,10:08.0,,Offensive rebound by J. Simmons,26,31
132,2,10:08.0,,J. Simmons misses 2-pt layup from 1 ft,26,31
133,2,10:07.0,,Offensive rebound by M. Bamba,26,31
134,2,10:05.0,,M. Bamba misses 2-pt jump shot from 17 ft,26,31
135,2,10:03.0,Defensive rebound by B. Portis,,26,31
136,2,9:54.0,Turnover by J. Holiday (out of bounds lost ball),,26,31
137,2,9:41.0,,Turnover by D. Augustin (step out of bounds),26,31
138,2,9:27.0,R. Arcidiacono makes 2-pt layup from 2 ft (assist by J. Holiday),,28,31
139,2,9:09.0,,M. Bamba makes 2-pt jump shot from 17 ft,28,33
140,2,8:56.0,B. Portis misses 2-pt jump shot from 10 ft,,28,33
141,2,8:53.0,,Defensive rebound by A. Gordon,28,33
142,2,8:46.0,,Turnover by T. Ross (bad pass; steal by Z. LaVine),28,33
143,2,8:44.0,Shooting foul by D. Augustin (drawn by Z. LaVine),,28,33
144,2,8:44.0,Z. LaVine misses free throw 1 of 2,,28,33
145,2,8:44.0,Offensive rebound by Team,,28,33
146,2,8:44.0,W. Carter enters the game for B. Portis,,28,33
147,2,8:44.0,Z. LaVine makes free throw 2 of 2,,29,33
148,2,8:26.0,,Turnover by M. Bamba (lost ball; steal by J. Holiday),29,33
149,2,8:17.0,W. Carter misses 2-pt jump shot from 17 ft,,29,33
150,2,8:14.0,,Defensive rebound by D. Augustin,29,33
151,2,8:11.0,,J. Simmons misses 3-pt jump shot from 26 ft,29,33
152,2,8:07.0,Defensive rebound by W. Carter,,29,33
153,2,8:02.0,Offensive foul by W. Carter (drawn by D. Augustin),,29,33
154,2,8:02.0,Turnover by W. Carter (offensive foul),,29,33
155,2,8:02.0,,E. Fournier enters the game for J. Simmons,29,33
156,2,7:47.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by A. Gordon),29,36
157,2,7:35.0,L. Markkanen misses 3-pt jump shot from 27 ft,,29,36
158,2,7:33.0,,Defensive rebound by Team,29,36
159,2,7:19.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by A. Gordon),29,39
160,2,7:09.0,Turnover by L. Markkanen (traveling),,29,39
161,2,6:59.0,,Turnover by E. Fournier (bad pass),29,39
162,2,6:59.0,K. Dunn enters the game for R. Arcidiacono,,29,39
163,2,6:41.0,L. Markkanen misses 2-pt jump shot from 11 ft,,29,39
164,2,6:38.0,,Defensive rebound by M. Bamba,29,39
165,2,6:28.0,,E. Fournier misses 3-pt jump shot from 23 ft,29,39
