,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:43.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),0,3
1,1,11:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,2,3
2,1,11:19.0,,Turnover by B. Griffin (bad pass),2,3
3,1,11:11.0,K. Middleton misses 2-pt jump shot from 12 ft,,2,3
4,1,11:09.0,,Defensive rebound by A. Drummond,2,3
5,1,11:00.0,,R. Bullock makes 2-pt jump shot from 19 ft (assist by B. Griffin),2,5
6,1,10:47.0,B. Lopez misses 3-pt jump shot from 26 ft,,2,5
7,1,10:44.0,,Defensive rebound by B. Griffin,2,5
8,1,10:43.0,,Personal foul by B. Lopez (drawn by A. Drummond),2,5
9,1,10:32.0,,B. Griffin misses 3-pt jump shot from 26 ft,2,5
10,1,10:28.0,Defensive rebound by K. Middleton,,2,5
11,1,10:18.0,T. Snell misses 3-pt jump shot from 26 ft,,2,5
12,1,10:14.0,,Defensive rebound by B. Griffin,2,5
13,1,10:11.0,,Personal foul by G. Antetokounmpo (drawn by B. Griffin),2,5
14,1,10:01.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),2,8
15,1,9:49.0,G. Antetokounmpo misses 3-pt jump shot from 30 ft,,2,8
16,1,9:46.0,,Defensive rebound by B. Griffin,2,8
17,1,9:41.0,,B. Griffin misses 3-pt jump shot from 26 ft,2,8
18,1,9:40.0,Defensive rebound by Team,,2,8
19,1,9:29.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,2,8
20,1,9:26.0,Offensive rebound by T. Snell,,2,8
21,1,9:13.0,T. Snell misses 2-pt layup from 2 ft,,2,8
22,1,9:10.0,,Defensive rebound by B. Griffin,2,8
23,1,9:07.0,,A. Drummond misses 2-pt layup from 2 ft,2,8
24,1,9:04.0,Defensive rebound by G. Antetokounmpo,,2,8
25,1,9:02.0,Offensive foul by G. Antetokounmpo (drawn by B. Griffin),,2,8
26,1,9:02.0,Turnover by G. Antetokounmpo (offensive foul),,2,8
27,1,9:02.0,D. Wilson enters the game for G. Antetokounmpo,,2,8
28,1,8:46.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),2,10
29,1,8:45.0,Milwaukee full timeout,,2,10
30,1,8:30.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),,5,10
31,1,8:15.0,,R. Bullock makes 2-pt layup at rim (assist by A. Drummond),5,12
32,1,8:03.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),,8,12
33,1,7:34.0,,Turnover by B. Griffin (bad pass; steal by B. Lopez),8,12
34,1,7:23.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by B. Lopez),,10,12
35,1,7:11.0,,R. Bullock misses 3-pt jump shot from 25 ft,10,12
36,1,7:08.0,Defensive rebound by T. Snell,,10,12
37,1,6:54.0,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,13,12
38,1,6:39.0,,Offensive foul by R. Bullock (drawn by K. Middleton),13,12
39,1,6:39.0,,Turnover by R. Bullock (offensive foul),13,12
40,1,6:24.0,Shooting foul by R. Bullock (drawn by K. Middleton),,13,12
41,1,6:24.0,K. Middleton misses free throw 1 of 2,,13,12
42,1,6:24.0,Offensive rebound by Team,,13,12
43,1,6:24.0,,L. Galloway enters the game for R. Bullock,13,12
44,1,6:24.0,K. Middleton makes free throw 2 of 2,,14,12
45,1,6:16.0,,Personal foul by T. Snell (drawn by L. Galloway),14,12
46,1,6:16.0,S. Brown enters the game for T. Snell,,14,12
47,1,6:08.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),14,15
48,1,5:46.0,B. Lopez misses 2-pt jump shot from 14 ft,,14,15
49,1,5:44.0,,Defensive rebound by A. Drummond,14,15
50,1,5:36.0,,Personal foul by D. Wilson (drawn by B. Griffin),14,15
51,1,5:27.0,,R. Jackson makes 2-pt jump shot from 18 ft,14,17
52,1,5:16.0,Personal foul by L. Galloway (drawn by K. Middleton),,14,17
53,1,5:16.0,T. Maker enters the game for B. Lopez,,14,17
54,1,5:11.0,S. Brown makes 2-pt layup from 1 ft (assist by T. Maker),,16,17
55,1,5:11.0,,Detroit full timeout,16,17
56,1,4:59.0,,Personal foul by E. Bledsoe (drawn by B. Griffin),16,17
57,1,4:59.0,,B. Griffin makes free throw 1 of 2,16,18
58,1,4:59.0,,B. Griffin misses free throw 2 of 2,16,18
59,1,4:56.0,,Offensive rebound by A. Drummond,16,18
60,1,4:54.0,,R. Jackson misses 3-pt jump shot from 22 ft,16,18
61,1,4:50.0,Defensive rebound by T. Maker,,16,18
62,1,4:38.0,D. Wilson makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,19,18
63,1,4:26.0,,B. Griffin makes 2-pt layup from 4 ft (assist by R. Jackson),19,20
64,1,4:11.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,19,20
65,1,4:08.0,,Defensive rebound by B. Griffin,19,20
66,1,4:04.0,,L. Kennard makes 3-pt jump shot from 25 ft (assist by B. Griffin),19,23
67,1,3:37.0,K. Middleton misses 3-pt jump shot from 25 ft,,19,23
68,1,3:35.0,,Defensive rebound by B. Griffin,19,23
69,1,3:21.0,,L. Galloway misses 2-pt layup from 3 ft,19,23
70,1,3:19.0,,Offensive rebound by A. Drummond,19,23
71,1,3:17.0,,L. Kennard misses 3-pt jump shot from 26 ft,19,23
72,1,3:13.0,Defensive rebound by T. Maker,,19,23
73,1,3:05.0,Shooting foul by L. Galloway (drawn by E. Bledsoe),,19,23
74,1,3:05.0,G. Antetokounmpo enters the game for K. Middleton,,19,23
75,1,3:05.0,G. Hill enters the game for D. Wilson,,19,23
76,1,3:05.0,,J. Calderón enters the game for B. Griffin,19,23
77,1,3:05.0,,S. Johnson enters the game for R. Jackson,19,23
78,1,3:05.0,E. Bledsoe makes free throw 1 of 2,,20,23
79,1,3:05.0,E. Bledsoe makes free throw 2 of 2,,21,23
80,1,2:45.0,,A. Drummond misses 2-pt hook shot from 5 ft,21,23
81,1,2:43.0,Defensive rebound by E. Bledsoe,,21,23
82,1,2:32.0,T. Maker makes 2-pt hook shot from 5 ft (assist by S. Brown),,23,23
83,1,2:23.0,,J. Calderón makes 2-pt jump shot from 16 ft,23,25
84,1,2:03.0,Turnover by G. Antetokounmpo (bad pass),,23,25
85,1,2:03.0,D. DiVincenzo enters the game for E. Bledsoe,,23,25
86,1,1:46.0,,A. Drummond misses 2-pt hook shot from 6 ft,23,25
87,1,1:45.0,Defensive rebound by D. DiVincenzo,,23,25
88,1,1:37.0,G. Hill misses 2-pt jump shot from 19 ft,,23,25
89,1,1:34.0,,Defensive rebound by A. Drummond,23,25
90,1,1:24.0,,S. Johnson misses 3-pt jump shot from 25 ft,23,25
91,1,1:22.0,,Offensive rebound by J. Calderón,23,25
92,1,1:12.0,,S. Johnson makes 2-pt layup from 2 ft,23,27
93,1,0:57.0,G. Hill misses 3-pt jump shot from 25 ft,,23,27
94,1,0:55.0,,Defensive rebound by A. Drummond,23,27
95,1,0:45.0,,A. Drummond misses 2-pt layup from 2 ft,23,27
96,1,0:43.0,Defensive rebound by G. Antetokounmpo,,23,27
97,1,0:37.0,Turnover by D. DiVincenzo (bad pass),,23,27
98,1,0:25.0,,A. Drummond misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),23,27
99,1,0:24.0,Defensive rebound by Team,,23,27
100,1,0:24.0,K. Middleton enters the game for T. Maker,,23,27
101,1,0:24.0,,B. Brown enters the game for L. Galloway,23,27
102,1,0:07.0,Personal foul by S. Johnson (drawn by G. Antetokounmpo),,23,27
103,1,0:03.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,25,27
104,1,0:00.0,,B. Brown misses 3-pt jump shot from 43 ft,25,27
105,1,0:00.0,,Offensive rebound by Team,25,27
106,2,11:48.0,Personal foul by J. Calderón (drawn by T. Maker),,25,27
107,2,11:42.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,27,27
108,2,11:18.0,,J. Leuer makes 2-pt jump shot from 15 ft (assist by B. Brown),27,29
109,2,11:00.0,G. Hill misses 3-pt jump shot from 23 ft,,27,29
110,2,10:57.0,,Defensive rebound by J. Leuer,27,29
111,2,10:50.0,,Turnover by J. Calderón (traveling),27,29
112,2,10:50.0,D. Wilson enters the game for T. Maker,,27,29
113,2,10:37.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,29,29
114,2,10:18.0,,S. Johnson misses 3-pt jump shot from 23 ft,29,29
115,2,10:16.0,Defensive rebound by D. Wilson,,29,29
116,2,10:04.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,29,29
117,2,10:01.0,,Defensive rebound by J. Leuer,29,29
118,2,9:56.0,,S. Johnson misses 2-pt layup from 2 ft (block by D. DiVincenzo),29,29
119,2,9:54.0,Defensive rebound by G. Hill,,29,29
120,2,9:50.0,Personal foul by S. Johnson (drawn by D. Wilson),,29,29
121,2,9:40.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,29,29
122,2,9:38.0,,Defensive rebound by S. Johnson,29,29
123,2,9:21.0,,J. Leuer makes 2-pt dunk from 2 ft (assist by S. Johnson),29,31
124,2,9:01.0,D. DiVincenzo misses 2-pt layup from 7 ft,,29,31
125,2,9:00.0,,Defensive rebound by B. Brown,29,31
126,2,8:56.0,,R. Bullock misses 2-pt layup from 3 ft (block by D. Wilson),29,31
127,2,8:56.0,Defensive rebound by G. Hill,,29,31
128,2,8:48.0,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,32,31
129,2,8:28.0,,J. Leuer makes 2-pt hook shot from 6 ft,32,33
130,2,8:17.0,Personal foul by B. Brown (drawn by G. Hill),,32,33
131,2,8:17.0,K. Middleton enters the game for D. DiVincenzo,,32,33
132,2,8:17.0,,B. Griffin enters the game for B. Brown,32,33
133,2,8:10.0,Personal foul by J. Calderón (drawn by G. Antetokounmpo),,32,33
134,2,7:57.0,Shooting foul by B. Griffin (drawn by G. Hill),,32,33
135,2,7:57.0,G. Hill misses free throw 1 of 2,,32,33
136,2,7:57.0,Offensive rebound by Team,,32,33
137,2,7:57.0,S. Brown enters the game for G. Antetokounmpo,,32,33
138,2,7:57.0,G. Hill makes free throw 2 of 2,,33,33
139,2,7:37.0,,S. Johnson misses 3-pt jump shot from 24 ft,33,33
140,2,7:36.0,,Offensive rebound by Team,33,33
141,2,7:36.0,Loose ball foul by S. Brown (drawn by J. Leuer),,33,33
142,2,7:31.0,,B. Griffin misses 3-pt jump shot from 25 ft,33,33
143,2,7:27.0,Defensive rebound by S. Brown,,33,33
144,2,7:21.0,S. Brown misses 2-pt jump shot from 8 ft,,33,33
145,2,7:19.0,,Defensive rebound by B. Griffin,33,33
146,2,7:19.0,E. Bledsoe enters the game for G. Hill,,33,33
147,2,7:00.0,,Turnover by J. Calderón (bad pass),33,33
148,2,7:00.0,,R. Jackson enters the game for J. Calderón,33,33
149,2,6:44.0,T. Snell makes 2-pt jump shot from 16 ft (assist by D. Wilson),,35,33
150,2,6:21.0,,B. Griffin misses 2-pt layup from 3 ft,35,33
151,2,6:19.0,Defensive rebound by T. Snell,,35,33
152,2,6:16.0,T. Snell makes 2-pt layup at rim,,37,33
153,2,6:15.0,,Detroit full timeout,37,33
154,2,6:15.0,B. Lopez enters the game for S. Brown,,37,33
155,2,6:15.0,,A. Drummond enters the game for S. Johnson,37,33
156,2,6:15.0,,L. Galloway enters the game for J. Leuer,37,33
157,2,6:03.0,,R. Jackson misses 2-pt layup from 4 ft,37,33
158,2,6:03.0,Defensive rebound by Team,,37,33
159,2,5:39.0,K. Middleton misses 3-pt jump shot from 23 ft,,37,33
160,2,5:39.0,Offensive rebound by Team,,37,33
161,2,5:39.0,Turnover by Team (shot clock),,37,33
162,2,5:20.0,,R. Jackson misses 2-pt jump shot from 17 ft,37,33
163,2,5:18.0,Defensive rebound by B. Lopez,,37,33
164,2,5:12.0,Turnover by E. Bledsoe (lost ball; steal by L. Galloway),,37,33
165,2,5:01.0,,Turnover by B. Griffin (traveling),37,33
166,2,4:39.0,E. Bledsoe makes 2-pt dunk from 2 ft (assist by B. Lopez),,39,33
167,2,4:17.0,,B. Griffin misses 2-pt jump shot from 7 ft,39,33
168,2,4:16.0,,Offensive rebound by A. Drummond,39,33
169,2,4:15.0,,A. Drummond makes 2-pt layup from 1 ft,39,35
170,2,3:59.0,K. Middleton makes 2-pt jump shot from 19 ft,,41,35
171,2,3:48.0,,R. Jackson misses 2-pt hook shot from 7 ft,41,35
172,2,3:46.0,,Offensive rebound by R. Jackson,41,35
173,2,3:45.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Jackson),41,38
174,2,3:32.0,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by D. Wilson),,44,38
175,2,3:16.0,,Shooting foul by D. Wilson (drawn by B. Griffin),44,38
176,2,3:16.0,,B. Griffin makes free throw 1 of 2,44,39
177,2,3:16.0,Milwaukee full timeout,,44,39
178,2,3:16.0,G. Antetokounmpo enters the game for T. Snell,,44,39
179,2,3:16.0,S. Brown enters the game for D. Wilson,,44,39
180,2,3:16.0,,L. Kennard enters the game for R. Bullock,44,39
181,2,3:16.0,,B. Griffin makes free throw 2 of 2,44,40
182,2,3:04.0,K. Middleton misses 2-pt jump shot from 19 ft,,44,40
183,2,3:00.0,,Defensive rebound by A. Drummond,44,40
184,2,2:53.0,,Turnover by B. Griffin (lost ball; steal by K. Middleton),44,40
185,2,2:49.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),,46,40
186,2,2:30.0,,R. Jackson misses 2-pt jump shot from 13 ft (block by B. Lopez),46,40
187,2,2:28.0,Defensive rebound by E. Bledsoe,,46,40
188,2,2:21.0,E. Bledsoe misses 2-pt jump shot from 14 ft,,46,40
189,2,2:17.0,,Defensive rebound by L. Galloway,46,40
190,2,2:05.0,,A. Drummond misses 2-pt layup from 4 ft,46,40
191,2,2:03.0,Defensive rebound by G. Antetokounmpo,,46,40
192,2,2:00.0,S. Brown makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,48,40
193,2,1:44.0,,L. Kennard misses 3-pt jump shot from 25 ft,48,40
194,2,1:42.0,Defensive rebound by G. Antetokounmpo,,48,40
