,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:57.0,Shooting foul by M. Muscala (drawn by D. Green),,0,0
1,1,11:57.0,D. Green makes free throw 1 of 2,,1,0
2,1,11:57.0,D. Green makes free throw 2 of 2,,2,0
3,1,11:40.0,,J. Embiid misses 2-pt jump shot from 12 ft,2,0
4,1,11:37.0,,Offensive rebound by B. Simmons,2,0
5,1,11:37.0,,B. Simmons makes 2-pt layup from 1 ft,2,2
6,1,11:14.0,P. Siakam misses 2-pt layup from 1 ft,,2,2
7,1,11:12.0,,Defensive rebound by J. Embiid,2,2
8,1,11:10.0,,Shooting foul by G. Monroe (drawn by B. Simmons),2,2
9,1,11:10.0,,B. Simmons misses free throw 1 of 2,2,2
10,1,11:10.0,,Offensive rebound by Team,2,2
11,1,11:10.0,,B. Simmons makes free throw 2 of 2,2,3
12,1,11:00.0,K. Lowry misses 3-pt jump shot from 28 ft,,2,3
13,1,10:56.0,,Defensive rebound by B. Simmons,2,3
14,1,10:53.0,,J. Redick misses 3-pt jump shot from 26 ft,2,3
15,1,10:50.0,Defensive rebound by K. Lowry,,2,3
16,1,10:36.0,P. Siakam misses 3-pt jump shot from 27 ft,,2,3
17,1,10:32.0,,Defensive rebound by J. Redick,2,3
18,1,10:21.0,,Shooting foul by K. Lowry (drawn by J. Butler),2,3
19,1,10:21.0,,J. Butler makes free throw 1 of 2,2,4
20,1,10:21.0,,J. Butler makes free throw 2 of 2,2,5
21,1,10:08.0,G. Monroe makes 2-pt layup from 3 ft (assist by K. Lowry),,4,5
22,1,9:53.0,,J. Embiid makes 2-pt jump shot from 21 ft (assist by B. Simmons),4,7
23,1,9:46.0,Turnover by D. Green (bad pass; steal by J. Butler),,4,7
24,1,9:43.0,,J. Butler misses 2-pt layup from 2 ft,4,7
25,1,9:41.0,Defensive rebound by D. Green,,4,7
26,1,9:40.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,6,7
27,1,9:40.0,Shooting foul by M. Muscala (drawn by P. Siakam),,6,7
