,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:46.0,K. Towns makes 2-pt jump shot from 17 ft (assist by D. Rose),,2,0
1,1,11:28.0,,L. Markkanen misses 3-pt jump shot from 26 ft,2,0
2,1,11:26.0,Defensive rebound by K. Towns,,2,0
3,1,11:18.0,T. Gibson makes 2-pt layup from 2 ft,,4,0
4,1,10:56.0,,K. Dunn misses 2-pt jump shot from 11 ft,4,0
5,1,10:53.0,Defensive rebound by K. Towns,,4,0
6,1,10:50.0,R. Covington misses 3-pt jump shot from 25 ft,,4,0
7,1,10:45.0,Offensive rebound by R. Covington,,4,0
8,1,10:43.0,R. Covington misses 3-pt jump shot from 26 ft,,4,0
9,1,10:41.0,,Defensive rebound by W. Carter,4,0
10,1,10:21.0,,J. Holiday misses 2-pt jump shot from 8 ft,4,0
11,1,10:20.0,Defensive rebound by Team,,4,0
12,1,10:06.0,A. Wiggins misses 3-pt jump shot from 25 ft,,4,0
13,1,10:02.0,,Defensive rebound by L. Markkanen,4,0
14,1,9:48.0,,L. Markkanen misses 2-pt jump shot from 16 ft,4,0
15,1,9:44.0,Defensive rebound by K. Towns,,4,0
16,1,9:39.0,T. Gibson misses 2-pt layup from 2 ft (block by J. Holiday),,4,0
17,1,9:35.0,Offensive rebound by T. Gibson,,4,0
18,1,9:30.0,K. Towns makes 2-pt jump shot from 2 ft (assist by D. Rose),,6,0
19,1,9:10.0,,K. Dunn misses 2-pt jump shot from 10 ft,6,0
20,1,9:08.0,Defensive rebound by K. Towns,,6,0
21,1,9:02.0,A. Wiggins misses 2-pt jump shot from 7 ft,,6,0
22,1,8:56.0,,Defensive rebound by L. Markkanen,6,0
23,1,8:44.0,,K. Dunn misses 2-pt layup from 2 ft,6,0
24,1,8:42.0,Defensive rebound by K. Towns,,6,0
25,1,8:32.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by K. Towns),,8,0
26,1,8:09.0,,L. Markkanen makes 2-pt layup from 3 ft (assist by K. Dunn),8,2
27,1,7:59.0,D. Rose misses 3-pt jump shot from 25 ft,,8,2
28,1,7:57.0,,Defensive rebound by J. Holiday,8,2
29,1,7:50.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),8,4
30,1,7:50.0,,Shooting foul by K. Towns (drawn by L. Markkanen),8,4
31,1,7:50.0,,L. Markkanen makes free throw 1 of 1,8,5
32,1,7:35.0,D. Rose makes 2-pt jump shot from 4 ft,,10,5
33,1,7:20.0,,J. Holiday misses 2-pt layup from 3 ft,10,5
34,1,7:17.0,Defensive rebound by A. Wiggins,,10,5
35,1,7:13.0,A. Wiggins misses 2-pt layup from 2 ft,,10,5
36,1,7:11.0,,Defensive rebound by W. Carter,10,5
37,1,7:05.0,,L. Markkanen misses 3-pt jump shot from 22 ft,10,5
38,1,7:01.0,,Offensive rebound by W. Carter,10,5
39,1,7:00.0,,W. Carter misses 2-pt layup from 2 ft,10,5
40,1,6:58.0,Defensive rebound by R. Covington,,10,5
41,1,6:54.0,D. Rose misses 2-pt layup from 1 ft (block by J. Holiday),,10,5
42,1,6:54.0,Offensive rebound by Team,,10,5
43,1,6:54.0,,Chicago full timeout,10,5
44,1,6:49.0,T. Gibson makes 2-pt layup from 2 ft (assist by D. Rose),,12,5
