,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,Turnover by L. Kornet (traveling),,0,0
1,1,11:25.0,,G. Antetokounmpo misses 2-pt dunk from 3 ft,0,0
2,1,11:22.0,Defensive rebound by K. Knox,,0,0
3,1,11:14.0,L. Kornet makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,3,0
4,1,11:01.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,3,2
5,1,10:50.0,E. Mudiay misses 2-pt jump shot from 15 ft,,3,2
6,1,10:47.0,,Defensive rebound by E. Bledsoe,3,2
7,1,10:42.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by N. Vonleh),3,2
8,1,10:38.0,Defensive rebound by E. Mudiay,,3,2
9,1,10:31.0,C. Lee makes 2-pt jump shot from 18 ft (assist by L. Kornet),,5,2
10,1,10:19.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),5,4
11,1,10:08.0,K. Knox misses 2-pt jump shot from 20 ft,,5,4
12,1,10:05.0,,Defensive rebound by M. Brogdon,5,4
13,1,9:58.0,,B. Lopez makes 2-pt jump shot from 4 ft,5,6
14,1,9:43.0,N. Vonleh makes 2-pt layup from 1 ft (assist by L. Kornet),,7,6
15,1,9:43.0,Shooting foul by G. Antetokounmpo (drawn by N. Vonleh),,7,6
16,1,9:43.0,N. Vonleh makes free throw 1 of 1,,8,6
17,1,9:34.0,,Def 3 sec tech foul by Team,8,6
18,1,9:34.0,,K. Middleton makes technical free throw,8,7
19,1,9:21.0,,K. Middleton makes 2-pt jump shot from 13 ft,8,9
20,1,9:13.0,L. Kornet makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,11,9
21,1,8:54.0,,B. Lopez misses 2-pt layup from 3 ft (block by L. Kornet),11,9
22,1,8:50.0,,Offensive rebound by B. Lopez,11,9
23,1,8:49.0,,B. Lopez misses 2-pt hook shot from 3 ft,11,9
24,1,8:46.0,Defensive rebound by N. Vonleh,,11,9
25,1,8:43.0,Turnover by N. Vonleh (traveling),,11,9
26,1,8:43.0,,Technical foul by B. Lopez,11,9
27,1,8:43.0,C. Lee makes technical free throw,,12,9
28,1,8:28.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),12,11
29,1,8:14.0,E. Mudiay makes 2-pt jump shot from 12 ft,,14,11
30,1,8:02.0,,B. Lopez misses 3-pt jump shot from 26 ft,14,11
31,1,8:02.0,Defensive rebound by N. Vonleh,,14,11
32,1,7:53.0,C. Lee makes 2-pt jump shot from 17 ft (assist by N. Vonleh),,16,11
33,1,7:37.0,,B. Lopez makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),16,13
34,1,7:19.0,L. Kornet misses 3-pt jump shot from 26 ft,,16,13
35,1,7:16.0,,Defensive rebound by G. Antetokounmpo,16,13
36,1,7:09.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,16,13
37,1,7:06.0,Defensive rebound by N. Vonleh,,16,13
38,1,7:02.0,N. Vonleh misses 2-pt jump shot from 19 ft,,16,13
39,1,7:00.0,,Defensive rebound by K. Middleton,16,13
40,1,6:43.0,,M. Brogdon misses 2-pt jump shot from 18 ft,16,13
41,1,6:39.0,Defensive rebound by N. Vonleh,,16,13
42,1,6:30.0,C. Lee misses 2-pt jump shot from 13 ft,,16,13
43,1,6:27.0,Offensive rebound by C. Lee,,16,13
44,1,6:25.0,K. Knox misses 3-pt jump shot from 28 ft,,16,13
45,1,6:22.0,,Defensive rebound by M. Brogdon,16,13
46,1,6:19.0,,M. Brogdon misses 2-pt layup from 1 ft,16,13
47,1,6:19.0,,Offensive rebound by Team,16,13
48,1,6:19.0,,Milwaukee full timeout,16,13
49,1,6:19.0,D. Dotson enters the game for C. Lee,,16,13
50,1,6:19.0,F. Ntilikina enters the game for E. Mudiay,,16,13
51,1,6:19.0,,S. Brown enters the game for M. Brogdon,16,13
52,1,6:12.0,,Turnover by K. Middleton (bad pass; steal by F. Ntilikina),16,13
53,1,5:59.0,K. Knox makes 2-pt jump shot from 16 ft (assist by L. Kornet),,18,13
54,1,5:40.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,18,13
55,1,5:37.0,Defensive rebound by D. Dotson,,18,13
56,1,5:28.0,L. Kornet misses 3-pt jump shot from 29 ft,,18,13
57,1,5:24.0,,Defensive rebound by S. Brown,18,13
58,1,5:23.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by N. Vonleh),18,13
59,1,5:21.0,Defensive rebound by F. Ntilikina,,18,13
60,1,5:17.0,F. Ntilikina misses 2-pt layup at rim,,18,13
61,1,5:16.0,Offensive rebound by L. Kornet,,18,13
62,1,5:15.0,L. Kornet makes 2-pt dunk at rim,,20,13
63,1,4:59.0,,K. Middleton misses 2-pt jump shot from 17 ft,20,13
64,1,4:59.0,Defensive rebound by N. Vonleh,,20,13
65,1,4:40.0,K. Knox makes 3-pt jump shot from 27 ft,,23,13
66,1,4:18.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,23,13
67,1,4:15.0,Defensive rebound by N. Vonleh,,23,13
68,1,4:13.0,Personal foul by E. Bledsoe (drawn by N. Vonleh),,23,13
