,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA LAKERS_ACTION,NEW YORK_SCORE,LA LAKERS_SCORE
0,1,11:49.0,,Turnover by L. Ball (bad pass; steal by N. Vonleh),0,0
1,1,11:44.0,N. Vonleh misses 3-pt jump shot from 26 ft,,0,0
2,1,11:40.0,,Defensive rebound by B. Ingram,0,0
3,1,11:20.0,,B. Ingram misses 3-pt jump shot from 27 ft,0,0
4,1,11:16.0,Defensive rebound by T. Hardaway,,0,0
5,1,10:59.0,L. Kornet misses 2-pt jump shot from 14 ft,,0,0
6,1,10:56.0,Offensive rebound by N. Vonleh,,0,0
7,1,10:53.0,T. Hardaway makes 3-pt jump shot from 29 ft (assist by N. Vonleh),,3,0
8,1,10:41.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by J. McGee),3,3
9,1,10:17.0,N. Vonleh makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,6,3
10,1,10:03.0,,Personal foul by N. Vonleh (drawn by B. Ingram),6,3
11,1,9:54.0,,Turnover by L. Ball (bad pass; steal by L. Kornet),6,3
12,1,9:36.0,Personal foul by L. Ball (drawn by N. Vonleh),,6,3
13,1,9:30.0,E. Mudiay misses 3-pt jump shot from 25 ft,,6,3
14,1,9:27.0,,Defensive rebound by B. Ingram,6,3
15,1,9:25.0,,Turnover by B. Ingram (bad pass; steal by N. Vonleh),6,3
16,1,9:20.0,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,9,3
17,1,9:07.0,,B. Ingram makes 2-pt layup from 2 ft,9,5
18,1,8:54.0,N. Vonleh misses 3-pt jump shot from 25 ft,,9,5
19,1,8:50.0,,Defensive rebound by K. Caldwell-Pope,9,5
20,1,8:43.0,,J. McGee misses 2-pt hook shot from 11 ft,9,5
21,1,8:40.0,Defensive rebound by N. Vonleh,,9,5
22,1,8:28.0,K. Knox makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,12,5
23,1,8:10.0,,L. Ball misses 3-pt jump shot from 25 ft,12,5
24,1,8:08.0,Defensive rebound by N. Vonleh,,12,5
25,1,8:00.0,E. Mudiay misses 2-pt layup from 4 ft (block by J. Hart),,12,5
26,1,7:57.0,,Defensive rebound by J. Hart,12,5
27,1,7:50.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,12,5
28,1,7:47.0,Defensive rebound by L. Kornet,,12,5
29,1,7:44.0,T. Hardaway makes 3-pt jump shot from 26 ft,,15,5
30,1,7:43.0,,LA Lakers full timeout,15,5
31,1,7:30.0,,J. Hart misses 3-pt jump shot from 23 ft,15,5
32,1,7:27.0,Defensive rebound by N. Vonleh,,15,5
33,1,7:15.0,T. Hardaway misses 3-pt jump shot from 27 ft,,15,5
34,1,7:13.0,,Defensive rebound by L. Ball,15,5
35,1,7:08.0,,L. Ball misses 2-pt jump shot from 4 ft,15,5
36,1,7:05.0,Defensive rebound by E. Mudiay,,15,5
37,1,6:57.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,18,5
38,1,6:42.0,,B. Ingram misses 2-pt jump shot from 19 ft,18,5
39,1,6:40.0,Defensive rebound by K. Knox,,18,5
40,1,6:38.0,T. Hardaway misses 3-pt jump shot from 28 ft,,18,5
41,1,6:35.0,Offensive rebound by N. Vonleh,,18,5
42,1,6:35.0,Shooting foul by J. Hart (drawn by N. Vonleh),,18,5
43,1,6:35.0,N. Vonleh makes free throw 1 of 2,,19,5
44,1,6:35.0,,I. Zubac enters the game for J. McGee,19,5
45,1,6:35.0,N. Vonleh makes free throw 2 of 2,,20,5
46,1,6:26.0,,Turnover by B. Ingram (lost ball; steal by N. Vonleh),20,5
47,1,6:19.0,E. Mudiay misses 2-pt layup from 2 ft,,20,5
48,1,6:17.0,,Defensive rebound by I. Zubac,20,5
49,1,6:14.0,,B. Ingram misses 2-pt layup from 1 ft,20,5
50,1,6:08.0,,Offensive rebound by I. Zubac,20,5
51,1,6:08.0,,I. Zubac misses 2-pt layup from 1 ft,20,5
52,1,6:08.0,Defensive rebound by K. Knox,,20,5
53,1,6:00.0,K. Knox makes 2-pt dunk from 2 ft (assist by L. Kornet),,22,5
54,1,5:38.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by I. Zubac),22,8
55,1,5:21.0,N. Vonleh makes 2-pt layup from 1 ft,,24,8
56,1,5:10.0,,L. Ball makes 3-pt jump shot from 27 ft,24,11
57,1,4:58.0,K. Knox misses 2-pt jump shot from 4 ft,,24,11
58,1,4:56.0,,Defensive rebound by L. Ball,24,11
59,1,4:54.0,,Shooting foul by E. Mudiay (drawn by L. Ball),24,11
60,1,4:54.0,,L. Ball misses free throw 1 of 2,24,11
61,1,4:54.0,,Offensive rebound by Team,24,11
62,1,4:54.0,D. Dotson enters the game for K. Knox,,24,11
63,1,4:54.0,F. Ntilikina enters the game for E. Mudiay,,24,11
64,1,4:54.0,,L. Stephenson enters the game for B. Ingram,24,11
65,1,4:54.0,,L. Ball misses free throw 2 of 2,24,11
66,1,4:49.0,Defensive rebound by F. Ntilikina,,24,11
67,1,4:36.0,L. Kornet misses 2-pt jump shot from 11 ft,,24,11
68,1,4:32.0,Offensive rebound by N. Vonleh,,24,11
69,1,4:31.0,N. Vonleh misses 2-pt layup from 3 ft,,24,11
70,1,4:31.0,Offensive rebound by L. Kornet,,24,11
71,1,4:27.0,L. Kornet misses 2-pt layup at rim,,24,11
72,1,4:27.0,,Defensive rebound by I. Zubac,24,11
73,1,4:27.0,,J. Hart makes 2-pt layup from 2 ft,24,13
74,1,4:27.0,,Shooting foul by F. Ntilikina (drawn by J. Hart),24,13
75,1,4:27.0,E. Freedom enters the game for L. Kornet,,24,13
76,1,4:27.0,,J. Hart makes free throw 1 of 1,24,14
77,1,4:10.0,Turnover by F. Ntilikina (lost ball; steal by L. Ball),,24,14
78,1,4:05.0,,L. Ball makes 2-pt layup from 2 ft,24,16
79,1,3:58.0,New York full timeout,,24,16
80,1,3:58.0,T. Burke enters the game for F. Ntilikina,,24,16
81,1,3:53.0,T. Hardaway misses 3-pt jump shot from 26 ft,,24,16
82,1,3:49.0,,Defensive rebound by L. Stephenson,24,16
83,1,3:33.0,,L. Stephenson misses 3-pt jump shot from 25 ft,24,16
84,1,3:29.0,Defensive rebound by E. Freedom,,24,16
85,1,3:16.0,E. Freedom misses 2-pt layup from 3 ft (block by L. Stephenson),,24,16
86,1,3:13.0,,Defensive rebound by L. Stephenson,24,16
87,1,3:10.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,24,16
88,1,3:07.0,Defensive rebound by N. Vonleh,,24,16
89,1,3:00.0,D. Dotson misses 3-pt jump shot from 27 ft,,24,16
90,1,2:58.0,,Defensive rebound by I. Zubac,24,16
91,1,2:53.0,,J. Hart misses 3-pt jump shot from 28 ft,24,16
92,1,2:50.0,Defensive rebound by E. Freedom,,24,16
93,1,2:42.0,T. Burke misses 2-pt jump shot from 5 ft,,24,16
94,1,2:38.0,,Defensive rebound by I. Zubac,24,16
95,1,2:36.0,,Turnover by L. Ball (bad pass; steal by D. Dotson),24,16
96,1,2:31.0,T. Hardaway makes 2-pt dunk from 1 ft (assist by D. Dotson),,26,16
97,1,2:26.0,,Personal foul by N. Vonleh (drawn by L. Ball),26,16
98,1,2:26.0,K. Knox enters the game for N. Vonleh,,26,16
99,1,2:19.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),26,18
100,1,2:02.0,E. Freedom makes 2-pt hook shot from 5 ft (assist by D. Dotson),,28,18
101,1,2:02.0,Shooting foul by L. Ball (drawn by E. Freedom),,28,18
102,1,2:02.0,,S. Mykhailiuk enters the game for L. Ball,28,18
103,1,2:02.0,E. Freedom makes free throw 1 of 1,,29,18
104,1,1:45.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,29,18
105,1,1:43.0,Defensive rebound by E. Freedom,,29,18
106,1,1:38.0,E. Freedom makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,32,18
107,1,1:24.0,,Shooting foul by D. Dotson (drawn by I. Zubac),32,18
108,1,1:24.0,,I. Zubac makes free throw 1 of 2,32,19
109,1,1:24.0,A. Trier enters the game for T. Hardaway,,32,19
110,1,1:24.0,,I. Zubac makes free throw 2 of 2,32,20
111,1,1:16.0,Shooting foul by I. Zubac (drawn by E. Freedom),,32,20
112,1,1:16.0,E. Freedom misses free throw 1 of 2,,32,20
113,1,1:16.0,Offensive rebound by Team,,32,20
114,1,1:16.0,E. Freedom makes free throw 2 of 2,,33,20
115,1,1:04.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by I. Zubac),33,22
116,1,1:04.0,,Shooting foul by A. Trier (drawn by K. Caldwell-Pope),33,22
117,1,1:04.0,,K. Caldwell-Pope makes free throw 1 of 1,33,23
118,1,0:55.0,T. Burke makes 2-pt layup from 3 ft,,35,23
119,1,0:41.0,,Turnover by S. Mykhailiuk (lost ball; steal by K. Knox),35,23
120,1,0:38.0,T. Burke misses 2-pt layup from 2 ft (block by L. Stephenson),,35,23
121,1,0:38.0,Offensive rebound by Team,,35,23
122,1,0:31.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by A. Trier),,37,23
123,1,0:18.0,,I. Zubac misses 2-pt hook shot from 10 ft (block by E. Freedom),37,23
124,1,0:17.0,,Offensive rebound by I. Zubac,37,23
125,1,0:17.0,,I. Zubac makes 2-pt layup from 2 ft,37,25
126,1,0:01.0,T. Burke makes 2-pt jump shot from 3 ft,,39,25
127,2,11:50.0,K. Knox misses 2-pt layup from 1 ft,,39,25
128,2,11:50.0,,Defensive rebound by Team,39,25
129,2,11:37.0,,B. Ingram misses 2-pt layup from 2 ft,39,25
130,2,11:34.0,Defensive rebound by K. Knox,,39,25
131,2,11:25.0,T. Burke misses 2-pt jump shot from 18 ft,,39,25
132,2,11:24.0,,Defensive rebound by M. Beasley,39,25
133,2,11:22.0,,Shooting foul by K. Knox (drawn by T. Chandler),39,25
134,2,11:22.0,,T. Chandler makes free throw 1 of 2,39,26
135,2,11:22.0,,T. Chandler makes free throw 2 of 2,39,27
136,2,11:11.0,Turnover by A. Trier (bad pass; steal by S. Mykhailiuk),,39,27
137,2,11:09.0,,Shooting foul by E. Freedom (drawn by M. Beasley),39,27
138,2,11:09.0,,M. Beasley misses free throw 1 of 2,39,27
139,2,11:09.0,,Offensive rebound by Team,39,27
140,2,11:09.0,,M. Beasley misses free throw 2 of 2,39,27
141,2,11:06.0,Defensive rebound by D. Dotson,,39,27
142,2,10:54.0,K. Knox misses 2-pt layup from 2 ft,,39,27
143,2,10:54.0,Offensive rebound by Team,,39,27
144,2,10:46.0,D. Dotson makes 3-pt jump shot from 28 ft (assist by T. Burke),,42,27
145,2,10:26.0,,M. Beasley makes 2-pt layup from 2 ft (assist by B. Ingram),42,29
146,2,10:11.0,K. Knox misses 3-pt jump shot from 26 ft,,42,29
147,2,10:10.0,,Defensive rebound by B. Ingram,42,29
148,2,10:08.0,,B. Ingram makes 2-pt jump shot from 2 ft,42,31
149,2,10:08.0,,Shooting foul by A. Trier (drawn by B. Ingram),42,31
150,2,10:08.0,,B. Ingram makes free throw 1 of 1,42,32
151,2,10:02.0,New York full timeout,,42,32
152,2,9:48.0,Shooting foul by B. Ingram (drawn by A. Trier),,42,32
153,2,9:48.0,A. Trier makes free throw 1 of 2,,43,32
154,2,9:48.0,A. Trier makes free throw 2 of 2,,44,32
155,2,9:35.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by M. Beasley),44,34
