,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:32.0,A. Wiggins makes 2-pt jump shot from 20 ft,,2,0
1,1,11:18.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),2,3
2,1,11:06.0,Personal foul by P. George (drawn by A. Wiggins),,2,3
3,1,10:57.0,K. Towns misses 2-pt layup from 3 ft,,2,3
4,1,10:55.0,,Defensive rebound by J. Grant,2,3
5,1,10:38.0,,Personal foul by K. Towns (drawn by S. Adams),2,3
6,1,10:27.0,,R. Westbrook misses 2-pt layup from 2 ft,2,3
7,1,10:26.0,Defensive rebound by Team,,2,3
8,1,10:26.0,,Loose ball foul by S. Adams (drawn by K. Towns),2,3
9,1,10:08.0,T. Gibson misses 2-pt hook shot from 4 ft (block by T. Ferguson),,2,3
10,1,10:06.0,Offensive rebound by T. Gibson,,2,3
11,1,10:04.0,T. Gibson makes 2-pt layup from 2 ft,,4,3
12,1,9:50.0,,P. George misses 2-pt jump shot from 11 ft,4,3
13,1,9:47.0,Defensive rebound by K. Towns,,4,3
14,1,9:40.0,K. Towns misses 3-pt jump shot from 25 ft,,4,3
15,1,9:38.0,Offensive rebound by K. Towns,,4,3
16,1,9:33.0,J. Teague makes 3-pt jump shot from 25 ft (assist by J. Okogie),,7,3
17,1,9:12.0,,R. Westbrook makes 2-pt jump shot from 17 ft,7,5
18,1,8:58.0,T. Gibson misses 2-pt jump shot from 19 ft,,7,5
19,1,8:54.0,,Defensive rebound by T. Ferguson,7,5
20,1,8:54.0,,Personal take foul by T. Gibson (drawn by T. Ferguson),7,5
21,1,8:48.0,,Turnover by R. Westbrook (lost ball; steal by J. Teague),7,5
22,1,8:42.0,Shooting foul by T. Ferguson (drawn by J. Okogie),,7,5
23,1,8:42.0,J. Okogie makes free throw 1 of 2,,8,5
24,1,8:42.0,J. Okogie misses free throw 2 of 2,,8,5
25,1,8:41.0,,Defensive rebound by R. Westbrook,8,5
26,1,8:32.0,,R. Westbrook misses 2-pt jump shot from 4 ft,8,5
27,1,8:31.0,,Offensive rebound by Team,8,5
28,1,8:31.0,Loose ball foul by K. Towns (drawn by R. Westbrook),,8,5
29,1,8:31.0,G. Dieng enters the game for K. Towns,,8,5
30,1,8:21.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by P. George),8,8
31,1,8:05.0,Personal foul by T. Ferguson (drawn by A. Wiggins),,8,8
32,1,8:00.0,A. Wiggins misses 2-pt layup from 4 ft,,8,8
33,1,7:57.0,,Defensive rebound by S. Adams,8,8
34,1,7:55.0,,Turnover by R. Westbrook (bad pass; steal by T. Gibson),8,8
35,1,7:45.0,J. Okogie misses 2-pt jump shot from 6 ft,,8,8
36,1,7:40.0,,Defensive rebound by S. Adams,8,8
37,1,7:33.0,,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),8,10
38,1,7:06.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),,10,10
39,1,6:54.0,,P. George makes 2-pt layup from 2 ft,10,12
40,1,6:46.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,12,12
41,1,6:36.0,,T. Ferguson misses 2-pt jump shot from 22 ft,12,12
42,1,6:35.0,,Offensive rebound by P. George,12,12
43,1,6:34.0,,P. George makes 2-pt layup from 1 ft,12,14
44,1,6:26.0,A. Wiggins misses 2-pt layup from 1 ft (block by J. Grant),,12,14
45,1,6:26.0,,Defensive rebound by S. Adams,12,14
46,1,6:16.0,,P. George misses 2-pt jump shot from 17 ft,12,14
47,1,6:13.0,Defensive rebound by J. Teague,,12,14
48,1,6:04.0,J. Teague misses 2-pt jump shot from 12 ft,,12,14
49,1,6:03.0,,Defensive rebound by Team,12,14
50,1,6:03.0,,Oklahoma City full timeout,12,14
51,1,6:03.0,,D. Schröder enters the game for T. Ferguson,12,14
52,1,5:48.0,,R. Westbrook misses 2-pt jump shot from 11 ft,12,14
53,1,5:46.0,Defensive rebound by T. Gibson,,12,14
54,1,5:37.0,G. Dieng misses 2-pt jump shot from 19 ft,,12,14
55,1,5:34.0,,Defensive rebound by S. Adams,12,14
56,1,5:27.0,,Shooting foul by A. Wiggins (drawn by P. George),12,14
57,1,5:27.0,,P. George makes free throw 1 of 2,12,15
58,1,5:27.0,D. Šarić enters the game for T. Gibson,,12,15
59,1,5:27.0,,P. George makes free throw 2 of 2,12,16
60,1,5:23.0,A. Wiggins makes 2-pt jump shot from 13 ft (assist by J. Teague),,14,16
61,1,5:12.0,,Turnover by R. Westbrook (traveling),14,16
62,1,4:58.0,D. Šarić makes 2-pt layup from 1 ft (assist by A. Wiggins),,16,16
63,1,4:43.0,,Turnover by R. Westbrook (bad pass; steal by J. Teague),16,16
64,1,4:41.0,J. Teague makes 2-pt dunk from 1 ft,,18,16
65,1,4:26.0,,R. Westbrook misses 3-pt jump shot from 25 ft,18,16
66,1,4:23.0,Defensive rebound by A. Wiggins,,18,16
67,1,4:17.0,Personal foul by D. Schröder (drawn by A. Wiggins),,18,16
68,1,4:17.0,A. Wiggins makes free throw 1 of 2,,19,16
69,1,4:17.0,A. Tolliver enters the game for J. Okogie,,19,16
70,1,4:17.0,,Oklahoma City full timeout,19,16
71,1,4:17.0,A. Wiggins makes free throw 2 of 2,,20,16
72,1,4:00.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),20,19
73,1,3:35.0,A. Wiggins misses 3-pt jump shot from 26 ft,,20,19
74,1,3:32.0,,Defensive rebound by S. Adams,20,19
75,1,3:28.0,,D. Schröder misses 3-pt jump shot from 25 ft,20,19
76,1,3:23.0,,Offensive rebound by R. Westbrook,20,19
77,1,3:11.0,,D. Schröder misses 3-pt jump shot from 25 ft,20,19
78,1,3:08.0,Defensive rebound by A. Wiggins,,20,19
79,1,2:51.0,G. Dieng misses 2-pt layup from 2 ft,,20,19
80,1,2:47.0,Offensive rebound by D. Šarić,,20,19
81,1,2:47.0,D. Šarić misses 2-pt layup from 1 ft,,20,19
82,1,2:47.0,,Defensive rebound by S. Adams,20,19
83,1,2:43.0,,R. Westbrook makes 2-pt layup from 2 ft,20,21
84,1,2:28.0,J. Teague makes 2-pt jump shot from 8 ft,,22,21
85,1,2:11.0,,P. George misses 3-pt jump shot from 24 ft,22,21
86,1,2:07.0,Defensive rebound by A. Wiggins,,22,21
87,1,1:55.0,Turnover by J. Teague (lost ball; steal by J. Grant),,22,21
88,1,1:52.0,,Turnover by J. Grant (lost ball; steal by G. Dieng),22,21
89,1,1:49.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Teague),,24,21
