,QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,B. Brown misses 2-pt layup from 6 ft (block by N. Bjelica),,0,0
1,1,11:38.0,,Defensive rebound by Team,0,0
2,1,11:26.0,,Turnover by N. Bjelica (3 sec),0,0
3,1,11:11.0,R. Bullock misses 3-pt jump shot from 25 ft,,0,0
4,1,11:09.0,,Defensive rebound by W. Cauley-Stein,0,0
5,1,11:00.0,,B. Hield makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),0,2
6,1,10:43.0,B. Brown misses 3-pt jump shot from 23 ft,,0,2
7,1,10:39.0,,Defensive rebound by I. Shumpert,0,2
8,1,10:31.0,,I. Shumpert misses 2-pt jump shot from 21 ft,0,2
9,1,10:28.0,Defensive rebound by A. Drummond,,0,2
10,1,10:17.0,Turnover by L. Kennard (back court),,0,2
11,1,10:07.0,,D. Fox makes 3-pt jump shot from 25 ft,0,5
12,1,9:45.0,B. Brown makes 2-pt jump shot from 7 ft (assist by R. Bullock),,2,5
13,1,9:25.0,,Turnover by B. Hield (lost ball; steal by B. Brown),2,5
14,1,9:23.0,R. Bullock misses 2-pt layup from 3 ft (block by D. Fox),,2,5
15,1,9:20.0,,Defensive rebound by W. Cauley-Stein,2,5
16,1,9:18.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by N. Bjelica),2,8
17,1,9:16.0,Detroit full timeout,,2,8
18,1,8:50.0,A. Drummond misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,2,8
19,1,8:47.0,,Defensive rebound by N. Bjelica,2,8
20,1,8:43.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),2,10
21,1,8:28.0,L. Kennard misses 3-pt jump shot from 25 ft,,2,10
22,1,8:26.0,,Defensive rebound by N. Bjelica,2,10
23,1,8:19.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by D. Fox),2,13
24,1,7:57.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by R. Bullock),,5,13
25,1,7:43.0,,Turnover by N. Bjelica (bad pass),5,13
26,1,7:20.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Kennard),,8,13
27,1,7:14.0,,Shooting foul by B. Brown (drawn by D. Fox),8,13
28,1,7:14.0,,D. Fox misses free throw 1 of 2,8,13
29,1,7:14.0,,Offensive rebound by Team,8,13
30,1,7:14.0,,D. Fox makes free throw 2 of 2,8,14
31,1,6:56.0,B. Brown misses 3-pt jump shot from 25 ft,,8,14
32,1,6:52.0,,Defensive rebound by D. Fox,8,14
33,1,6:51.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),8,16
34,1,6:39.0,Turnover by A. Drummond (out of bounds lost ball),,8,16
35,1,6:35.0,,Turnover by D. Fox (bad pass; steal by L. Kennard),8,16
36,1,6:21.0,R. Jackson makes 2-pt layup from 2 ft (assist by A. Drummond),,10,16
37,1,6:05.0,,N. Bjelica misses 2-pt hook shot from 11 ft (block by B. Brown),10,16
38,1,6:02.0,,Offensive rebound by W. Cauley-Stein,10,16
39,1,5:58.0,,B. Hield misses 3-pt jump shot from 25 ft,10,16
40,1,5:56.0,Defensive rebound by A. Drummond,,10,16
41,1,5:41.0,Turnover by A. Drummond (bad pass),,10,16
42,1,5:41.0,L. Galloway enters the game for B. Brown,,10,16
43,1,5:41.0,,B. Bogdanović enters the game for I. Shumpert,10,16
44,1,5:25.0,,W. Cauley-Stein misses 2-pt hook shot from 8 ft,10,16
45,1,5:22.0,Defensive rebound by R. Jackson,,10,16
46,1,5:17.0,R. Bullock misses 3-pt jump shot from 25 ft,,10,16
47,1,5:13.0,,Defensive rebound by D. Fox,10,16
48,1,5:09.0,,D. Fox makes 2-pt layup from 2 ft,10,18
49,1,4:58.0,L. Kennard misses 3-pt jump shot from 25 ft,,10,18
50,1,4:55.0,,Defensive rebound by W. Cauley-Stein,10,18
51,1,4:50.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft (block by A. Drummond),10,18
52,1,4:47.0,Defensive rebound by A. Drummond,,10,18
53,1,4:31.0,Personal foul by D. Fox (drawn by A. Drummond),,10,18
54,1,4:31.0,S. Johnson enters the game for L. Kennard,,10,18
55,1,4:31.0,,M. Bagley enters the game for N. Bjelica,10,18
56,1,4:31.0,,H. Giles enters the game for W. Cauley-Stein,10,18
57,1,4:22.0,R. Jackson misses 3-pt jump shot from 27 ft,,10,18
58,1,4:18.0,,Defensive rebound by M. Bagley,10,18
59,1,4:10.0,,B. Hield makes 2-pt jump shot from 15 ft,10,20
60,1,3:49.0,R. Jackson makes 2-pt dunk from 1 ft (assist by R. Bullock),,12,20
61,1,3:40.0,,D. Fox makes 2-pt jump shot from 13 ft,12,22
62,1,3:19.0,Personal take foul by D. Fox (drawn by L. Galloway),,12,22
63,1,3:19.0,,Y. Ferrell enters the game for D. Fox,12,22
64,1,3:08.0,Turnover by A. Drummond (bad pass),,12,22
65,1,2:58.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,12,22
66,1,2:49.0,,Offensive rebound by H. Giles,12,22
67,1,2:49.0,,H. Giles makes 2-pt layup at rim,12,24
68,1,2:36.0,A. Drummond makes 2-pt layup from 2 ft,,14,24
69,1,2:36.0,Shooting foul by B. Hield (drawn by A. Drummond),,14,24
70,1,2:36.0,,Sacramento full timeout,14,24
71,1,2:36.0,J. Calderón enters the game for R. Jackson,,14,24
72,1,2:36.0,,J. Jackson enters the game for B. Hield,14,24
73,1,2:36.0,A. Drummond misses free throw 1 of 1,,14,24
74,1,2:33.0,Offensive rebound by R. Bullock,,14,24
75,1,2:21.0,L. Galloway misses 3-pt jump shot from 26 ft,,14,24
76,1,2:18.0,,Defensive rebound by J. Jackson,14,24
