,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,T. Ferguson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,3,0
1,1,11:21.0,,D. DeRozan misses 2-pt jump shot from 14 ft,3,0
2,1,11:19.0,Defensive rebound by R. Westbrook,,3,0
3,1,11:06.0,T. Ferguson misses 3-pt jump shot from 23 ft,,3,0
4,1,11:04.0,,Defensive rebound by Team,3,0
5,1,11:04.0,Loose ball foul by S. Adams (drawn by L. Aldridge),,3,0
6,1,10:43.0,,D. White makes 2-pt jump shot from 11 ft (assist by P. Gasol),3,2
7,1,10:23.0,R. Westbrook makes 2-pt jump shot from 16 ft (assist by S. Adams),,5,2
8,1,10:12.0,,L. Aldridge misses 2-pt jump shot from 19 ft,5,2
9,1,10:09.0,Defensive rebound by J. Grant,,5,2
10,1,10:03.0,S. Adams makes 2-pt hook shot from 10 ft (assist by R. Westbrook),,7,2
11,1,9:52.0,,B. Forbes misses 2-pt jump shot from 23 ft,7,2
12,1,9:49.0,Defensive rebound by J. Grant,,7,2
13,1,9:45.0,Shooting foul by D. White (drawn by R. Westbrook),,7,2
14,1,9:45.0,R. Westbrook misses free throw 1 of 2,,7,2
15,1,9:45.0,Offensive rebound by Team,,7,2
16,1,9:45.0,R. Westbrook makes free throw 2 of 2,,8,2
17,1,9:24.0,,Turnover by B. Forbes (bad pass),8,2
18,1,9:16.0,P. George misses 3-pt jump shot from 26 ft,,8,2
19,1,9:14.0,,Defensive rebound by P. Gasol,8,2
20,1,9:07.0,,D. DeRozan misses 2-pt layup from 10 ft,8,2
21,1,9:05.0,,Offensive rebound by L. Aldridge,8,2
22,1,9:03.0,,L. Aldridge misses 2-pt layup from 2 ft,8,2
23,1,9:01.0,Defensive rebound by S. Adams,,8,2
24,1,8:47.0,S. Adams misses 2-pt layup from 2 ft (block by L. Aldridge),,8,2
25,1,8:47.0,Offensive rebound by Team,,8,2
26,1,8:42.0,P. George makes 2-pt jump shot from 23 ft,,10,2
27,1,8:17.0,,D. DeRozan misses 2-pt jump shot from 14 ft,10,2
28,1,8:15.0,Defensive rebound by T. Ferguson,,10,2
29,1,8:08.0,S. Adams misses 2-pt hook shot from 7 ft,,10,2
30,1,8:08.0,,Defensive rebound by P. Gasol,10,2
