,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:44.0,,Turnover by R. Bullock (lost ball; steal by I. Shumpert),0,0
1,1,11:39.0,B. Hield makes 2-pt layup from 2 ft (assist by I. Shumpert),,2,0
2,1,11:21.0,,B. Griffin makes 2-pt layup from 1 ft,2,2
3,1,11:08.0,N. Bjelica misses 3-pt jump shot from 27 ft,,2,2
4,1,11:05.0,,Defensive rebound by B. Brown,2,2
5,1,10:59.0,,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),2,2
6,1,10:59.0,,B. Griffin makes free throw 1 of 2,2,3
7,1,10:59.0,,B. Griffin misses free throw 2 of 2,2,3
8,1,10:57.0,Defensive rebound by I. Shumpert,,2,3
9,1,10:45.0,N. Bjelica misses 3-pt jump shot from 26 ft,,2,3
10,1,10:44.0,,Defensive rebound by B. Brown,2,3
11,1,10:44.0,Loose ball foul by W. Cauley-Stein (drawn by Z. Pachulia),,2,3
12,1,10:26.0,,R. Bullock misses 3-pt jump shot from 27 ft,2,3
13,1,10:23.0,,Offensive rebound by Z. Pachulia,2,3
14,1,10:19.0,,Shooting foul by N. Bjelica (drawn by B. Griffin),2,3
15,1,10:19.0,,B. Griffin misses free throw 1 of 2,2,3
16,1,10:19.0,,Offensive rebound by Team,2,3
17,1,10:19.0,H. Giles enters the game for W. Cauley-Stein,,2,3
18,1,10:19.0,,B. Griffin makes free throw 2 of 2,2,4
19,1,10:04.0,D. Fox misses 3-pt jump shot from 25 ft,,2,4
20,1,10:00.0,,Defensive rebound by Z. Pachulia,2,4
21,1,9:53.0,,B. Griffin misses 3-pt jump shot from 24 ft,2,4
22,1,9:49.0,Defensive rebound by D. Fox,,2,4
23,1,9:40.0,I. Shumpert makes 2-pt jump shot from 21 ft (assist by H. Giles),,4,4
24,1,9:18.0,,B. Brown misses 2-pt layup from 3 ft,4,4
25,1,9:17.0,Defensive rebound by H. Giles,,4,4
26,1,8:58.0,D. Fox misses 2-pt jump shot from 12 ft,,4,4
27,1,8:58.0,,Defensive rebound by B. Brown,4,4
28,1,8:58.0,,Technical foul by,4,4
29,1,8:58.0,,R. Jackson makes technical free throw,4,5
30,1,8:40.0,,R. Bullock misses 2-pt jump shot from 16 ft,4,5
