,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
0,1,11:44.0,,Violation by Team (kicked ball),0,0
1,1,11:36.0,J. Green misses 3-pt jump shot from 26 ft,,0,0
2,1,11:32.0,,Defensive rebound by S. Ibaka,0,0
3,1,11:18.0,,K. Lowry misses 2-pt jump shot from 17 ft,0,0
4,1,11:16.0,Defensive rebound by J. Green,,0,0
5,1,11:02.0,G. Temple misses 2-pt jump shot from 18 ft,,0,0
6,1,10:58.0,,Defensive rebound by D. Green,0,0
7,1,10:41.0,,S. Ibaka misses 2-pt jump shot from 15 ft,0,0
8,1,10:39.0,Defensive rebound by J. Green,,0,0
9,1,10:26.0,J. Green misses 2-pt dunk from 1 ft,,0,0
10,1,10:23.0,Offensive rebound by J. Green,,0,0
11,1,10:21.0,J. Green misses 3-pt jump shot from 26 ft,,0,0
12,1,10:18.0,,Defensive rebound by D. Green,0,0
13,1,10:08.0,,S. Ibaka makes 2-pt layup from 1 ft,0,2
14,1,9:49.0,M. Conley misses 2-pt jump shot from 6 ft (block by D. Green),,0,2
15,1,9:47.0,,Defensive rebound by P. Siakam,0,2
16,1,9:44.0,,P. Siakam misses 2-pt jump shot from 6 ft,0,2
17,1,9:41.0,Defensive rebound by J. Holiday,,0,2
18,1,9:32.0,Personal foul by D. Green (drawn by G. Temple),,0,2
19,1,9:25.0,J. Holiday misses 3-pt jump shot from 26 ft,,0,2
20,1,9:21.0,,Defensive rebound by D. Green,0,2
21,1,9:11.0,,K. Lowry makes 2-pt jump shot from 22 ft,0,4
22,1,8:49.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,3,4
23,1,8:33.0,,S. Ibaka misses 2-pt jump shot from 7 ft,3,4
24,1,8:31.0,Defensive rebound by J. Jackson,,3,4
25,1,8:19.0,J. Green misses 2-pt jump shot from 14 ft,,3,4
26,1,8:16.0,,Defensive rebound by K. Lowry,3,4
27,1,8:11.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by P. Siakam),3,6
28,1,7:51.0,Turnover by J. Holiday (bad pass),,3,6
29,1,7:39.0,,D. Green misses 3-pt jump shot from 23 ft,3,6
30,1,7:37.0,Defensive rebound by J. Jackson,,3,6
31,1,7:27.0,J. Holiday misses 3-pt jump shot from 25 ft,,3,6
32,1,7:24.0,,Defensive rebound by P. Siakam,3,6
33,1,7:01.0,,F. VanVleet misses 2-pt jump shot from 17 ft,3,6
34,1,7:01.0,,Offensive rebound by Team,3,6
35,1,7:01.0,,Turnover by Team (shot clock),3,6
36,1,7:01.0,O. Casspi enters the game for J. Green,,3,6
37,1,6:37.0,J. Jackson makes 2-pt hook shot from 10 ft,,5,6
38,1,6:21.0,,K. Lowry misses 2-pt jump shot from 21 ft,5,6
39,1,6:19.0,,Offensive rebound by S. Ibaka,5,6
40,1,6:19.0,,S. Ibaka makes 2-pt hook shot from 2 ft,5,8
41,1,5:55.0,J. Jackson makes 2-pt hook shot from 3 ft,,7,8
42,1,5:47.0,,P. Siakam misses 2-pt layup from 2 ft,7,8
43,1,5:46.0,Defensive rebound by M. Conley,,7,8
44,1,5:42.0,G. Temple misses 2-pt layup from 2 ft (block by K. Lowry),,7,8
45,1,5:39.0,,Defensive rebound by D. Green,7,8
46,1,5:37.0,,P. Siakam makes 2-pt layup from 1 ft (assist by D. Green),7,10
47,1,5:37.0,Memphis full timeout,,7,10
48,1,5:37.0,S. Mack enters the game for G. Temple,,7,10
49,1,5:23.0,Shooting foul by P. Siakam (drawn by O. Casspi),,7,10
50,1,5:23.0,O. Casspi makes free throw 1 of 2,,8,10
51,1,5:23.0,O. Casspi makes free throw 2 of 2,,9,10
52,1,5:13.0,,K. Lowry misses 3-pt jump shot from 26 ft,9,10
53,1,5:08.0,Defensive rebound by J. Jackson,,9,10
54,1,5:05.0,Turnover by J. Holiday (bad pass; steal by D. Green),,9,10
55,1,5:02.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by D. Green),9,12
56,1,4:38.0,M. Conley misses 3-pt jump shot from 25 ft,,9,12
57,1,4:34.0,Offensive rebound by S. Mack,,9,12
58,1,4:33.0,S. Mack misses 2-pt jump shot from 5 ft,,9,12
59,1,4:30.0,Offensive rebound by Team,,9,12
60,1,4:30.0,J. Green enters the game for M. Conley,,9,12
61,1,4:30.0,I. Rabb enters the game for J. Jackson,,9,12
62,1,4:30.0,,N. Powell enters the game for K. Lowry,9,12
63,1,4:14.0,S. Mack makes 3-pt jump shot from 25 ft,,12,12
64,1,3:53.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Green),12,14
65,1,3:38.0,I. Rabb makes 2-pt hook shot from 4 ft (assist by O. Casspi),,14,14
66,1,3:23.0,,P. Siakam misses 3-pt jump shot from 26 ft,14,14
67,1,3:23.0,Defensive rebound by Team,,14,14
68,1,3:12.0,Turnover by J. Holiday (bad pass; steal by D. Green),,14,14
69,1,3:07.0,,N. Powell misses 2-pt layup from 1 ft,14,14
70,1,3:05.0,,Offensive rebound by Team,14,14
71,1,3:05.0,,Toronto full timeout,14,14
72,1,3:05.0,J. Carter enters the game for J. Holiday,,14,14
73,1,3:05.0,,D. Wright enters the game for D. Green,14,14
74,1,2:57.0,,Personal foul by I. Rabb (drawn by S. Ibaka),14,14
75,1,2:48.0,,F. VanVleet misses 3-pt jump shot from 26 ft,14,14
76,1,2:45.0,Defensive rebound by J. Green,,14,14
77,1,2:28.0,O. Casspi misses 2-pt jump shot from 3 ft (block by S. Ibaka),,14,14
78,1,2:26.0,Offensive rebound by I. Rabb,,14,14
79,1,2:23.0,J. Carter makes 3-pt jump shot from 26 ft (assist by J. Green),,17,14
80,1,2:08.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by N. Powell),17,16
81,1,1:53.0,Turnover by I. Rabb (bad pass; steal by N. Powell),,17,16
82,1,1:41.0,,P. Siakam makes 2-pt layup from 3 ft,17,18
83,1,1:25.0,J. Carter misses 3-pt jump shot from 26 ft,,17,18
84,1,1:23.0,,Defensive rebound by P. Siakam,17,18
85,1,1:14.0,,Shooting foul by J. Green (drawn by D. Wright),17,18
86,1,1:14.0,,D. Wright makes free throw 1 of 2,17,19
87,1,1:14.0,,K. Lowry enters the game for S. Ibaka,17,19
88,1,1:14.0,,C. Miles enters the game for P. Siakam,17,19
89,1,1:14.0,,G. Monroe enters the game for F. VanVleet,17,19
90,1,1:14.0,,D. Wright makes free throw 2 of 2,17,20
91,1,0:57.0,Turnover by J. Green (bad pass; steal by C. Miles),,17,20
92,1,0:45.0,,C. Miles makes 2-pt layup from 2 ft (assist by G. Monroe),17,22
93,1,0:45.0,,Shooting foul by J. Green (drawn by C. Miles),17,22
94,1,0:45.0,M. Conley enters the game for J. Carter,,17,22
95,1,0:45.0,G. Temple enters the game for J. Green,,17,22
96,1,0:45.0,,C. Miles makes free throw 1 of 1,17,23
97,1,0:29.0,O. Casspi makes 2-pt layup from 1 ft (assist by M. Conley),,19,23
98,1,0:05.0,,Turnover by G. Monroe (lost ball; steal by M. Conley),19,23
99,1,0:00.0,O. Casspi misses 3-pt jump shot from 26 ft,,19,23
100,1,0:00.0,Offensive rebound by Team,,19,23
101,2,11:38.0,,Turnover by C. Miles (bad pass; steal by O. Casspi),19,23
102,2,11:29.0,Turnover by M. Conley (bad pass; steal by D. Wright),,19,23
103,2,11:25.0,,D. Wright misses 2-pt jump shot from 3 ft,19,23
104,2,11:22.0,Defensive rebound by I. Rabb,,19,23
105,2,11:03.0,M. Conley misses 2-pt jump shot from 19 ft,,19,23
106,2,11:02.0,Offensive rebound by Team,,19,23
107,2,11:02.0,,Loose ball foul by G. Monroe (drawn by I. Rabb),19,23
108,2,10:52.0,Turnover by M. Conley (bad pass; steal by C. Miles),,19,23
109,2,10:46.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by K. Lowry),19,26
110,2,10:33.0,M. Conley makes 2-pt jump shot from 8 ft,,21,26
111,2,10:27.0,,C. Miles misses 2-pt jump shot from 10 ft,21,26
112,2,10:24.0,Defensive rebound by I. Rabb,,21,26
113,2,10:12.0,O. Casspi misses 2-pt hook shot from 5 ft,,21,26
114,2,10:11.0,,Defensive rebound by Team,21,26
115,2,9:58.0,,C. Miles misses 3-pt jump shot from 25 ft,21,26
116,2,9:55.0,Defensive rebound by G. Temple,,21,26
117,2,9:43.0,I. Rabb makes 2-pt layup from 1 ft,,23,26
118,2,9:43.0,Shooting foul by G. Monroe (drawn by I. Rabb),,23,26
119,2,9:43.0,I. Rabb misses free throw 1 of 1,,23,26
120,2,9:41.0,,Defensive rebound by D. Wright,23,26
121,2,9:37.0,,N. Powell makes 2-pt layup from 1 ft (assist by D. Wright),23,28
122,2,9:18.0,Turnover by G. Temple (bad pass; steal by N. Powell),,23,28
123,2,9:17.0,,Personal foul by J. Carter (drawn by K. Lowry),23,28
124,2,9:17.0,J. Holiday enters the game for O. Casspi,,23,28
125,2,9:17.0,J. Jackson enters the game for I. Rabb,,23,28
126,2,8:58.0,,C. Miles misses 3-pt jump shot from 23 ft,23,28
127,2,8:55.0,Defensive rebound by J. Holiday,,23,28
128,2,8:44.0,Shooting foul by N. Powell (drawn by J. Jackson),,23,28
129,2,8:44.0,J. Jackson makes free throw 1 of 2,,24,28
130,2,8:44.0,J. Jackson makes free throw 2 of 2,,25,28
131,2,8:28.0,,Shooting foul by J. Jackson (drawn by K. Lowry),25,28
132,2,8:28.0,,K. Lowry makes free throw 1 of 2,25,29
133,2,8:28.0,,K. Lowry makes free throw 2 of 2,25,30
134,2,8:11.0,G. Temple makes 2-pt layup from 1 ft,,27,30
135,2,8:01.0,Violation by Team (kicked ball),,27,30
136,2,8:01.0,,P. McCaw enters the game for N. Powell,27,30
137,2,7:55.0,,D. Wright misses 2-pt layup from 2 ft,27,30
138,2,7:52.0,Defensive rebound by J. Holiday,,27,30
139,2,7:49.0,J. Carter makes 3-pt jump shot from 26 ft (assist by M. Conley),,30,30
140,2,7:34.0,,G. Monroe misses 2-pt layup from 1 ft,30,30
141,2,7:32.0,Defensive rebound by M. Conley,,30,30
142,2,7:31.0,Personal take foul by D. Wright (drawn by M. Conley),,30,30
143,2,7:31.0,S. Mack enters the game for M. Conley,,30,30
144,2,7:25.0,J. Holiday misses 2-pt jump shot from 15 ft,,30,30
145,2,7:23.0,,Defensive rebound by K. Lowry,30,30
146,2,7:19.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by K. Lowry),30,33
147,2,7:10.0,S. Mack makes 2-pt layup from 1 ft (assist by J. Carter),,32,33
148,2,7:00.0,,C. Miles makes 2-pt jump shot from 7 ft (assist by K. Lowry),32,35
149,2,7:00.0,,Shooting foul by J. Holiday (drawn by C. Miles),32,35
150,2,7:00.0,,P. Siakam enters the game for G. Monroe,32,35
151,2,7:00.0,,C. Miles misses free throw 1 of 1,32,35
152,2,6:58.0,Defensive rebound by J. Holiday,,32,35
153,2,6:31.0,Turnover by J. Jackson (lost ball; steal by C. Miles),,32,35
154,2,6:28.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. McCaw),32,38
