,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Bayless),0,2
1,1,11:25.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by M. Morris),,2,2
2,1,11:08.0,,K. Towns misses 3-pt jump shot from 25 ft,2,2
3,1,11:05.0,Defensive rebound by N. Jokić,,2,2
4,1,10:59.0,W. Barton misses 3-pt jump shot from 26 ft,,2,2
5,1,10:56.0,,Defensive rebound by K. Towns,2,2
6,1,10:44.0,,A. Wiggins makes 2-pt jump shot from 14 ft,2,4
7,1,10:26.0,N. Jokić misses 2-pt layup from 4 ft,,2,4
8,1,10:22.0,,Defensive rebound by J. Okogie,2,4
9,1,10:12.0,,K. Towns makes 2-pt layup from 3 ft (assist by J. Bayless),2,6
10,1,10:02.0,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),,4,6
11,1,9:45.0,,A. Wiggins misses 3-pt jump shot from 25 ft,4,6
12,1,9:43.0,Defensive rebound by N. Jokić,,4,6
13,1,9:25.0,W. Barton makes 3-pt jump shot from 28 ft (assist by N. Jokić),,7,6
14,1,9:03.0,,K. Towns misses 2-pt layup from 2 ft,7,6
15,1,9:01.0,Defensive rebound by P. Millsap,,7,6
16,1,8:55.0,W. Barton makes 2-pt jump shot from 9 ft (assist by M. Morris),,9,6
17,1,8:38.0,,T. Gibson makes 2-pt layup from 3 ft (assist by A. Wiggins),9,8
18,1,8:25.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,12,8
19,1,8:08.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Bayless),12,11
20,1,7:47.0,M. Beasley misses 3-pt jump shot from 23 ft,,12,11
21,1,7:47.0,,Defensive rebound by K. Towns,12,11
22,1,7:35.0,,A. Wiggins misses 3-pt jump shot from 25 ft,12,11
23,1,7:32.0,Defensive rebound by M. Morris,,12,11
24,1,7:29.0,M. Beasley makes 2-pt layup at rim (assist by P. Millsap),,14,11
25,1,7:12.0,,K. Towns makes 2-pt jump shot from 5 ft,14,13
26,1,7:00.0,W. Barton misses 2-pt jump shot from 17 ft,,14,13
27,1,6:57.0,Offensive rebound by N. Jokić,,14,13
28,1,6:56.0,N. Jokić makes 2-pt layup from 2 ft,,16,13
29,1,6:48.0,,T. Gibson misses 2-pt jump shot from 17 ft,16,13
30,1,6:45.0,Defensive rebound by W. Barton,,16,13
31,1,6:41.0,W. Barton misses 2-pt jump shot from 19 ft,,16,13
32,1,6:38.0,Offensive rebound by N. Jokić,,16,13
33,1,6:38.0,Shooting foul by T. Gibson (drawn by N. Jokić),,16,13
34,1,6:38.0,,Minnesota full timeout,16,13
35,1,6:38.0,N. Jokić makes free throw 1 of 2,,17,13
36,1,6:38.0,N. Jokić misses free throw 2 of 2,,17,13
37,1,6:36.0,,Defensive rebound by T. Gibson,17,13
38,1,6:16.0,,J. Bayless makes 2-pt jump shot from 18 ft,17,15
39,1,5:57.0,W. Barton misses 3-pt jump shot from 26 ft,,17,15
40,1,5:54.0,,Defensive rebound by K. Towns,17,15
41,1,5:50.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Bayless),17,17
42,1,5:36.0,Personal foul by J. Bayless (drawn by M. Morris),,17,17
43,1,5:36.0,T. Craig enters the game for P. Millsap,,17,17
44,1,5:36.0,M. Plumlee enters the game for M. Morris,,17,17
