,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CLEVELAND_ACTION,PORTLAND_SCORE,CLEVELAND_SCORE
0,1,11:39.0,J. Nurkić misses 2-pt hook shot from 10 ft,,0,0
1,1,11:37.0,,Defensive rebound by K. Love,0,0
2,1,11:20.0,,K. Love misses 2-pt jump shot from 10 ft,0,0
3,1,11:18.0,Defensive rebound by J. Nurkić,,0,0
4,1,11:14.0,,Violation by Team (kicked ball),0,0
5,1,11:08.0,Personal foul by C. Sexton (drawn by M. Harkless),,0,0
6,1,10:58.0,M. Harkless makes 2-pt jump shot from 8 ft,,2,0
7,1,10:42.0,,C. Osman misses 2-pt jump shot from 15 ft,2,0
8,1,10:40.0,Defensive rebound by C. McCollum,,2,0
9,1,10:32.0,J. Nurkić misses 2-pt layup from 2 ft,,2,0
10,1,10:30.0,,Defensive rebound by K. Love,2,0
11,1,10:27.0,,B. Knight misses 3-pt jump shot from 26 ft,2,0
12,1,10:25.0,Defensive rebound by M. Harkless,,2,0
13,1,10:06.0,D. Lillard makes 2-pt jump shot from 5 ft,,4,0
14,1,9:52.0,,C. Sexton misses 2-pt layup from 3 ft (block by D. Lillard),4,0
15,1,9:52.0,,Offensive rebound by Team,4,0
16,1,9:44.0,,Personal foul by M. Harkless (drawn by K. Love),4,0
17,1,9:39.0,,Offensive foul by C. Sexton (drawn by D. Lillard),4,0
18,1,9:39.0,,Turnover by C. Sexton (offensive foul),4,0
19,1,9:26.0,C. McCollum makes 2-pt jump shot from 6 ft (assist by J. Nurkić),,6,0
20,1,9:20.0,,Personal foul by D. Lillard (drawn by C. Sexton),6,0
21,1,9:03.0,,Turnover by K. Love (lost ball; steal by M. Harkless),6,0
22,1,8:57.0,C. McCollum makes 2-pt layup from 1 ft,,8,0
23,1,8:57.0,,Cleveland full timeout,8,0
24,1,8:45.0,,K. Love misses 2-pt jump shot from 10 ft (block by A. Aminu),8,0
25,1,8:42.0,Defensive rebound by A. Aminu,,8,0
26,1,8:39.0,Turnover by D. Lillard (bad pass),,8,0
27,1,8:24.0,,Turnover by K. Love (bad pass; steal by C. McCollum),8,0
28,1,8:19.0,C. McCollum makes 3-pt jump shot from 27 ft (assist by D. Lillard),,11,0
29,1,8:02.0,,C. Sexton misses 3-pt jump shot from 25 ft,11,0
30,1,8:00.0,Defensive rebound by C. McCollum,,11,0
31,1,7:57.0,C. McCollum makes 3-pt jump shot from 27 ft,,14,0
32,1,7:38.0,,K. Love misses 3-pt jump shot from 29 ft,14,0
33,1,7:35.0,Defensive rebound by J. Nurkić,,14,0
34,1,7:26.0,C. McCollum misses 2-pt jump shot from 14 ft,,14,0
35,1,7:24.0,,Defensive rebound by K. Love,14,0
36,1,7:12.0,,K. Love misses 2-pt layup from 1 ft,14,0
37,1,7:10.0,Defensive rebound by C. McCollum,,14,0
38,1,7:03.0,Offensive foul by J. Nurkić (drawn by B. Knight),,14,0
39,1,7:03.0,Turnover by J. Nurkić (offensive foul),,14,0
40,1,7:03.0,,J. Clarkson enters the game for B. Knight,14,0
41,1,7:03.0,,M. Dellavedova enters the game for C. Sexton,14,0
42,1,6:52.0,,K. Love makes 2-pt jump shot from 23 ft (assist by M. Dellavedova),14,2
43,1,6:34.0,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),,16,2
44,1,6:16.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),16,5
45,1,5:59.0,A. Aminu makes 2-pt dunk at rim (assist by J. Nurkić),,18,5
46,1,5:41.0,,A. Žižić misses 2-pt jump shot from 14 ft,18,5
47,1,5:39.0,Defensive rebound by J. Nurkić,,18,5
48,1,5:31.0,M. Harkless misses 2-pt layup from 1 ft,,18,5
49,1,5:27.0,Offensive rebound by M. Harkless,,18,5
50,1,5:27.0,M. Harkless makes 2-pt layup from 1 ft,,20,5
51,1,5:13.0,,J. Clarkson makes 2-pt jump shot from 12 ft (assist by M. Dellavedova),20,7
52,1,4:56.0,D. Lillard misses 2-pt jump shot from 14 ft,,20,7
53,1,4:53.0,,Defensive rebound by M. Dellavedova,20,7
54,1,4:37.0,,J. Clarkson makes 2-pt jump shot from 8 ft,20,9
55,1,4:25.0,Offensive foul by C. McCollum (drawn by M. Dellavedova),,20,9
56,1,4:25.0,Turnover by C. McCollum (offensive foul),,20,9
57,1,4:25.0,Z. Collins enters the game for A. Aminu,,20,9
58,1,4:25.0,E. Freedom enters the game for J. Nurkić,,20,9
59,1,4:25.0,,M. Chriss enters the game for K. Love,20,9
60,1,4:25.0,,L. Nance enters the game for A. Žižić,20,9
61,1,4:14.0,,M. Dellavedova makes 2-pt jump shot from 6 ft,20,11
62,1,3:57.0,Turnover by Z. Collins (out of bounds lost ball),,20,11
63,1,3:57.0,R. Hood enters the game for M. Harkless,,20,11
64,1,3:40.0,,L. Nance misses 2-pt jump shot from 10 ft,20,11
65,1,3:38.0,Defensive rebound by Z. Collins,,20,11
66,1,3:32.0,Shooting foul by M. Chriss (drawn by C. McCollum),,20,11
67,1,3:32.0,C. McCollum makes free throw 1 of 2,,21,11
68,1,3:32.0,,D. Nwaba enters the game for C. Osman,21,11
69,1,3:32.0,C. McCollum makes free throw 2 of 2,,22,11
70,1,3:12.0,,J. Clarkson misses 3-pt jump shot from 26 ft,22,11
71,1,3:10.0,Defensive rebound by D. Lillard,,22,11
72,1,3:03.0,D. Lillard makes 3-pt jump shot from 24 ft,,25,11
73,1,2:52.0,,Turnover by M. Dellavedova (bad pass),25,11
74,1,2:52.0,Portland full timeout,,25,11
75,1,2:52.0,J. Layman enters the game for C. McCollum,,25,11
76,1,2:37.0,R. Hood misses 2-pt jump shot from 11 ft,,25,11
77,1,2:35.0,,Defensive rebound by L. Nance,25,11
78,1,2:19.0,,L. Nance makes 2-pt hook shot from 9 ft (assist by D. Nwaba),25,13
79,1,2:09.0,Turnover by D. Lillard (bad pass; steal by L. Nance),,25,13
80,1,2:04.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),25,15
81,1,1:50.0,Personal foul by D. Nwaba (drawn by J. Layman),,25,15
82,1,1:46.0,Personal foul by M. Chriss (drawn by D. Lillard),,25,15
83,1,1:46.0,D. Lillard makes free throw 1 of 2,,26,15
84,1,1:46.0,D. Lillard makes free throw 2 of 2,,27,15
85,1,1:25.0,,Turnover by J. Clarkson (lost ball; steal by R. Hood),27,15
86,1,1:16.0,R. Hood makes 2-pt jump shot from 12 ft,,29,15
87,1,0:55.0,,M. Chriss makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),29,18
88,1,0:35.0,D. Lillard misses 3-pt jump shot from 34 ft,,29,18
89,1,0:32.0,,Defensive rebound by L. Nance,29,18
90,1,0:14.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by Z. Collins),29,18
91,1,0:11.0,Defensive rebound by J. Layman,,29,18
92,1,0:00.0,J. Layman misses 3-pt jump shot from 24 ft,,29,18
93,1,0:00.0,,Defensive rebound by Team,29,18
94,2,11:34.0,,J. Clarkson misses 2-pt jump shot from 21 ft,29,18
95,2,11:32.0,Defensive rebound by Z. Collins,,29,18
96,2,11:19.0,Z. Collins makes 2-pt layup from 2 ft (assist by E. Freedom),,31,18
97,2,10:51.0,,Turnover by Team (shot clock),31,18
