,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:52.0,,B. Simmons misses 2-pt layup from 1 ft,0,0
1,1,11:51.0,Defensive rebound by D. Green,,0,0
2,1,11:37.0,D. Cousins misses 2-pt jump shot from 12 ft,,0,0
3,1,11:33.0,,Defensive rebound by T. Harris,0,0
4,1,11:25.0,,J. Bolden makes 2-pt layup at rim (assist by J. Redick),0,2
5,1,11:25.0,,Shooting foul by A. McKinnie (drawn by J. Bolden),0,2
6,1,11:25.0,,J. Bolden makes free throw 1 of 1,0,3
7,1,11:10.0,S. Curry misses 2-pt jump shot from 17 ft,,0,3
8,1,11:06.0,,Defensive rebound by B. Simmons,0,3
9,1,10:59.0,,Turnover by B. Simmons (bad pass; steal by D. Cousins),0,3
10,1,10:50.0,K. Durant misses 3-pt jump shot from 28 ft,,0,3
11,1,10:46.0,,Defensive rebound by J. Butler,0,3
12,1,10:35.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Butler),0,5
13,1,10:19.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,3,5
14,1,9:57.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Bolden),3,8
15,1,9:46.0,D. Cousins misses 2-pt hook shot from 3 ft (block by J. Bolden),,3,8
16,1,9:43.0,,Defensive rebound by J. Bolden,3,8
17,1,9:38.0,,Turnover by B. Simmons (bad pass; steal by S. Curry),3,8
18,1,9:33.0,S. Curry misses 2-pt jump shot from 7 ft,,3,8
19,1,9:31.0,,Defensive rebound by B. Simmons,3,8
20,1,9:27.0,,T. Harris misses 3-pt jump shot from 27 ft,3,8
21,1,9:24.0,Defensive rebound by S. Curry,,3,8
22,1,9:21.0,Shooting foul by J. Redick (drawn by K. Durant),,3,8
23,1,9:21.0,K. Durant makes free throw 1 of 2,,4,8
24,1,9:21.0,K. Durant makes free throw 2 of 2,,5,8
25,1,9:06.0,,Shooting foul by S. Curry (drawn by J. Redick),5,8
26,1,9:06.0,,J. Redick makes free throw 1 of 2,5,9
27,1,9:06.0,,J. Redick makes free throw 2 of 2,5,10
28,1,8:56.0,Turnover by D. Green (bad pass; steal by B. Simmons),,5,10
29,1,8:51.0,,T. Harris makes 2-pt layup from 1 ft (assist by B. Simmons),5,12
30,1,8:38.0,S. Curry misses 3-pt jump shot from 27 ft,,5,12
31,1,8:35.0,,Defensive rebound by J. Redick,5,12
32,1,8:31.0,,J. Redick misses 3-pt jump shot from 26 ft,5,12
33,1,8:28.0,Defensive rebound by K. Durant,,5,12
34,1,8:06.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),,8,12
35,1,7:59.0,,B. Simmons makes 2-pt layup at rim,8,14
36,1,7:59.0,,Shooting foul by D. Green (drawn by B. Simmons),8,14
37,1,7:59.0,,B. Simmons makes free throw 1 of 1,8,15
38,1,7:47.0,Turnover by K. Durant (traveling),,8,15
39,1,7:29.0,,Turnover by J. Redick (lost ball; steal by S. Curry),8,15
40,1,7:25.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. McKinnie),,10,15
41,1,6:59.0,,T. Harris misses 3-pt jump shot from 25 ft,10,15
42,1,6:55.0,,Offensive rebound by J. Butler,10,15
43,1,6:50.0,,B. Simmons makes 2-pt jump shot from 4 ft (assist by T. Harris),10,17
44,1,6:44.0,Shooting foul by J. Butler (drawn by D. Cousins),,10,17
45,1,6:44.0,,Philadelphia full timeout,10,17
46,1,6:44.0,,M. Scott enters the game for J. Butler,10,17
47,1,6:44.0,D. Cousins makes free throw 1 of 2,,11,17
48,1,6:44.0,D. Cousins makes free throw 2 of 2,,12,17
49,1,6:32.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by B. Simmons),12,19
50,1,6:10.0,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),,15,19
51,1,6:02.0,,B. Simmons makes 2-pt layup from 1 ft,15,21
52,1,6:02.0,,Shooting foul by S. Curry (drawn by B. Simmons),15,21
53,1,6:02.0,,B. Simmons makes free throw 1 of 1,15,22
54,1,5:48.0,Turnover by D. Green (bad pass; steal by M. Scott),,15,22
55,1,5:40.0,,T. Harris misses 2-pt layup from 2 ft,15,22
56,1,5:38.0,Defensive rebound by A. McKinnie,,15,22
57,1,5:30.0,K. Durant makes 2-pt jump shot from 6 ft (assist by S. Curry),,17,22
58,1,5:20.0,,J. Redick misses 3-pt jump shot from 25 ft,17,22
59,1,5:17.0,Defensive rebound by D. Green,,17,22
60,1,5:04.0,D. Cousins makes 2-pt hook shot from 4 ft,,19,22
61,1,4:47.0,,Turnover by T. Harris (out of bounds lost ball),19,22
62,1,4:47.0,J. Bell enters the game for D. Green,,19,22
63,1,4:47.0,D. Lee enters the game for A. McKinnie,,19,22
64,1,4:47.0,Golden State full timeout,,19,22
65,1,4:26.0,K. Durant makes 3-pt jump shot from 26 ft,,22,22
66,1,4:09.0,,Turnover by B. Simmons (bad pass; steal by D. Lee),22,22
