,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:35.0,A. Len makes 3-pt jump shot from 25 ft (assist by K. Huerter),,3,0
1,1,11:12.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,0
2,1,11:07.0,Defensive rebound by K. Bazemore,,3,0
3,1,11:00.0,A. Len misses 2-pt layup from 1 ft,,3,0
4,1,10:58.0,,Defensive rebound by L. Markkanen,3,0
5,1,10:53.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by Z. LaVine),3,3
6,1,10:32.0,A. Len makes 2-pt hook shot from 5 ft (assist by D. Dedmon),,5,3
7,1,10:14.0,,Z. LaVine misses 2-pt jump shot from 21 ft,5,3
8,1,10:11.0,Defensive rebound by A. Len,,5,3
9,1,10:03.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,7,3
10,1,9:45.0,,L. Markkanen misses 2-pt jump shot from 20 ft,7,3
11,1,9:43.0,Defensive rebound by D. Dedmon,,7,3
12,1,9:36.0,A. Len misses 3-pt jump shot from 23 ft,,7,3
13,1,9:32.0,,Defensive rebound by L. Markkanen,7,3
14,1,9:24.0,,K. Dunn misses 2-pt layup from 3 ft (block by A. Len),7,3
15,1,9:22.0,Defensive rebound by K. Bazemore,,7,3
16,1,9:19.0,K. Huerter makes 2-pt dunk at rim (assist by K. Bazemore),,9,3
17,1,9:19.0,,Chicago full timeout,9,3
18,1,9:19.0,,Turnover by T. Luwawu-Cabarrot (inbound),9,3
19,1,9:12.0,K. Bazemore misses 2-pt jump shot from 19 ft,,9,3
20,1,9:08.0,,Defensive rebound by T. Luwawu-Cabarrot,9,3
21,1,8:58.0,,Z. LaVine misses 2-pt layup from 2 ft,9,3
22,1,8:54.0,,Offensive rebound by R. Lopez,9,3
23,1,8:54.0,,R. Lopez makes 2-pt dunk at rim,9,5
