,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:35.0,,R. Jackson misses 2-pt hook shot from 12 ft (block by K. Towns),0,0
1,1,11:31.0,Defensive rebound by A. Wiggins,,0,0
2,1,11:24.0,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Okogie),,2,0
3,1,11:05.0,,B. Griffin misses 2-pt hook shot from 7 ft (block by K. Towns),2,0
4,1,11:02.0,Defensive rebound by J. Okogie,,2,0
5,1,10:54.0,K. Towns misses 2-pt hook shot from 5 ft,,2,0
6,1,10:51.0,,Defensive rebound by W. Ellington,2,0
7,1,10:44.0,,W. Ellington makes 2-pt layup from 3 ft,2,2
8,1,10:42.0,Personal foul by A. Drummond (drawn by J. Teague),,2,2
9,1,10:18.0,J. Teague makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,5,2
10,1,9:57.0,,Turnover by B. Brown (bad pass; steal by A. Wiggins),5,2
11,1,9:51.0,Offensive foul by D. Šarić (drawn by B. Griffin),,5,2
12,1,9:51.0,Turnover by D. Šarić (offensive foul),,5,2
13,1,9:40.0,,B. Griffin misses 2-pt layup from 3 ft,5,2
14,1,9:35.0,Defensive rebound by D. Šarić,,5,2
15,1,9:25.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by K. Towns),,8,2
16,1,9:16.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),8,4
17,1,9:02.0,J. Okogie makes 2-pt layup from 2 ft (assist by J. Teague),,10,4
18,1,9:02.0,Shooting foul by R. Jackson (drawn by J. Okogie),,10,4
19,1,9:02.0,J. Okogie makes free throw 1 of 1,,11,4
20,1,8:59.0,,Detroit full timeout,11,4
21,1,8:45.0,,Turnover by W. Ellington (bad pass; steal by J. Teague),11,4
22,1,8:33.0,Turnover by K. Towns (lost ball; steal by B. Griffin),,11,4
23,1,8:27.0,,R. Jackson misses 3-pt jump shot from 30 ft,11,4
24,1,8:23.0,Defensive rebound by J. Teague,,11,4
25,1,8:19.0,J. Teague misses 2-pt jump shot from 4 ft,,11,4
26,1,8:15.0,,Defensive rebound by A. Drummond,11,4
27,1,8:06.0,,W. Ellington misses 3-pt jump shot from 27 ft,11,4
28,1,8:04.0,Defensive rebound by D. Šarić,,11,4
