,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:41.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,Offensive rebound by C. Capela,,0,0
2,1,11:35.0,Shooting foul by D. Powell (drawn by E. Gordon),,0,0
3,1,11:35.0,E. Gordon makes free throw 1 of 2,,1,0
4,1,11:35.0,E. Gordon misses free throw 2 of 2,,1,0
5,1,11:33.0,,Defensive rebound by L. Dončić,1,0
6,1,11:17.0,,J. Brunson makes 2-pt jump shot from 9 ft (assist by D. Powell),1,2
7,1,11:00.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,3,2
8,1,10:41.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by L. Dončić),3,5
9,1,10:29.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,5,5
10,1,10:13.0,,Offensive foul by D. Finney-Smith (drawn by J. Harden),5,5
11,1,10:13.0,,Turnover by D. Finney-Smith (offensive foul),5,5
12,1,9:58.0,E. Gordon misses 2-pt hook shot from 8 ft,,5,5
13,1,9:56.0,Offensive rebound by C. Capela,,5,5
14,1,9:54.0,Shooting foul by L. Dončić (drawn by C. Capela),,5,5
15,1,9:54.0,C. Capela makes free throw 1 of 2,,6,5
16,1,9:54.0,C. Capela makes free throw 2 of 2,,7,5
17,1,9:40.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,7,5
18,1,9:37.0,Defensive rebound by C. Paul,,7,5
19,1,9:28.0,E. Gordon misses 3-pt jump shot from 27 ft,,7,5
20,1,9:26.0,Offensive rebound by P. Tucker,,7,5
21,1,9:23.0,Turnover by C. Paul (bad pass),,7,5
22,1,9:12.0,,L. Dončić makes 2-pt jump shot from 5 ft,7,7
23,1,8:58.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,9,7
24,1,8:39.0,,Offensive foul by D. Finney-Smith (drawn by P. Tucker),9,7
25,1,8:39.0,,Turnover by D. Finney-Smith (offensive foul),9,7
26,1,8:39.0,,M. Kleber enters the game for D. Finney-Smith,9,7
27,1,8:25.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Capela),,12,7
28,1,8:12.0,,Turnover by L. Dončić (out of bounds lost ball),12,7
29,1,8:01.0,E. Gordon misses 3-pt jump shot from 25 ft,,12,7
30,1,7:58.0,,Defensive rebound by L. Dončić,12,7
31,1,7:49.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),12,10
32,1,7:36.0,C. Paul misses 3-pt jump shot from 24 ft,,12,10
33,1,7:34.0,,Defensive rebound by J. Brunson,12,10
34,1,7:22.0,,Turnover by J. Brunson (bad pass; steal by C. Capela),12,10
35,1,7:18.0,J. Harden makes 2-pt layup from 1 ft,,14,10
36,1,7:18.0,Shooting foul by J. Brunson (drawn by J. Harden),,14,10
37,1,7:18.0,J. Harden makes free throw 1 of 1,,15,10
38,1,7:03.0,,Personal foul by J. Harden (drawn by L. Dončić),15,10
39,1,6:56.0,,Turnover by J. Brunson (bad pass),15,10
40,1,6:56.0,,Dallas full timeout,15,10
41,1,6:56.0,G. Green enters the game for E. Gordon,,15,10
42,1,6:56.0,A. Rivers enters the game for C. Paul,,15,10
43,1,6:32.0,J. Harden misses 3-pt jump shot from 27 ft,,15,10
44,1,6:29.0,,Defensive rebound by L. Dončić,15,10
45,1,6:15.0,,J. Brunson makes 2-pt layup at rim (assist by D. Powell),15,12
46,1,6:15.0,,Shooting foul by A. Rivers (drawn by J. Brunson),15,12
47,1,6:15.0,,J. Brunson makes free throw 1 of 1,15,13
48,1,6:02.0,G. Green misses 3-pt jump shot from 25 ft,,15,13
49,1,5:59.0,,Defensive rebound by D. Powell,15,13
50,1,5:53.0,,J. Brunson makes 3-pt jump shot from 25 ft (assist by T. Hardaway),15,16
51,1,5:46.0,Turnover by G. Green (bad pass),,15,16
52,1,5:36.0,,L. Dončić misses 3-pt jump shot from 28 ft,15,16
53,1,5:32.0,Defensive rebound by G. Green,,15,16
54,1,5:11.0,J. Harden misses 2-pt jump shot from 12 ft,,15,16
55,1,5:08.0,,Defensive rebound by L. Dončić,15,16
56,1,4:52.0,,Turnover by L. Dončić (bad pass),15,16
57,1,4:52.0,,J. Jackson enters the game for J. Brunson,15,16
58,1,4:39.0,J. Harden misses 3-pt jump shot from 26 ft,,15,16
59,1,4:35.0,,Defensive rebound by L. Dončić,15,16
60,1,4:26.0,,L. Dončić misses 2-pt layup from 4 ft,15,16
61,1,4:24.0,,Offensive rebound by L. Dončić,15,16
62,1,4:23.0,,Shooting foul by C. Capela (drawn by L. Dončić),15,16
63,1,4:23.0,,L. Dončić makes free throw 1 of 2,15,17
64,1,4:23.0,N. Hilário enters the game for C. Capela,,15,17
65,1,4:23.0,,D. Nowitzki enters the game for D. Powell,15,17
66,1,4:23.0,,L. Dončić makes free throw 2 of 2,15,18
67,1,4:10.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by A. Rivers),,18,18
68,1,4:00.0,,Turnover by T. Hardaway (bad pass),18,18
69,1,3:42.0,J. Harden misses 2-pt jump shot from 13 ft,,18,18
70,1,3:40.0,,Defensive rebound by L. Dončić,18,18
71,1,3:22.0,,M. Kleber misses 3-pt jump shot from 23 ft,18,18
72,1,3:19.0,Defensive rebound by J. Harden,,18,18
73,1,3:16.0,Shooting foul by D. Nowitzki (drawn by G. Green),,18,18
74,1,3:16.0,G. Green makes free throw 1 of 2,,19,18
75,1,3:16.0,G. Green makes free throw 2 of 2,,20,18
76,1,3:01.0,,T. Hardaway misses 2-pt jump shot from 9 ft,20,18
77,1,2:59.0,Defensive rebound by N. Hilário,,20,18
78,1,2:53.0,J. Harden makes 2-pt layup from 1 ft,,22,18
79,1,2:52.0,,Dallas full timeout,22,18
80,1,2:52.0,C. Paul enters the game for J. Harden,,22,18
81,1,2:52.0,I. Shumpert enters the game for P. Tucker,,22,18
82,1,2:52.0,,J. Brunson enters the game for L. Dončić,22,18
83,1,2:52.0,,D. Harris enters the game for T. Hardaway,22,18
84,1,2:41.0,,D. Nowitzki makes 2-pt layup from 3 ft (assist by D. Harris),22,20
85,1,2:41.0,,Shooting foul by I. Shumpert (drawn by D. Nowitzki),22,20
86,1,2:41.0,,D. Nowitzki misses free throw 1 of 1,22,20
87,1,2:39.0,Defensive rebound by I. Shumpert,,22,20
88,1,2:27.0,G. Green misses 2-pt jump shot from 10 ft,,22,20
89,1,2:24.0,,Defensive rebound by D. Nowitzki,22,20
90,1,2:19.0,,J. Brunson makes 2-pt layup from 3 ft,22,22
91,1,2:04.0,I. Shumpert misses 2-pt jump shot from 20 ft,,22,22
92,1,2:00.0,,Defensive rebound by M. Kleber,22,22
93,1,1:57.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,22,22
94,1,1:53.0,Defensive rebound by G. Green,,22,22
95,1,1:41.0,C. Paul misses 3-pt jump shot from 24 ft,,22,22
96,1,1:38.0,,Defensive rebound by D. Nowitzki,22,22
97,1,1:34.0,,J. Brunson misses 3-pt jump shot from 25 ft,22,22
98,1,1:31.0,Defensive rebound by G. Green,,22,22
99,1,1:25.0,G. Green misses 2-pt layup from 3 ft (block by D. Nowitzki),,22,22
100,1,1:22.0,,Defensive rebound by M. Kleber,22,22
101,1,1:11.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by D. Nowitzki),22,25
102,1,0:53.0,G. Green makes 3-pt jump shot from 25 ft (assist by C. Paul),,25,25
103,1,0:43.0,,Personal foul by I. Shumpert (drawn by D. Nowitzki),25,25
104,1,0:43.0,Violation by Team (delay of game),,25,25
