,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,T. Ariza makes 2-pt layup from 2 ft,0,2
1,1,11:28.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by M. Conley),,2,2
2,1,11:13.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by B. Beal),2,5
3,1,11:00.0,J. Valančiūnas makes 2-pt dunk at rim (assist by A. Bradley),,4,5
4,1,10:46.0,,Turnover by J. Green (lost ball; steal by J. Holiday),4,5
5,1,10:39.0,J. Holiday makes 2-pt layup from 1 ft,,6,5
6,1,10:26.0,,Shooting foul by B. Caboclo (drawn by B. Portis),6,5
7,1,10:26.0,,B. Portis misses free throw 1 of 2,6,5
8,1,10:26.0,,Offensive rebound by Team,6,5
9,1,10:26.0,,B. Portis makes free throw 2 of 2,6,6
10,1,10:07.0,B. Caboclo makes 3-pt jump shot from 26 ft (assist by A. Bradley),,9,6
11,1,9:55.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Satoranský),9,9
12,1,9:45.0,M. Conley misses 2-pt jump shot from 13 ft,,9,9
13,1,9:41.0,,Defensive rebound by B. Portis,9,9
14,1,9:39.0,,Turnover by B. Portis (lost ball; steal by B. Caboclo),9,9
15,1,9:32.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by A. Bradley),,12,9
16,1,9:21.0,,B. Portis misses 2-pt layup from 18 ft,12,9
17,1,9:21.0,Defensive rebound by B. Caboclo,,12,9
18,1,9:13.0,Turnover by B. Caboclo (bad pass; steal by B. Beal),,12,9
19,1,9:11.0,,B. Beal makes 3-pt jump shot from 26 ft,12,12
20,1,9:11.0,Memphis full timeout,,12,12
21,1,8:49.0,J. Valančiūnas misses 2-pt jump shot from 14 ft (block by B. Portis),,12,12
22,1,8:46.0,,Defensive rebound by T. Satoranský,12,12
23,1,8:44.0,,B. Portis misses 2-pt layup from 2 ft,12,12
24,1,8:37.0,Defensive rebound by B. Caboclo,,12,12
25,1,8:35.0,Turnover by A. Bradley (lost ball; steal by B. Portis),,12,12
26,1,8:31.0,,Shooting foul by B. Caboclo (drawn by T. Ariza),12,12
27,1,8:31.0,,T. Ariza makes free throw 1 of 2,12,13
28,1,8:31.0,C. Miles enters the game for B. Caboclo,,12,13
29,1,8:31.0,,T. Ariza misses free throw 2 of 2,12,13
30,1,8:27.0,Defensive rebound by A. Bradley,,12,13
31,1,8:09.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by J. Holiday),,14,13
32,1,8:02.0,,Turnover by T. Satoranský (lost ball; steal by C. Miles),14,13
33,1,7:48.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by J. Valančiūnas),,16,13
34,1,7:30.0,,Turnover by B. Portis (traveling),16,13
35,1,7:30.0,,Violation by Team (delay of game),16,13
36,1,7:09.0,J. Valančiūnas makes 2-pt hook shot from 1 ft,,18,13
37,1,6:54.0,,T. Satoranský misses 2-pt layup from 2 ft,18,13
38,1,6:50.0,Defensive rebound by C. Miles,,18,13
39,1,6:47.0,M. Conley makes 3-pt jump shot from 26 ft,,21,13
40,1,6:45.0,,Washington full timeout,21,13
41,1,6:30.0,,Shooting foul by A. Bradley (drawn by B. Beal),21,13
42,1,6:30.0,,B. Beal makes free throw 1 of 2,21,14
