,QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
0,1,11:41.0,P. Millsap misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Tatum,0,0
2,1,11:34.0,,A. Horford misses 2-pt jump shot from 15 ft,0,0
3,1,11:31.0,,Offensive rebound by A. Horford,0,0
4,1,11:28.0,,K. Irving misses 3-pt jump shot from 27 ft,0,0
5,1,11:26.0,Defensive rebound by N. Jokić,,0,0
6,1,11:24.0,Turnover by N. Jokić (bad pass; steal by J. Tatum),,0,0
7,1,11:16.0,,K. Irving makes 2-pt jump shot from 20 ft (assist by J. Tatum),0,2
8,1,11:04.0,W. Barton misses 3-pt jump shot from 27 ft,,0,2
9,1,11:01.0,,Defensive rebound by K. Irving,0,2
10,1,10:51.0,,J. Tatum makes 2-pt jump shot from 14 ft,0,4
11,1,10:37.0,J. Murray misses 2-pt jump shot from 5 ft,,0,4
12,1,10:36.0,,Defensive rebound by A. Horford,0,4
13,1,10:30.0,,K. Irving misses 3-pt jump shot from 29 ft,0,4
14,1,10:29.0,Defensive rebound by N. Jokić,,0,4
15,1,10:18.0,G. Harris misses 3-pt jump shot from 26 ft,,0,4
16,1,10:16.0,Offensive rebound by J. Murray,,0,4
17,1,10:11.0,Personal foul by M. Smart (drawn by N. Jokić),,0,4
18,1,10:05.0,N. Jokić makes 2-pt layup from 4 ft (assist by G. Harris),,2,4
19,1,9:47.0,,Personal foul by G. Harris (drawn by A. Horford),2,4
20,1,9:40.0,,M. Morris misses 2-pt jump shot from 13 ft,2,4
21,1,9:39.0,Defensive rebound by N. Jokić,,2,4
22,1,9:19.0,W. Barton misses 3-pt jump shot from 26 ft,,2,4
23,1,9:18.0,,Defensive rebound by M. Smart,2,4
24,1,9:15.0,,Turnover by M. Smart (bad pass; steal by N. Jokić),2,4
25,1,9:08.0,W. Barton misses 2-pt hook shot from 6 ft,,2,4
26,1,9:07.0,Offensive rebound by N. Jokić,,2,4
27,1,9:06.0,N. Jokić makes 2-pt layup from 1 ft,,4,4
28,1,8:39.0,,K. Irving misses 2-pt jump shot from 13 ft,4,4
29,1,8:38.0,,Offensive rebound by Team,4,4
30,1,8:38.0,,Turnover by Team (shot clock),4,4
31,1,8:17.0,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),,6,4
32,1,8:04.0,,J. Tatum misses 2-pt jump shot from 12 ft,6,4
33,1,8:03.0,Defensive rebound by P. Millsap,,6,4
34,1,7:50.0,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),,9,4
35,1,7:36.0,,Personal foul by P. Millsap (drawn by M. Smart),9,4
36,1,7:23.0,,K. Irving misses 2-pt layup from 5 ft (block by N. Jokić),9,4
37,1,7:22.0,Defensive rebound by G. Harris,,9,4
38,1,7:07.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by W. Barton),,11,4
39,1,7:06.0,,Boston full timeout,11,4
40,1,7:06.0,,A. Baynes enters the game for M. Morris,11,4
41,1,6:56.0,,A. Horford misses 3-pt jump shot from 24 ft,11,4
42,1,6:55.0,Defensive rebound by P. Millsap,,11,4
43,1,6:34.0,Personal foul by A. Baynes (drawn by G. Harris),,11,4
44,1,6:25.0,W. Barton makes 2-pt jump shot from 11 ft,,13,4
45,1,6:13.0,,A. Baynes misses 2-pt layup from 4 ft,13,4
46,1,6:06.0,Defensive rebound by G. Harris,,13,4
47,1,6:05.0,W. Barton misses 3-pt jump shot from 27 ft,,13,4
48,1,6:01.0,,Defensive rebound by J. Tatum,13,4
49,1,5:54.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),13,7
50,1,5:40.0,Turnover by N. Jokić (lost ball; steal by M. Smart),,13,7
51,1,5:35.0,,M. Smart makes 2-pt dunk from 1 ft,13,9
52,1,5:21.0,G. Harris misses 2-pt layup from 9 ft (block by K. Irving),,13,9
53,1,5:19.0,Offensive rebound by N. Jokić,,13,9
54,1,5:15.0,N. Jokić misses 2-pt hook shot from 9 ft,,13,9
55,1,5:13.0,,Defensive rebound by Team,13,9
56,1,5:13.0,,J. Brown enters the game for J. Tatum,13,9
57,1,5:01.0,,K. Irving misses 2-pt jump shot from 9 ft,13,9
58,1,4:59.0,Defensive rebound by N. Jokić,,13,9
59,1,4:40.0,Shooting foul by A. Baynes (drawn by P. Millsap),,13,9
60,1,4:40.0,P. Millsap makes free throw 1 of 2,,14,9
61,1,4:40.0,M. Morris enters the game for J. Murray,,14,9
62,1,4:40.0,P. Millsap makes free throw 2 of 2,,15,9
63,1,4:25.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by K. Irving),15,11
