,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:47.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,0
1,1,11:19.0,,K. Towns misses 2-pt jump shot from 18 ft,3,0
2,1,11:18.0,Defensive rebound by K. Thompson,,3,0
3,1,11:12.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,5,0
4,1,10:48.0,,Shooting foul by D. Green (drawn by D. Šarić),5,0
5,1,10:48.0,,D. Šarić makes free throw 1 of 2,5,1
6,1,10:48.0,,D. Šarić makes free throw 2 of 2,5,2
7,1,10:38.0,K. Thompson makes 2-pt jump shot from 9 ft (assist by S. Curry),,7,2
8,1,10:29.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),7,5
9,1,10:16.0,S. Curry misses 2-pt layup from 1 ft,,7,5
10,1,10:14.0,,Defensive rebound by K. Towns,7,5
11,1,10:09.0,,A. Wiggins misses 3-pt jump shot from 26 ft,7,5
12,1,10:07.0,Defensive rebound by A. Bogut,,7,5
13,1,9:52.0,A. Bogut misses 2-pt dunk at rim,,7,5
14,1,9:50.0,,Defensive rebound by K. Towns,7,5
15,1,9:39.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by T. Jones),7,7
16,1,9:32.0,Turnover by K. Thompson (step out of bounds),,7,7
17,1,9:21.0,,T. Jones makes 2-pt jump shot from 8 ft,7,9
18,1,9:08.0,Turnover by D. Green (bad pass; steal by K. Towns),,7,9
19,1,9:08.0,,Personal foul by K. Thompson (drawn by K. Towns),7,9
20,1,8:56.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),7,11
21,1,8:34.0,K. Durant misses 2-pt jump shot from 14 ft,,7,11
22,1,8:32.0,,Defensive rebound by J. Okogie,7,11
23,1,8:27.0,,J. Okogie makes 2-pt layup from 1 ft,7,13
24,1,8:27.0,Golden State full timeout,,7,13
25,1,8:15.0,K. Durant misses 2-pt jump shot from 10 ft,,7,13
26,1,8:12.0,,Defensive rebound by D. Šarić,7,13
27,1,7:55.0,,K. Towns misses 2-pt jump shot from 21 ft,7,13
28,1,7:52.0,Defensive rebound by D. Green,,7,13
29,1,7:45.0,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),,9,13
30,1,7:31.0,,A. Wiggins misses 3-pt jump shot from 25 ft (block by D. Green),9,13
