,QUARTER,TIME_REMAINING,DETROIT_ACTION,GOLDEN STATE_ACTION,DETROIT_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,W. Ellington misses 3-pt jump shot from 27 ft,,0,0
1,1,11:41.0,Offensive rebound by Team,,0,0
2,1,11:39.0,Turnover by (5 sec),,0,0
3,1,11:25.0,,K. Thompson misses 2-pt jump shot from 18 ft,0,0
4,1,11:24.0,Defensive rebound by B. Griffin,,0,0
5,1,11:16.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),,3,0
6,1,11:00.0,,K. Thompson misses 2-pt jump shot from 11 ft,3,0
7,1,10:59.0,Defensive rebound by A. Drummond,,3,0
8,1,10:37.0,A. Drummond misses 2-pt layup from 5 ft,,3,0
9,1,10:35.0,,Defensive rebound by S. Curry,3,0
10,1,10:24.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),3,3
11,1,10:01.0,B. Brown makes 2-pt layup from 3 ft (assist by B. Griffin),,5,3
12,1,9:47.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by D. Green),5,5
13,1,9:26.0,Shooting foul by D. Green (drawn by B. Griffin),,5,5
14,1,9:26.0,B. Griffin makes free throw 1 of 2,,6,5
15,1,9:26.0,B. Griffin makes free throw 2 of 2,,7,5
16,1,9:17.0,,Offensive foul by K. Durant (drawn by W. Ellington),7,5
17,1,9:17.0,,Turnover by K. Durant (offensive foul),7,5
18,1,8:59.0,B. Griffin misses 2-pt jump shot from 12 ft,,7,5
19,1,8:58.0,,Defensive rebound by S. Curry,7,5
20,1,8:51.0,,S. Curry makes 3-pt jump shot from 25 ft,7,8
21,1,8:27.0,A. Drummond makes 2-pt layup at rim (assist by W. Ellington),,9,8
22,1,8:10.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by K. Durant),9,10
23,1,7:57.0,B. Griffin makes 2-pt layup from 1 ft (assist by W. Ellington),,11,10
24,1,7:45.0,,Turnover by K. Durant (bad pass; steal by A. Drummond),11,10
25,1,7:40.0,R. Jackson makes 2-pt jump shot from 10 ft (assist by W. Ellington),,13,10
26,1,7:25.0,,S. Curry misses 3-pt jump shot from 28 ft,13,10
27,1,7:23.0,Defensive rebound by A. Drummond,,13,10
28,1,7:18.0,Detroit full timeout,,13,10
29,1,7:11.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),,15,10
30,1,6:48.0,,K. Durant makes 2-pt jump shot from 12 ft,15,12
31,1,6:34.0,B. Griffin misses 2-pt layup from 3 ft,,15,12
32,1,6:33.0,Offensive rebound by B. Griffin,,15,12
33,1,6:27.0,B. Griffin misses 2-pt hook shot from 9 ft,,15,12
34,1,6:26.0,Offensive rebound by A. Drummond,,15,12
35,1,6:23.0,Shooting foul by A. Bogut (drawn by A. Drummond),,15,12
36,1,6:23.0,A. Drummond makes free throw 1 of 2,,16,12
37,1,6:23.0,A. Drummond makes free throw 2 of 2,,17,12
38,1,6:07.0,,K. Durant makes 2-pt jump shot from 5 ft (assist by A. Bogut),17,14
39,1,5:42.0,W. Ellington misses 3-pt jump shot from 24 ft,,17,14
40,1,5:40.0,,Defensive rebound by D. Green,17,14
41,1,5:35.0,,D. Green misses 2-pt jump shot from 9 ft,17,14
42,1,5:34.0,Defensive rebound by A. Drummond,,17,14
43,1,5:24.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),,20,14
44,1,5:10.0,,A. Bogut makes 2-pt dunk from 1 ft (assist by K. Durant),20,16
45,1,4:53.0,A. Drummond misses 2-pt hook shot from 7 ft,,20,16
46,1,4:52.0,,Defensive rebound by S. Curry,20,16
47,1,4:44.0,,K. Thompson makes 3-pt jump shot from 29 ft (assist by A. Bogut),20,19
48,1,4:28.0,B. Griffin misses 3-pt jump shot from 28 ft,,20,19
49,1,4:26.0,,Defensive rebound by S. Curry,20,19
50,1,4:17.0,,A. Bogut misses 2-pt hook shot from 10 ft,20,19
51,1,4:17.0,Defensive rebound by Team,,20,19
52,1,4:17.0,Personal foul by A. Bogut (drawn by A. Drummond),,20,19
53,1,4:17.0,L. Galloway enters the game for B. Brown,,20,19
54,1,4:17.0,I. Smith enters the game for R. Jackson,,20,19
55,1,4:17.0,,S. Livingston enters the game for A. Bogut,20,19
56,1,4:17.0,,K. Looney enters the game for K. Thompson,20,19
57,1,4:06.0,L. Galloway makes 2-pt layup from 2 ft (assist by A. Drummond),,22,19
58,1,3:55.0,,Turnover by D. Green (bad pass; steal by W. Ellington),22,19
59,1,3:36.0,B. Griffin makes 2-pt layup from 5 ft (assist by I. Smith),,24,19
60,1,3:30.0,,Golden State full timeout,24,19
61,1,3:15.0,,K. Looney makes 2-pt layup from 4 ft (assist by K. Durant),24,21
62,1,2:52.0,I. Smith misses 2-pt jump shot from 18 ft,,24,21
63,1,2:51.0,Offensive rebound by A. Drummond,,24,21
64,1,2:49.0,Shooting foul by K. Looney (drawn by A. Drummond),,24,21
65,1,2:49.0,A. Drummond makes free throw 1 of 2,,25,21
66,1,2:49.0,,A. McKinnie enters the game for K. Durant,25,21
67,1,2:49.0,A. Drummond makes free throw 2 of 2,,26,21
68,1,2:40.0,,S. Curry makes 3-pt jump shot from 28 ft,26,24
69,1,2:18.0,W. Ellington misses 3-pt jump shot from 27 ft,,26,24
70,1,2:16.0,,Defensive rebound by S. Livingston,26,24
71,1,2:03.0,,Shooting foul by W. Ellington (drawn by K. Looney),26,24
72,1,2:03.0,,K. Looney makes free throw 1 of 2,26,25
73,1,2:03.0,L. Kennard enters the game for W. Ellington,,26,25
74,1,2:03.0,,K. Looney makes free throw 2 of 2,26,26
75,1,1:39.0,Turnover by Team (shot clock),,26,26
76,1,1:30.0,,S. Curry misses 3-pt jump shot from 25 ft,26,26
77,1,1:28.0,,Offensive rebound by S. Livingston,26,26
78,1,1:26.0,,Personal foul by I. Smith (drawn by A. McKinnie),26,26
79,1,1:13.0,,Shooting foul by A. Drummond (drawn by K. Looney),26,26
80,1,1:13.0,,K. Looney misses free throw 1 of 2,26,26
81,1,1:13.0,,Offensive rebound by Team,26,26
82,1,1:13.0,T. Maker enters the game for B. Griffin,,26,26
83,1,1:13.0,,K. Looney makes free throw 2 of 2,26,27
84,1,0:52.0,I. Smith misses 2-pt jump shot from 8 ft,,26,27
85,1,0:51.0,,Defensive rebound by A. McKinnie,26,27
86,1,0:44.0,,S. Livingston makes 2-pt jump shot from 13 ft,26,29
87,1,0:33.0,Personal foul by D. Green (drawn by T. Maker),,26,29
88,1,0:33.0,T. Maker makes free throw 1 of 2,,27,29
89,1,0:33.0,,J. Bell enters the game for D. Green,27,29
90,1,0:33.0,,J. Jerebko enters the game for K. Looney,27,29
91,1,0:33.0,T. Maker makes free throw 2 of 2,,28,29
92,1,0:17.0,,S. Curry misses 2-pt jump shot from 12 ft,28,29
