,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHARLOTTE_ACTION,SAN ANTONIO_SCORE,CHARLOTTE_SCORE
0,1,11:49.0,D. White misses 2-pt jump shot from 20 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Bacon,0,0
2,1,11:35.0,,M. Williams misses 3-pt jump shot from 27 ft,0,0
3,1,11:31.0,Defensive rebound by D. White,,0,0
4,1,11:19.0,Turnover by D. White (bad pass; steal by M. Williams),,0,0
5,1,11:13.0,,M. Bridges makes 2-pt layup from 1 ft (assist by K. Walker),0,2
6,1,11:00.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,2
7,1,10:56.0,,Defensive rebound by D. Bacon,0,2
8,1,10:47.0,,D. Bacon misses 2-pt layup from 3 ft (block by J. Poeltl),0,2
9,1,10:44.0,,Offensive rebound by B. Biyombo,0,2
10,1,10:41.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by B. Biyombo),0,5
11,1,10:19.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,3,5
12,1,9:51.0,,B. Biyombo makes 2-pt hook shot from 6 ft (assist by K. Walker),3,7
13,1,9:33.0,B. Forbes makes 2-pt jump shot from 18 ft,,5,7
14,1,9:17.0,,K. Walker makes 2-pt jump shot from 20 ft (assist by B. Biyombo),5,9
15,1,8:50.0,L. Aldridge misses 2-pt jump shot from 17 ft,,5,9
16,1,8:48.0,,Defensive rebound by K. Walker,5,9
17,1,8:42.0,,K. Walker misses 2-pt jump shot from 20 ft,5,9
18,1,8:39.0,Defensive rebound by J. Poeltl,,5,9
19,1,8:31.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,8,9
20,1,8:18.0,,Personal foul by D. White (drawn by D. Bacon),8,9
21,1,8:09.0,,M. Williams misses 3-pt jump shot from 25 ft,8,9
22,1,8:07.0,Defensive rebound by D. DeRozan,,8,9
23,1,7:59.0,D. DeRozan misses 2-pt jump shot from 16 ft,,8,9
24,1,7:56.0,,Defensive rebound by M. Williams,8,9
25,1,7:49.0,,Turnover by B. Biyombo (out of bounds lost ball),8,9
26,1,7:37.0,Shooting foul by B. Biyombo (drawn by L. Aldridge),,8,9
27,1,7:37.0,L. Aldridge misses free throw 1 of 2,,8,9
28,1,7:37.0,Offensive rebound by Team,,8,9
29,1,7:37.0,L. Aldridge makes free throw 2 of 2,,9,9
30,1,7:21.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),9,12
