,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:46.0,M. Morris misses 2-pt layup from 4 ft,,0,0
1,1,11:45.0,Offensive rebound by M. Robinson,,0,0
2,1,11:44.0,M. Robinson misses 2-pt layup from 11 ft (block by D. Theis),,0,0
3,1,11:42.0,Offensive rebound by J. Randle,,0,0
4,1,11:40.0,Turnover by J. Randle (bad pass),,0,0
5,1,11:25.0,,G. Hayward makes 2-pt layup from 1 ft (assist by J. Tatum),0,2
6,1,11:07.0,Turnover by M. Robinson (bad pass; steal by M. Smart),,0,2
7,1,11:04.0,,M. Smart misses 2-pt layup at rim (block by F. Ntilikina),0,2
8,1,11:04.0,Defensive rebound by Team,,0,2
9,1,10:54.0,Shooting foul by M. Smart (drawn by M. Morris),,0,2
10,1,10:54.0,M. Morris makes free throw 1 of 2,,1,2
11,1,10:54.0,M. Morris makes free throw 2 of 2,,2,2
12,1,10:38.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by G. Hayward),2,5
13,1,10:15.0,Turnover by J. Randle (lost ball; steal by M. Smart),,2,5
14,1,10:09.0,,M. Smart misses 3-pt jump shot from 23 ft,2,5
15,1,10:07.0,Defensive rebound by M. Robinson,,2,5
16,1,9:55.0,Personal foul by D. Theis (drawn by M. Robinson),,2,5
17,1,9:47.0,F. Ntilikina misses 2-pt jump shot from 22 ft,,2,5
18,1,9:45.0,Offensive rebound by M. Morris,,2,5
19,1,9:45.0,M. Morris makes 2-pt layup at rim,,4,5
20,1,9:21.0,,J. Tatum makes 3-pt jump shot from 27 ft,4,8
21,1,9:05.0,R. Barrett misses 2-pt jump shot from 14 ft,,4,8
22,1,9:04.0,,Defensive rebound by J. Tatum,4,8
23,1,8:52.0,,J. Tatum misses 3-pt jump shot from 26 ft,4,8
24,1,8:50.0,Defensive rebound by F. Ntilikina,,4,8
25,1,8:34.0,Turnover by F. Ntilikina (discontinued dribble),,4,8
26,1,8:23.0,,K. Walker makes 2-pt layup from 1 ft,4,10
27,1,8:23.0,Violation by Team (def goaltending),,4,10
28,1,8:05.0,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by R. Barrett),,7,10
29,1,7:46.0,,Personal foul by F. Ntilikina (drawn by D. Theis),7,10
30,1,7:34.0,,Personal foul by M. Robinson (drawn by J. Tatum),7,10
31,1,7:25.0,,Turnover by G. Hayward (bad pass; steal by M. Morris),7,10
32,1,7:20.0,F. Ntilikina misses 2-pt jump shot from 22 ft,,7,10
33,1,7:16.0,,Defensive rebound by K. Walker,7,10
34,1,7:09.0,,J. Tatum misses 2-pt jump shot from 14 ft,7,10
35,1,7:07.0,,Offensive rebound by D. Theis,7,10
36,1,7:02.0,,Personal foul by M. Robinson (drawn by M. Smart),7,10
37,1,7:02.0,B. Portis enters the game for M. Robinson,,7,10
38,1,6:55.0,,D. Theis makes 2-pt dunk from 1 ft (assist by J. Tatum),7,12
39,1,6:47.0,New York full timeout,,7,12
40,1,6:39.0,M. Morris misses 2-pt jump shot from 15 ft,,7,12
41,1,6:37.0,,Defensive rebound by G. Hayward,7,12
42,1,6:20.0,,G. Hayward misses 3-pt jump shot from 26 ft,7,12
43,1,6:19.0,Defensive rebound by M. Morris,,7,12
44,1,6:04.0,Shooting foul by D. Theis (drawn by R. Barrett),,7,12
45,1,6:04.0,R. Barrett misses free throw 1 of 2,,7,12
46,1,6:04.0,Offensive rebound by Team,,7,12
47,1,6:04.0,,S. Ojeleye enters the game for J. Tatum,7,12
48,1,6:04.0,,G. Williams enters the game for D. Theis,7,12
49,1,6:04.0,R. Barrett makes free throw 2 of 2,,8,12
50,1,6:04.0,Violation by Team (delay of game),,8,12
51,1,5:45.0,,M. Smart misses 2-pt jump shot from 17 ft,8,12
52,1,5:43.0,Defensive rebound by J. Randle,,8,12
53,1,5:34.0,B. Portis misses 2-pt hook shot from 11 ft,,8,12
54,1,5:33.0,,Defensive rebound by G. Hayward,8,12
55,1,5:18.0,,G. Hayward misses 2-pt layup from 1 ft,8,12
56,1,5:16.0,Defensive rebound by J. Randle,,8,12
57,1,5:09.0,J. Randle misses 2-pt hook shot from 9 ft,,8,12
58,1,5:08.0,Offensive rebound by B. Portis,,8,12
59,1,5:07.0,B. Portis misses 2-pt layup at rim,,8,12
