,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,K. Irving misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,Defensive rebound by B. Ingram,,0,0
2,1,11:34.0,Turnover by B. Ingram (bad pass),,0,0
3,1,11:21.0,,J. Allen makes 2-pt layup from 2 ft (assist by C. LeVert),0,2
4,1,11:09.0,J. Okafor misses 2-pt hook shot from 6 ft,,0,2
5,1,11:06.0,,Defensive rebound by T. Prince,0,2
6,1,10:54.0,,T. Prince makes 3-pt jump shot from 25 ft,0,5
7,1,10:37.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Okafor),,3,5
8,1,10:15.0,,Turnover by J. Harris (lost ball; steal by J. Holiday),3,5
9,1,10:08.0,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Hart),,6,5
10,1,9:53.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by T. Prince),6,8
11,1,9:43.0,J. Holiday misses 3-pt jump shot from 24 ft,,6,8
12,1,9:40.0,,Defensive rebound by T. Prince,6,8
13,1,9:29.0,,K. Irving makes 2-pt jump shot from 15 ft,6,10
14,1,9:15.0,B. Ingram makes 2-pt layup from 2 ft,,8,10
15,1,9:07.0,,Personal foul by J. Hart (drawn by K. Irving),8,10
16,1,8:59.0,,Turnover by K. Irving (bad pass; steal by B. Ingram),8,10
17,1,8:52.0,J. Holiday misses 2-pt layup from 4 ft,,8,10
18,1,8:50.0,,Defensive rebound by J. Allen,8,10
19,1,8:46.0,,C. LeVert makes 2-pt layup from 4 ft,8,12
20,1,8:28.0,B. Ingram makes 2-pt jump shot from 15 ft,,10,12
21,1,8:05.0,,C. LeVert misses 2-pt layup from 4 ft,10,12
22,1,8:03.0,,Offensive rebound by J. Allen,10,12
23,1,8:01.0,,J. Allen misses 2-pt layup from 4 ft,10,12
24,1,7:58.0,Defensive rebound by J. Hart,,10,12
25,1,7:52.0,J. Hart misses 3-pt jump shot from 25 ft,,10,12
26,1,7:49.0,,Defensive rebound by K. Irving,10,12
27,1,7:42.0,,J. Harris makes 2-pt layup from 3 ft (assist by K. Irving),10,14
28,1,7:33.0,J. Holiday makes 2-pt layup from 3 ft,,12,14
29,1,7:21.0,,T. Prince misses 3-pt jump shot from 23 ft,12,14
30,1,7:18.0,Defensive rebound by L. Ball,,12,14
31,1,7:12.0,B. Ingram makes 2-pt jump shot from 12 ft,,14,14
32,1,7:11.0,,Brooklyn full timeout,14,14
33,1,6:55.0,,C. LeVert misses 3-pt jump shot from 26 ft,14,14
34,1,6:51.0,,Offensive rebound by J. Harris,14,14
35,1,6:42.0,,K. Irving makes 2-pt jump shot from 15 ft (assist by J. Harris),14,16
36,1,6:24.0,L. Ball misses 3-pt jump shot from 25 ft,,14,16
37,1,6:24.0,,Defensive rebound by J. Allen,14,16
38,1,6:17.0,,K. Irving misses 3-pt jump shot from 25 ft,14,16
39,1,6:14.0,Defensive rebound by J. Okafor,,14,16
40,1,6:07.0,Turnover by L. Ball (bad pass; steal by K. Irving),,14,16
41,1,6:06.0,,C. LeVert makes 2-pt jump shot from 2 ft (assist by K. Irving),14,18
42,1,6:06.0,,Shooting foul by J. Holiday (drawn by C. LeVert),14,18
43,1,6:06.0,D. Favors enters the game for L. Ball,,14,18
44,1,6:06.0,J. Redick enters the game for J. Okafor,,14,18
45,1,6:06.0,,C. LeVert misses free throw 1 of 1,14,18
46,1,6:06.0,,Offensive rebound by T. Prince,14,18
47,1,5:53.0,,Offensive foul by J. Harris (drawn by J. Redick),14,18
48,1,5:53.0,,Turnover by J. Harris (offensive foul),14,18
49,1,5:53.0,,G. Temple enters the game for C. LeVert,14,18
50,1,5:35.0,J. Holiday misses 2-pt hook shot from 5 ft,,14,18
51,1,5:34.0,,Defensive rebound by Team,14,18
52,1,5:34.0,F. Jackson enters the game for J. Hart,,14,18
53,1,5:21.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Irving),14,21
54,1,5:11.0,B. Ingram makes 2-pt jump shot from 7 ft,,16,21
55,1,5:11.0,Shooting foul by J. Allen (drawn by B. Ingram),,16,21
56,1,5:11.0,B. Ingram makes free throw 1 of 1,,17,21
57,1,5:02.0,,Turnover by K. Irving (lost ball; steal by F. Jackson),17,21
58,1,4:59.0,Turnover by F. Jackson (lost ball; steal by J. Harris),,17,21
59,1,4:53.0,,J. Harris misses 3-pt jump shot from 27 ft,17,21
60,1,4:50.0,Defensive rebound by D. Favors,,17,21
61,1,4:40.0,J. Holiday makes 2-pt layup from 3 ft (assist by B. Ingram),,19,21
62,1,4:17.0,,K. Irving makes 2-pt jump shot from 14 ft,19,23
63,1,4:05.0,F. Jackson makes 2-pt jump shot from 21 ft,,21,23
64,1,3:50.0,,K. Irving misses 3-pt jump shot from 25 ft,21,23
65,1,3:47.0,,Offensive rebound by J. Allen,21,23
66,1,3:46.0,,Turnover by J. Allen (bad pass; steal by F. Jackson),21,23
67,1,3:42.0,Turnover by F. Jackson (lost ball; steal by T. Prince),,21,23
68,1,3:38.0,,T. Prince misses 3-pt jump shot from 27 ft,21,23
69,1,3:34.0,Defensive rebound by J. Holiday,,21,23
70,1,3:31.0,Turnover by D. Favors (traveling),,21,23
71,1,3:31.0,K. Williams enters the game for B. Ingram,,21,23
72,1,3:31.0,,S. Dinwiddie enters the game for J. Allen,21,23
73,1,3:31.0,,D. Jordan enters the game for T. Prince,21,23
74,1,3:12.0,,J. Harris misses 3-pt jump shot from 25 ft,21,23
75,1,3:07.0,Defensive rebound by J. Holiday,,21,23
76,1,3:02.0,J. Holiday misses 3-pt jump shot from 26 ft,,21,23
77,1,2:59.0,,Defensive rebound by D. Jordan,21,23
78,1,2:54.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,21,26
79,1,2:48.0,New Orleans full timeout,,21,26
80,1,2:48.0,L. Ball enters the game for J. Holiday,,21,26
81,1,2:48.0,,R. Kurucs enters the game for J. Harris,21,26
82,1,2:48.0,,C. LeVert enters the game for K. Irving,21,26
83,1,2:38.0,J. Redick makes 2-pt jump shot from 21 ft (assist by L. Ball),,23,26
84,1,2:14.0,,S. Dinwiddie misses 3-pt jump shot from 27 ft,23,26
85,1,2:12.0,Defensive rebound by K. Williams,,23,26
86,1,2:04.0,J. Redick misses 3-pt jump shot from 25 ft,,23,26
87,1,2:03.0,,Defensive rebound by Team,23,26
88,1,1:50.0,,C. LeVert misses 2-pt layup from 3 ft (block by K. Williams),23,26
89,1,1:50.0,,Offensive rebound by Team,23,26
90,1,1:45.0,,C. LeVert makes 3-pt jump shot from 24 ft (assist by D. Jordan),23,29
91,1,1:31.0,Turnover by F. Jackson (traveling),,23,29
92,1,1:17.0,,C. LeVert makes 2-pt layup from 3 ft,23,31
93,1,1:07.0,Def 3 sec tech foul by Team,,23,31
94,1,1:07.0,J. Redick makes technical free throw,,24,31
95,1,1:04.0,Turnover by D. Favors (bad pass; steal by R. Kurucs),,24,31
96,1,0:53.0,,D. Jordan misses 2-pt layup from 4 ft (block by J. Redick),24,31
97,1,0:50.0,Defensive rebound by D. Favors,,24,31
98,1,0:50.0,Personal foul by R. Kurucs (drawn by J. Redick),,24,31
99,1,0:49.0,Turnover by F. Jackson (bad pass; steal by G. Temple),,24,31
100,1,0:46.0,,G. Temple makes 2-pt dunk from 5 ft,24,33
101,1,0:37.0,K. Williams makes 3-pt jump shot from 25 ft (assist by D. Favors),,27,33
102,1,0:29.0,,Turnover by C. LeVert (lost ball; steal by K. Williams),27,33
103,1,0:23.0,F. Jackson misses 2-pt layup from 7 ft,,27,33
104,1,0:20.0,,Defensive rebound by R. Kurucs,27,33
105,1,0:05.0,,Turnover by R. Kurucs (traveling),27,33
106,1,0:02.0,D. Favors misses 2-pt jump shot from 15 ft,,27,33
107,1,0:02.0,,Defensive rebound by S. Dinwiddie,27,33
