,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,D. Gallinari misses 2-pt layup from 10 ft,0,0
1,1,11:34.0,Defensive rebound by A. Gordon,,0,0
2,1,11:30.0,A. Gordon misses 2-pt layup from 5 ft,,0,0
3,1,11:28.0,Offensive rebound by A. Gordon,,0,0
4,1,11:25.0,N. Vučević misses 3-pt jump shot from 25 ft,,0,0
5,1,11:22.0,,Defensive rebound by D. Gallinari,0,0
6,1,11:09.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),0,3
7,1,10:43.0,J. Isaac makes 2-pt jump shot from 22 ft,,2,3
8,1,10:35.0,Violation by Team (kicked ball),,2,3
9,1,10:28.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by D. Gallinari),2,5
10,1,10:07.0,M. Fultz misses 2-pt layup from 4 ft,,2,5
11,1,10:04.0,,Defensive rebound by D. Gallinari,2,5
12,1,9:58.0,,C. Paul misses 2-pt jump shot from 10 ft,2,5
13,1,9:54.0,Defensive rebound by N. Vučević,,2,5
14,1,9:46.0,A. Gordon makes 2-pt jump shot from 17 ft,,4,5
15,1,9:31.0,,Turnover by D. Gallinari (bad pass; steal by E. Fournier),4,5
16,1,9:26.0,M. Fultz makes 2-pt layup from 2 ft (assist by A. Gordon),,6,5
17,1,9:12.0,,T. Ferguson makes 2-pt jump shot from 18 ft (assist by C. Paul),6,7
18,1,8:55.0,Shooting foul by D. Gallinari (drawn by A. Gordon),,6,7
19,1,8:55.0,A. Gordon makes free throw 1 of 2,,7,7
20,1,8:55.0,A. Gordon makes free throw 2 of 2,,8,7
21,1,8:33.0,,D. Gallinari makes 2-pt jump shot from 22 ft,8,9
22,1,8:16.0,N. Vučević misses 3-pt jump shot from 27 ft,,8,9
23,1,8:14.0,,Defensive rebound by C. Paul,8,9
24,1,8:06.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,8,9
25,1,8:06.0,,Offensive rebound by S. Adams,8,9
26,1,8:06.0,,S. Adams makes 2-pt layup at rim,8,11
27,1,8:06.0,,Shooting foul by A. Gordon (drawn by S. Adams),8,11
28,1,8:06.0,,S. Adams makes free throw 1 of 1,8,12
29,1,7:54.0,Turnover by N. Vučević (lost ball; steal by S. Gilgeous-Alexander),,8,12
30,1,7:49.0,,D. Gallinari misses 3-pt jump shot from 23 ft,8,12
31,1,7:47.0,,Offensive rebound by S. Adams,8,12
32,1,7:44.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by S. Adams),8,15
33,1,7:43.0,Orlando full timeout,,8,15
34,1,7:31.0,A. Gordon makes 2-pt jump shot from 13 ft,,10,15
35,1,7:13.0,,D. Gallinari misses 3-pt jump shot from 26 ft,10,15
36,1,7:10.0,Defensive rebound by A. Gordon,,10,15
37,1,6:56.0,A. Gordon misses 2-pt hook shot from 8 ft,,10,15
38,1,6:53.0,Offensive rebound by M. Fultz,,10,15
39,1,6:51.0,A. Gordon misses 2-pt jump shot from 13 ft,,10,15
40,1,6:49.0,Offensive rebound by M. Fultz,,10,15
41,1,6:44.0,M. Fultz makes 3-pt jump shot from 25 ft,,13,15
42,1,6:26.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Adams),13,18
43,1,6:06.0,Personal foul by D. Gallinari (drawn by N. Vučević),,13,18
44,1,6:06.0,A. Aminu enters the game for A. Gordon,,13,18
45,1,6:06.0,,D. Bazley enters the game for D. Gallinari,13,18
46,1,6:00.0,E. Fournier misses 3-pt jump shot from 27 ft,,13,18
47,1,5:58.0,,Defensive rebound by S. Adams,13,18
48,1,5:47.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,13,18
49,1,5:43.0,Defensive rebound by J. Isaac,,13,18
50,1,5:32.0,Shooting foul by T. Ferguson (drawn by E. Fournier),,13,18
51,1,5:32.0,E. Fournier makes free throw 1 of 2,,14,18
52,1,5:32.0,,N. Noel enters the game for S. Adams,14,18
53,1,5:32.0,,D. Schröder enters the game for C. Paul,14,18
54,1,5:32.0,E. Fournier makes free throw 2 of 2,,15,18
55,1,5:18.0,,D. Bazley makes 3-pt jump shot from 26 ft (assist by N. Noel),15,21
56,1,5:03.0,Turnover by E. Fournier (bad pass; steal by D. Bazley),,15,21
57,1,4:55.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Schröder),15,24
58,1,4:41.0,Personal foul by D. Schröder (drawn by M. Fultz),,15,24
59,1,4:41.0,D. Augustin enters the game for E. Fournier,,15,24
60,1,4:41.0,T. Ross enters the game for M. Fultz,,15,24
61,1,4:37.0,Offensive foul by T. Ross (drawn by T. Ferguson),,15,24
62,1,4:37.0,Turnover by T. Ross (offensive foul),,15,24
