,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
0,1,11:39.0,J. Morant misses 2-pt layup from 6 ft (block by J. Isaac),,0,0
1,1,11:39.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by J. Morant (bad pass; steal by J. Isaac),,0,0
3,1,11:30.0,,J. Isaac makes 2-pt layup from 1 ft (assist by A. Gordon),0,2
4,1,11:08.0,D. Brooks misses 2-pt jump shot from 16 ft,,0,2
5,1,11:05.0,,Defensive rebound by J. Isaac,0,2
6,1,10:56.0,,Shooting foul by J. Morant (drawn by E. Fournier),0,2
7,1,10:56.0,,E. Fournier makes free throw 1 of 2,0,3
8,1,10:56.0,,E. Fournier makes free throw 2 of 2,0,4
9,1,10:41.0,D. Brooks misses 2-pt layup from 5 ft (block by J. Isaac),,0,4
10,1,10:37.0,,Defensive rebound by J. Isaac,0,4
11,1,10:23.0,,Turnover by N. Vučević (bad pass),0,4
12,1,10:05.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Morant),,3,4
13,1,9:46.0,,Turnover by M. Fultz (bad pass),3,4
14,1,9:36.0,J. Morant misses 2-pt layup from 5 ft (block by N. Vučević),,3,4
15,1,9:36.0,Offensive rebound by Team,,3,4
16,1,9:30.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by J. Morant),,6,4
17,1,9:17.0,,E. Fournier makes 2-pt jump shot from 17 ft (assist by N. Vučević),6,6
18,1,9:08.0,J. Morant makes 2-pt jump shot from 17 ft,,8,6
19,1,8:48.0,,N. Vučević misses 2-pt jump shot from 18 ft,8,6
20,1,8:42.0,Defensive rebound by J. Jackson,,8,6
21,1,8:37.0,D. Brooks misses 2-pt jump shot from 12 ft,,8,6
22,1,8:31.0,,Defensive rebound by N. Vučević,8,6
23,1,8:20.0,,N. Vučević misses 2-pt layup from 3 ft,8,6
24,1,8:18.0,,Offensive rebound by A. Gordon,8,6
25,1,8:17.0,,A. Gordon makes 2-pt layup from 1 ft,8,8
26,1,8:03.0,J. Valančiūnas misses 3-pt jump shot from 26 ft,,8,8
27,1,7:59.0,,Defensive rebound by A. Gordon,8,8
28,1,7:51.0,,A. Gordon makes 2-pt jump shot from 13 ft,8,10
29,1,7:36.0,J. Morant misses 2-pt jump shot from 13 ft,,8,10
30,1,7:33.0,,Defensive rebound by E. Fournier,8,10
31,1,7:30.0,,E. Fournier misses 2-pt layup from 2 ft,8,10
32,1,7:30.0,,Offensive rebound by N. Vučević,8,10
33,1,7:30.0,,Shooting foul by J. Jackson (drawn by N. Vučević),8,10
34,1,7:30.0,,N. Vučević makes free throw 1 of 2,8,11
35,1,7:30.0,,N. Vučević misses free throw 2 of 2,8,11
36,1,7:26.0,Defensive rebound by J. Valančiūnas,,8,11
37,1,7:21.0,Personal foul by A. Gordon (drawn by D. Brooks),,8,11
38,1,7:05.0,Turnover by J. Valančiūnas (bad pass; steal by M. Fultz),,8,11
39,1,6:58.0,,A. Gordon misses 3-pt jump shot from 23 ft,8,11
40,1,6:55.0,Defensive rebound by J. Jackson,,8,11
41,1,6:52.0,J. Jackson misses 2-pt layup from 4 ft (block by M. Fultz),,8,11
42,1,6:52.0,,Defensive rebound by N. Vučević,8,11
43,1,6:52.0,,Orlando full timeout,8,11
44,1,6:52.0,,Instant Replay (Challenge: Ruling Stands),8,11
45,1,6:52.0,T. Jones enters the game for J. Morant,,8,11
46,1,6:38.0,,M. Fultz misses 2-pt jump shot from 11 ft,8,11
47,1,6:34.0,Defensive rebound by J. Valančiūnas,,8,11
48,1,6:22.0,Turnover by J. Valančiūnas (traveling),,8,11
49,1,6:15.0,,A. Gordon misses 3-pt jump shot from 26 ft,8,11
50,1,6:11.0,Defensive rebound by J. Valančiūnas,,8,11
51,1,6:02.0,Turnover by J. Jackson (bad pass; steal by M. Fultz),,8,11
52,1,5:52.0,,A. Gordon makes 2-pt layup from 2 ft,8,13
53,1,5:33.0,J. Crowder makes 2-pt layup from 1 ft (assist by T. Jones),,10,13
54,1,5:22.0,,N. Vučević makes 3-pt jump shot from 27 ft (assist by E. Fournier),10,16
55,1,5:12.0,D. Brooks misses 2-pt jump shot from 16 ft,,10,16
56,1,5:10.0,,Defensive rebound by A. Gordon,10,16
57,1,5:03.0,,J. Isaac misses 3-pt jump shot from 23 ft,10,16
58,1,4:58.0,Defensive rebound by J. Valančiūnas,,10,16
59,1,4:52.0,T. Jones misses 2-pt jump shot from 14 ft,,10,16
60,1,4:48.0,,Defensive rebound by E. Fournier,10,16
61,1,4:42.0,,E. Fournier makes 2-pt jump shot from 9 ft,10,18
62,1,4:42.0,,Shooting foul by D. Brooks (drawn by E. Fournier),10,18
