,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:44.0,,Shooting foul by D. Murray (drawn by L. Dončić),0,0
1,1,11:44.0,,L. Dončić makes free throw 1 of 2,0,1
2,1,11:44.0,,L. Dončić makes free throw 2 of 2,0,2
3,1,11:35.0,Shooting foul by L. Dončić (drawn by D. DeRozan),,0,2
4,1,11:35.0,D. DeRozan makes free throw 1 of 2,,1,2
5,1,11:35.0,D. DeRozan makes free throw 2 of 2,,2,2
6,1,11:23.0,,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by L. Dončić),2,4
7,1,10:57.0,B. Forbes misses 2-pt jump shot from 21 ft,,2,4
8,1,10:55.0,,Defensive rebound by Team,2,4
9,1,10:34.0,,L. Dončić makes 3-pt jump shot from 29 ft (assist by D. Finney-Smith),2,7
10,1,10:17.0,D. Murray misses 2-pt jump shot from 4 ft,,2,7
11,1,10:14.0,,Defensive rebound by K. Porziņģis,2,7
12,1,10:03.0,,D. Powell makes 2-pt layup from 2 ft (assist by L. Dončić),2,9
13,1,9:48.0,D. DeRozan misses 2-pt jump shot from 14 ft,,2,9
14,1,9:46.0,,Defensive rebound by K. Porziņģis,2,9
15,1,9:35.0,,L. Dončić misses 3-pt jump shot from 26 ft,2,9
16,1,9:33.0,Defensive rebound by Team,,2,9
17,1,9:19.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by T. Lyles),,4,9
18,1,9:04.0,,D. Finney-Smith makes 2-pt jump shot from 9 ft (assist by L. Dončić),4,11
19,1,8:52.0,Personal foul by D. Powell (drawn by D. DeRozan),,4,11
20,1,8:47.0,D. Murray misses 2-pt layup from 7 ft,,4,11
21,1,8:44.0,,Defensive rebound by K. Porziņģis,4,11
22,1,8:31.0,,Turnover by D. Finney-Smith (lost ball; steal by D. DeRozan),4,11
23,1,8:18.0,D. DeRozan misses 2-pt jump shot from 18 ft,,4,11
24,1,8:14.0,,Defensive rebound by K. Porziņģis,4,11
25,1,8:02.0,,S. Curry makes 2-pt jump shot from 21 ft,4,13
26,1,8:00.0,San Antonio full timeout,,4,13
27,1,7:46.0,B. Forbes misses 2-pt jump shot from 18 ft,,4,13
28,1,7:43.0,,Defensive rebound by D. Powell,4,13
29,1,7:31.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Dončić),4,16
30,1,7:16.0,T. Lyles misses 3-pt jump shot from 22 ft,,4,16
31,1,7:12.0,,Defensive rebound by L. Dončić,4,16
32,1,7:03.0,,Turnover by K. Porziņģis (traveling),4,16
33,1,6:45.0,L. Aldridge misses 3-pt jump shot from 25 ft,,4,16
34,1,6:41.0,,Defensive rebound by L. Dončić,4,16
35,1,6:32.0,,Turnover by L. Dončić (lost ball; steal by T. Lyles),4,16
36,1,6:21.0,L. Aldridge misses 2-pt jump shot from 3 ft,,4,16
37,1,6:16.0,Offensive rebound by L. Aldridge,,4,16
38,1,6:16.0,L. Aldridge makes 2-pt layup from 1 ft,,6,16
39,1,6:02.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,6,16
40,1,6:00.0,Defensive rebound by D. Murray,,6,16
41,1,5:43.0,L. Aldridge misses 2-pt jump shot from 18 ft,,6,16
42,1,5:40.0,,Defensive rebound by L. Dončić,6,16
43,1,5:33.0,,L. Dončić makes 3-pt jump shot from 29 ft,6,19
44,1,5:15.0,D. Murray misses 2-pt jump shot from 12 ft,,6,19
45,1,5:12.0,,Defensive rebound by D. Powell,6,19
46,1,4:57.0,,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by S. Curry),6,22
47,1,4:30.0,B. Forbes misses 3-pt jump shot from 26 ft,,6,22
48,1,4:27.0,Offensive rebound by D. Murray,,6,22
49,1,4:18.0,D. DeRozan makes 2-pt jump shot from 5 ft,,8,22
