,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,R. Hachimura misses 2-pt jump shot from 16 ft,0,0
1,1,11:33.0,Defensive rebound by R. Holmes,,0,0
2,1,11:14.0,B. Hield makes 3-pt jump shot from 26 ft (assist by R. Holmes),,3,0
3,1,10:59.0,,I. Thomas misses 3-pt jump shot from 26 ft,3,0
4,1,10:56.0,Defensive rebound by N. Bjelica,,3,0
5,1,10:51.0,C. Joseph misses 3-pt jump shot from 26 ft,,3,0
6,1,10:45.0,,Defensive rebound by T. Brown,3,0
7,1,10:36.0,,T. Bryant misses 2-pt jump shot from 20 ft,3,0
8,1,10:33.0,Defensive rebound by N. Bjelica,,3,0
9,1,10:17.0,B. Hield misses 2-pt jump shot from 16 ft,,3,0
10,1,10:11.0,,Defensive rebound by R. Hachimura,3,0
11,1,10:08.0,,Personal foul by B. Hield (drawn by I. Thomas),3,0
12,1,9:51.0,,T. Bryant makes 2-pt layup from 2 ft (assist by I. Thomas),3,2
13,1,9:32.0,R. Holmes makes 2-pt hook shot from 4 ft (assist by B. Hield),,5,2
14,1,9:15.0,,R. Hachimura misses 2-pt hook shot from 5 ft (block by R. Holmes),5,2
15,1,9:10.0,Defensive rebound by B. Hield,,5,2
16,1,9:08.0,Turnover by B. Hield (bad pass; steal by R. Hachimura),,5,2
17,1,9:00.0,,T. Brown misses 2-pt jump shot from 3 ft,5,2
18,1,8:58.0,Defensive rebound by N. Bjelica,,5,2
19,1,8:53.0,N. Bjelica misses 2-pt jump shot from 9 ft,,5,2
20,1,8:46.0,Offensive rebound by N. Bjelica,,5,2
21,1,8:46.0,N. Bjelica misses 2-pt layup from 1 ft,,5,2
22,1,8:46.0,,Defensive rebound by R. Hachimura,5,2
23,1,8:36.0,,I. Thomas makes 2-pt jump shot from 15 ft,5,4
24,1,8:36.0,,Shooting foul by N. Bjelica (drawn by I. Thomas),5,4
25,1,8:36.0,,I. Thomas makes free throw 1 of 1,5,5
26,1,8:23.0,C. Joseph makes 2-pt jump shot from 19 ft,,7,5
27,1,8:03.0,,Turnover by I. Thomas (bad pass; steal by N. Bjelica),7,5
28,1,7:58.0,Turnover by N. Bjelica (bad pass; steal by T. Brown),,7,5
29,1,7:51.0,,T. Brown misses 2-pt hook shot from 3 ft,7,5
30,1,7:47.0,Defensive rebound by R. Holmes,,7,5
31,1,7:43.0,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),,9,5
