,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:40.0,K. Leonard misses 2-pt jump shot from 8 ft,,0,0
2,1,11:38.0,,Defensive rebound by D. Finney-Smith,0,0
3,1,11:32.0,,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by T. Hardaway),0,3
4,1,11:21.0,P. George misses 2-pt jump shot from 17 ft,,0,3
5,1,11:17.0,,Defensive rebound by K. Porziņģis,0,3
6,1,11:00.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,0,3
7,1,10:57.0,Defensive rebound by M. Harkless,,0,3
8,1,10:48.0,K. Leonard misses 2-pt layup from 1 ft,,0,3
9,1,10:46.0,Offensive rebound by K. Leonard,,0,3
10,1,10:45.0,K. Leonard misses 2-pt layup from 1 ft,,0,3
11,1,10:43.0,,Defensive rebound by K. Porziņģis,0,3
12,1,10:39.0,,L. Dončić misses 3-pt jump shot from 29 ft,0,3
13,1,10:36.0,Defensive rebound by M. Harkless,,0,3
14,1,10:29.0,P. George makes 3-pt jump shot from 23 ft (assist by K. Leonard),,3,3
15,1,10:13.0,,L. Dončić misses 2-pt jump shot from 5 ft,3,3
16,1,10:12.0,Defensive rebound by K. Leonard,,3,3
17,1,10:07.0,I. Zubac makes 2-pt hook shot from 1 ft (assist by K. Leonard),,5,3
18,1,9:49.0,,Turnover by K. Porziņģis (bad pass; steal by M. Harkless),5,3
19,1,9:45.0,P. Beverley misses 3-pt jump shot from 23 ft,,5,3
20,1,9:42.0,,Defensive rebound by L. Dončić,5,3
21,1,9:21.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),5,5
22,1,9:00.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by P. George),,8,5
23,1,8:48.0,,L. Dončić misses 2-pt layup from 1 ft,8,5
24,1,8:46.0,Defensive rebound by P. Beverley,,8,5
25,1,8:41.0,K. Leonard makes 2-pt layup at rim (assist by P. Beverley),,10,5
26,1,8:41.0,,Dallas full timeout,10,5
27,1,8:25.0,,Shooting foul by I. Zubac (drawn by L. Dončić),10,5
28,1,8:25.0,,L. Dončić makes free throw 1 of 2,10,6
29,1,8:25.0,,L. Dončić makes free throw 2 of 2,10,7
30,1,8:02.0,P. George misses 3-pt jump shot from 25 ft,,10,7
31,1,8:01.0,Offensive rebound by I. Zubac,,10,7
32,1,8:00.0,I. Zubac makes 2-pt hook shot from 1 ft,,12,7
33,1,7:43.0,,D. Powell makes 3-pt jump shot from 26 ft (assist by L. Dončić),12,10
34,1,7:28.0,P. George misses 3-pt jump shot from 25 ft,,12,10
35,1,7:26.0,Offensive rebound by Team,,12,10
36,1,7:26.0,Personal foul by T. Hardaway (drawn by P. Beverley),,12,10
37,1,7:15.0,K. Leonard misses 2-pt jump shot from 11 ft,,12,10
38,1,7:12.0,,Defensive rebound by D. Finney-Smith,12,10
39,1,7:04.0,,L. Dončić makes 2-pt jump shot from 8 ft,12,12
40,1,6:55.0,Personal foul by D. Finney-Smith (drawn by K. Leonard),,12,12
41,1,6:49.0,P. George makes 3-pt jump shot from 25 ft (assist by P. Beverley),,15,12
42,1,6:36.0,,T. Hardaway misses 3-pt jump shot from 28 ft,15,12
43,1,6:33.0,Defensive rebound by I. Zubac,,15,12
44,1,6:22.0,K. Leonard misses 2-pt jump shot from 11 ft,,15,12
