,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
0,1,11:42.0,,K. Nunn makes 2-pt layup from 1 ft,0,2
1,1,11:25.0,G. Robinson misses 2-pt jump shot from 19 ft,,0,2
2,1,11:23.0,,Defensive rebound by B. Adebayo,0,2
3,1,11:07.0,,D. Robinson makes 3-pt jump shot from 27 ft (assist by M. Leonard),0,5
4,1,10:51.0,D. Green makes 2-pt jump shot from 19 ft (assist by E. Paschall),,2,5
5,1,10:36.0,,K. Nunn makes 2-pt jump shot from 14 ft,2,7
6,1,10:28.0,,Violation by Team (kicked ball),2,7
7,1,10:18.0,D. Green misses 3-pt jump shot from 26 ft,,2,7
8,1,10:14.0,,Defensive rebound by M. Leonard,2,7
9,1,9:54.0,,B. Adebayo misses 2-pt layup from 2 ft,2,7
10,1,9:52.0,,Offensive rebound by B. Adebayo,2,7
11,1,9:50.0,,B. Adebayo makes 2-pt layup from 2 ft,2,9
12,1,9:37.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,2,9
13,1,9:35.0,,Defensive rebound by J. Butler,2,9
14,1,9:25.0,,D. Robinson misses 3-pt jump shot from 23 ft,2,9
15,1,9:21.0,Defensive rebound by W. Cauley-Stein,,2,9
16,1,9:16.0,A. Burks misses 3-pt jump shot from 23 ft,,2,9
17,1,9:14.0,,Defensive rebound by M. Leonard,2,9
18,1,9:05.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),2,12
19,1,9:04.0,Golden State full timeout,,2,12
20,1,8:51.0,G. Robinson misses 2-pt jump shot from 4 ft,,2,12
21,1,8:49.0,,Defensive rebound by M. Leonard,2,12
22,1,8:36.0,Violation by Team (kicked ball),,2,12
23,1,8:29.0,,Shooting foul by W. Cauley-Stein (drawn by J. Butler),2,12
24,1,8:29.0,,J. Butler makes free throw 1 of 2,2,13
25,1,8:29.0,,J. Butler makes free throw 2 of 2,2,14
26,1,8:14.0,A. Burks makes 2-pt jump shot from 14 ft (assist by D. Green),,4,14
27,1,7:56.0,,Personal foul by D. Green (drawn by B. Adebayo),4,14
28,1,7:47.0,,K. Nunn misses 3-pt jump shot from 25 ft,4,14
29,1,7:45.0,Defensive rebound by W. Cauley-Stein,,4,14
30,1,7:37.0,E. Paschall misses 2-pt jump shot from 11 ft,,4,14
31,1,7:33.0,,Defensive rebound by K. Nunn,4,14
32,1,7:16.0,,K. Nunn makes 2-pt layup from 2 ft (assist by J. Butler),4,16
33,1,6:56.0,E. Paschall misses 2-pt jump shot from 16 ft,,4,16
34,1,6:54.0,,Defensive rebound by M. Leonard,4,16
35,1,6:42.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),4,19
36,1,6:27.0,A. Burks makes 2-pt layup from 1 ft (assist by D. Green),,6,19
37,1,6:07.0,,M. Leonard makes 2-pt layup from 1 ft (assist by J. Butler),6,21
38,1,6:07.0,Golden State full timeout,,6,21
39,1,6:07.0,K. Bowman enters the game for D. Green,,6,21
40,1,5:43.0,G. Robinson misses 2-pt jump shot from 20 ft (block by B. Adebayo),,6,21
41,1,5:40.0,,Defensive rebound by J. Butler,6,21
