,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
0,1,11:44.0,,J. McGee misses 2-pt layup from 3 ft,0,0
1,1,11:42.0,Defensive rebound by K. Porziņģis,,0,0
2,1,11:32.0,T. Hardaway makes 2-pt layup from 1 ft (assist by L. Dončić),,2,0
3,1,11:17.0,,L. James misses 3-pt jump shot from 25 ft,2,0
4,1,11:13.0,,Offensive rebound by J. McGee,2,0
5,1,11:02.0,,A. Davis misses 2-pt hook shot from 10 ft,2,0
6,1,10:59.0,,Offensive rebound by J. McGee,2,0
7,1,10:48.0,,D. Green makes 2-pt jump shot from 7 ft (assist by K. Caldwell-Pope),2,2
8,1,10:32.0,L. Dončić misses 2-pt jump shot from 10 ft,,2,2
9,1,10:32.0,,Defensive rebound by Team,2,2
10,1,10:32.0,Loose ball foul by D. Finney-Smith (drawn by J. McGee),,2,2
11,1,10:24.0,,Personal foul by D. Powell (drawn by A. Davis),2,2
12,1,10:19.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. James),2,4
13,1,10:04.0,Turnover by K. Porziņģis (bad pass; steal by L. James),,2,4
14,1,9:49.0,,A. Davis misses 2-pt jump shot from 6 ft,2,4
15,1,9:44.0,,Offensive rebound by J. McGee,2,4
16,1,9:44.0,,J. McGee misses 2-pt layup from 1 ft,2,4
17,1,9:44.0,Defensive rebound by K. Porziņģis,,2,4
18,1,9:36.0,Turnover by K. Porziņģis (lost ball; steal by L. James),,2,4
19,1,9:32.0,,L. James makes 2-pt dunk from 1 ft,2,6
20,1,9:32.0,Dallas full timeout,,2,6
21,1,9:10.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by L. Dončić),,5,6
22,1,8:50.0,,D. Green makes 3-pt jump shot from 27 ft (assist by L. James),5,9
23,1,8:38.0,Turnover by L. Dončić (bad pass; steal by L. James),,5,9
24,1,8:36.0,,K. Caldwell-Pope makes 2-pt dunk from 1 ft (assist by L. James),5,11
25,1,8:22.0,Personal foul by L. James (drawn by L. Dončić),,5,11
26,1,8:10.0,K. Porziņģis misses 3-pt jump shot from 28 ft,,5,11
27,1,8:07.0,,Defensive rebound by L. James,5,11
28,1,8:01.0,,A. Davis makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),5,13
29,1,7:48.0,L. Dončić misses 3-pt jump shot from 27 ft,,5,13
30,1,7:45.0,,Defensive rebound by J. McGee,5,13
31,1,7:39.0,,A. Davis misses 2-pt jump shot from 19 ft,5,13
32,1,7:36.0,,Offensive rebound by Team,5,13
33,1,7:34.0,,D. Green misses 3-pt jump shot from 26 ft,5,13
34,1,7:31.0,Defensive rebound by T. Hardaway,,5,13
35,1,7:26.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,5,13
36,1,7:23.0,,Defensive rebound by L. James,5,13
37,1,7:19.0,,Turnover by L. James (bad pass; steal by T. Hardaway),5,13
38,1,7:10.0,D. Finney-Smith misses 3-pt jump shot from 27 ft,,5,13
39,1,7:08.0,,Defensive rebound by J. McGee,5,13
40,1,7:02.0,,L. James makes 2-pt layup from 2 ft,5,15
41,1,6:40.0,D. Powell misses 3-pt jump shot from 22 ft,,5,15
42,1,6:38.0,,Defensive rebound by A. Davis,5,15
43,1,6:38.0,,Personal foul by D. Finney-Smith (drawn by A. Davis),5,15
44,1,6:38.0,D. Wright enters the game for D. Finney-Smith,,5,15
45,1,6:28.0,,A. Davis misses 2-pt layup from 3 ft,5,15
46,1,6:28.0,Defensive rebound by Team,,5,15
47,1,6:14.0,T. Hardaway misses 3-pt jump shot from 30 ft,,5,15
48,1,6:09.0,Offensive rebound by D. Powell,,5,15
49,1,6:04.0,T. Hardaway misses 3-pt jump shot from 24 ft,,5,15
50,1,5:56.0,Offensive rebound by K. Porziņģis,,5,15
51,1,5:56.0,K. Porziņģis makes 2-pt layup at rim,,7,15
52,1,5:49.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,7,15
53,1,5:46.0,Defensive rebound by L. Dončić,,7,15
54,1,5:39.0,L. Dončić makes 3-pt jump shot from 27 ft,,10,15
55,1,5:32.0,,LA Lakers full timeout,10,15
56,1,5:32.0,,A. Caruso enters the game for K. Caldwell-Pope,10,15
57,1,5:32.0,,K. Kuzma enters the game for J. McGee,10,15
58,1,5:31.0,,Turnover by L. James (bad pass),10,15
59,1,5:14.0,D. Wright makes 3-pt jump shot from 25 ft (assist by L. Dončić),,13,15
60,1,5:02.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by L. James),13,17
61,1,4:47.0,Turnover by L. Dončić (bad pass; steal by D. Green),,13,17
62,1,4:39.0,,L. James makes 2-pt layup from 2 ft (assist by K. Kuzma),13,19
63,1,4:24.0,K. Porziņģis makes 2-pt jump shot from 15 ft,,15,19
64,1,4:09.0,,A. Caruso misses 2-pt jump shot from 15 ft,15,19
65,1,4:06.0,Defensive rebound by L. Dončić,,15,19
66,1,4:01.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,15,19
67,1,3:59.0,,Defensive rebound by A. Caruso,15,19
68,1,3:55.0,,D. Green makes 3-pt jump shot from 26 ft (assist by L. James),15,22
69,1,3:38.0,Offensive foul by L. Dončić (drawn by L. James),,15,22
70,1,3:38.0,Turnover by L. Dončić (offensive foul),,15,22
71,1,3:38.0,S. Curry enters the game for T. Hardaway,,15,22
72,1,3:38.0,M. Kleber enters the game for D. Powell,,15,22
73,1,3:38.0,,R. Rondo enters the game for L. James,15,22
74,1,3:28.0,,D. Green misses 2-pt layup from 3 ft,15,22
75,1,3:26.0,Defensive rebound by M. Kleber,,15,22
76,1,3:08.0,L. Dončić misses 2-pt layup from 8 ft (block by A. Davis),,15,22
77,1,3:05.0,,Defensive rebound by A. Caruso,15,22
78,1,3:00.0,,Turnover by A. Caruso (bad pass; steal by D. Wright),15,22
79,1,2:46.0,S. Curry misses 2-pt jump shot from 19 ft,,15,22
80,1,2:42.0,,Defensive rebound by A. Caruso,15,22
81,1,2:31.0,,A. Davis makes 2-pt layup from 4 ft (assist by R. Rondo),15,24
82,1,2:20.0,L. Dončić misses 3-pt jump shot from 27 ft,,15,24
83,1,2:20.0,Offensive rebound by M. Kleber,,15,24
84,1,2:10.0,L. Dončić makes 2-pt layup from 2 ft,,17,24
85,1,2:10.0,Shooting foul by K. Kuzma (drawn by L. Dončić),,17,24
86,1,2:10.0,,T. Daniels enters the game for D. Green,17,24
87,1,2:10.0,L. Dončić makes free throw 1 of 1,,18,24
