,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:38.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by W. Barton),0,3
2,1,11:11.0,Turnover by L. James (bad pass; steal by G. Harris),,0,3
3,1,11:05.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),0,5
4,1,10:54.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,,2,5
5,1,10:38.0,,Turnover by J. Murray (bad pass; steal by K. Caldwell-Pope),2,5
6,1,10:32.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,2,5
7,1,10:30.0,Offensive rebound by J. McGee,,2,5
8,1,10:19.0,L. James makes 2-pt jump shot from 17 ft (assist by D. Green),,4,5
9,1,10:10.0,,Turnover by N. Jokić (bad pass; steal by K. Caldwell-Pope),4,5
10,1,10:05.0,L. James makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),,6,5
11,1,9:54.0,,N. Jokić misses 3-pt jump shot from 25 ft,6,5
12,1,9:52.0,Defensive rebound by L. James,,6,5
13,1,9:46.0,L. James makes 2-pt layup from 2 ft,,8,5
14,1,9:29.0,,P. Millsap misses 2-pt jump shot from 9 ft,8,5
15,1,9:28.0,Defensive rebound by D. Green,,8,5
16,1,9:13.0,J. McGee makes 2-pt jump shot from 4 ft (assist by K. Caldwell-Pope),,10,5
17,1,9:01.0,,G. Harris misses 2-pt jump shot from 5 ft,10,5
18,1,9:01.0,,Offensive rebound by Team,10,5
19,1,9:01.0,Loose ball foul by D. Green (drawn by N. Jokić),,10,5
20,1,8:57.0,,Shooting foul by J. McGee (drawn by N. Jokić),10,5
21,1,8:57.0,,N. Jokić makes free throw 1 of 2,10,6
22,1,8:57.0,,N. Jokić misses free throw 2 of 2,10,6
23,1,8:55.0,Defensive rebound by J. McGee,,10,6
24,1,8:47.0,J. McGee makes 2-pt layup from 2 ft (assist by A. Davis),,12,6
25,1,8:29.0,,G. Harris makes 2-pt jump shot from 16 ft (assist by N. Jokić),12,8
26,1,8:14.0,J. McGee misses 2-pt jump shot from 19 ft,,12,8
27,1,8:11.0,Offensive rebound by L. James,,12,8
28,1,8:10.0,L. James makes 2-pt layup at rim,,14,8
29,1,7:55.0,,W. Barton misses 3-pt jump shot from 23 ft,14,8
30,1,7:51.0,Defensive rebound by K. Caldwell-Pope,,14,8
31,1,7:46.0,Turnover by K. Caldwell-Pope (bad pass; steal by N. Jokić),,14,8
32,1,7:32.0,,W. Barton misses 2-pt layup from 2 ft (block by J. McGee),14,8
33,1,7:30.0,Defensive rebound by J. McGee,,14,8
34,1,7:25.0,LA Lakers full timeout,,14,8
35,1,7:17.0,A. Davis misses 2-pt jump shot from 23 ft,,14,8
36,1,7:13.0,Offensive rebound by K. Caldwell-Pope,,14,8
37,1,7:10.0,Turnover by J. McGee (traveling),,14,8
38,1,6:58.0,,N. Jokić misses 2-pt jump shot from 11 ft,14,8
39,1,6:55.0,Defensive rebound by K. Caldwell-Pope,,14,8
40,1,6:32.0,A. Davis misses 3-pt jump shot from 24 ft,,14,8
41,1,6:28.0,,Defensive rebound by W. Barton,14,8
42,1,6:24.0,,P. Millsap makes 2-pt layup from 1 ft (assist by W. Barton),14,10
43,1,6:24.0,Violation by Team (def goaltending),,14,10
44,1,6:07.0,L. James makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,17,10
45,1,5:40.0,,P. Millsap misses 2-pt jump shot from 13 ft,17,10
46,1,5:37.0,Defensive rebound by J. McGee,,17,10
47,1,5:19.0,L. James misses 2-pt jump shot from 17 ft,,17,10
48,1,5:16.0,,Defensive rebound by J. Murray,17,10
49,1,5:12.0,,J. Murray makes 2-pt layup from 1 ft,17,12
50,1,5:12.0,Violation by Team (def goaltending),,17,12
51,1,4:55.0,Turnover by A. Davis (bad pass; steal by J. Murray),,17,12
52,1,4:50.0,,J. Murray makes 2-pt layup from 1 ft,17,14
53,1,4:35.0,J. McGee misses 2-pt jump shot from 13 ft,,17,14
54,1,4:32.0,,Defensive rebound by W. Barton,17,14
55,1,4:27.0,,W. Barton misses 3-pt jump shot from 25 ft,17,14
56,1,4:25.0,Defensive rebound by L. James,,17,14
57,1,4:19.0,D. Green makes 2-pt jump shot from 13 ft,,19,14
58,1,4:01.0,,Turnover by N. Jokić (lost ball; steal by D. Green),19,14
59,1,3:57.0,D. Green misses 3-pt jump shot from 24 ft,,19,14
60,1,3:53.0,,Defensive rebound by W. Barton,19,14
61,1,3:44.0,,G. Harris makes 2-pt jump shot from 8 ft (assist by N. Jokić),19,16
62,1,3:43.0,LA Lakers full timeout,,19,16
63,1,3:43.0,T. Daniels enters the game for D. Green,,19,16
64,1,3:43.0,K. Kuzma enters the game for L. James,,19,16
65,1,3:43.0,R. Rondo enters the game for J. McGee,,19,16
66,1,3:43.0,,J. Grant enters the game for W. Barton,19,16
67,1,3:43.0,,J. Hernangómez enters the game for P. Millsap,19,16
68,1,3:28.0,Personal foul by N. Jokić (drawn by A. Davis),,19,16
69,1,3:27.0,Turnover by R. Rondo (bad pass; steal by N. Jokić),,19,16
70,1,3:19.0,,G. Harris misses 3-pt jump shot from 26 ft,19,16
71,1,3:15.0,Defensive rebound by A. Davis,,19,16
72,1,3:12.0,T. Daniels makes 3-pt jump shot from 22 ft (assist by R. Rondo),,22,16
73,1,2:49.0,,G. Harris misses 2-pt layup from 3 ft,22,16
74,1,2:48.0,Defensive rebound by R. Rondo,,22,16
75,1,2:43.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by R. Rondo),,25,16
76,1,2:27.0,,J. Murray misses 2-pt jump shot from 13 ft,25,16
77,1,2:24.0,Defensive rebound by A. Davis,,25,16
78,1,2:16.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,25,16
79,1,2:12.0,,Defensive rebound by N. Jokić,25,16
80,1,2:06.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),25,18
81,1,1:49.0,Personal foul by J. Hernangómez (drawn by A. Davis),,25,18
82,1,1:49.0,D. Howard enters the game for A. Davis,,25,18
83,1,1:49.0,,M. Beasley enters the game for G. Harris,25,18
84,1,1:49.0,,M. Plumlee enters the game for N. Jokić,25,18
85,1,1:46.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,25,18
86,1,1:39.0,Offensive rebound by D. Howard,,25,18
87,1,1:39.0,D. Howard misses 2-pt layup at rim,,25,18
88,1,1:38.0,,Defensive rebound by M. Plumlee,25,18
89,1,1:35.0,,J. Murray makes 2-pt jump shot from 17 ft,25,20
90,1,1:35.0,,Shooting foul by D. Howard (drawn by J. Murray),25,20
91,1,1:35.0,A. Caruso enters the game for K. Caldwell-Pope,,25,20
92,1,1:35.0,,J. Murray makes free throw 1 of 1,25,21
93,1,1:25.0,R. Rondo misses 2-pt jump shot from 15 ft,,25,21
94,1,1:23.0,,Defensive rebound by M. Plumlee,25,21
95,1,1:12.0,,J. Murray misses 2-pt jump shot from 15 ft,25,21
96,1,1:09.0,Defensive rebound by D. Howard,,25,21
97,1,0:58.0,Def 3 sec tech foul by Team,,25,21
98,1,0:58.0,T. Daniels misses technical free throw,,25,21
99,1,0:58.0,Offensive rebound by Team,,25,21
100,1,0:58.0,,M. Morris enters the game for J. Murray,25,21
101,1,0:47.0,Turnover by K. Kuzma (bad pass; steal by J. Hernangómez),,25,21
102,1,0:36.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by M. Morris),25,24
103,1,0:20.0,R. Rondo makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,28,24
104,1,0:01.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,28,24
105,1,0:01.0,Defensive rebound by D. Howard,,28,24
106,2,11:50.0,K. Kuzma misses 2-pt jump shot from 7 ft,,28,24
107,2,11:49.0,Offensive rebound by K. Kuzma,,28,24
108,2,11:47.0,K. Kuzma makes 2-pt jump shot from 5 ft,,30,24
109,2,11:30.0,,M. Beasley makes 2-pt dunk at rim (assist by M. Plumlee),30,26
110,2,11:19.0,D. Howard makes 2-pt dunk from 2 ft (assist by R. Rondo),,32,26
111,2,11:05.0,,M. Beasley misses 2-pt jump shot from 7 ft,32,26
112,2,11:03.0,Defensive rebound by D. Howard,,32,26
113,2,10:57.0,R. Rondo makes 2-pt layup from 2 ft,,34,26
114,2,10:56.0,,Denver full timeout,34,26
115,2,10:45.0,,J. Grant makes 2-pt dunk from 1 ft (assist by M. Plumlee),34,28
116,2,10:26.0,R. Rondo misses 2-pt layup from 3 ft (block by M. Morris),,34,28
117,2,10:26.0,Offensive rebound by Team,,34,28
118,2,10:26.0,,W. Barton enters the game for J. Hernangómez,34,28
119,2,10:22.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by L. James),,36,28
120,2,10:08.0,,M. Morris makes 2-pt jump shot from 7 ft,36,30
121,2,9:41.0,A. Caruso misses 3-pt jump shot from 23 ft,,36,30
122,2,9:38.0,,Defensive rebound by M. Plumlee,36,30
123,2,9:27.0,,Personal foul by A. Caruso (drawn by M. Plumlee),36,30
124,2,9:19.0,,Shooting foul by A. Caruso (drawn by M. Plumlee),36,30
125,2,9:19.0,,M. Plumlee makes free throw 1 of 2,36,31
126,2,9:19.0,,M. Plumlee makes free throw 2 of 2,36,32
127,2,9:04.0,D. Howard makes 2-pt dunk from 2 ft (assist by L. James),,38,32
128,2,8:48.0,,M. Beasley makes 2-pt jump shot from 22 ft (assist by J. Grant),38,34
129,2,8:26.0,Personal foul by J. Grant (drawn by D. Howard),,38,34
130,2,8:26.0,D. Green enters the game for R. Rondo,,38,34
131,2,8:22.0,Personal foul by M. Morris (drawn by D. Howard),,38,34
132,2,8:13.0,D. Green misses 2-pt jump shot from 10 ft,,38,34
133,2,8:12.0,Offensive rebound by D. Green,,38,34
134,2,8:10.0,Turnover by K. Kuzma (step out of bounds),,38,34
135,2,7:58.0,,M. Beasley makes 2-pt jump shot from 17 ft (assist by M. Morris),38,36
136,2,7:39.0,D. Green misses 3-pt jump shot from 22 ft,,38,36
137,2,7:34.0,Offensive rebound by A. Caruso,,38,36
138,2,7:34.0,A. Caruso makes 2-pt dunk at rim,,40,36
139,2,7:29.0,,M. Morris misses 2-pt jump shot from 9 ft,40,36
140,2,7:27.0,Defensive rebound by A. Caruso,,40,36
141,2,7:23.0,Shooting foul by M. Plumlee (drawn by D. Howard),,40,36
142,2,7:23.0,D. Howard misses free throw 1 of 2,,40,36
143,2,7:23.0,Offensive rebound by Team,,40,36
144,2,7:23.0,A. Davis enters the game for K. Kuzma,,40,36
145,2,7:23.0,D. Howard makes free throw 2 of 2,,41,36
