,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,J. Jackson misses 2-pt layup from 4 ft (block by D. Green),,0,0
1,1,11:36.0,Offensive rebound by Team,,0,0
2,1,11:36.0,Turnover by Team (shot clock),,0,0
3,1,11:22.0,,Shooting foul by J. Morant (drawn by D. Russell),0,0
4,1,11:22.0,,D. Russell misses free throw 1 of 2,0,0
5,1,11:22.0,,Offensive rebound by Team,0,0
6,1,11:22.0,,D. Russell makes free throw 2 of 2,0,1
7,1,11:10.0,J. Morant misses 3-pt jump shot from 27 ft,,0,1
8,1,11:08.0,,Defensive rebound by D. Russell,0,1
9,1,11:03.0,,Turnover by D. Green (lost ball; steal by J. Jackson),0,1
10,1,10:51.0,D. Brooks makes 2-pt jump shot from 11 ft (assist by J. Valančiūnas),,2,1
11,1,10:39.0,,D. Green makes 2-pt layup from 2 ft,2,3
12,1,10:39.0,,Shooting foul by J. Crowder (drawn by D. Green),2,3
13,1,10:39.0,,D. Green makes free throw 1 of 1,2,4
14,1,10:26.0,D. Brooks misses 3-pt jump shot from 27 ft,,2,4
15,1,10:24.0,,Defensive rebound by W. Cauley-Stein,2,4
16,1,10:14.0,,E. Paschall misses 2-pt jump shot from 21 ft (block by J. Jackson),2,4
17,1,10:12.0,Defensive rebound by J. Valančiūnas,,2,4
18,1,10:08.0,Shooting foul by D. Russell (drawn by J. Morant),,2,4
19,1,10:08.0,J. Morant makes free throw 1 of 2,,3,4
20,1,10:08.0,J. Morant makes free throw 2 of 2,,4,4
21,1,9:53.0,,D. Russell makes 2-pt jump shot from 13 ft,4,6
22,1,9:34.0,J. Valančiūnas makes 3-pt jump shot from 23 ft (assist by D. Brooks),,7,6
23,1,9:17.0,,D. Russell misses 2-pt jump shot from 18 ft,7,6
24,1,9:15.0,Defensive rebound by J. Morant,,7,6
25,1,9:10.0,J. Valančiūnas makes 3-pt jump shot from 27 ft (assist by J. Morant),,10,6
26,1,8:54.0,,G. Robinson misses 3-pt jump shot from 26 ft,10,6
27,1,8:52.0,Defensive rebound by J. Crowder,,10,6
28,1,8:50.0,J. Morant misses 2-pt jump shot from 7 ft (block by D. Green),,10,6
29,1,8:49.0,Offensive rebound by Team,,10,6
30,1,8:44.0,J. Jackson misses 3-pt jump shot from 23 ft,,10,6
31,1,8:42.0,,Defensive rebound by W. Cauley-Stein,10,6
32,1,8:35.0,,Turnover by D. Russell (bad pass; steal by D. Brooks),10,6
33,1,8:30.0,J. Crowder misses 2-pt layup from 4 ft (block by E. Paschall),,10,6
34,1,8:28.0,,Defensive rebound by D. Russell,10,6
35,1,8:24.0,,D. Green misses 2-pt layup from 4 ft,10,6
36,1,8:22.0,Defensive rebound by D. Brooks,,10,6
37,1,8:16.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Morant),,13,6
38,1,8:16.0,,Golden State full timeout,13,6
39,1,8:02.0,,G. Robinson makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),13,8
40,1,7:40.0,J. Crowder misses 3-pt jump shot from 27 ft,,13,8
41,1,7:38.0,,Defensive rebound by W. Cauley-Stein,13,8
42,1,7:29.0,,E. Paschall misses 2-pt layup from 5 ft,13,8
43,1,7:27.0,Defensive rebound by J. Valančiūnas,,13,8
44,1,7:24.0,J. Jackson misses 3-pt jump shot from 27 ft,,13,8
45,1,7:22.0,,Defensive rebound by E. Paschall,13,8
46,1,7:15.0,,D. Green makes 3-pt jump shot from 25 ft (assist by D. Russell),13,11
47,1,6:57.0,J. Jackson makes 3-pt jump shot from 28 ft (assist by J. Morant),,16,11
48,1,6:43.0,,D. Russell misses 2-pt jump shot from 11 ft,16,11
49,1,6:42.0,Defensive rebound by J. Valančiūnas,,16,11
50,1,6:28.0,Turnover by J. Morant (bad pass; steal by G. Robinson),,16,11
51,1,6:18.0,,Turnover by D. Green (bad pass; steal by J. Crowder),16,11
52,1,6:09.0,J. Morant makes 3-pt jump shot from 28 ft (assist by J. Jackson),,19,11
53,1,5:45.0,,Turnover by D. Russell (lost ball; steal by D. Brooks),19,11
54,1,5:42.0,J. Crowder makes 2-pt dunk from 2 ft (assist by J. Morant),,21,11
55,1,5:27.0,,E. Paschall misses 2-pt jump shot from 9 ft,21,11
56,1,5:26.0,Defensive rebound by J. Morant,,21,11
57,1,5:18.0,Personal foul by D. Green (drawn by J. Crowder),,21,11
58,1,5:18.0,G. Allen enters the game for D. Brooks,,21,11
59,1,5:18.0,S. Hill enters the game for J. Morant,,21,11
