,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:43.0,,D. Hunter misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:18.0,M. Brogdon makes 2-pt layup from 1 ft (assist by D. Sabonis),,2,0
3,1,11:06.0,,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),2,2
4,1,10:47.0,Turnover by M. Brogdon (bad pass; steal by K. Huerter),,2,2
5,1,10:42.0,,J. Parker makes 2-pt dunk from 1 ft (assist by K. Huerter),2,4
6,1,10:22.0,M. Brogdon misses 3-pt jump shot from 25 ft,,2,4
7,1,10:20.0,,Defensive rebound by J. Parker,2,4
8,1,10:02.0,,D. Jones makes 2-pt dunk from 1 ft (assist by K. Huerter),2,6
9,1,9:45.0,T. Warren makes 2-pt jump shot from 11 ft,,4,6
10,1,9:34.0,,T. Young misses 2-pt jump shot from 12 ft,4,6
11,1,9:32.0,Defensive rebound by M. Turner,,4,6
12,1,9:26.0,M. Turner makes 2-pt layup from 1 ft (assist by M. Brogdon),,6,6
13,1,9:12.0,,K. Huerter misses 2-pt jump shot from 17 ft,6,6
14,1,9:08.0,Defensive rebound by D. Sabonis,,6,6
15,1,9:01.0,Personal foul by D. Jones (drawn by D. Sabonis),,6,6
16,1,8:51.0,M. Turner misses 3-pt jump shot from 26 ft,,6,6
17,1,8:48.0,,Defensive rebound by D. Jones,6,6
18,1,8:45.0,,Shooting foul by D. Sabonis (drawn by T. Young),6,6
19,1,8:45.0,,T. Young makes free throw 1 of 2,6,7
20,1,8:45.0,,T. Young makes free throw 2 of 2,6,8
21,1,8:38.0,T. Warren misses 2-pt layup from 2 ft,,6,8
22,1,8:33.0,,Defensive rebound by D. Jones,6,8
23,1,8:32.0,,Turnover by D. Jones (bad pass; steal by D. Sabonis),6,8
24,1,8:22.0,M. Turner makes 2-pt jump shot from 19 ft (assist by J. Lamb),,8,8
25,1,8:02.0,,J. Parker misses 3-pt jump shot from 27 ft,8,8
26,1,8:01.0,,Offensive rebound by D. Jones,8,8
27,1,7:56.0,,Turnover by T. Young (bad pass),8,8
28,1,7:38.0,D. Sabonis makes 2-pt hook shot from 5 ft,,10,8
29,1,7:28.0,,D. Jones makes 2-pt layup from 1 ft (assist by T. Young),10,10
30,1,7:14.0,T. Warren misses 2-pt layup from 1 ft,,10,10
31,1,7:12.0,Offensive rebound by T. Warren,,10,10
32,1,7:12.0,T. Warren makes 2-pt layup from 1 ft,,12,10
33,1,7:12.0,Shooting foul by D. Hunter (drawn by T. Warren),,12,10
34,1,7:12.0,,A. Len enters the game for D. Jones,12,10
35,1,7:12.0,T. Warren makes free throw 1 of 1,,13,10
36,1,7:02.0,,K. Huerter makes 2-pt jump shot from 12 ft,13,12
37,1,6:53.0,J. Lamb misses 2-pt layup from 4 ft,,13,12
38,1,6:51.0,,Defensive rebound by A. Len,13,12
39,1,6:48.0,,Turnover by T. Young (bad pass; steal by T. Warren),13,12
40,1,6:37.0,M. Brogdon makes 2-pt layup from 1 ft,,15,12
41,1,6:37.0,,Atlanta full timeout,15,12
42,1,6:19.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),15,14
43,1,6:06.0,J. Lamb misses 2-pt jump shot from 12 ft,,15,14
44,1,6:00.0,Offensive rebound by M. Brogdon,,15,14
45,1,5:58.0,M. Turner misses 3-pt jump shot from 26 ft,,15,14
46,1,5:54.0,,Defensive rebound by T. Young,15,14
47,1,5:46.0,,T. Young misses 2-pt jump shot from 10 ft,15,14
48,1,5:41.0,Defensive rebound by D. Sabonis,,15,14
49,1,5:34.0,Turnover by M. Turner (traveling),,15,14
50,1,5:34.0,J. Holiday enters the game for D. Sabonis,,15,14
51,1,5:34.0,,A. Crabbe enters the game for K. Huerter,15,14
52,1,5:34.0,,C. Reddish enters the game for J. Parker,15,14
53,1,5:23.0,,Shooting foul by M. Turner (drawn by A. Len),15,14
54,1,5:23.0,,A. Len makes free throw 1 of 2,15,15
55,1,5:23.0,,A. Len misses free throw 2 of 2,15,15
56,1,5:21.0,Defensive rebound by J. Holiday,,15,15
57,1,5:04.0,T. Warren makes 2-pt jump shot from 20 ft,,17,15
58,1,4:51.0,,D. Hunter makes 2-pt jump shot from 17 ft (assist by T. Young),17,17
59,1,4:39.0,T. Warren misses 2-pt layup from 4 ft,,17,17
60,1,4:37.0,,Defensive rebound by C. Reddish,17,17
61,1,4:26.0,,Turnover by C. Reddish (traveling),17,17
62,1,4:26.0,A. Holiday enters the game for J. Lamb,,17,17
63,1,4:14.0,M. Turner makes 2-pt layup from 2 ft (assist by M. Brogdon),,19,17
64,1,4:14.0,Shooting foul by A. Len (drawn by M. Turner),,19,17
65,1,4:14.0,,V. Carter enters the game for D. Hunter,19,17
66,1,4:14.0,M. Turner misses free throw 1 of 1,,19,17
67,1,4:11.0,,Defensive rebound by A. Len,19,17
68,1,4:03.0,,T. Young misses 3-pt jump shot from 26 ft,19,17
69,1,3:57.0,Defensive rebound by M. Turner,,19,17
70,1,3:52.0,Shooting foul by A. Crabbe (drawn by M. Brogdon),,19,17
71,1,3:52.0,M. Brogdon makes free throw 1 of 2,,20,17
72,1,3:52.0,M. Brogdon misses free throw 2 of 2,,20,17
73,1,3:49.0,,Defensive rebound by V. Carter,20,17
74,1,3:39.0,,A. Crabbe misses 3-pt jump shot from 25 ft,20,17
75,1,3:36.0,Defensive rebound by M. Brogdon,,20,17
76,1,3:33.0,M. Brogdon makes 2-pt layup from 1 ft,,22,17
77,1,3:27.0,,T. Young misses 3-pt jump shot from 27 ft,22,17
78,1,3:22.0,Defensive rebound by T. Warren,,22,17
79,1,3:19.0,T. Warren misses 2-pt jump shot from 10 ft,,22,17
80,1,3:14.0,,Defensive rebound by T. Young,22,17
81,1,3:11.0,,Atlanta full timeout,22,17
82,1,3:11.0,T. McConnell enters the game for M. Brogdon,,22,17
83,1,3:11.0,D. McDermott enters the game for M. Turner,,22,17
84,1,3:11.0,D. Sabonis enters the game for T. Warren,,22,17
85,1,3:11.0,,K. Huerter enters the game for T. Young,22,17
86,1,3:06.0,,A. Len misses 2-pt dunk from 1 ft,22,17
87,1,3:04.0,Defensive rebound by Team,,22,17
88,1,3:04.0,,Loose ball foul by V. Carter (drawn by A. Holiday),22,17
89,1,3:04.0,A. Holiday misses free throw 1 of 2,,22,17
90,1,3:04.0,Offensive rebound by Team,,22,17
91,1,3:04.0,A. Holiday makes free throw 2 of 2,,23,17
92,1,2:53.0,,A. Crabbe makes 2-pt jump shot from 11 ft (assist by A. Len),23,19
93,1,2:37.0,J. Holiday misses 3-pt jump shot from 26 ft (block by C. Reddish),,23,19
94,1,2:33.0,,Defensive rebound by K. Huerter,23,19
95,1,2:31.0,,C. Reddish misses 3-pt jump shot from 26 ft,23,19
96,1,2:28.0,Defensive rebound by D. Sabonis,,23,19
97,1,2:22.0,T. McConnell makes 2-pt jump shot from 3 ft,,25,19
98,1,2:09.0,,A. Crabbe misses 2-pt jump shot from 19 ft,25,19
99,1,2:06.0,Defensive rebound by D. Sabonis,,25,19
100,1,1:59.0,D. McDermott makes 2-pt dunk from 1 ft (assist by D. Sabonis),,27,19
101,1,1:49.0,,V. Carter misses 3-pt jump shot from 26 ft,27,19
102,1,1:46.0,,Offensive rebound by A. Len,27,19
103,1,1:37.0,,K. Huerter misses 3-pt jump shot from 27 ft,27,19
104,1,1:33.0,Defensive rebound by D. McDermott,,27,19
105,1,1:26.0,A. Holiday misses 2-pt jump shot from 18 ft,,27,19
106,1,1:23.0,,Defensive rebound by C. Reddish,27,19
107,1,1:11.0,,V. Carter misses 2-pt layup from 2 ft,27,19
