,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:43.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,0
1,1,11:23.0,,L. Dončić misses 3-pt jump shot from 24 ft,3,0
2,1,11:19.0,Defensive rebound by M. Leonard,,3,0
3,1,10:57.0,B. Adebayo misses 2-pt jump shot from 9 ft,,3,0
4,1,10:54.0,,Defensive rebound by L. Dončić,3,0
5,1,10:48.0,,Shooting foul by M. Leonard (drawn by L. Dončić),3,0
6,1,10:48.0,,L. Dončić makes free throw 1 of 2,3,1
7,1,10:48.0,,L. Dončić makes free throw 2 of 2,3,2
8,1,10:40.0,J. Butler makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,6,2
9,1,10:27.0,,Turnover by L. Dončić (lost ball; steal by B. Adebayo),6,2
10,1,10:22.0,K. Nunn misses 2-pt layup from 2 ft,,6,2
11,1,10:20.0,,Defensive rebound by D. Finney-Smith,6,2
12,1,10:20.0,,Dallas full timeout,6,2
13,1,10:20.0,,D. Wright enters the game for L. Dončić,6,2
14,1,10:04.0,,T. Hardaway misses 3-pt jump shot from 26 ft,6,2
15,1,10:01.0,Defensive rebound by B. Adebayo,,6,2
16,1,9:52.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,9,2
17,1,9:33.0,,Turnover by T. Hardaway (bad pass; steal by J. Butler),9,2
18,1,9:30.0,Shooting foul by D. Wright (drawn by J. Butler),,9,2
19,1,9:30.0,J. Butler makes free throw 1 of 2,,10,2
20,1,9:30.0,J. Butler makes free throw 2 of 2,,11,2
21,1,9:16.0,,D. Finney-Smith misses 2-pt jump shot from 6 ft,11,2
22,1,9:15.0,,Offensive rebound by D. Wright,11,2
23,1,9:13.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,11,2
24,1,9:10.0,Defensive rebound by D. Robinson,,11,2
25,1,9:00.0,B. Adebayo makes 2-pt layup from 3 ft,,13,2
26,1,8:44.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Wright),13,5
