,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:38.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,0
1,1,11:34.0,,Defensive rebound by M. Bridges,0,0
2,1,11:19.0,,F. Kaminsky makes 2-pt jump shot from 8 ft (assist by R. Rubio),0,2
3,1,11:05.0,D. Lillard misses 3-pt jump shot from 29 ft,,0,2
4,1,11:03.0,,Defensive rebound by M. Bridges,0,2
5,1,10:55.0,,R. Rubio misses 2-pt layup from 1 ft (block by K. Bazemore),0,2
6,1,10:53.0,Defensive rebound by H. Whiteside,,0,2
7,1,10:50.0,Turnover by C. McCollum (step out of bounds),,0,2
8,1,10:42.0,,Turnover by D. Šarić (traveling),0,2
9,1,10:27.0,,Violation by Team (kicked ball),0,2
10,1,10:13.0,D. Lillard misses 2-pt jump shot from 15 ft (block by K. Oubre),,0,2
11,1,10:13.0,,Defensive rebound by F. Kaminsky,0,2
12,1,10:05.0,,K. Oubre makes 2-pt dunk at rim (assist by R. Rubio),0,4
13,1,9:53.0,C. McCollum misses 2-pt layup from 1 ft (block by M. Bridges),,0,4
14,1,9:52.0,Offensive rebound by C. McCollum,,0,4
15,1,9:50.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by C. McCollum),,3,4
16,1,9:27.0,,D. Šarić makes 2-pt layup from 1 ft (assist by M. Bridges),3,6
17,1,9:11.0,D. Lillard misses 2-pt layup from 1 ft,,3,6
18,1,9:09.0,,Defensive rebound by D. Šarić,3,6
19,1,9:05.0,,R. Rubio misses 3-pt jump shot from 25 ft,3,6
20,1,9:02.0,Defensive rebound by K. Bazemore,,3,6
21,1,9:00.0,Offensive foul by H. Whiteside (drawn by R. Rubio),,3,6
22,1,9:00.0,Turnover by H. Whiteside (offensive foul),,3,6
23,1,8:52.0,,Shooting foul by H. Whiteside (drawn by F. Kaminsky),3,6
24,1,8:52.0,,F. Kaminsky misses free throw 1 of 2,3,6
25,1,8:52.0,,Offensive rebound by Team,3,6
26,1,8:52.0,,F. Kaminsky makes free throw 2 of 2,3,7
27,1,8:36.0,C. Anthony misses 2-pt jump shot from 17 ft,,3,7
28,1,8:33.0,,Defensive rebound by M. Bridges,3,7
29,1,8:25.0,,Shooting foul by C. Anthony (drawn by D. Šarić),3,7
30,1,8:25.0,,D. Šarić makes free throw 1 of 2,3,8
31,1,8:25.0,,D. Šarić makes free throw 2 of 2,3,9
32,1,8:11.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,9
33,1,8:08.0,,Defensive rebound by D. Šarić,3,9
34,1,8:01.0,,M. Bridges makes 2-pt dunk at rim (assist by R. Rubio),3,11
35,1,7:59.0,Portland full timeout,,3,11
36,1,7:59.0,S. Labissière enters the game for H. Whiteside,,3,11
37,1,7:41.0,Turnover by K. Bazemore (bad pass; steal by D. Šarić),,3,11
38,1,7:38.0,,K. Oubre makes 2-pt layup from 2 ft,3,13
39,1,7:38.0,Violation by Team (def goaltending),,3,13
40,1,7:26.0,Offensive foul by S. Labissière (drawn by K. Oubre),,3,13
41,1,7:26.0,Turnover by S. Labissière (offensive foul),,3,13
42,1,7:15.0,,Personal foul by K. Bazemore (drawn by D. Šarić),3,13
43,1,7:08.0,,Turnover by F. Kaminsky (out of bounds lost ball),3,13
44,1,6:56.0,Personal foul by R. Rubio (drawn by D. Lillard),,3,13
45,1,6:47.0,C. McCollum makes 2-pt jump shot from 13 ft,,5,13
46,1,6:32.0,,K. Oubre misses 3-pt jump shot from 26 ft,5,13
47,1,6:30.0,Defensive rebound by S. Labissière,,5,13
48,1,6:22.0,Shooting foul by F. Kaminsky (drawn by D. Lillard),,5,13
49,1,6:22.0,D. Lillard makes free throw 1 of 2,,6,13
50,1,6:22.0,,C. Johnson enters the game for M. Bridges,6,13
51,1,6:22.0,D. Lillard makes free throw 2 of 2,,7,13
52,1,6:05.0,,Turnover by R. Rubio (bad pass; steal by S. Labissière),7,13
53,1,5:57.0,Personal foul by C. Johnson (drawn by S. Labissière),,7,13
54,1,5:52.0,K. Bazemore makes 2-pt layup from 1 ft (assist by S. Labissière),,9,13
55,1,5:51.0,,Phoenix full timeout,9,13
56,1,5:51.0,A. Tolliver enters the game for C. Anthony,,9,13
57,1,5:40.0,,Turnover by R. Rubio (bad pass; steal by K. Bazemore),9,13
58,1,5:35.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by C. McCollum),,12,13
59,1,5:22.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by F. Kaminsky),12,16
60,1,4:58.0,Offensive foul by D. Lillard (drawn by R. Rubio),,12,16
61,1,4:58.0,Turnover by D. Lillard (offensive foul),,12,16
62,1,4:58.0,A. Simons enters the game for K. Bazemore,,12,16
63,1,4:58.0,,A. Baynes enters the game for F. Kaminsky,12,16
64,1,4:58.0,,M. Bridges enters the game for D. Šarić,12,16
65,1,4:48.0,,Personal foul by D. Lillard (drawn by R. Rubio),12,16
66,1,4:39.0,,Personal foul by S. Labissière (drawn by A. Baynes),12,16
67,1,4:39.0,,A. Baynes misses free throw 1 of 2,12,16
68,1,4:39.0,,Offensive rebound by Team,12,16
69,1,4:39.0,,A. Baynes makes free throw 2 of 2,12,17
70,1,4:28.0,Shooting foul by M. Bridges (drawn by C. McCollum),,12,17
71,1,4:28.0,C. McCollum makes free throw 1 of 2,,13,17
72,1,4:28.0,,J. Carter enters the game for K. Oubre,13,17
73,1,4:28.0,,E. Okobo enters the game for R. Rubio,13,17
74,1,4:28.0,C. McCollum makes free throw 2 of 2,,14,17
75,1,4:06.0,,J. Carter makes 2-pt jump shot from 20 ft,14,19
76,1,3:49.0,A. Simons makes 2-pt layup from 1 ft,,16,19
77,1,3:30.0,,A. Baynes makes 2-pt hook shot from 2 ft (assist by E. Okobo),16,21
78,1,3:14.0,D. Lillard misses 2-pt layup from 1 ft,,16,21
79,1,3:12.0,,Defensive rebound by M. Bridges,16,21
80,1,3:12.0,,Personal foul by D. Lillard (drawn by E. Okobo),16,21
81,1,3:12.0,,E. Okobo makes free throw 1 of 2,16,22
82,1,3:12.0,C. Anthony enters the game for S. Labissière,,16,22
83,1,3:12.0,G. Trent enters the game for D. Lillard,,16,22
84,1,3:12.0,,E. Okobo makes free throw 2 of 2,16,23
85,1,2:57.0,C. McCollum makes 2-pt layup from 1 ft,,18,23
86,1,2:48.0,,M. Bridges misses 3-pt jump shot from 24 ft,18,23
87,1,2:45.0,,Offensive rebound by M. Bridges,18,23
88,1,2:44.0,,A. Baynes makes 2-pt dunk at rim (assist by M. Bridges),18,25
89,1,2:30.0,A. Tolliver misses 3-pt jump shot from 25 ft,,18,25
90,1,2:30.0,,Defensive rebound by Team,18,25
91,1,2:29.0,Loose ball foul by C. McCollum (drawn by M. Bridges),,18,25
92,1,2:29.0,,M. Bridges makes free throw 1 of 2,18,26
93,1,2:29.0,,M. Bridges makes free throw 2 of 2,18,27
94,1,2:14.0,C. Anthony misses 2-pt layup from 1 ft,,18,27
95,1,2:14.0,Offensive rebound by C. Anthony,,18,27
96,1,2:14.0,Shooting foul by A. Baynes (drawn by C. Anthony),,18,27
97,1,2:14.0,C. Anthony makes free throw 1 of 2,,19,27
98,1,2:14.0,C. Anthony misses free throw 2 of 2,,19,27
99,1,2:12.0,,Defensive rebound by E. Okobo,19,27
100,1,2:12.0,,Personal foul by G. Trent (drawn by E. Okobo),19,27
101,1,2:12.0,,E. Okobo makes free throw 1 of 2,19,28
102,1,2:12.0,,E. Okobo makes free throw 2 of 2,19,29
103,1,2:00.0,C. McCollum makes 2-pt jump shot from 3 ft,,21,29
104,1,2:00.0,Shooting foul by E. Okobo (drawn by C. McCollum),,21,29
105,1,2:00.0,C. McCollum makes free throw 1 of 1,,22,29
106,1,1:41.0,,E. Okobo misses 2-pt jump shot from 21 ft,22,29
107,1,1:37.0,Defensive rebound by C. Anthony,,22,29
108,1,1:25.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. McCollum),,25,29
109,1,1:03.0,,A. Baynes makes 2-pt layup from 1 ft (assist by M. Bridges),25,31
110,1,0:47.0,C. McCollum misses 2-pt layup from 1 ft,,25,31
111,1,0:45.0,,Defensive rebound by E. Okobo,25,31
112,1,0:41.0,,C. Johnson misses 3-pt jump shot from 26 ft,25,31
113,1,0:38.0,Defensive rebound by C. Anthony,,25,31
114,1,0:30.0,Turnover by C. Anthony (out of bounds lost ball),,25,31
115,1,0:10.0,,E. Okobo misses 2-pt layup from 1 ft,25,31
116,1,0:09.0,Defensive rebound by A. Simons,,25,31
117,1,0:03.0,Offensive foul by A. Simons (drawn by A. Baynes),,25,31
118,1,0:03.0,Turnover by A. Simons (offensive foul),,25,31
119,1,0:00.0,,E. Okobo makes 2-pt layup from 1 ft,25,33
120,1,0:00.0,,Instant Replay (Request: Ruling Stands),25,33
121,2,11:46.0,,K. Oubre misses 2-pt jump shot from 5 ft,25,33
122,2,11:46.0,,Offensive rebound by Team,25,33
123,2,11:45.0,,Turnover by R. Rubio (bad pass; steal by C. Anthony),25,33
124,2,11:45.0,Personal foul by K. Oubre (drawn by C. Anthony),,25,33
125,2,11:32.0,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Trent),,27,33
126,2,11:15.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),27,36
127,2,10:59.0,H. Whiteside misses 2-pt layup from 2 ft,,27,36
128,2,10:56.0,,Defensive rebound by R. Rubio,27,36
129,2,10:52.0,,Personal foul by G. Trent (drawn by R. Rubio),27,36
130,2,10:35.0,,F. Kaminsky misses 2-pt layup from 3 ft (block by C. Anthony),27,36
131,2,10:35.0,,Offensive rebound by Team,27,36
132,2,10:35.0,,Turnover by Team (shot clock),27,36
133,2,10:21.0,G. Trent misses 3-pt jump shot from 25 ft,,27,36
134,2,10:18.0,,Defensive rebound by M. Bridges,27,36
135,2,10:14.0,,J. Carter misses 2-pt layup from 1 ft (block by H. Whiteside),27,36
136,2,10:11.0,Defensive rebound by M. Hezonja,,27,36
137,2,9:58.0,A. Simons misses 3-pt jump shot from 26 ft,,27,36
138,2,9:55.0,,Defensive rebound by J. Carter,27,36
139,2,9:44.0,,R. Rubio makes 2-pt jump shot from 10 ft,27,38
140,2,9:27.0,Def 3 sec tech foul by Team,,27,38
141,2,9:27.0,C. Anthony makes technical free throw,,28,38
142,2,9:22.0,C. Anthony misses 2-pt jump shot from 13 ft,,28,38
143,2,9:19.0,,Defensive rebound by R. Rubio,28,38
144,2,9:16.0,,R. Rubio misses 2-pt layup from 2 ft (block by C. Anthony),28,38
145,2,9:16.0,,Offensive rebound by Team,28,38
146,2,9:12.0,,K. Oubre misses 3-pt jump shot from 23 ft,28,38
147,2,9:09.0,Defensive rebound by C. Anthony,,28,38
148,2,8:57.0,Shooting foul by K. Oubre (drawn by M. Hezonja),,28,38
149,2,8:57.0,M. Hezonja makes free throw 1 of 2,,29,38
150,2,8:57.0,,D. Šarić enters the game for M. Bridges,29,38
151,2,8:57.0,M. Hezonja makes free throw 2 of 2,,30,38
152,2,8:43.0,,F. Kaminsky makes 2-pt jump shot from 6 ft (assist by R. Rubio),30,40
153,2,8:30.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by A. Simons),,32,40
154,2,8:17.0,,F. Kaminsky makes 2-pt jump shot from 4 ft (assist by R. Rubio),32,42
155,2,8:17.0,Violation by Team (def goaltending),,32,42
156,2,7:56.0,C. Anthony misses 2-pt jump shot from 18 ft,,32,42
157,2,7:51.0,,Defensive rebound by R. Rubio,32,42
158,2,7:49.0,,K. Oubre makes 2-pt layup from 1 ft (assist by R. Rubio),32,44
159,2,7:49.0,Portland full timeout,,32,44
160,2,7:49.0,D. Lillard enters the game for C. Anthony,,32,44
161,2,7:49.0,A. Tolliver enters the game for G. Trent,,32,44
162,2,7:49.0,,C. Johnson enters the game for K. Oubre,32,44
163,2,7:37.0,Offensive foul by H. Whiteside (drawn by R. Rubio),,32,44
164,2,7:37.0,Turnover by H. Whiteside (offensive foul),,32,44
165,2,7:24.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Rubio),32,46
166,2,7:24.0,,Shooting foul by A. Simons (drawn by D. Šarić),32,46
167,2,7:24.0,,D. Šarić makes free throw 1 of 1,32,47
168,2,7:13.0,Shooting foul by J. Carter (drawn by D. Lillard),,32,47
169,2,7:13.0,D. Lillard misses free throw 1 of 2,,32,47
170,2,7:13.0,Offensive rebound by Team,,32,47
171,2,7:13.0,K. Bazemore enters the game for M. Hezonja,,32,47
172,2,7:13.0,C. McCollum enters the game for A. Simons,,32,47
173,2,7:13.0,D. Lillard makes free throw 2 of 2,,33,47
174,2,6:51.0,,F. Kaminsky makes 2-pt jump shot from 10 ft,33,49
175,2,6:42.0,C. McCollum makes 2-pt layup from 1 ft,,35,49
176,2,6:34.0,,R. Rubio misses 2-pt layup from 1 ft,35,49
177,2,6:31.0,Defensive rebound by K. Bazemore,,35,49
178,2,6:27.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by D. Lillard),,38,49
179,2,6:24.0,,Phoenix full timeout,38,49
180,2,6:24.0,,E. Okobo enters the game for R. Rubio,38,49
181,2,6:06.0,,J. Carter misses 3-pt jump shot from 24 ft,38,49
182,2,6:02.0,Defensive rebound by H. Whiteside,,38,49
183,2,5:51.0,C. McCollum misses 3-pt jump shot from 23 ft,,38,49
184,2,5:49.0,,Defensive rebound by D. Šarić,38,49
185,2,5:40.0,,C. Johnson makes 3-pt jump shot from 24 ft (assist by D. Šarić),38,52
186,2,5:12.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by C. McCollum),,40,52
187,2,4:54.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,40,52
188,2,4:52.0,Defensive rebound by H. Whiteside,,40,52
189,2,4:44.0,C. McCollum makes 2-pt jump shot from 3 ft,,42,52
190,2,4:30.0,,D. Šarić makes 2-pt layup from 1 ft (assist by F. Kaminsky),42,54
191,2,4:30.0,,Shooting foul by A. Tolliver (drawn by D. Šarić),42,54
192,2,4:30.0,,A. Baynes enters the game for J. Carter,42,54
