,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
0,1,11:48.0,Violation by Team (kicked ball),,0,0
1,1,11:34.0,,G. Dieng makes 2-pt jump shot from 10 ft (assist by J. Teague),0,2
2,1,11:14.0,Turnover by B. Ingram (bad pass; steal by T. Graham),,0,2
3,1,11:05.0,,T. Graham misses 3-pt jump shot from 23 ft,0,2
4,1,11:03.0,Defensive rebound by D. Favors,,0,2
5,1,10:57.0,B. Ingram misses 2-pt layup from 1 ft,,0,2
6,1,10:55.0,,Defensive rebound by A. Wiggins,0,2
7,1,10:39.0,,A. Wiggins makes 2-pt jump shot from 21 ft,0,4
8,1,10:27.0,J. Redick misses 3-pt jump shot from 25 ft,,0,4
9,1,10:23.0,,Defensive rebound by G. Dieng,0,4
10,1,10:14.0,,G. Dieng makes 3-pt jump shot from 25 ft (assist by J. Teague),0,7
11,1,10:02.0,J. Holiday misses 2-pt jump shot from 8 ft,,0,7
12,1,9:57.0,Offensive rebound by D. Favors,,0,7
13,1,9:57.0,D. Favors makes 2-pt layup from 1 ft,,2,7
14,1,9:43.0,,A. Wiggins makes 2-pt jump shot from 5 ft,2,9
15,1,9:33.0,B. Ingram misses 3-pt jump shot from 25 ft,,2,9
16,1,9:33.0,Offensive rebound by Team,,2,9
17,1,9:33.0,,Loose ball foul by J. Teague (drawn by D. Favors),2,9
18,1,9:31.0,J. Redick makes 2-pt jump shot from 18 ft (assist by B. Ingram),,4,9
19,1,9:18.0,,A. Wiggins misses 2-pt jump shot from 7 ft,4,9
20,1,9:16.0,Defensive rebound by Team,,4,9
21,1,8:56.0,B. Ingram misses 2-pt jump shot from 12 ft,,4,9
22,1,8:54.0,Offensive rebound by B. Ingram,,4,9
23,1,8:53.0,B. Ingram makes 2-pt layup from 1 ft,,6,9
24,1,8:53.0,Shooting foul by G. Dieng (drawn by B. Ingram),,6,9
25,1,8:53.0,B. Ingram makes free throw 1 of 1,,7,9
26,1,8:42.0,,J. Okogie misses 3-pt jump shot from 24 ft,7,9
27,1,8:37.0,Defensive rebound by D. Favors,,7,9
