,QUARTER,TIME_REMAINING,UTAH_ACTION,CHARLOTTE_ACTION,UTAH_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,Personal foul by T. Rozier (drawn by B. Bogdanović),,0,0
1,1,11:45.0,J. Ingles makes 2-pt layup from 1 ft (assist by D. Mitchell),,2,0
2,1,11:28.0,,B. Biyombo makes 2-pt jump shot from 12 ft (assist by D. Graham),2,2
3,1,11:13.0,J. Ingles misses 3-pt jump shot from 23 ft,,2,2
4,1,11:09.0,,Defensive rebound by M. Bridges,2,2
5,1,11:04.0,,D. Graham misses 2-pt jump shot from 17 ft,2,2
6,1,11:00.0,Defensive rebound by R. Gobert,,2,2
7,1,10:44.0,Offensive foul by J. Ingles (drawn by N. Batum),,2,2
8,1,10:44.0,Turnover by J. Ingles (offensive foul),,2,2
9,1,10:23.0,,T. Rozier makes 2-pt jump shot from 20 ft,2,4
10,1,10:06.0,D. Mitchell misses 3-pt jump shot from 28 ft,,2,4
11,1,10:02.0,Offensive rebound by R. Gobert,,2,4
12,1,9:55.0,R. Gobert makes 2-pt layup from 1 ft (assist by D. Mitchell),,4,4
13,1,9:34.0,,T. Rozier misses 2-pt jump shot from 22 ft,4,4
14,1,9:31.0,Defensive rebound by R. Gobert,,4,4
15,1,9:22.0,Turnover by B. Bogdanović (bad pass; steal by M. Bridges),,4,4
16,1,9:14.0,,M. Bridges makes 2-pt layup from 2 ft,4,6
17,1,8:58.0,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),,6,6
18,1,8:41.0,,T. Rozier makes 2-pt jump shot from 9 ft,6,8
19,1,8:28.0,R. O'Neale misses 2-pt layup from 5 ft,,6,8
20,1,8:27.0,Offensive rebound by R. Gobert,,6,8
21,1,8:21.0,R. Gobert misses 2-pt layup from 1 ft,,6,8
22,1,8:19.0,Offensive rebound by R. Gobert,,6,8
23,1,8:19.0,R. Gobert makes 2-pt layup from 1 ft,,8,8
24,1,8:10.0,,D. Graham makes 3-pt jump shot from 25 ft,8,11
25,1,7:54.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Mitchell),,11,11
26,1,7:27.0,,D. Graham misses 2-pt layup from 3 ft (block by R. Gobert),11,11
27,1,7:24.0,Defensive rebound by D. Mitchell,,11,11
28,1,7:07.0,B. Bogdanović misses 3-pt jump shot from 30 ft,,11,11
29,1,7:04.0,,Defensive rebound by M. Bridges,11,11
30,1,6:51.0,,Charlotte full timeout,11,11
31,1,6:42.0,,D. Graham makes 3-pt jump shot from 25 ft (assist by M. Bridges),11,14
32,1,6:29.0,Personal foul by B. Biyombo (drawn by R. Gobert),,11,14
33,1,6:29.0,,C. Martin enters the game for D. Graham,11,14
34,1,6:21.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,11,14
35,1,6:19.0,Offensive rebound by R. Gobert,,11,14
36,1,6:18.0,R. Gobert makes 2-pt layup from 1 ft,,13,14
37,1,6:00.0,,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Rozier),13,17
38,1,5:43.0,R. O'Neale makes 2-pt layup from 1 ft (assist by J. Ingles),,15,17
39,1,5:32.0,,Personal foul by D. Mitchell (drawn by B. Biyombo),15,17
40,1,5:32.0,E. Mudiay enters the game for D. Mitchell,,15,17
41,1,5:32.0,,C. Zeller enters the game for B. Biyombo,15,17
42,1,5:23.0,,T. Rozier misses 2-pt jump shot from 6 ft,15,17
43,1,5:20.0,Defensive rebound by R. Gobert,,15,17
44,1,5:16.0,R. Gobert makes 2-pt layup from 2 ft (assist by B. Bogdanović),,17,17
45,1,5:16.0,Shooting foul by C. Martin (drawn by R. Gobert),,17,17
46,1,5:16.0,,M. Williams enters the game for M. Bridges,17,17
47,1,5:16.0,R. Gobert makes free throw 1 of 1,,18,17
48,1,5:01.0,,N. Batum misses 2-pt layup from 2 ft,18,17
49,1,4:58.0,Defensive rebound by R. Gobert,,18,17
50,1,4:42.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),,20,17
51,1,4:26.0,,T. Rozier misses 2-pt jump shot from 16 ft,20,17
52,1,4:22.0,,Offensive rebound by N. Batum,20,17
53,1,4:21.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by N. Batum),20,20
54,1,4:04.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by R. O'Neale),,23,20
55,1,3:42.0,,M. Williams misses 2-pt hook shot from 10 ft,23,20
56,1,3:40.0,Defensive rebound by R. Gobert,,23,20
57,1,3:31.0,E. Mudiay makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,26,20
58,1,3:15.0,,N. Batum misses 2-pt jump shot from 16 ft,26,20
59,1,3:12.0,Defensive rebound by R. Gobert,,26,20
60,1,3:00.0,Turnover by J. Ingles (bad pass; steal by M. Williams),,26,20
61,1,2:57.0,,Personal foul by R. O'Neale (drawn by T. Rozier),26,20
62,1,2:57.0,Utah full timeout,,26,20
63,1,2:57.0,E. Davis enters the game for B. Bogdanović,,26,20
64,1,2:57.0,J. Green enters the game for R. Gobert,,26,20
65,1,2:57.0,D. Mitchell enters the game for J. Ingles,,26,20
66,1,2:57.0,G. Niang enters the game for R. O'Neale,,26,20
67,1,2:57.0,,D. Graham enters the game for N. Batum,26,20
68,1,2:57.0,,M. Monk enters the game for T. Rozier,26,20
69,1,2:49.0,,Personal foul by E. Mudiay (drawn by D. Graham),26,20
70,1,2:39.0,,D. Graham makes 2-pt jump shot from 7 ft,26,22
71,1,2:39.0,,Shooting foul by G. Niang (drawn by D. Graham),26,22
