,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:58.0,,Personal foul by P. Beverley (drawn by D. Murray),0,0
1,1,11:48.0,,B. Forbes misses 3-pt jump shot from 25 ft,0,0
2,1,11:44.0,Defensive rebound by K. Leonard,,0,0
3,1,11:35.0,P. Beverley misses 2-pt layup from 1 ft,,0,0
4,1,11:32.0,,Defensive rebound by B. Forbes,0,0
5,1,11:26.0,,D. DeRozan makes 2-pt jump shot from 14 ft,0,2
6,1,11:26.0,,Shooting foul by I. Zubac (drawn by D. DeRozan),0,2
7,1,11:26.0,,D. DeRozan makes free throw 1 of 1,0,3
8,1,11:03.0,K. Leonard makes 2-pt jump shot from 20 ft (assist by M. Harkless),,2,3
9,1,10:44.0,,D. Murray misses 2-pt jump shot from 17 ft,2,3
10,1,10:43.0,Defensive rebound by K. Leonard,,2,3
11,1,10:38.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by K. Leonard),,5,3
12,1,10:25.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Murray),5,5
13,1,10:13.0,K. Leonard misses 2-pt jump shot from 19 ft,,5,5
14,1,10:10.0,,Defensive rebound by T. Lyles,5,5
15,1,10:04.0,,L. Aldridge misses 3-pt jump shot from 26 ft,5,5
16,1,10:00.0,Defensive rebound by P. Beverley,,5,5
17,1,9:54.0,M. Harkless misses 2-pt layup from 3 ft,,5,5
18,1,9:51.0,,Defensive rebound by D. DeRozan,5,5
19,1,9:46.0,,D. DeRozan misses 2-pt layup from 2 ft,5,5
20,1,9:45.0,Defensive rebound by I. Zubac,,5,5
21,1,9:36.0,K. Leonard makes 2-pt layup from 2 ft (assist by I. Zubac),,7,5
22,1,9:18.0,,T. Lyles misses 3-pt jump shot from 23 ft,7,5
23,1,9:12.0,,Offensive rebound by D. Murray,7,5
24,1,9:12.0,,D. Murray makes 2-pt layup from 1 ft,7,7
25,1,9:05.0,Personal foul by D. Murray (drawn by P. George),,7,7
26,1,9:02.0,P. Beverley misses 3-pt jump shot from 26 ft,,7,7
27,1,8:58.0,,Defensive rebound by L. Aldridge,7,7
28,1,8:38.0,,D. DeRozan makes 2-pt jump shot from 1 ft,7,9
29,1,8:28.0,Turnover by K. Leonard (bad pass),,7,9
30,1,8:07.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Murray),7,11
31,1,8:02.0,LA Clippers full timeout,,7,11
32,1,7:49.0,P. George makes 2-pt layup from 4 ft (assist by P. Beverley),,9,11
33,1,7:37.0,,Turnover by D. DeRozan (lost ball; steal by K. Leonard),9,11
34,1,7:29.0,K. Leonard makes 3-pt jump shot from 27 ft (assist by P. Beverley),,12,11
35,1,7:10.0,,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Lyles),12,14
36,1,6:54.0,I. Zubac makes 2-pt dunk from 1 ft (assist by K. Leonard),,14,14
37,1,6:38.0,,D. DeRozan makes 2-pt jump shot from 15 ft,14,16
38,1,6:19.0,P. George makes 2-pt jump shot from 13 ft,,16,16
39,1,5:53.0,,L. Aldridge misses 2-pt jump shot from 14 ft,16,16
40,1,5:51.0,Defensive rebound by P. George,,16,16
41,1,5:43.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by P. George),,19,16
42,1,5:22.0,,T. Lyles misses 3-pt jump shot from 23 ft,19,16
43,1,5:19.0,Defensive rebound by P. George,,19,16
44,1,5:17.0,Shooting foul by L. Aldridge (drawn by P. George),,19,16
45,1,5:17.0,P. George makes free throw 1 of 2,,20,16
46,1,5:17.0,,R. Gay enters the game for B. Forbes,20,16
47,1,5:17.0,,P. Mills enters the game for T. Lyles,20,16
48,1,5:17.0,,D. White enters the game for D. Murray,20,16
49,1,5:17.0,P. George makes free throw 2 of 2,,21,16
50,1,5:04.0,,D. DeRozan makes 2-pt layup from 2 ft,21,18
51,1,4:52.0,P. Beverley misses 3-pt jump shot from 23 ft,,21,18
52,1,4:51.0,,Defensive rebound by D. DeRozan,21,18
53,1,4:41.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. White),21,20
54,1,4:31.0,Personal foul by D. DeRozan (drawn by K. Leonard),,21,20
55,1,4:31.0,M. Harrell enters the game for P. Beverley,,21,20
56,1,4:31.0,L. Shamet enters the game for M. Harkless,,21,20
57,1,4:31.0,L. Williams enters the game for I. Zubac,,21,20
58,1,4:31.0,,J. Poeltl enters the game for L. Aldridge,21,20
59,1,4:26.0,K. Leonard makes 2-pt dunk from 1 ft,,23,20
60,1,4:12.0,,P. Mills misses 3-pt jump shot from 25 ft,23,20
61,1,4:12.0,Defensive rebound by Team,,23,20
62,1,3:56.0,P. George makes 2-pt layup from 3 ft,,25,20
63,1,3:55.0,,San Antonio full timeout,25,20
64,1,3:38.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by J. Poeltl),25,23
65,1,3:19.0,P. George misses 2-pt jump shot from 2 ft (block by J. Poeltl),,25,23
66,1,3:18.0,,Defensive rebound by R. Gay,25,23
67,1,3:11.0,,D. DeRozan makes 2-pt jump shot from 6 ft,25,25
68,1,2:56.0,P. George misses 3-pt jump shot from 27 ft,,25,25
69,1,2:56.0,,Defensive rebound by J. Poeltl,25,25
70,1,2:42.0,,D. DeRozan makes 2-pt layup from 1 ft,25,27
71,1,2:30.0,K. Leonard misses 2-pt jump shot from 9 ft,,25,27
72,1,2:29.0,,Defensive rebound by D. White,25,27
73,1,2:14.0,,Turnover by J. Poeltl (traveling),25,27
74,1,2:14.0,R. McGruder enters the game for P. George,,25,27
75,1,2:14.0,P. Patterson enters the game for K. Leonard,,25,27
76,1,2:02.0,M. Harrell makes 2-pt dunk from 1 ft,,27,27
77,1,1:51.0,,Turnover by P. Mills (bad pass),27,27
78,1,1:40.0,L. Williams makes 3-pt jump shot from 25 ft,,30,27
79,1,1:25.0,,Turnover by J. Poeltl (bad pass; steal by L. Shamet),30,27
80,1,1:16.0,L. Williams misses 3-pt jump shot from 26 ft (block by J. Poeltl),,30,27
81,1,1:13.0,,Defensive rebound by J. Poeltl,30,27
82,1,1:12.0,,P. Mills makes 2-pt layup from 1 ft (assist by D. DeRozan),30,29
83,1,0:48.0,L. Shamet misses 3-pt jump shot from 26 ft,,30,29
84,1,0:47.0,Offensive rebound by P. Patterson,,30,29
85,1,0:36.0,M. Harrell makes 2-pt layup from 1 ft (assist by P. Patterson),,32,29
86,1,0:36.0,Shooting foul by J. Poeltl (drawn by M. Harrell),,32,29
87,1,0:36.0,,M. Belinelli enters the game for D. DeRozan,32,29
88,1,0:36.0,M. Harrell makes free throw 1 of 1,,33,29
89,1,0:30.0,,D. White makes 2-pt jump shot from 17 ft,33,31
90,1,0:06.0,M. Harrell misses 2-pt jump shot from 13 ft,,33,31
91,1,0:02.0,,Defensive rebound by D. White,33,31
92,1,0:01.0,,Personal foul by L. Williams (drawn by D. White),33,31
93,1,0:00.0,,D. White misses 3-pt jump shot from 52 ft,33,31
94,1,0:00.0,,Offensive rebound by Team,33,31
95,2,11:47.0,Offensive foul by L. Shamet (drawn by D. White),,33,31
96,2,11:47.0,Turnover by L. Shamet (offensive foul),,33,31
97,2,11:47.0,,San Antonio full timeout,33,31
98,2,11:47.0,,Instant Replay (Challenge: Ruling Stands),33,31
99,2,11:31.0,,Shooting foul by L. Shamet (drawn by M. Belinelli),33,31
100,2,11:31.0,,M. Belinelli makes free throw 1 of 2,33,32
101,2,11:31.0,,M. Belinelli makes free throw 2 of 2,33,33
102,2,11:20.0,P. Patterson misses 3-pt jump shot from 26 ft,,33,33
103,2,11:18.0,Offensive rebound by M. Harrell,,33,33
104,2,11:13.0,R. McGruder makes 2-pt jump shot from 6 ft (assist by M. Harrell),,35,33
105,2,11:00.0,,D. White makes 2-pt jump shot from 13 ft,35,35
106,2,10:53.0,L. Williams makes 2-pt jump shot from 9 ft,,37,35
107,2,10:53.0,Shooting foul by P. Mills (drawn by L. Williams),,37,35
108,2,10:53.0,L. Williams makes free throw 1 of 1,,38,35
109,2,10:42.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by J. Poeltl),38,38
110,2,10:25.0,P. Patterson misses 3-pt jump shot from 26 ft,,38,38
111,2,10:23.0,,Defensive rebound by P. Mills,38,38
112,2,10:20.0,,Shooting foul by L. Shamet (drawn by P. Mills),38,38
113,2,10:20.0,,P. Mills misses free throw 1 of 2,38,38
114,2,10:20.0,,Offensive rebound by Team,38,38
115,2,10:20.0,P. Beverley enters the game for L. Shamet,,38,38
116,2,10:20.0,,P. Mills makes free throw 2 of 2,38,39
117,2,10:01.0,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),,40,39
118,2,9:49.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by J. Poeltl),40,42
119,2,9:28.0,M. Harrell misses 2-pt jump shot from 9 ft (block by J. Poeltl),,40,42
120,2,9:25.0,,Defensive rebound by M. Belinelli,40,42
121,2,9:23.0,,Personal foul by R. McGruder (drawn by M. Belinelli),40,42
122,2,9:23.0,,D. Murray enters the game for D. White,40,42
123,2,9:18.0,,M. Belinelli misses 2-pt jump shot from 18 ft,40,42
124,2,9:16.0,Defensive rebound by P. Patterson,,40,42
125,2,9:09.0,L. Williams makes 3-pt jump shot from 28 ft,,43,42
126,2,9:08.0,,San Antonio full timeout,43,42
127,2,9:08.0,M. Harkless enters the game for P. Patterson,,43,42
128,2,8:57.0,,Turnover by D. Murray (out of bounds lost ball),43,42
129,2,8:39.0,M. Harrell misses 2-pt layup from 1 ft (block by J. Poeltl),,43,42
130,2,8:39.0,Offensive rebound by M. Harrell,,43,42
131,2,8:39.0,Shooting foul by J. Poeltl (drawn by M. Harrell),,43,42
132,2,8:39.0,M. Harrell misses free throw 1 of 2,,43,42
133,2,8:39.0,Offensive rebound by Team,,43,42
134,2,8:39.0,,L. Aldridge enters the game for P. Mills,43,42
135,2,8:39.0,,B. Forbes enters the game for J. Poeltl,43,42
136,2,8:39.0,M. Harrell makes free throw 2 of 2,,44,42
137,2,8:18.0,,B. Forbes misses 2-pt jump shot from 7 ft,44,42
138,2,8:17.0,Defensive rebound by P. Beverley,,44,42
139,2,8:05.0,M. Harrell misses 2-pt layup from 2 ft (block by L. Aldridge),,44,42
140,2,8:03.0,,Defensive rebound by R. Gay,44,42
141,2,7:59.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Murray),44,44
142,2,7:52.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,46,44
143,2,7:32.0,,D. Murray misses 3-pt jump shot from 26 ft,46,44
144,2,7:29.0,Defensive rebound by P. Beverley,,46,44
145,2,7:21.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by P. Beverley),,49,44
146,2,7:08.0,,L. Aldridge misses 2-pt jump shot from 20 ft,49,44
147,2,7:05.0,Defensive rebound by P. Beverley,,49,44
148,2,7:02.0,L. Williams makes 3-pt jump shot from 25 ft (assist by P. Beverley),,52,44
149,2,7:00.0,,San Antonio full timeout,52,44
150,2,7:00.0,P. George enters the game for P. Beverley,,52,44
151,2,7:00.0,K. Leonard enters the game for R. McGruder,,52,44
152,2,7:00.0,,D. DeRozan enters the game for R. Gay,52,44
153,2,6:45.0,,Personal foul by M. Harrell (drawn by L. Aldridge),52,44
154,2,6:36.0,,D. DeRozan misses 2-pt jump shot from 17 ft,52,44
155,2,6:33.0,Defensive rebound by P. George,,52,44
156,2,6:26.0,P. George misses 2-pt jump shot from 19 ft,,52,44
157,2,6:25.0,,Defensive rebound by D. DeRozan,52,44
158,2,6:17.0,,D. DeRozan misses 2-pt jump shot from 11 ft,52,44
159,2,6:16.0,Defensive rebound by K. Leonard,,52,44
160,2,6:11.0,L. Williams misses 2-pt jump shot from 14 ft,,52,44
161,2,6:08.0,,Defensive rebound by D. Murray,52,44
162,2,6:01.0,,D. Murray misses 2-pt layup from 2 ft,52,44
163,2,5:59.0,Defensive rebound by K. Leonard,,52,44
164,2,5:56.0,P. George misses 3-pt jump shot from 25 ft,,52,44
165,2,5:53.0,,Defensive rebound by L. Aldridge,52,44
166,2,5:36.0,,L. Aldridge makes 2-pt jump shot from 14 ft,52,46
167,2,5:25.0,Flagrant foul type 1 by D. DeRozan (drawn by K. Leonard),,52,46
168,2,5:25.0,Instant Replay (Request: Ruling Stands),,52,46
169,2,5:25.0,K. Leonard makes flagrant free throw 1 of 2,,53,46
170,2,5:25.0,P. Beverley enters the game for M. Harrell,,53,46
171,2,5:25.0,I. Zubac enters the game for L. Williams,,53,46
172,2,5:25.0,K. Leonard makes flagrant free throw 2 of 2,,54,46
173,2,5:25.0,Technical foul by G. Popovich,,54,46
174,2,5:25.0,K. Leonard makes technical free throw,,55,46
175,2,5:14.0,Turnover by I. Zubac (bad pass; steal by D. Murray),,55,46
176,2,4:59.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by L. Aldridge),55,49
177,2,4:40.0,P. Beverley makes 3-pt jump shot from 22 ft (assist by K. Leonard),,58,49
178,2,4:26.0,,Turnover by B. Forbes (bad pass; steal by K. Leonard),58,49
179,2,4:23.0,K. Leonard makes 2-pt dunk from 1 ft,,60,49
180,2,4:09.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by L. Aldridge),60,52
181,2,3:51.0,P. Beverley misses 3-pt jump shot from 26 ft,,60,52
182,2,3:51.0,Offensive rebound by I. Zubac,,60,52
183,2,3:48.0,I. Zubac makes 2-pt dunk from 1 ft,,62,52
184,2,3:48.0,Shooting foul by D. Murray (drawn by I. Zubac),,62,52
185,2,3:48.0,I. Zubac misses free throw 1 of 1,,62,52
186,2,3:46.0,,Defensive rebound by D. Murray,62,52
187,2,3:36.0,,L. Aldridge misses 2-pt hook shot from 9 ft,62,52
188,2,3:34.0,Defensive rebound by P. George,,62,52
189,2,3:28.0,K. Leonard makes 2-pt jump shot from 9 ft (assist by P. George),,64,52
190,2,3:06.0,,Shooting foul by I. Zubac (drawn by D. DeRozan),64,52
191,2,3:06.0,,D. DeRozan makes free throw 1 of 2,64,53
192,2,3:06.0,,D. DeRozan makes free throw 2 of 2,64,54
193,2,2:49.0,M. Harkless misses 3-pt jump shot from 26 ft,,64,54
194,2,2:46.0,,Defensive rebound by L. Aldridge,64,54
195,2,2:35.0,,M. Belinelli misses 3-pt jump shot from 26 ft,64,54
196,2,2:33.0,Defensive rebound by I. Zubac,,64,54
197,2,2:23.0,Turnover by K. Leonard (lost ball; steal by L. Aldridge),,64,54
198,2,2:23.0,,Personal foul by K. Leonard (drawn by B. Forbes),64,54
199,2,2:23.0,,B. Forbes makes free throw 1 of 2,64,55
200,2,2:23.0,,D. White enters the game for D. Murray,64,55
201,2,2:23.0,,B. Forbes makes free throw 2 of 2,64,56
202,2,2:01.0,M. Harkless makes 2-pt dunk from 1 ft (assist by K. Leonard),,66,56
203,2,1:47.0,,D. DeRozan makes 2-pt layup from 2 ft,66,58
204,2,1:47.0,,Shooting foul by I. Zubac (drawn by D. DeRozan),66,58
205,2,1:47.0,M. Harrell enters the game for M. Harkless,,66,58
206,2,1:47.0,L. Williams enters the game for I. Zubac,,66,58
207,2,1:47.0,,P. Mills enters the game for B. Forbes,66,58
208,2,1:47.0,,D. DeRozan makes free throw 1 of 1,66,59
209,2,1:36.0,Turnover by P. George (bad pass),,66,59
210,2,1:17.0,,Turnover by M. Belinelli (lost ball; steal by L. Williams),66,59
211,2,1:10.0,L. Williams makes 2-pt jump shot from 4 ft,,68,59
212,2,1:01.0,,P. Mills misses 3-pt jump shot from 23 ft,68,59
213,2,1:01.0,Defensive rebound by P. Beverley,,68,59
214,2,0:48.0,P. George misses 3-pt jump shot from 25 ft,,68,59
215,2,0:45.0,Offensive rebound by K. Leonard,,68,59
216,2,0:45.0,K. Leonard makes 2-pt dunk at rim,,70,59
217,2,0:32.0,,D. DeRozan makes 2-pt layup from 2 ft,70,61
218,2,0:13.0,L. Williams makes 2-pt jump shot from 4 ft (assist by M. Harrell),,72,61
219,2,0:03.0,Violation by Team (kicked ball),,72,61
220,2,0:03.0,Violation by Team (delay of game),,72,61
221,2,0:03.0,M. Harkless enters the game for L. Williams,,72,61
222,2,0:00.0,,D. DeRozan misses 3-pt jump shot from 26 ft,72,61
223,2,0:00.0,Defensive rebound by M. Harrell,,72,61
224,3,11:44.0,I. Zubac makes 2-pt dunk from 1 ft (assist by K. Leonard),,74,61
225,3,11:33.0,,Personal foul by K. Leonard (drawn by L. Aldridge),74,61
226,3,11:26.0,,Turnover by L. Aldridge (traveling),74,61
227,3,11:03.0,P. Beverley misses 3-pt jump shot from 25 ft,,74,61
228,3,11:00.0,Offensive rebound by I. Zubac,,74,61
229,3,10:59.0,I. Zubac makes 2-pt jump shot from 1 ft,,76,61
230,3,10:46.0,,Turnover by D. Murray (bad pass; steal by K. Leonard),76,61
231,3,10:42.0,K. Leonard makes 2-pt dunk at rim,,78,61
232,3,10:25.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Murray),78,63
233,3,10:14.0,Turnover by M. Harkless (bad pass),,78,63
234,3,10:03.0,,B. Forbes misses 3-pt jump shot from 26 ft (block by P. Beverley),78,63
235,3,10:03.0,,Offensive rebound by Team,78,63
236,3,10:02.0,LA Clippers full timeout,,78,63
237,3,10:02.0,Instant Replay (Challenge: Ruling Stands),,78,63
238,3,9:43.0,,D. DeRozan misses 2-pt jump shot from 21 ft,78,63
239,3,9:40.0,Defensive rebound by P. George,,78,63
