,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DETROIT_ACTION,PHILADELPHIA_SCORE,DETROIT_SCORE
0,1,11:48.0,T. Harris makes 2-pt jump shot from 9 ft (assist by J. Embiid),,2,0
1,1,11:27.0,,T. Maker misses 2-pt jump shot from 9 ft,2,0
2,1,11:26.0,,Offensive rebound by T. Maker,2,0
3,1,11:26.0,,Shooting foul by T. Harris (drawn by T. Maker),2,0
4,1,11:26.0,,T. Maker makes free throw 1 of 2,2,1
5,1,11:26.0,,T. Maker makes free throw 2 of 2,2,2
6,1,11:02.0,A. Horford misses 2-pt jump shot from 13 ft,,2,2
7,1,11:00.0,Offensive rebound by B. Simmons,,2,2
8,1,10:53.0,B. Simmons misses 2-pt jump shot from 10 ft,,2,2
9,1,10:50.0,,Defensive rebound by B. Griffin,2,2
10,1,10:46.0,,T. Frazier misses 3-pt jump shot from 26 ft,2,2
11,1,10:42.0,Defensive rebound by A. Horford,,2,2
12,1,10:36.0,Turnover by B. Simmons (bad pass; steal by B. Griffin),,2,2
13,1,10:33.0,,Turnover by T. Frazier (out of bounds lost ball),2,2
14,1,10:24.0,Personal foul by B. Griffin (drawn by B. Simmons),,2,2
15,1,10:13.0,Turnover by J. Embiid (lost ball; steal by B. Griffin),,2,2
16,1,9:56.0,,T. Maker makes 2-pt layup from 2 ft (assist by T. Frazier),2,4
17,1,9:33.0,B. Simmons makes 2-pt hook shot from 7 ft (assist by A. Horford),,4,4
18,1,9:11.0,,B. Griffin misses 2-pt jump shot from 15 ft,4,4
19,1,9:10.0,,Offensive rebound by Team,4,4
20,1,9:10.0,,Turnover by Team (shot clock),4,4
21,1,8:58.0,Personal foul by T. Frazier (drawn by J. Richardson),,4,4
22,1,8:49.0,J. Embiid makes 2-pt hook shot from 4 ft (assist by A. Horford),,6,4
23,1,8:35.0,,T. Maker misses 3-pt jump shot from 26 ft,6,4
24,1,8:33.0,Defensive rebound by T. Harris,,6,4
25,1,8:24.0,T. Harris misses 2-pt layup from 7 ft,,6,4
26,1,8:22.0,,Defensive rebound by T. Maker,6,4
27,1,8:02.0,,B. Griffin makes 2-pt jump shot from 12 ft,6,6
28,1,7:49.0,Offensive foul by J. Richardson (drawn by T. Frazier),,6,6
29,1,7:49.0,Turnover by J. Richardson (offensive foul),,6,6
30,1,7:37.0,,T. Maker misses 3-pt jump shot from 23 ft,6,6
31,1,7:35.0,Defensive rebound by J. Embiid,,6,6
32,1,7:29.0,B. Simmons makes 2-pt layup from 3 ft,,8,6
33,1,7:11.0,,B. Griffin misses 3-pt jump shot from 26 ft,8,6
34,1,7:09.0,Defensive rebound by A. Horford,,8,6
35,1,7:08.0,Turnover by B. Simmons (bad pass; steal by T. Frazier),,8,6
36,1,6:50.0,,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by T. Frazier),8,9
37,1,6:37.0,A. Horford misses 3-pt jump shot from 26 ft,,8,9
38,1,6:34.0,Offensive rebound by B. Simmons,,8,9
39,1,6:20.0,T. Harris makes 2-pt jump shot from 10 ft,,10,9
40,1,6:08.0,,B. Griffin misses 2-pt jump shot from 14 ft,10,9
41,1,6:06.0,Defensive rebound by J. Embiid,,10,9
42,1,5:59.0,J. Richardson misses 3-pt jump shot from 28 ft,,10,9
43,1,5:55.0,,Defensive rebound by T. Maker,10,9
44,1,5:45.0,,B. Griffin misses 3-pt jump shot from 25 ft,10,9
45,1,5:43.0,Defensive rebound by A. Horford,,10,9
46,1,5:43.0,Personal take foul by S. Mykhailiuk (drawn by B. Simmons),,10,9
47,1,5:43.0,,Detroit full timeout,10,9
48,1,5:43.0,J. Ennis enters the game for J. Embiid,,10,9
49,1,5:43.0,F. Korkmaz enters the game for J. Richardson,,10,9
50,1,5:43.0,,L. Galloway enters the game for T. Frazier,10,9
51,1,5:43.0,,D. Rose enters the game for T. Snell,10,9
52,1,5:30.0,T. Harris misses 3-pt jump shot from 27 ft,,10,9
53,1,5:26.0,,Defensive rebound by B. Griffin,10,9
54,1,5:02.0,,D. Rose makes 2-pt jump shot from 6 ft,10,11
55,1,4:53.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by B. Simmons),,13,11
56,1,4:38.0,,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by D. Rose),13,14
57,1,4:23.0,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),,16,14
58,1,4:01.0,,Violation by Team (kicked ball),16,14
59,1,3:49.0,T. Harris makes 3-pt jump shot from 27 ft (assist by B. Simmons),,19,14
60,1,3:36.0,,Personal foul by T. Harris (drawn by B. Griffin),19,14
61,1,3:24.0,,Turnover by B. Griffin (bad pass; steal by T. Harris),19,14
62,1,3:19.0,A. Horford makes 2-pt dunk from 3 ft (assist by B. Simmons),,21,14
63,1,3:18.0,,Detroit full timeout,21,14
64,1,3:18.0,J. Embiid enters the game for T. Harris,,21,14
65,1,3:18.0,M. Scott enters the game for A. Horford,,21,14
66,1,3:18.0,,A. Drummond enters the game for B. Griffin,21,14
67,1,3:18.0,,M. Morris enters the game for T. Maker,21,14
68,1,3:18.0,,T. Snell enters the game for S. Mykhailiuk,21,14
69,1,3:08.0,,D. Rose misses 2-pt jump shot from 19 ft,21,14
70,1,3:05.0,Defensive rebound by F. Korkmaz,,21,14
71,1,3:02.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,21,14
72,1,2:59.0,Offensive rebound by M. Scott,,21,14
73,1,2:57.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,21,14
74,1,2:54.0,Offensive rebound by J. Ennis,,21,14
75,1,2:51.0,B. Simmons makes 2-pt layup from 3 ft (assist by J. Ennis),,23,14
76,1,2:31.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by L. Galloway),23,17
77,1,2:23.0,M. Scott misses 3-pt jump shot from 26 ft,,23,17
78,1,2:19.0,Offensive rebound by J. Ennis,,23,17
79,1,2:17.0,J. Ennis misses 2-pt layup from 3 ft,,23,17
80,1,2:16.0,Offensive rebound by J. Embiid,,23,17
81,1,2:15.0,Shooting foul by T. Snell (drawn by J. Embiid),,23,17
82,1,2:15.0,J. Embiid misses free throw 1 of 2,,23,17
83,1,2:15.0,Offensive rebound by Team,,23,17
84,1,2:15.0,T. Burke enters the game for F. Korkmaz,,23,17
85,1,2:15.0,J. Richardson enters the game for B. Simmons,,23,17
86,1,2:15.0,J. Embiid makes free throw 2 of 2,,24,17
87,1,2:00.0,,T. Snell misses 2-pt layup from 4 ft (block by J. Ennis),24,17
88,1,2:00.0,Defensive rebound by J. Ennis,,24,17
89,1,1:45.0,Shooting foul by M. Morris (drawn by J. Embiid),,24,17
90,1,1:45.0,J. Embiid makes free throw 1 of 2,,25,17
91,1,1:45.0,J. Embiid makes free throw 2 of 2,,26,17
92,1,1:31.0,,D. Rose misses 2-pt jump shot from 10 ft,26,17
93,1,1:30.0,,Offensive rebound by A. Drummond,26,17
94,1,1:28.0,,A. Drummond makes 2-pt layup from 1 ft,26,19
95,1,1:10.0,J. Embiid makes 2-pt hook shot from 6 ft,,28,19
96,1,1:03.0,Violation by Team (kicked ball),,28,19
97,1,0:53.0,,M. Morris makes 2-pt jump shot from 16 ft,28,21
98,1,0:35.0,J. Ennis misses 3-pt jump shot from 23 ft,,28,21
99,1,0:34.0,Offensive rebound by J. Embiid,,28,21
100,1,0:34.0,J. Embiid makes 2-pt dunk from 1 ft,,30,21
101,1,0:29.0,,Turnover by L. Galloway (step out of bounds),30,21
102,1,0:20.0,T. Burke misses 2-pt jump shot from 16 ft (block by D. Rose),,30,21
103,1,0:19.0,,Defensive rebound by D. Rose,30,21
104,1,0:05.0,,Personal foul by T. Burke (drawn by D. Rose),30,21
105,1,0:00.0,,A. Drummond makes 2-pt layup from 3 ft,30,23
106,2,11:41.0,,A. Drummond makes 2-pt hook shot from 4 ft,30,25
107,2,11:27.0,Offensive foul by J. Embiid (drawn by A. Drummond),,30,25
108,2,11:27.0,Turnover by J. Embiid (offensive foul),,30,25
109,2,11:13.0,,Personal foul by T. Burke (drawn by D. Rose),30,25
110,2,11:00.0,,A. Drummond makes 2-pt hook shot from 3 ft,30,27
111,2,10:43.0,Shooting foul by A. Drummond (drawn by J. Embiid),,30,27
112,2,10:43.0,J. Embiid makes free throw 1 of 2,,31,27
113,2,10:43.0,J. Embiid makes free throw 2 of 2,,32,27
114,2,10:34.0,,A. Drummond misses 2-pt layup from 4 ft (block by J. Embiid),32,27
115,2,10:30.0,,Offensive rebound by Team,32,27
116,2,10:25.0,,D. Rose misses 2-pt jump shot from 4 ft,32,27
117,2,10:23.0,Defensive rebound by T. Harris,,32,27
118,2,10:11.0,J. Embiid makes 2-pt layup from 3 ft (assist by T. Harris),,34,27
119,2,9:57.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by S. Mykhailiuk),34,30
120,2,9:57.0,,Shooting foul by T. Burke (drawn by L. Galloway),34,30
121,2,9:57.0,,L. Galloway makes free throw 1 of 1,34,31
122,2,9:49.0,Personal foul by A. Drummond (drawn by J. Embiid),,34,31
123,2,9:36.0,M. Scott makes 2-pt jump shot from 15 ft (assist by T. Burke),,36,31
124,2,9:23.0,,M. Morris makes 3-pt jump shot from 30 ft (assist by D. Rose),36,34
125,2,8:59.0,J. Richardson makes 2-pt layup from 3 ft (assist by J. Embiid),,38,34
126,2,8:45.0,,L. Galloway misses 2-pt jump shot from 8 ft,38,34
127,2,8:43.0,,Offensive rebound by L. Galloway,38,34
128,2,8:41.0,,L. Galloway misses 2-pt layup from 3 ft (block by J. Embiid),38,34
129,2,8:41.0,Defensive rebound by T. Harris,,38,34
130,2,8:37.0,T. Burke misses 2-pt jump shot from 16 ft,,38,34
131,2,8:35.0,,Defensive rebound by A. Drummond,38,34
132,2,8:29.0,,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by D. Rose),38,37
133,2,8:26.0,Philadelphia full timeout,,38,37
134,2,8:26.0,J. Ennis enters the game for T. Burke,,38,37
135,2,8:26.0,A. Horford enters the game for J. Embiid,,38,37
136,2,8:26.0,B. Simmons enters the game for M. Scott,,38,37
137,2,8:26.0,,T. Frazier enters the game for D. Rose,38,37
138,2,8:07.0,J. Richardson misses 2-pt jump shot from 16 ft,,38,37
139,2,8:06.0,,Defensive rebound by Team,38,37
140,2,7:50.0,,Personal foul by J. Richardson (drawn by L. Galloway),38,37
141,2,7:50.0,F. Korkmaz enters the game for J. Richardson,,38,37
142,2,7:33.0,,M. Morris makes 2-pt jump shot from 14 ft,38,39
143,2,7:13.0,A. Horford makes 2-pt hook shot from 6 ft,,40,39
144,2,6:57.0,,A. Drummond misses 2-pt jump shot from 3 ft,40,39
145,2,6:54.0,Defensive rebound by T. Harris,,40,39
146,2,6:46.0,T. Harris misses 2-pt jump shot from 17 ft,,40,39
147,2,6:39.0,Offensive rebound by J. Ennis,,40,39
148,2,6:39.0,J. Ennis misses 2-pt layup at rim,,40,39
149,2,6:38.0,,Defensive rebound by S. Mykhailiuk,40,39
150,2,6:33.0,,A. Drummond makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),40,41
151,2,6:16.0,T. Harris makes 2-pt layup from 2 ft (assist by A. Horford),,42,41
152,2,6:16.0,Shooting foul by S. Mykhailiuk (drawn by T. Harris),,42,41
153,2,6:16.0,,B. Griffin enters the game for A. Drummond,42,41
154,2,6:16.0,,T. Snell enters the game for L. Galloway,42,41
155,2,6:16.0,T. Harris makes free throw 1 of 1,,43,41
156,2,6:01.0,,B. Griffin misses 3-pt jump shot from 24 ft,43,41
157,2,6:00.0,,Offensive rebound by B. Griffin,43,41
158,2,5:57.0,,B. Griffin misses 2-pt layup from 2 ft (block by J. Ennis),43,41
159,2,5:54.0,Defensive rebound by T. Harris,,43,41
160,2,5:38.0,A. Horford makes 2-pt jump shot from 22 ft (assist by T. Harris),,45,41
161,2,5:18.0,,M. Morris misses 3-pt jump shot from 26 ft,45,41
162,2,5:15.0,Defensive rebound by J. Ennis,,45,41
163,2,5:08.0,Personal foul by S. Mykhailiuk (drawn by B. Simmons),,45,41
164,2,5:08.0,,L. Galloway enters the game for S. Mykhailiuk,45,41
165,2,5:02.0,T. Harris misses 2-pt jump shot from 17 ft,,45,41
166,2,4:57.0,,Defensive rebound by T. Snell,45,41
167,2,4:49.0,,B. Griffin misses 3-pt jump shot from 26 ft,45,41
168,2,4:46.0,Defensive rebound by Team,,45,41
169,2,4:36.0,B. Simmons misses 2-pt hook shot from 6 ft,,45,41
170,2,4:28.0,Offensive rebound by F. Korkmaz,,45,41
171,2,4:28.0,F. Korkmaz makes 2-pt layup at rim,,47,41
172,2,4:17.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by T. Frazier),47,44
173,2,3:55.0,T. Harris makes 2-pt layup from 4 ft,,49,44
174,2,3:48.0,,T. Snell misses 3-pt jump shot from 26 ft,49,44
175,2,3:46.0,Defensive rebound by J. Ennis,,49,44
176,2,3:42.0,A. Horford makes 3-pt jump shot from 27 ft (assist by B. Simmons),,52,44
177,2,3:41.0,,Detroit full timeout,52,44
178,2,3:41.0,,A. Drummond enters the game for T. Frazier,52,44
179,2,3:41.0,,D. Rose enters the game for M. Morris,52,44
180,2,3:25.0,,B. Griffin misses 2-pt layup from 2 ft,52,44
181,2,3:23.0,Defensive rebound by A. Horford,,52,44
182,2,3:15.0,F. Korkmaz misses 2-pt layup from 2 ft,,52,44
183,2,3:12.0,Offensive rebound by F. Korkmaz,,52,44
184,2,3:11.0,F. Korkmaz misses 2-pt layup from 3 ft,,52,44
185,2,3:08.0,,Defensive rebound by A. Drummond,52,44
186,2,3:03.0,,D. Rose misses 3-pt jump shot from 25 ft,52,44
187,2,3:01.0,Defensive rebound by F. Korkmaz,,52,44
188,2,2:55.0,B. Simmons makes 2-pt layup from 2 ft (assist by T. Harris),,54,44
189,2,2:38.0,,Turnover by L. Galloway (lost ball; steal by F. Korkmaz),54,44
190,2,2:31.0,T. Harris makes 2-pt layup from 3 ft (assist by B. Simmons),,56,44
191,2,2:17.0,,D. Rose makes 2-pt layup from 2 ft,56,46
192,2,2:01.0,F. Korkmaz makes 2-pt jump shot from 7 ft (assist by B. Simmons),,58,46
193,2,1:53.0,,Personal foul by B. Simmons (drawn by B. Griffin),58,46
194,2,1:53.0,J. Embiid enters the game for T. Harris,,58,46
195,2,1:53.0,J. Richardson enters the game for A. Horford,,58,46
196,2,1:53.0,M. Scott enters the game for F. Korkmaz,,58,46
197,2,1:43.0,,D. Rose makes 2-pt jump shot from 8 ft (assist by L. Galloway),58,48
198,2,1:17.0,M. Scott makes 2-pt layup from 2 ft (assist by J. Ennis),,60,48
199,2,1:04.0,,L. Galloway misses 2-pt jump shot from 5 ft,60,48
200,2,1:02.0,Defensive rebound by J. Embiid,,60,48
201,2,0:57.0,J. Richardson misses 3-pt jump shot from 27 ft,,60,48
202,2,0:55.0,,Defensive rebound by A. Drummond,60,48
203,2,0:50.0,,D. Rose makes 2-pt layup from 2 ft (assist by A. Drummond),60,50
204,2,0:30.0,M. Scott misses 3-pt jump shot from 26 ft,,60,50
205,2,0:28.0,,Defensive rebound by T. Snell,60,50
206,2,0:07.0,,Shooting foul by J. Embiid (drawn by B. Griffin),60,50
207,2,0:07.0,,B. Griffin makes free throw 1 of 2,60,51
208,2,0:07.0,,B. Griffin makes free throw 2 of 2,60,52
209,3,11:45.0,,T. Snell misses 3-pt jump shot from 28 ft,60,52
210,3,11:42.0,Defensive rebound by J. Embiid,,60,52
211,3,11:33.0,Personal foul by T. Frazier (drawn by J. Richardson),,60,52
212,3,11:27.0,Turnover by J. Embiid (bad pass; steal by A. Drummond),,60,52
213,3,11:13.0,,A. Drummond makes 2-pt dunk from 3 ft (assist by B. Griffin),60,54
214,3,10:55.0,J. Richardson misses 2-pt layup from 3 ft,,60,54
215,3,10:53.0,,Defensive rebound by A. Drummond,60,54
216,3,10:50.0,,B. Griffin misses 2-pt layup from 5 ft (block by J. Embiid),60,54
217,3,10:50.0,,Offensive rebound by Team,60,54
218,3,10:44.0,,T. Snell makes 2-pt jump shot from 19 ft (assist by T. Frazier),60,56
219,3,10:38.0,T. Harris misses 3-pt jump shot from 25 ft,,60,56
220,3,10:36.0,,Defensive rebound by S. Mykhailiuk,60,56
221,3,10:28.0,,S. Mykhailiuk misses 2-pt jump shot from 7 ft (block by J. Richardson),60,56
222,3,10:28.0,,Offensive rebound by Team,60,56
223,3,10:20.0,,A. Drummond makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),60,58
224,3,10:00.0,T. Harris makes 2-pt jump shot from 12 ft,,62,58
225,3,9:50.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by B. Griffin),62,61
226,3,9:36.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Richardson),,65,61
227,3,9:13.0,,T. Frazier makes 2-pt jump shot from 19 ft,65,63
228,3,8:56.0,J. Embiid misses 2-pt jump shot from 18 ft,,65,63
229,3,8:52.0,,Defensive rebound by T. Frazier,65,63
230,3,8:50.0,,Personal foul by J. Richardson (drawn by A. Drummond),65,63
231,3,8:39.0,,T. Frazier makes 2-pt jump shot from 22 ft (assist by B. Griffin),65,65
232,3,8:18.0,T. Harris makes 2-pt jump shot from 13 ft,,67,65
233,3,8:06.0,,Shooting foul by T. Harris (drawn by A. Drummond),67,65
234,3,8:06.0,,A. Drummond misses free throw 1 of 2,67,65
235,3,8:06.0,,Offensive rebound by Team,67,65
236,3,8:06.0,,A. Drummond makes free throw 2 of 2,67,66
237,3,7:51.0,T. Harris makes 3-pt jump shot from 23 ft (assist by A. Horford),,70,66
238,3,7:37.0,,B. Griffin misses 3-pt jump shot from 27 ft,70,66
239,3,7:34.0,Defensive rebound by B. Simmons,,70,66
240,3,7:29.0,B. Simmons makes 2-pt layup from 2 ft,,72,66
241,3,7:08.0,,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by T. Frazier),72,69
242,3,6:50.0,T. Harris makes 2-pt jump shot from 11 ft (assist by B. Simmons),,74,69
243,3,6:39.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,74,69
244,3,6:37.0,Defensive rebound by B. Simmons,,74,69
245,3,6:32.0,Shooting foul by T. Frazier (drawn by J. Richardson),,74,69
246,3,6:32.0,,Detroit full timeout,74,69
247,3,6:32.0,J. Ennis enters the game for J. Embiid,,74,69
248,3,6:32.0,,L. Galloway enters the game for T. Snell,74,69
249,3,6:32.0,J. Richardson misses free throw 1 of 2,,74,69
250,3,6:32.0,Offensive rebound by Team,,74,69
251,3,6:32.0,J. Richardson makes free throw 2 of 2,,75,69
252,3,6:20.0,,Shooting foul by J. Ennis (drawn by S. Mykhailiuk),75,69
253,3,6:20.0,,S. Mykhailiuk makes free throw 1 of 2,75,70
254,3,6:20.0,F. Korkmaz enters the game for J. Richardson,,75,70
255,3,6:20.0,,S. Mykhailiuk misses free throw 2 of 2,75,70
256,3,6:17.0,Defensive rebound by B. Simmons,,75,70
257,3,6:04.0,T. Harris misses 2-pt jump shot from 9 ft,,75,70
258,3,6:04.0,,Defensive rebound by B. Griffin,75,70
259,3,6:04.0,,Personal foul by B. Simmons (drawn by B. Griffin),75,70
260,3,6:04.0,,C. Wood enters the game for A. Drummond,75,70
261,3,5:48.0,,C. Wood makes 2-pt layup from 4 ft (assist by L. Galloway),75,72
262,3,5:38.0,B. Simmons misses 2-pt layup from 5 ft,,75,72
263,3,5:35.0,,Defensive rebound by B. Griffin,75,72
264,3,5:28.0,,C. Wood misses 3-pt jump shot from 23 ft,75,72
265,3,5:26.0,Defensive rebound by B. Simmons,,75,72
266,3,5:25.0,Offensive foul by B. Simmons (drawn by B. Griffin),,75,72
267,3,5:25.0,Turnover by B. Simmons (offensive foul),,75,72
268,3,5:13.0,,B. Griffin misses 2-pt layup from 4 ft,75,72
269,3,5:11.0,Defensive rebound by A. Horford,,75,72
270,3,5:01.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),,78,72
271,3,4:44.0,,Turnover by C. Wood (bad pass; steal by F. Korkmaz),78,72
272,3,4:40.0,F. Korkmaz makes 2-pt dunk from 2 ft (assist by B. Simmons),,80,72
273,3,4:27.0,,L. Galloway misses 3-pt jump shot from 26 ft,80,72
274,3,4:25.0,Defensive rebound by B. Simmons,,80,72
275,3,4:18.0,J. Ennis misses 3-pt jump shot from 27 ft,,80,72
276,3,4:13.0,Offensive rebound by T. Harris,,80,72
277,3,4:11.0,B. Simmons misses 2-pt layup from 2 ft,,80,72
278,3,4:07.0,Offensive rebound by B. Simmons,,80,72
279,3,4:07.0,B. Simmons misses 2-pt layup from 1 ft,,80,72
280,3,4:06.0,Offensive rebound by B. Simmons,,80,72
281,3,4:05.0,B. Simmons makes 2-pt layup from 2 ft,,82,72
282,3,4:00.0,,Technical foul by B. Simmons,82,72
283,3,4:00.0,Technical foul by C. Wood,,82,72
284,3,4:00.0,M. Scott enters the game for T. Harris,,82,72
285,3,4:00.0,,M. Morris enters the game for T. Frazier,82,72
286,3,4:00.0,,D. Rose enters the game for B. Griffin,82,72
287,3,3:50.0,,Personal foul by M. Scott (drawn by M. Morris),82,72
