,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:47.0,,J. Brown misses 2-pt layup from 5 ft (block by P. McCaw),0,0
1,1,11:46.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,G. Hayward misses 3-pt jump shot from 28 ft,0,0
3,1,11:35.0,Defensive rebound by S. Ibaka,,0,0
4,1,11:24.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by P. McCaw),,2,0
5,1,11:12.0,,Turnover by J. Brown (lost ball; steal by P. McCaw),2,0
6,1,11:03.0,S. Ibaka misses 2-pt hook shot from 7 ft,,2,0
7,1,11:01.0,,Defensive rebound by J. Tatum,2,0
8,1,10:56.0,,K. Walker makes 2-pt layup from 1 ft,2,2
9,1,10:40.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by K. Lowry),,4,2
10,1,10:22.0,,K. Walker misses 2-pt jump shot from 3 ft,4,2
11,1,10:19.0,Defensive rebound by S. Ibaka,,4,2
12,1,10:13.0,Turnover by K. Lowry (lost ball; steal by K. Walker),,4,2
13,1,10:09.0,,J. Brown makes 2-pt layup from 5 ft (assist by J. Tatum),4,4
14,1,9:51.0,P. McCaw makes 2-pt jump shot from 13 ft,,6,4
15,1,9:34.0,,Shooting foul by S. Ibaka (drawn by K. Walker),6,4
16,1,9:34.0,,K. Walker misses free throw 1 of 2,6,4
17,1,9:34.0,,Offensive rebound by Team,6,4
18,1,9:34.0,,K. Walker makes free throw 2 of 2,6,5
19,1,9:25.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by P. McCaw),,9,5
20,1,9:13.0,,Turnover by J. Brown (lost ball; steal by K. Lowry),9,5
21,1,9:13.0,Personal foul by J. Brown (drawn by K. Lowry),,9,5
22,1,8:54.0,F. VanVleet misses 2-pt jump shot from 19 ft,,9,5
23,1,8:54.0,,Defensive rebound by Team,9,5
24,1,8:40.0,,G. Hayward makes 2-pt layup from 3 ft (assist by D. Theis),9,7
25,1,8:25.0,F. VanVleet misses 2-pt layup from 5 ft,,9,7
26,1,8:23.0,,Defensive rebound by D. Theis,9,7
27,1,8:16.0,,Shooting foul by F. VanVleet (drawn by J. Tatum),9,7
28,1,8:16.0,,J. Tatum misses free throw 1 of 2,9,7
29,1,8:16.0,,Offensive rebound by Team,9,7
30,1,8:16.0,C. Boucher enters the game for S. Ibaka,,9,7
31,1,8:16.0,,J. Tatum misses free throw 2 of 2,9,7
32,1,8:14.0,Defensive rebound by P. McCaw,,9,7
33,1,8:03.0,P. McCaw makes 2-pt layup from 4 ft (assist by F. VanVleet),,11,7
34,1,7:51.0,,K. Walker misses 3-pt jump shot from 27 ft,11,7
35,1,7:48.0,Defensive rebound by O. Anunoby,,11,7
36,1,7:42.0,Offensive foul by O. Anunoby (drawn by D. Theis),,11,7
37,1,7:42.0,Turnover by O. Anunoby (offensive foul),,11,7
38,1,7:31.0,,D. Theis makes 2-pt jump shot from 9 ft (assist by G. Hayward),11,9
39,1,7:18.0,K. Lowry makes 2-pt layup from 3 ft,,13,9
40,1,6:55.0,,K. Walker makes 2-pt layup from 2 ft (assist by D. Theis),13,11
41,1,6:38.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by C. Boucher),,16,11
42,1,6:23.0,,G. Hayward makes 2-pt layup from 2 ft (assist by D. Theis),16,13
43,1,6:10.0,Turnover by O. Anunoby (bad pass),,16,13
44,1,6:09.0,Loose ball foul by K. Lowry (drawn by G. Hayward),,16,13
45,1,6:09.0,,Boston full timeout,16,13
46,1,6:00.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by J. Tatum),16,16
47,1,5:45.0,Shooting foul by D. Theis (drawn by K. Lowry),,16,16
48,1,5:45.0,K. Lowry misses free throw 1 of 2,,16,16
49,1,5:45.0,Offensive rebound by Team,,16,16
50,1,5:45.0,,M. Smart enters the game for J. Tatum,16,16
51,1,5:45.0,K. Lowry makes free throw 2 of 2,,17,16
52,1,5:29.0,,Shooting foul by C. Boucher (drawn by M. Smart),17,16
53,1,5:29.0,,M. Smart misses free throw 1 of 2,17,16
54,1,5:29.0,,Offensive rebound by Team,17,16
55,1,5:29.0,,M. Smart makes free throw 2 of 2,17,17
56,1,5:16.0,P. McCaw makes 2-pt layup from 1 ft (assist by K. Lowry),,19,17
57,1,5:06.0,,D. Theis misses 2-pt dunk from 3 ft,19,17
58,1,5:04.0,Defensive rebound by C. Boucher,,19,17
59,1,4:57.0,F. VanVleet makes 3-pt jump shot from 30 ft (assist by P. McCaw),,22,17
60,1,4:39.0,,G. Hayward misses 3-pt jump shot from 26 ft,22,17
61,1,4:37.0,Defensive rebound by K. Lowry,,22,17
62,1,4:33.0,C. Boucher makes 2-pt dunk at rim (assist by K. Lowry),,24,17
63,1,4:17.0,,Shooting foul by O. Anunoby (drawn by J. Brown),24,17
64,1,4:17.0,,J. Brown misses free throw 1 of 2,24,17
65,1,4:17.0,,Offensive rebound by Team,24,17
66,1,4:17.0,R. Hollis-Jefferson enters the game for O. Anunoby,,24,17
67,1,4:17.0,S. Ibaka enters the game for C. Boucher,,24,17
68,1,4:17.0,,E. Freedom enters the game for G. Hayward,24,17
69,1,4:17.0,,G. Williams enters the game for D. Theis,24,17
70,1,4:17.0,,J. Brown misses free throw 2 of 2,24,17
71,1,4:14.0,Defensive rebound by R. Hollis-Jefferson,,24,17
72,1,4:03.0,K. Lowry misses 3-pt jump shot from 27 ft,,24,17
73,1,4:00.0,,Defensive rebound by G. Williams,24,17
74,1,3:57.0,,Offensive foul by J. Brown (drawn by K. Lowry),24,17
75,1,3:57.0,,Turnover by J. Brown (offensive foul),24,17
76,1,3:57.0,Toronto full timeout,,24,17
77,1,3:57.0,Instant Replay (Challenge: Ruling Stands),,24,17
78,1,3:57.0,T. Davis enters the game for K. Lowry,,24,17
79,1,3:50.0,Turnover by T. Davis (lost ball; steal by J. Brown),,24,17
80,1,3:41.0,,E. Freedom makes 2-pt hook shot from 3 ft (assist by G. Williams),24,19
81,1,3:28.0,Shooting foul by E. Freedom (drawn by S. Ibaka),,24,19
82,1,3:28.0,S. Ibaka misses free throw 1 of 2,,24,19
83,1,3:28.0,Offensive rebound by Team,,24,19
84,1,3:28.0,S. Ibaka makes free throw 2 of 2,,25,19
85,1,3:06.0,,K. Walker misses 2-pt jump shot from 4 ft,25,19
86,1,3:04.0,Defensive rebound by R. Hollis-Jefferson,,25,19
87,1,2:55.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by P. McCaw),,27,19
88,1,2:35.0,,M. Smart misses 2-pt jump shot from 3 ft,27,19
89,1,2:33.0,Defensive rebound by T. Davis,,27,19
90,1,2:30.0,P. McCaw makes 2-pt layup from 1 ft (assist by T. Davis),,29,19
91,1,2:14.0,,E. Freedom makes 3-pt jump shot from 25 ft (assist by K. Walker),29,22
92,1,1:55.0,F. VanVleet misses 2-pt layup from 5 ft,,29,22
93,1,1:53.0,Offensive rebound by S. Ibaka,,29,22
94,1,1:52.0,S. Ibaka makes 2-pt hook shot from 5 ft,,31,22
95,1,1:44.0,,Offensive foul by G. Williams (drawn by F. VanVleet),31,22
96,1,1:44.0,,Turnover by G. Williams (offensive foul),31,22
97,1,1:44.0,K. Lowry enters the game for F. VanVleet,,31,22
98,1,1:44.0,,J. Tatum enters the game for J. Brown,31,22
99,1,1:44.0,,B. Wanamaker enters the game for K. Walker,31,22
100,1,1:29.0,Offensive foul by T. Davis (drawn by M. Smart),,31,22
