,QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
0,1,11:39.0,,W. Carter makes 3-pt jump shot from 23 ft (assist by K. Dunn),0,3
1,1,11:16.0,Shooting foul by W. Carter (drawn by B. Bogdanović),,0,3
2,1,11:16.0,B. Bogdanović makes free throw 1 of 2,,1,3
3,1,11:16.0,B. Bogdanović makes free throw 2 of 2,,2,3
4,1,11:08.0,,Z. LaVine misses 3-pt jump shot from 25 ft,2,3
5,1,11:06.0,,Offensive rebound by L. Markkanen,2,3
6,1,10:58.0,,Shooting foul by R. O'Neale (drawn by T. Satoranský),2,3
7,1,10:58.0,,T. Satoranský makes free throw 1 of 2,2,4
8,1,10:58.0,,T. Satoranský makes free throw 2 of 2,2,5
9,1,10:43.0,Turnover by D. Mitchell (traveling),,2,5
10,1,10:31.0,,W. Carter makes 2-pt jump shot from 5 ft (assist by Z. LaVine),2,7
11,1,10:07.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,7
12,1,10:04.0,,Defensive rebound by L. Markkanen,2,7
13,1,9:47.0,,L. Markkanen misses 2-pt jump shot from 2 ft,2,7
14,1,9:45.0,Defensive rebound by R. Gobert,,2,7
15,1,9:36.0,R. Gobert misses 2-pt jump shot from 4 ft,,2,7
16,1,9:34.0,,Defensive rebound by W. Carter,2,7
17,1,9:28.0,,K. Dunn misses 2-pt jump shot from 11 ft,2,7
18,1,9:26.0,Defensive rebound by R. Gobert,,2,7
19,1,9:18.0,R. O'Neale misses 3-pt jump shot from 22 ft,,2,7
20,1,9:14.0,,Defensive rebound by K. Dunn,2,7
21,1,9:10.0,,K. Dunn makes 2-pt layup from 2 ft,2,9
22,1,8:56.0,J. Ingles misses 3-pt jump shot from 23 ft,,2,9
23,1,8:53.0,,Defensive rebound by W. Carter,2,9
24,1,8:49.0,,Personal foul by R. O'Neale (drawn by L. Markkanen),2,9
25,1,8:49.0,G. Niang enters the game for R. O'Neale,,2,9
26,1,8:35.0,,W. Carter misses 2-pt layup from 3 ft (block by R. Gobert),2,9
27,1,8:32.0,Defensive rebound by B. Bogdanović,,2,9
28,1,8:29.0,B. Bogdanović makes 2-pt layup from 1 ft,,4,9
29,1,8:12.0,,T. Satoranský misses 2-pt jump shot from 10 ft,4,9
30,1,8:09.0,Defensive rebound by G. Niang,,4,9
31,1,8:01.0,J. Ingles makes 2-pt layup from 2 ft (assist by D. Mitchell),,6,9
32,1,7:42.0,,T. Satoranský misses 3-pt jump shot from 25 ft,6,9
33,1,7:39.0,Defensive rebound by J. Ingles,,6,9
34,1,7:33.0,J. Ingles makes 3-pt jump shot from 26 ft,,9,9
35,1,7:18.0,,Z. LaVine misses 2-pt layup from 2 ft,9,9
36,1,7:18.0,Defensive rebound by Team,,9,9
37,1,7:03.0,G. Niang misses 3-pt jump shot from 23 ft,,9,9
38,1,6:59.0,,Defensive rebound by K. Dunn,9,9
39,1,6:55.0,,L. Markkanen misses 3-pt jump shot from 27 ft,9,9
40,1,6:52.0,Defensive rebound by R. Gobert,,9,9
41,1,6:42.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,9,9
42,1,6:35.0,Offensive rebound by R. Gobert,,9,9
