,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:42.0,W. Barton misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Sabonis,0,0
2,1,11:19.0,,T. Warren makes 2-pt jump shot from 17 ft (assist by D. Sabonis),0,2
3,1,11:04.0,G. Harris misses 3-pt jump shot from 23 ft,,0,2
4,1,11:02.0,Offensive rebound by G. Harris,,0,2
5,1,10:49.0,J. Murray misses 3-pt jump shot from 28 ft,,0,2
6,1,10:46.0,,Defensive rebound by J. Lamb,0,2
7,1,10:36.0,,D. Sabonis makes 2-pt jump shot from 16 ft (assist by T. Warren),0,4
8,1,10:20.0,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),,2,4
9,1,10:03.0,,Shooting foul by N. Jokić (drawn by M. Turner),2,4
10,1,10:03.0,,M. Turner makes free throw 1 of 2,2,5
11,1,10:03.0,,M. Turner makes free throw 2 of 2,2,6
12,1,9:46.0,Shooting foul by T. Warren (drawn by G. Harris),,2,6
13,1,9:46.0,G. Harris makes free throw 1 of 2,,3,6
14,1,9:46.0,G. Harris makes free throw 2 of 2,,4,6
15,1,9:25.0,,M. Turner misses 2-pt jump shot from 12 ft,4,6
16,1,9:22.0,Defensive rebound by N. Jokić,,4,6
17,1,9:02.0,P. Millsap makes 2-pt jump shot from 14 ft (assist by G. Harris),,6,6
18,1,8:45.0,,J. Lamb makes 2-pt jump shot from 16 ft (assist by A. Holiday),6,8
19,1,8:32.0,P. Millsap misses 3-pt jump shot from 27 ft,,6,8
20,1,8:29.0,Offensive rebound by P. Millsap,,6,8
21,1,8:26.0,Turnover by P. Millsap (bad pass; steal by J. Lamb),,6,8
22,1,8:20.0,,T. Warren makes 3-pt jump shot from 24 ft (assist by A. Holiday),6,11
23,1,8:03.0,Turnover by G. Harris (lost ball; steal by D. Sabonis),,6,11
24,1,7:46.0,,A. Holiday makes 2-pt layup from 1 ft (assist by D. Sabonis),6,13
25,1,7:45.0,Denver full timeout,,6,13
26,1,7:26.0,N. Jokić misses 2-pt jump shot from 17 ft,,6,13
27,1,7:24.0,,Defensive rebound by M. Turner,6,13
28,1,7:12.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by M. Turner),6,16
29,1,7:00.0,Personal foul by M. Turner (drawn by N. Jokić),,6,16
30,1,6:52.0,W. Barton misses 3-pt jump shot from 27 ft,,6,16
31,1,6:48.0,,Defensive rebound by M. Turner,6,16
32,1,6:42.0,,Turnover by A. Holiday (lost ball; steal by P. Millsap),6,16
33,1,6:37.0,Shooting foul by A. Holiday (drawn by P. Millsap),,6,16
34,1,6:37.0,P. Millsap makes free throw 1 of 2,,7,16
35,1,6:37.0,P. Millsap makes free throw 2 of 2,,8,16
36,1,6:22.0,,M. Turner makes 2-pt dunk from 2 ft (assist by J. Lamb),8,18
37,1,6:02.0,J. Murray makes 2-pt jump shot from 10 ft (assist by W. Barton),,10,18
38,1,5:46.0,,J. Lamb makes 3-pt jump shot from 28 ft (assist by A. Holiday),10,21
39,1,5:29.0,Turnover by N. Jokić (bad pass; steal by T. Warren),,10,21
40,1,5:23.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by T. Warren),10,24
41,1,5:20.0,Denver full timeout,,10,24
42,1,5:20.0,J. Grant enters the game for W. Barton,,10,24
43,1,5:20.0,M. Porter enters the game for P. Millsap,,10,24
44,1,5:20.0,,J. Holiday enters the game for D. Sabonis,10,24
45,1,5:05.0,J. Murray makes 3-pt jump shot from 23 ft (assist by J. Grant),,13,24
46,1,4:51.0,,M. Turner makes 2-pt layup from 1 ft (assist by A. Holiday),13,26
47,1,4:51.0,,Shooting foul by N. Jokić (drawn by M. Turner),13,26
48,1,4:51.0,M. Plumlee enters the game for N. Jokić,,13,26
49,1,4:51.0,,M. Turner misses free throw 1 of 1,13,26
50,1,4:49.0,Defensive rebound by M. Plumlee,,13,26
51,1,4:40.0,J. Murray makes 3-pt jump shot from 28 ft,,16,26
52,1,4:40.0,Shooting foul by A. Holiday (drawn by J. Murray),,16,26
53,1,4:40.0,,T. McConnell enters the game for A. Holiday,16,26
54,1,4:40.0,J. Murray makes free throw 1 of 1,,17,26
55,1,4:17.0,,Shooting foul by M. Porter (drawn by M. Turner),17,26
56,1,4:17.0,,M. Turner misses free throw 1 of 2,17,26
57,1,4:17.0,,Offensive rebound by Team,17,26
58,1,4:17.0,,M. Turner makes free throw 2 of 2,17,27
59,1,3:59.0,M. Porter makes 2-pt jump shot from 7 ft (assist by M. Plumlee),,19,27
60,1,3:43.0,,M. Turner makes 2-pt layup from 2 ft (assist by J. Lamb),19,29
61,1,3:31.0,J. Grant misses 3-pt jump shot from 27 ft,,19,29
62,1,3:28.0,,Defensive rebound by M. Turner,19,29
63,1,3:20.0,,T. McConnell misses 2-pt jump shot from 11 ft,19,29
64,1,3:18.0,Defensive rebound by M. Porter,,19,29
65,1,3:13.0,G. Harris makes 2-pt layup from 3 ft,,21,29
66,1,2:47.0,,M. Turner misses 3-pt jump shot from 27 ft,21,29
67,1,2:47.0,,Offensive rebound by T. Warren,21,29
68,1,2:47.0,,T. Warren makes 2-pt layup from 3 ft,21,31
69,1,2:47.0,,Indiana full timeout,21,31
70,1,2:47.0,W. Barton enters the game for G. Harris,,21,31
71,1,2:47.0,,D. Sabonis enters the game for M. Turner,21,31
72,1,2:25.0,J. Grant makes 2-pt dunk from 2 ft (assist by M. Plumlee),,23,31
73,1,2:08.0,,T. Warren misses 2-pt jump shot from 17 ft,23,31
74,1,2:05.0,Defensive rebound by M. Porter,,23,31
75,1,1:56.0,J. Grant makes 2-pt layup from 2 ft (assist by J. Murray),,25,31
76,1,1:44.0,,J. Holiday misses 3-pt jump shot from 24 ft,25,31
77,1,1:40.0,Defensive rebound by J. Murray,,25,31
78,1,1:36.0,M. Porter misses 3-pt jump shot from 25 ft,,25,31
79,1,1:32.0,Offensive rebound by M. Plumlee,,25,31
80,1,1:31.0,M. Porter makes 2-pt jump shot from 8 ft,,27,31
81,1,1:13.0,,D. Sabonis makes 2-pt layup from 6 ft,27,33
82,1,0:54.0,J. Murray misses 2-pt jump shot from 17 ft,,27,33
83,1,0:51.0,,Defensive rebound by J. Holiday,27,33
84,1,0:39.0,,T. Warren misses 3-pt jump shot from 27 ft,27,33
85,1,0:37.0,Defensive rebound by M. Porter,,27,33
86,1,0:30.0,W. Barton misses 2-pt layup from 3 ft (block by D. Sabonis),,27,33
87,1,0:28.0,,Defensive rebound by T. Warren,27,33
88,1,0:28.0,,Personal take foul by M. Plumlee (drawn by J. Holiday),27,33
89,1,0:28.0,M. Morris enters the game for J. Murray,,27,33
90,1,0:28.0,,G. Bitadze enters the game for J. Lamb,27,33
91,1,0:28.0,,D. McDermott enters the game for T. Warren,27,33
92,1,0:21.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. McConnell),27,35
93,1,0:04.0,Turnover by W. Barton (bad pass),,27,35
94,1,0:00.0,,T. McConnell makes 2-pt layup from 2 ft (assist by D. Sabonis),27,37
95,2,11:47.0,,D. Sabonis misses 2-pt layup from 1 ft,27,37
96,2,11:45.0,Defensive rebound by W. Barton,,27,37
97,2,11:32.0,M. Porter makes 3-pt jump shot from 27 ft (assist by M. Plumlee),,30,37
98,2,11:19.0,,Turnover by D. McDermott (bad pass; steal by M. Plumlee),30,37
99,2,11:14.0,M. Morris makes 2-pt layup from 2 ft (assist by W. Barton),,32,37
100,2,10:47.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by D. Sabonis),32,40
101,2,10:27.0,J. Grant misses 2-pt layup from 2 ft,,32,40
102,2,10:25.0,,Defensive rebound by T. McConnell,32,40
103,2,10:15.0,,Shooting foul by W. Barton (drawn by G. Bitadze),32,40
104,2,10:15.0,,G. Bitadze misses free throw 1 of 2,32,40
105,2,10:15.0,,Offensive rebound by Team,32,40
106,2,10:15.0,,G. Bitadze makes free throw 2 of 2,32,41
107,2,10:01.0,W. Barton misses 2-pt layup from 1 ft,,32,41
108,2,10:00.0,,Defensive rebound by D. Sabonis,32,41
109,2,9:50.0,,D. Sabonis makes 2-pt jump shot from 5 ft (assist by T. McConnell),32,43
110,2,9:29.0,M. Plumlee makes 2-pt jump shot from 5 ft (assist by M. Morris),,34,43
111,2,9:15.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by T. McConnell),34,46
112,2,8:56.0,Turnover by M. Plumlee (bad pass; steal by J. Holiday),,34,46
113,2,8:49.0,,D. McDermott misses 3-pt jump shot from 24 ft,34,46
114,2,8:45.0,Defensive rebound by M. Plumlee,,34,46
115,2,8:40.0,Shooting foul by J. Holiday (drawn by W. Barton),,34,46
116,2,8:40.0,W. Barton misses free throw 1 of 2,,34,46
117,2,8:40.0,Offensive rebound by Team,,34,46
118,2,8:40.0,G. Harris enters the game for M. Porter,,34,46
119,2,8:40.0,,T. Warren enters the game for J. Holiday,34,46
120,2,8:40.0,W. Barton makes free throw 2 of 2,,35,46
121,2,8:22.0,,Turnover by T. McConnell (bad pass),35,46
