,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
0,1,11:41.0,B. Simmons misses 2-pt jump shot from 9 ft,,0,0
1,1,11:40.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:33.0,,R. Westbrook misses 2-pt layup from 1 ft (block by J. Embiid),0,0
3,1,11:32.0,Defensive rebound by B. Simmons,,0,0
4,1,11:27.0,T. Harris makes 3-pt jump shot from 23 ft (assist by B. Simmons),,3,0
5,1,11:01.0,,R. Westbrook misses 2-pt jump shot from 16 ft,3,0
6,1,10:59.0,Defensive rebound by J. Embiid,,3,0
7,1,10:45.0,Turnover by J. Embiid (lost ball; steal by R. Westbrook),,3,0
8,1,10:40.0,,C. Capela misses 2-pt dunk from 1 ft,3,0
9,1,10:37.0,Defensive rebound by B. Simmons,,3,0
10,1,10:33.0,B. Simmons misses 2-pt layup from 2 ft,,3,0
11,1,10:31.0,,Defensive rebound by J. Harden,3,0
12,1,10:18.0,,J. Harden makes 2-pt jump shot from 5 ft,3,2
13,1,9:53.0,J. Embiid misses 3-pt jump shot from 23 ft,,3,2
14,1,9:50.0,,Defensive rebound by J. Harden,3,2
15,1,9:42.0,,P. Tucker misses 3-pt jump shot from 23 ft,3,2
16,1,9:39.0,Defensive rebound by B. Simmons,,3,2
17,1,9:28.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Richardson),,5,2
18,1,9:19.0,,R. Westbrook makes 2-pt jump shot from 16 ft,5,4
19,1,9:06.0,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),,7,4
20,1,8:53.0,,C. Capela misses 2-pt layup from 1 ft,7,4
21,1,8:52.0,,Offensive rebound by J. Harden,7,4
22,1,8:51.0,,J. Harden misses 2-pt jump shot from 1 ft,7,4
23,1,8:51.0,,Offensive rebound by C. Capela,7,4
24,1,8:51.0,,C. Capela makes 2-pt dunk at rim,7,6
25,1,8:33.0,J. Richardson misses 3-pt jump shot from 25 ft,,7,6
26,1,8:33.0,,Defensive rebound by C. Capela,7,6
27,1,8:25.0,,J. Harden misses 3-pt jump shot from 26 ft,7,6
28,1,8:25.0,Defensive rebound by Team,,7,6
29,1,8:17.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Richardson),,9,6
30,1,8:09.0,,R. Westbrook misses 2-pt jump shot from 17 ft,9,6
31,1,8:08.0,Defensive rebound by A. Horford,,9,6
32,1,7:50.0,T. Harris makes 2-pt layup at rim,,11,6
