,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
0,1,11:43.0,K. Dunn misses 2-pt jump shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by L. Dončić,0,0
2,1,11:25.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Dončić),0,3
3,1,10:58.0,K. Dunn misses 3-pt jump shot from 25 ft,,0,3
4,1,10:57.0,,Defensive rebound by Team,0,3
5,1,10:44.0,,Turnover by L. Dončić (bad pass),0,3
6,1,10:21.0,T. Satoranský misses 2-pt jump shot from 11 ft,,0,3
7,1,10:19.0,Offensive rebound by W. Carter,,0,3
8,1,10:07.0,Offensive foul by W. Carter (drawn by D. Powell),,0,3
9,1,10:07.0,Turnover by W. Carter (offensive foul),,0,3
10,1,9:55.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by L. Dončić),0,6
11,1,9:32.0,Turnover by W. Carter (bad pass; steal by T. Hardaway),,0,6
12,1,9:29.0,,T. Hardaway makes 2-pt layup from 1 ft,0,8
13,1,9:07.0,Z. LaVine misses 2-pt jump shot from 10 ft,,0,8
14,1,9:05.0,Offensive rebound by W. Carter,,0,8
15,1,9:00.0,Personal foul by D. Powell (drawn by W. Carter),,0,8
16,1,8:54.0,L. Markkanen makes 2-pt dunk from 1 ft (assist by Z. LaVine),,2,8
17,1,8:38.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Dončić),2,11
18,1,8:27.0,L. Markkanen makes 3-pt jump shot from 23 ft (assist by K. Dunn),,5,11
19,1,8:11.0,,J. Barea makes 2-pt jump shot from 8 ft,5,13
20,1,7:59.0,Z. LaVine makes 2-pt layup from 1 ft,,7,13
21,1,7:39.0,,Shooting foul by K. Dunn (drawn by L. Dončić),7,13
22,1,7:39.0,,L. Dončić makes free throw 1 of 2,7,14
23,1,7:39.0,,L. Dončić makes free throw 2 of 2,7,15
24,1,7:28.0,Z. LaVine makes 2-pt layup from 1 ft (assist by T. Satoranský),,9,15
25,1,7:20.0,,Turnover by J. Barea (bad pass; steal by L. Markkanen),9,15
26,1,7:11.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,12,15
27,1,7:09.0,,Dallas full timeout,12,15
28,1,6:57.0,,L. Dončić makes 3-pt jump shot from 26 ft (assist by T. Hardaway),12,18
29,1,6:42.0,W. Carter makes 2-pt dunk at rim (assist by Z. LaVine),,14,18
30,1,6:28.0,,L. Dončić misses 3-pt jump shot from 26 ft,14,18
31,1,6:25.0,Defensive rebound by Z. LaVine,,14,18
32,1,6:20.0,L. Markkanen misses 3-pt jump shot from 24 ft,,14,18
33,1,6:16.0,,Defensive rebound by D. Powell,14,18
34,1,5:58.0,,J. Barea misses 2-pt jump shot from 10 ft,14,18
35,1,5:56.0,Defensive rebound by W. Carter,,14,18
