,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:49.0,J. McGee misses 2-pt jump shot from 12 ft,,0,0
1,1,11:45.0,Offensive rebound by J. McGee,,0,0
2,1,11:43.0,R. Rondo makes 2-pt layup from 1 ft,,2,0
3,1,11:21.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,2,0
4,1,11:18.0,,Offensive rebound by S. Adams,2,0
5,1,11:10.0,,S. Adams misses 2-pt layup from 4 ft,2,0
6,1,11:08.0,Defensive rebound by J. McGee,,2,0
7,1,11:03.0,R. Rondo makes 2-pt layup from 2 ft,,4,0
8,1,10:49.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Adams),4,2
9,1,10:27.0,K. Kuzma makes 2-pt jump shot from 8 ft,,6,2
10,1,10:19.0,,S. Gilgeous-Alexander misses 2-pt layup from 4 ft,6,2
11,1,10:17.0,Defensive rebound by K. Kuzma,,6,2
12,1,10:07.0,Turnover by J. McGee (bad pass; steal by S. Adams),,6,2
13,1,9:59.0,,S. Adams makes 2-pt dunk from 2 ft (assist by T. Ferguson),6,4
14,1,9:35.0,R. Rondo makes 2-pt jump shot from 21 ft,,8,4
15,1,9:19.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by T. Ferguson),8,7
16,1,8:56.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by R. Rondo),,11,7
17,1,8:36.0,,T. Ferguson misses 3-pt jump shot from 26 ft,11,7
18,1,8:32.0,Defensive rebound by A. Bradley,,11,7
19,1,8:25.0,A. Bradley misses 2-pt jump shot from 17 ft (block by T. Ferguson),,11,7
20,1,8:21.0,,Defensive rebound by T. Ferguson,11,7
21,1,8:11.0,,S. Adams misses 2-pt layup from 3 ft,11,7
22,1,8:08.0,Defensive rebound by R. Rondo,,11,7
23,1,7:54.0,R. Rondo makes 2-pt jump shot from 8 ft,,13,7
24,1,7:46.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,13,9
25,1,7:31.0,LA Lakers full timeout,,13,9
26,1,7:25.0,Turnover by R. Rondo (bad pass; steal by S. Gilgeous-Alexander),,13,9
27,1,7:23.0,,Personal take foul by R. Rondo (drawn by S. Gilgeous-Alexander),13,9
28,1,7:12.0,,D. Gallinari misses 3-pt jump shot from 25 ft,13,9
29,1,7:07.0,Defensive rebound by R. Rondo,,13,9
30,1,7:03.0,Shooting foul by T. Ferguson (drawn by K. Kuzma),,13,9
31,1,7:03.0,K. Kuzma makes free throw 1 of 2,,14,9
32,1,7:03.0,K. Kuzma makes free throw 2 of 2,,15,9
33,1,6:42.0,,D. Gallinari misses 3-pt jump shot from 24 ft,15,9
34,1,6:42.0,,Offensive rebound by Team,15,9
35,1,6:42.0,Loose ball foul by J. McGee (drawn by S. Adams),,15,9
36,1,6:29.0,,D. Gallinari makes 2-pt jump shot from 16 ft,15,11
37,1,6:20.0,R. Rondo makes 2-pt layup from 2 ft,,17,11
38,1,6:07.0,,Shooting foul by J. McGee (drawn by D. Gallinari),17,11
39,1,6:07.0,,D. Gallinari makes free throw 1 of 2,17,12
40,1,6:07.0,D. Howard enters the game for J. McGee,,17,12
41,1,6:07.0,,M. Muscala enters the game for S. Adams,17,12
42,1,6:07.0,,D. Schröder enters the game for C. Paul,17,12
43,1,6:07.0,,D. Gallinari makes free throw 2 of 2,17,13
44,1,5:52.0,D. Howard misses 2-pt layup from 5 ft,,17,13
45,1,5:50.0,Offensive rebound by R. Rondo,,17,13
46,1,5:50.0,R. Rondo makes 2-pt layup from 1 ft,,19,13
47,1,5:34.0,,D. Gallinari misses 2-pt jump shot from 22 ft,19,13
48,1,5:33.0,Defensive rebound by R. Rondo,,19,13
49,1,5:25.0,R. Rondo misses 2-pt layup from 4 ft,,19,13
50,1,5:24.0,Offensive rebound by R. Rondo,,19,13
51,1,5:23.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by R. Rondo),,22,13
52,1,5:04.0,,S. Gilgeous-Alexander misses 2-pt layup from 7 ft (block by D. Howard),22,13
53,1,4:58.0,Defensive rebound by R. Rondo,,22,13
54,1,4:48.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft (block by S. Gilgeous-Alexander),,22,13
55,1,4:48.0,Offensive rebound by Team,,22,13
56,1,4:48.0,A. Caruso enters the game for A. Bradley,,22,13
57,1,4:42.0,A. Caruso makes 2-pt jump shot from 8 ft,,24,13
58,1,4:42.0,,Oklahoma City full timeout,24,13
59,1,4:22.0,,M. Muscala misses 3-pt jump shot from 27 ft,24,13
60,1,4:20.0,Defensive rebound by Team,,24,13
61,1,4:01.0,D. Howard makes 2-pt hook shot from 6 ft (assist by R. Rondo),,26,13
62,1,3:48.0,,D. Schröder misses 3-pt jump shot from 25 ft,26,13
63,1,3:45.0,Defensive rebound by R. Rondo,,26,13
64,1,3:43.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,28,13
65,1,3:43.0,Shooting foul by D. Schröder (drawn by K. Caldwell-Pope),,28,13
66,1,3:43.0,,D. Bazley enters the game for T. Ferguson,28,13
67,1,3:43.0,,H. Diallo enters the game for D. Gallinari,28,13
68,1,3:43.0,K. Caldwell-Pope makes free throw 1 of 1,,29,13
69,1,3:26.0,,D. Schröder misses 2-pt jump shot from 16 ft,29,13
70,1,3:24.0,Defensive rebound by K. Kuzma,,29,13
71,1,3:10.0,A. Caruso makes 3-pt jump shot from 23 ft (assist by D. Howard),,32,13
72,1,2:52.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,32,15
73,1,2:28.0,A. Caruso misses 2-pt jump shot from 11 ft,,32,15
74,1,2:25.0,,Defensive rebound by H. Diallo,32,15
75,1,2:22.0,,Turnover by D. Schröder (out of bounds lost ball),32,15
76,1,2:22.0,T. Daniels enters the game for K. Caldwell-Pope,,32,15
77,1,2:22.0,,A. Nader enters the game for S. Gilgeous-Alexander,32,15
78,1,2:09.0,A. Caruso misses 2-pt layup from 3 ft (block by M. Muscala),,32,15
79,1,2:07.0,,Defensive rebound by M. Muscala,32,15
80,1,2:04.0,,A. Nader makes 2-pt layup from 2 ft (assist by D. Schröder),32,17
81,1,1:47.0,R. Rondo misses 2-pt jump shot from 14 ft,,32,17
82,1,1:46.0,Offensive rebound by D. Howard,,32,17
83,1,1:46.0,Shooting foul by D. Bazley (drawn by D. Howard),,32,17
84,1,1:46.0,D. Howard makes free throw 1 of 2,,33,17
85,1,1:46.0,Q. Cook enters the game for R. Rondo,,33,17
86,1,1:46.0,,S. Adams enters the game for M. Muscala,33,17
87,1,1:46.0,D. Howard makes free throw 2 of 2,,34,17
88,1,1:34.0,,D. Schröder makes 2-pt layup from 2 ft,34,19
89,1,1:22.0,K. Kuzma makes 2-pt jump shot from 17 ft,,36,19
90,1,1:08.0,,D. Schröder misses 2-pt jump shot from 14 ft,36,19
91,1,1:04.0,Defensive rebound by A. Caruso,,36,19
92,1,1:01.0,T. Daniels misses 3-pt jump shot from 26 ft,,36,19
93,1,0:59.0,Offensive rebound by K. Kuzma,,36,19
94,1,0:59.0,K. Kuzma makes 2-pt layup from 1 ft,,38,19
95,1,0:44.0,,D. Bazley misses 2-pt layup from 7 ft,38,19
96,1,0:41.0,Defensive rebound by D. Howard,,38,19
97,1,0:33.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by A. Caruso),,41,19
98,1,0:14.0,,H. Diallo misses 2-pt layup from 3 ft (block by D. Howard),41,19
99,1,0:11.0,,Offensive rebound by A. Nader,41,19
100,1,0:10.0,,D. Schröder misses 3-pt jump shot from 24 ft,41,19
101,1,0:06.0,Defensive rebound by D. Howard,,41,19
102,1,0:01.0,K. Kuzma misses 3-pt jump shot from 33 ft,,41,19
103,1,0:01.0,,Defensive rebound by A. Nader,41,19
104,2,11:49.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by C. Paul),41,22
105,2,11:29.0,Q. Cook misses 2-pt jump shot from 16 ft,,41,22
106,2,11:26.0,,Defensive rebound by S. Adams,41,22
107,2,11:20.0,,C. Paul misses 2-pt jump shot from 15 ft,41,22
108,2,11:17.0,Defensive rebound by T. Daniels,,41,22
109,2,11:08.0,A. Caruso misses 2-pt jump shot from 11 ft (block by S. Adams),,41,22
110,2,11:05.0,,Defensive rebound by C. Paul,41,22
111,2,11:00.0,,S. Adams misses 2-pt layup from 1 ft,41,22
112,2,10:58.0,,Offensive rebound by S. Adams,41,22
113,2,10:58.0,,S. Adams makes 2-pt layup at rim,41,24
114,2,10:48.0,T. Daniels makes 2-pt jump shot from 10 ft (assist by A. Caruso),,43,24
115,2,10:33.0,,D. Schröder misses 2-pt jump shot from 7 ft,43,24
116,2,10:29.0,Defensive rebound by D. Howard,,43,24
117,2,10:15.0,D. Howard misses 2-pt layup from 8 ft,,43,24
118,2,10:13.0,,Defensive rebound by S. Adams,43,24
119,2,10:04.0,,Shooting foul by T. Daniels (drawn by H. Diallo),43,24
120,2,10:04.0,,H. Diallo makes free throw 1 of 2,43,25
121,2,10:04.0,,H. Diallo misses free throw 2 of 2,43,25
122,2,10:03.0,Defensive rebound by Team,,43,25
123,2,9:52.0,T. Daniels makes 3-pt jump shot from 31 ft,,46,25
124,2,9:40.0,,C. Paul makes 2-pt jump shot from 13 ft,46,27
125,2,9:26.0,T. Daniels misses 2-pt jump shot from 12 ft,,46,27
126,2,9:24.0,,Defensive rebound by D. Schröder,46,27
127,2,9:21.0,,H. Diallo misses 2-pt layup from 6 ft (block by A. Caruso),46,27
128,2,9:21.0,,Offensive rebound by Team,46,27
129,2,9:21.0,,Oklahoma City full timeout,46,27
130,2,9:18.0,,D. Schröder misses 2-pt jump shot from 15 ft,46,27
131,2,9:16.0,Defensive rebound by D. Howard,,46,27
132,2,9:00.0,Turnover by A. Caruso (bad pass; steal by S. Adams),,46,27
133,2,8:49.0,,A. Nader makes 2-pt jump shot from 15 ft (assist by H. Diallo),46,29
134,2,8:34.0,Q. Cook makes 2-pt jump shot from 23 ft,,48,29
135,2,8:25.0,,D. Schröder makes 2-pt layup at rim (assist by C. Paul),48,31
136,2,8:08.0,Q. Cook makes 3-pt jump shot from 25 ft,,51,31
137,2,7:56.0,,Personal foul by T. Daniels (drawn by C. Paul),51,31
138,2,7:56.0,,D. Gallinari enters the game for S. Adams,51,31
139,2,7:56.0,,S. Gilgeous-Alexander enters the game for H. Diallo,51,31
140,2,7:56.0,,M. Muscala enters the game for D. Schröder,51,31
141,2,7:43.0,,M. Muscala makes 2-pt jump shot from 15 ft,51,33
142,2,7:30.0,Personal foul by C. Paul (drawn by Q. Cook),,51,33
143,2,7:30.0,K. Kuzma enters the game for J. Dudley,,51,33
144,2,7:21.0,A. Caruso makes 3-pt jump shot from 26 ft (assist by D. Howard),,54,33
145,2,7:02.0,,D. Gallinari misses 3-pt jump shot from 25 ft,54,33
