,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:36.0,N. Jokić misses 3-pt jump shot from 31 ft,,0,0
1,1,11:34.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:25.0,,D. Lee misses 3-pt jump shot from 27 ft,0,0
4,1,11:21.0,,Offensive rebound by W. Cauley-Stein,0,0
5,1,11:08.0,,D. Green misses 2-pt jump shot from 10 ft,0,0
6,1,11:07.0,Defensive rebound by T. Craig,,0,0
7,1,10:58.0,W. Barton makes 3-pt jump shot from 26 ft,,3,0
8,1,10:39.0,,D. Lee makes 3-pt jump shot from 23 ft (assist by G. Robinson),3,3
9,1,10:19.0,Turnover by N. Jokić (bad pass),,3,3
10,1,10:00.0,,D. Green misses 3-pt jump shot from 26 ft,3,3
11,1,9:58.0,,Offensive rebound by W. Cauley-Stein,3,3
12,1,9:54.0,,G. Robinson misses 2-pt layup from 4 ft (block by W. Barton),3,3
13,1,9:52.0,,Offensive rebound by G. Robinson,3,3
14,1,9:47.0,,D. Russell makes 3-pt jump shot from 28 ft (assist by D. Lee),3,6
15,1,9:37.0,T. Craig misses 3-pt jump shot from 23 ft,,3,6
16,1,9:35.0,,Defensive rebound by D. Russell,3,6
17,1,9:30.0,,D. Russell makes 3-pt jump shot from 28 ft,3,9
18,1,9:11.0,W. Barton misses 3-pt jump shot from 26 ft,,3,9
19,1,9:09.0,Offensive rebound by T. Craig,,3,9
20,1,9:04.0,Turnover by T. Craig (bad pass; steal by D. Russell),,3,9
21,1,9:00.0,,D. Russell misses 3-pt jump shot from 31 ft,3,9
22,1,8:58.0,Defensive rebound by W. Barton,,3,9
23,1,8:39.0,Shooting foul by W. Cauley-Stein (drawn by M. Morris),,3,9
24,1,8:39.0,M. Morris makes free throw 1 of 2,,4,9
25,1,8:39.0,M. Morris makes free throw 2 of 2,,5,9
26,1,8:30.0,,D. Lee misses 2-pt jump shot from 19 ft,5,9
27,1,8:29.0,Defensive rebound by W. Barton,,5,9
28,1,8:22.0,W. Barton misses 2-pt layup from 2 ft,,5,9
29,1,8:21.0,,Defensive rebound by D. Lee,5,9
30,1,8:15.0,,G. Robinson makes 3-pt jump shot from 24 ft (assist by D. Green),5,12
31,1,8:13.0,Denver full timeout,,5,12
32,1,8:13.0,Instant Replay (Request: Ruling Stands),,5,12
33,1,7:56.0,W. Barton makes 2-pt jump shot from 10 ft,,7,12
34,1,7:37.0,,D. Lee misses 3-pt jump shot from 25 ft,7,12
35,1,7:35.0,Defensive rebound by J. Grant,,7,12
36,1,7:27.0,J. Grant misses 3-pt jump shot from 26 ft,,7,12
37,1,7:25.0,,Defensive rebound by W. Cauley-Stein,7,12
38,1,7:07.0,,D. Lee makes 2-pt layup from 4 ft (assist by G. Robinson),7,14
39,1,6:48.0,J. Grant misses 2-pt layup from 5 ft,,7,14
40,1,6:47.0,,Defensive rebound by D. Green,7,14
41,1,6:43.0,,G. Robinson misses 2-pt dunk from 2 ft,7,14
42,1,6:42.0,Defensive rebound by N. Jokić,,7,14
43,1,6:32.0,Turnover by N. Jokić (bad pass; steal by D. Lee),,7,14
44,1,6:27.0,,Turnover by D. Lee (traveling),7,14
45,1,6:12.0,N. Jokić misses 2-pt layup from 2 ft,,7,14
46,1,6:11.0,,Defensive rebound by D. Green,7,14
47,1,6:06.0,,D. Russell misses 2-pt jump shot from 11 ft,7,14
48,1,6:05.0,Defensive rebound by N. Jokić,,7,14
49,1,6:00.0,M. Morris misses 2-pt jump shot from 20 ft,,7,14
50,1,5:58.0,Offensive rebound by J. Grant,,7,14
51,1,5:50.0,W. Barton misses 3-pt jump shot from 26 ft,,7,14
52,1,5:48.0,,Defensive rebound by D. Green,7,14
53,1,5:45.0,,G. Robinson makes 2-pt layup from 4 ft (assist by D. Green),7,16
54,1,5:22.0,M. Morris makes 2-pt jump shot from 18 ft,,9,16
55,1,5:08.0,,W. Cauley-Stein makes 2-pt layup from 9 ft (assist by D. Russell),9,18
56,1,5:08.0,,Shooting foul by W. Barton (drawn by W. Cauley-Stein),9,18
57,1,5:08.0,M. Beasley enters the game for W. Barton,,9,18
58,1,5:08.0,P. Dozier enters the game for T. Craig,,9,18
59,1,5:08.0,J. Hernangómez enters the game for J. Grant,,9,18
60,1,5:08.0,M. Porter enters the game for M. Morris,,9,18
61,1,5:08.0,,J. Poole enters the game for D. Russell,9,18
62,1,5:08.0,,W. Cauley-Stein makes free throw 1 of 1,9,19
63,1,4:51.0,M. Porter misses 2-pt jump shot from 7 ft,,9,19
64,1,4:49.0,,Defensive rebound by J. Poole,9,19
65,1,4:39.0,,Turnover by G. Robinson (bad pass; steal by M. Porter),9,19
66,1,4:34.0,J. Hernangómez makes 3-pt jump shot from 29 ft (assist by M. Porter),,12,19
67,1,4:11.0,,D. Green misses 2-pt jump shot from 8 ft,12,19
68,1,4:10.0,Defensive rebound by M. Porter,,12,19
69,1,4:02.0,N. Jokić misses 3-pt jump shot from 27 ft,,12,19
70,1,4:00.0,,Defensive rebound by J. Poole,12,19
71,1,3:46.0,,J. Poole misses 3-pt jump shot from 24 ft,12,19
72,1,3:44.0,Defensive rebound by N. Jokić,,12,19
73,1,3:38.0,,Violation by Team (kicked ball),12,19
74,1,3:38.0,M. Plumlee enters the game for N. Jokić,,12,19
75,1,3:38.0,,A. Burks enters the game for W. Cauley-Stein,12,19
76,1,3:38.0,,M. Chriss enters the game for G. Robinson,12,19
77,1,3:29.0,Turnover by M. Plumlee (lost ball; steal by J. Poole),,12,19
78,1,3:24.0,,M. Chriss makes 2-pt dunk from 2 ft (assist by J. Poole),12,21
79,1,3:17.0,Offensive foul by J. Hernangómez (drawn by J. Poole),,12,21
80,1,3:17.0,Turnover by J. Hernangómez (offensive foul),,12,21
81,1,3:07.0,,Offensive foul by M. Chriss (drawn by P. Dozier),12,21
82,1,3:07.0,,Turnover by M. Chriss (offensive foul),12,21
83,1,2:56.0,P. Dozier misses 2-pt jump shot from 14 ft,,12,21
84,1,2:55.0,,Defensive rebound by M. Chriss,12,21
85,1,2:48.0,,Shooting foul by M. Porter (drawn by D. Lee),12,21
86,1,2:48.0,,Golden State full timeout,12,21
87,1,2:48.0,,O. Spellman enters the game for D. Green,12,21
88,1,2:48.0,,D. Lee makes free throw 1 of 2,12,22
89,1,2:48.0,,D. Lee makes free throw 2 of 2,12,23
90,1,2:35.0,J. Hernangómez misses 2-pt layup from 5 ft,,12,23
91,1,2:34.0,,Defensive rebound by A. Burks,12,23
92,1,2:23.0,,J. Poole makes 2-pt layup from 2 ft (assist by M. Chriss),12,25
93,1,2:17.0,M. Porter makes 3-pt jump shot from 28 ft,,15,25
94,1,2:06.0,,A. Burks makes 3-pt jump shot from 28 ft (assist by D. Lee),15,28
95,1,2:04.0,Denver full timeout,,15,28
96,1,2:04.0,,E. Paschall enters the game for D. Lee,15,28
97,1,1:49.0,P. Dozier misses 2-pt layup from 5 ft,,15,28
98,1,1:48.0,,Defensive rebound by A. Burks,15,28
99,1,1:43.0,,J. Poole makes 3-pt jump shot from 24 ft (assist by E. Paschall),15,31
100,1,1:29.0,M. Beasley misses 2-pt jump shot from 9 ft (block by M. Chriss),,15,31
101,1,1:27.0,,Defensive rebound by E. Paschall,15,31
102,1,1:22.0,,E. Paschall misses 2-pt jump shot from 17 ft,15,31
103,1,1:20.0,Defensive rebound by M. Plumlee,,15,31
104,1,1:11.0,Turnover by M. Plumlee (bad pass; steal by M. Chriss),,15,31
105,1,0:55.0,,J. Poole makes 3-pt jump shot from 28 ft (assist by O. Spellman),15,34
106,1,0:55.0,M. Morris enters the game for P. Dozier,,15,34
107,1,0:46.0,Personal foul by A. Burks (drawn by J. Hernangómez),,15,34
108,1,0:41.0,Shooting foul by O. Spellman (drawn by M. Plumlee),,15,34
109,1,0:41.0,M. Plumlee makes free throw 1 of 2,,16,34
110,1,0:41.0,M. Plumlee makes free throw 2 of 2,,17,34
111,1,0:32.0,,Turnover by A. Burks (bad pass; steal by M. Porter),17,34
112,1,0:25.0,J. Hernangómez misses 2-pt dunk from 4 ft,,17,34
113,1,0:21.0,Offensive rebound by M. Morris,,17,34
114,1,0:08.0,M. Morris misses 2-pt jump shot from 12 ft,,17,34
115,1,0:06.0,Offensive rebound by M. Plumlee,,17,34
116,1,0:06.0,Shooting foul by M. Chriss (drawn by M. Plumlee),,17,34
117,1,0:06.0,M. Plumlee makes free throw 1 of 2,,18,34
118,1,0:06.0,T. Craig enters the game for M. Porter,,18,34
119,1,0:06.0,,D. Russell enters the game for M. Chriss,18,34
120,1,0:06.0,M. Plumlee makes free throw 2 of 2,,19,34
121,1,0:02.0,,Personal take foul by T. Craig (drawn by D. Russell),19,34
122,2,11:49.0,,J. Poole misses 3-pt jump shot from 29 ft,19,34
123,2,11:44.0,Defensive rebound by M. Plumlee,,19,34
124,2,11:38.0,N. Jokić makes 2-pt layup from 3 ft (assist by M. Plumlee),,21,34
125,2,11:27.0,,A. Burks misses 3-pt jump shot from 26 ft,21,34
126,2,11:23.0,Defensive rebound by M. Porter,,21,34
127,2,11:15.0,Personal foul by M. Chriss (drawn by N. Jokić),,21,34
128,2,11:15.0,,W. Cauley-Stein enters the game for M. Chriss,21,34
129,2,11:15.0,,D. Russell enters the game for J. Poole,21,34
130,2,11:08.0,N. Jokić makes 2-pt layup from 2 ft (assist by M. Porter),,23,34
131,2,10:50.0,,A. Burks makes 3-pt jump shot from 28 ft (assist by D. Russell),23,37
132,2,10:35.0,Shooting foul by D. Russell (drawn by M. Morris),,23,37
133,2,10:35.0,M. Morris makes free throw 1 of 2,,24,37
134,2,10:35.0,M. Morris makes free throw 2 of 2,,25,37
135,2,10:20.0,,O. Spellman misses 2-pt layup from 8 ft,25,37
136,2,10:18.0,Defensive rebound by M. Porter,,25,37
137,2,10:10.0,Personal foul by E. Paschall (drawn by M. Plumlee),,25,37
138,2,9:59.0,Turnover by N. Jokić (bad pass),,25,37
139,2,9:44.0,,Shooting foul by M. Porter (drawn by E. Paschall),25,37
140,2,9:44.0,,E. Paschall makes free throw 1 of 2,25,38
141,2,9:44.0,,E. Paschall makes free throw 2 of 2,25,39
142,2,9:35.0,M. Porter misses 2-pt layup from 5 ft,,25,39
143,2,9:33.0,Offensive rebound by M. Plumlee,,25,39
144,2,9:33.0,M. Plumlee misses 2-pt layup from 2 ft,,25,39
145,2,9:32.0,Offensive rebound by M. Plumlee,,25,39
146,2,9:31.0,M. Plumlee misses 2-pt layup at rim,,25,39
147,2,9:31.0,Offensive rebound by Team,,25,39
148,2,9:31.0,W. Barton enters the game for M. Porter,,25,39
149,2,9:25.0,N. Jokić misses 2-pt hook shot from 10 ft,,25,39
150,2,9:24.0,Offensive rebound by M. Plumlee,,25,39
151,2,9:24.0,M. Plumlee misses 2-pt layup from 2 ft,,25,39
152,2,9:22.0,,Defensive rebound by A. Burks,25,39
153,2,9:08.0,,D. Russell misses 2-pt layup from 3 ft (block by M. Plumlee),25,39
154,2,9:07.0,,Offensive rebound by Team,25,39
155,2,9:04.0,,O. Spellman makes 3-pt jump shot from 29 ft (assist by D. Russell),25,42
156,2,8:50.0,M. Beasley makes 2-pt jump shot from 19 ft (assist by M. Plumlee),,27,42
157,2,8:38.0,,Turnover by O. Spellman (bad pass),27,42
158,2,8:38.0,J. Grant enters the game for M. Plumlee,,27,42
159,2,8:17.0,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Morris),,30,42
160,2,7:53.0,,W. Cauley-Stein makes 2-pt dunk from 3 ft (assist by O. Spellman),30,44
161,2,7:39.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,33,44
162,2,7:33.0,,Golden State full timeout,33,44
163,2,7:33.0,T. Craig enters the game for M. Morris,,33,44
164,2,7:33.0,,G. Robinson enters the game for A. Burks,33,44
165,2,7:23.0,,D. Russell misses 3-pt jump shot from 27 ft,33,44
166,2,7:21.0,Defensive rebound by J. Grant,,33,44
167,2,7:11.0,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),,36,44
168,2,6:44.0,,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by D. Russell),36,46
169,2,6:23.0,M. Beasley misses 3-pt jump shot from 26 ft,,36,46
170,2,6:21.0,,Defensive rebound by E. Paschall,36,46
171,2,6:16.0,,G. Robinson misses 3-pt jump shot from 27 ft,36,46
172,2,6:14.0,Defensive rebound by M. Beasley,,36,46
173,2,5:54.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by N. Jokić),,39,46
174,2,5:32.0,,Turnover by D. Russell (lost ball; steal by J. Grant),39,46
175,2,5:17.0,J. Grant makes 2-pt layup from 1 ft,,41,46
176,2,5:17.0,,Golden State full timeout,41,46
177,2,5:17.0,,A. Burks enters the game for E. Paschall,41,46
178,2,5:17.0,,D. Green enters the game for D. Russell,41,46
179,2,5:17.0,,D. Lee enters the game for O. Spellman,41,46
180,2,5:03.0,,Turnover by D. Lee (lost ball; steal by T. Craig),41,46
181,2,4:57.0,M. Beasley misses 3-pt jump shot from 23 ft,,41,46
182,2,4:55.0,,Defensive rebound by D. Green,41,46
183,2,4:42.0,,Turnover by A. Burks (bad pass; steal by T. Craig),41,46
184,2,4:42.0,Personal take foul by D. Green (drawn by T. Craig),,41,46
185,2,4:42.0,M. Morris enters the game for T. Craig,,41,46
186,2,4:30.0,N. Jokić misses 2-pt jump shot from 21 ft,,41,46
187,2,4:28.0,,Defensive rebound by W. Cauley-Stein,41,46
