,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:44.0,R. Covington misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Sabonis,0,0
2,1,11:26.0,,D. Sabonis makes 2-pt hook shot from 8 ft,0,2
3,1,11:10.0,J. Culver misses 2-pt layup from 4 ft,,0,2
4,1,11:09.0,Offensive rebound by Team,,0,2
5,1,11:07.0,R. Covington misses 3-pt jump shot from 24 ft,,0,2
6,1,11:04.0,,Defensive rebound by M. Brogdon,0,2
7,1,10:48.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by J. Lamb),0,4
8,1,10:48.0,,Shooting foul by R. Covington (drawn by D. Sabonis),0,4
9,1,10:48.0,,D. Sabonis misses free throw 1 of 1,0,4
10,1,10:47.0,Defensive rebound by R. Covington,,0,4
11,1,10:38.0,A. Wiggins misses 2-pt layup from 3 ft (block by M. Turner),,0,4
12,1,10:38.0,,Defensive rebound by Team,0,4
13,1,10:23.0,,D. Sabonis misses 2-pt hook shot from 5 ft,0,4
14,1,10:21.0,Defensive rebound by R. Covington,,0,4
15,1,10:09.0,S. Napier misses 3-pt jump shot from 23 ft,,0,4
16,1,10:06.0,,Defensive rebound by D. Sabonis,0,4
17,1,9:57.0,,M. Brogdon misses 2-pt layup from 1 ft,0,4
18,1,9:55.0,Defensive rebound by S. Napier,,0,4
19,1,9:50.0,K. Towns misses 3-pt jump shot from 27 ft,,0,4
20,1,9:47.0,,Defensive rebound by T. Warren,0,4
21,1,9:38.0,,T. Warren misses 2-pt layup from 2 ft,0,4
22,1,9:36.0,,Offensive rebound by T. Warren,0,4
23,1,9:28.0,,J. Lamb misses 3-pt jump shot from 27 ft,0,4
24,1,9:25.0,Defensive rebound by K. Towns,,0,4
25,1,9:16.0,K. Towns misses 3-pt jump shot from 26 ft,,0,4
26,1,9:13.0,,Defensive rebound by J. Lamb,0,4
27,1,9:02.0,,Turnover by D. Sabonis (traveling),0,4
28,1,8:55.0,Personal foul by J. Lamb (drawn by S. Napier),,0,4
29,1,8:50.0,K. Towns makes 2-pt layup at rim (assist by S. Napier),,2,4
30,1,8:50.0,Shooting foul by M. Turner (drawn by K. Towns),,2,4
31,1,8:50.0,K. Towns makes free throw 1 of 1,,3,4
32,1,8:40.0,,Shooting foul by A. Wiggins (drawn by M. Turner),3,4
33,1,8:40.0,,M. Turner makes free throw 1 of 2,3,5
34,1,8:40.0,,M. Turner makes free throw 2 of 2,3,6
35,1,8:29.0,K. Towns makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,6,6
36,1,8:08.0,,Offensive foul by D. Sabonis (drawn by K. Towns),6,6
37,1,8:08.0,,Turnover by D. Sabonis (offensive foul),6,6
38,1,7:52.0,R. Covington misses 2-pt layup from 8 ft (block by M. Brogdon),,6,6
39,1,7:49.0,,Defensive rebound by M. Brogdon,6,6
40,1,7:46.0,,M. Brogdon makes 3-pt jump shot from 26 ft,6,9
41,1,7:32.0,K. Towns makes 2-pt layup from 3 ft (assist by S. Napier),,8,9
42,1,7:32.0,Shooting foul by D. Sabonis (drawn by K. Towns),,8,9
43,1,7:32.0,,J. Holiday enters the game for D. Sabonis,8,9
44,1,7:32.0,K. Towns makes free throw 1 of 1,,9,9
45,1,7:21.0,,J. Lamb makes 2-pt jump shot from 18 ft (assist by M. Brogdon),9,11
46,1,7:08.0,A. Wiggins misses 3-pt jump shot from 29 ft,,9,11
47,1,7:05.0,,Defensive rebound by M. Turner,9,11
48,1,6:57.0,,J. Lamb makes 2-pt jump shot from 8 ft (assist by M. Brogdon),9,13
49,1,6:42.0,A. Wiggins misses 2-pt jump shot from 13 ft,,9,13
50,1,6:40.0,,Defensive rebound by M. Turner,9,13
51,1,6:33.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Brogdon),9,16
52,1,6:31.0,Minnesota full timeout,,9,16
53,1,6:31.0,G. Dieng enters the game for J. Culver,,9,16
54,1,6:31.0,J. Okogie enters the game for K. Towns,,9,16
55,1,6:09.0,Turnover by S. Napier (out of bounds lost ball),,9,16
56,1,5:57.0,,J. Lamb makes 2-pt jump shot from 12 ft,9,18
57,1,5:37.0,A. Wiggins makes 2-pt layup from 2 ft,,11,18
58,1,5:37.0,Shooting foul by M. Turner (drawn by A. Wiggins),,11,18
59,1,5:37.0,,G. Bitadze enters the game for M. Turner,11,18
60,1,5:37.0,A. Wiggins makes free throw 1 of 1,,12,18
61,1,5:28.0,,M. Brogdon misses 2-pt layup from 2 ft,12,18
62,1,5:26.0,Defensive rebound by J. Okogie,,12,18
63,1,5:14.0,J. Okogie makes 2-pt layup from 3 ft (assist by S. Napier),,14,18
64,1,4:50.0,,G. Bitadze misses 3-pt jump shot from 28 ft,14,18
65,1,4:47.0,Defensive rebound by R. Covington,,14,18
66,1,4:39.0,S. Napier makes 2-pt layup from 1 ft (assist by G. Dieng),,16,18
67,1,4:23.0,,T. Warren makes 2-pt jump shot from 16 ft,16,20
68,1,4:13.0,S. Napier misses 2-pt jump shot from 6 ft,,16,20
69,1,4:11.0,,Defensive rebound by J. Lamb,16,20
70,1,3:58.0,,M. Brogdon makes 2-pt jump shot from 16 ft,16,22
71,1,3:45.0,A. Wiggins misses 2-pt layup from 3 ft,,16,22
72,1,3:44.0,,Defensive rebound by M. Brogdon,16,22
73,1,3:40.0,,J. Lamb makes 2-pt layup from 2 ft (assist by J. Holiday),16,24
74,1,3:28.0,G. Dieng makes 3-pt jump shot from 28 ft (assist by S. Napier),,19,24
75,1,3:20.0,,Indiana full timeout,19,24
76,1,3:20.0,K. Bates-Diop enters the game for R. Covington,,19,24
77,1,3:20.0,J. McLaughlin enters the game for S. Napier,,19,24
78,1,3:20.0,,A. Holiday enters the game for M. Brogdon,19,24
79,1,3:20.0,,T. McConnell enters the game for J. Lamb,19,24
80,1,3:15.0,,Personal foul by A. Wiggins (drawn by T. Warren),19,24
81,1,3:15.0,J. Culver enters the game for A. Wiggins,,19,24
82,1,3:01.0,,J. Holiday misses 3-pt jump shot from 23 ft,19,24
83,1,2:57.0,Defensive rebound by J. Okogie,,19,24
84,1,2:45.0,G. Dieng makes 2-pt jump shot from 5 ft (assist by J. McLaughlin),,21,24
85,1,2:26.0,,T. McConnell makes 2-pt layup at rim,21,26
86,1,2:10.0,J. Culver makes 2-pt layup from 2 ft,,23,26
87,1,1:58.0,,T. Warren misses 2-pt jump shot from 14 ft,23,26
88,1,1:55.0,Defensive rebound by J. Culver,,23,26
89,1,1:52.0,Personal foul by A. Holiday (drawn by J. Culver),,23,26
90,1,1:52.0,J. Culver makes free throw 1 of 2,,24,26
91,1,1:52.0,,D. McDermott enters the game for T. Warren,24,26
92,1,1:52.0,J. Culver makes free throw 2 of 2,,25,26
93,1,1:38.0,,T. McConnell misses 2-pt layup from 1 ft,25,26
94,1,1:36.0,Defensive rebound by G. Dieng,,25,26
95,1,1:26.0,G. Dieng misses 2-pt jump shot from 21 ft,,25,26
96,1,1:24.0,,Defensive rebound by J. Holiday,25,26
97,1,1:14.0,,G. Bitadze makes 2-pt dunk from 2 ft (assist by A. Holiday),25,28
98,1,0:58.0,J. McLaughlin misses 2-pt layup from 2 ft (block by A. Holiday),,25,28
99,1,0:58.0,,Defensive rebound by Team,25,28
100,1,0:48.0,,A. Holiday makes 2-pt layup from 1 ft,25,30
101,1,0:32.0,Shooting foul by G. Bitadze (drawn by J. Culver),,25,30
102,1,0:32.0,J. Culver makes free throw 1 of 2,,26,30
