,QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
0,1,11:36.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,0,0
1,1,11:36.0,J. Butler makes free throw 1 of 2,,1,0
2,1,11:36.0,J. Butler makes free throw 2 of 2,,2,0
3,1,11:13.0,,N. Noel makes 3-pt jump shot from 24 ft (assist by C. Paul),2,3
4,1,11:00.0,Shooting foul by N. Noel (drawn by B. Adebayo),,2,3
5,1,11:00.0,B. Adebayo makes free throw 1 of 2,,3,3
6,1,11:00.0,B. Adebayo makes free throw 2 of 2,,4,3
7,1,10:47.0,,N. Noel makes 2-pt dunk from 1 ft (assist by C. Paul),4,5
8,1,10:35.0,K. Nunn misses 2-pt layup from 2 ft (block by N. Noel),,4,5
9,1,10:33.0,,Defensive rebound by C. Paul,4,5
10,1,10:21.0,,N. Noel makes 2-pt hook shot from 6 ft (assist by C. Paul),4,7
11,1,10:06.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,7,7
12,1,9:50.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),7,10
13,1,9:28.0,B. Adebayo makes 2-pt layup from 2 ft,,9,10
14,1,9:17.0,,D. Gallinari misses 3-pt jump shot from 25 ft,9,10
15,1,9:14.0,Defensive rebound by D. Robinson,,9,10
16,1,8:58.0,K. Nunn makes 2-pt jump shot from 18 ft,,11,10
17,1,8:42.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 3 ft,11,10
18,1,8:39.0,Defensive rebound by J. Butler,,11,10
19,1,8:26.0,K. Nunn misses 2-pt layup from 5 ft (block by N. Noel),,11,10
20,1,8:23.0,Offensive rebound by M. Leonard,,11,10
21,1,8:20.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by J. Butler),,14,10
22,1,7:58.0,,D. Gallinari misses 2-pt layup from 6 ft,14,10
23,1,7:57.0,Defensive rebound by B. Adebayo,,14,10
24,1,7:50.0,J. Butler makes 2-pt layup from 1 ft (assist by M. Leonard),,16,10
25,1,7:36.0,,Oklahoma City full timeout,16,10
26,1,7:29.0,,Turnover by C. Paul (bad pass),16,10
27,1,7:15.0,B. Adebayo makes 2-pt hook shot from 5 ft (assist by J. Butler),,18,10
28,1,6:55.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,18,10
29,1,6:53.0,Defensive rebound by M. Leonard,,18,10
30,1,6:48.0,M. Leonard misses 2-pt layup from 8 ft (block by N. Noel),,18,10
31,1,6:48.0,Offensive rebound by Team,,18,10
32,1,6:46.0,K. Nunn misses 2-pt jump shot from 15 ft,,18,10
33,1,6:43.0,,Defensive rebound by N. Noel,18,10
34,1,6:39.0,,C. Paul makes 3-pt jump shot from 25 ft,18,13
35,1,6:21.0,K. Nunn makes 3-pt jump shot from 27 ft,,21,13
36,1,6:03.0,,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,21,15
37,1,6:03.0,,Shooting foul by K. Nunn (drawn by S. Gilgeous-Alexander),21,15
38,1,6:03.0,G. Dragić enters the game for D. Robinson,,21,15
39,1,6:03.0,,S. Gilgeous-Alexander makes free throw 1 of 1,21,16
40,1,5:50.0,J. Butler misses 2-pt jump shot from 15 ft,,21,16
41,1,5:46.0,Offensive rebound by J. Butler,,21,16
42,1,5:42.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by J. Butler),,24,16
43,1,5:28.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),24,19
44,1,5:12.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by J. Butler),,26,19
45,1,4:57.0,,C. Paul makes 2-pt jump shot from 4 ft,26,21
46,1,4:42.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by M. Leonard),,28,21
47,1,4:42.0,,Oklahoma City full timeout,28,21
48,1,4:42.0,D. Jones enters the game for M. Leonard,,28,21
49,1,4:42.0,,H. Diallo enters the game for T. Ferguson,28,21
50,1,4:42.0,,M. Muscala enters the game for N. Noel,28,21
51,1,4:42.0,,D. Schröder enters the game for C. Paul,28,21
52,1,4:19.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Schröder),28,24
53,1,3:52.0,J. Butler makes 3-pt jump shot from 26 ft (assist by K. Nunn),,31,24
54,1,3:30.0,,D. Schröder misses 3-pt jump shot from 25 ft,31,24
55,1,3:28.0,Defensive rebound by J. Butler,,31,24
56,1,3:20.0,D. Jones misses 2-pt layup from 6 ft,,31,24
57,1,3:18.0,,Defensive rebound by S. Gilgeous-Alexander,31,24
58,1,3:15.0,,Personal foul by D. Jones (drawn by S. Gilgeous-Alexander),31,24
59,1,3:15.0,D. Robinson enters the game for K. Nunn,,31,24
60,1,3:15.0,,D. Bazley enters the game for D. Gallinari,31,24
61,1,3:14.0,,Turnover by D. Schröder (bad pass),31,24
62,1,3:03.0,D. Robinson misses 3-pt jump shot from 26 ft,,31,24
63,1,2:59.0,,Defensive rebound by D. Schröder,31,24
64,1,2:55.0,,M. Muscala misses 3-pt jump shot from 26 ft,31,24
65,1,2:52.0,Defensive rebound by J. Butler,,31,24
66,1,2:49.0,Offensive foul by B. Adebayo (drawn by H. Diallo),,31,24
67,1,2:49.0,Turnover by B. Adebayo (offensive foul),,31,24
68,1,2:49.0,K. Olynyk enters the game for B. Adebayo,,31,24
69,1,2:31.0,,D. Schröder misses 2-pt jump shot from 10 ft,31,24
70,1,2:29.0,Defensive rebound by J. Butler,,31,24
71,1,2:25.0,G. Dragić misses 2-pt layup from 2 ft (block by D. Bazley),,31,24
72,1,2:22.0,,Defensive rebound by D. Schröder,31,24
73,1,2:10.0,,D. Bazley misses 2-pt jump shot from 8 ft (block by J. Butler),31,24
74,1,2:07.0,Defensive rebound by K. Olynyk,,31,24
75,1,2:02.0,Miami full timeout,,31,24
76,1,2:02.0,J. Johnson enters the game for J. Butler,,31,24
77,1,1:54.0,G. Dragić makes 2-pt layup from 2 ft (assist by D. Robinson),,33,24
78,1,1:35.0,,Offensive foul by M. Muscala (drawn by D. Jones),33,24
79,1,1:35.0,,Turnover by M. Muscala (offensive foul),33,24
80,1,1:19.0,D. Robinson makes 2-pt jump shot from 17 ft,,35,24
81,1,0:56.0,,D. Bazley misses 2-pt layup from 7 ft,35,24
82,1,0:54.0,,Offensive rebound by H. Diallo,35,24
83,1,0:54.0,,H. Diallo misses 2-pt layup at rim,35,24
84,1,0:54.0,,Offensive rebound by H. Diallo,35,24
85,1,0:53.0,,H. Diallo makes 2-pt layup at rim,35,26
86,1,0:47.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,38,26
87,1,0:37.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 29 ft,38,26
88,1,0:35.0,Defensive rebound by Team,,38,26
89,1,0:35.0,,C. Paul enters the game for S. Gilgeous-Alexander,38,26
90,1,0:24.0,Personal foul by H. Diallo (drawn by D. Robinson),,38,26
91,1,0:09.0,K. Olynyk makes 2-pt jump shot from 14 ft,,40,26
92,1,0:01.0,,M. Muscala misses 3-pt jump shot from 22 ft,40,26
93,1,0:01.0,Defensive rebound by J. Johnson,,40,26
94,2,11:50.0,,D. Schröder misses 3-pt jump shot from 26 ft,40,26
95,2,11:47.0,Defensive rebound by D. Jones,,40,26
96,2,11:39.0,D. Robinson misses 3-pt jump shot from 31 ft,,40,26
97,2,11:34.0,Offensive rebound by K. Olynyk,,40,26
98,2,11:27.0,G. Dragić misses 2-pt layup from 7 ft,,40,26
99,2,11:25.0,,Defensive rebound by D. Schröder,40,26
100,2,11:23.0,,D. Bazley makes 2-pt dunk from 2 ft (assist by D. Schröder),40,28
101,2,11:09.0,Personal foul by M. Muscala (drawn by K. Olynyk),,40,28
102,2,10:57.0,K. Olynyk makes 2-pt jump shot from 12 ft,,42,28
103,2,10:45.0,,H. Diallo makes 2-pt layup from 2 ft (assist by D. Schröder),42,30
104,2,10:45.0,,Shooting foul by D. Robinson (drawn by H. Diallo),42,30
105,2,10:45.0,,H. Diallo misses free throw 1 of 1,42,30
106,2,10:43.0,Defensive rebound by K. Olynyk,,42,30
107,2,10:34.0,G. Dragić misses 2-pt layup from 2 ft,,42,30
108,2,10:32.0,Offensive rebound by G. Dragić,,42,30
109,2,10:28.0,G. Dragić misses 3-pt jump shot from 26 ft,,42,30
110,2,10:24.0,,Defensive rebound by H. Diallo,42,30
111,2,10:07.0,,Turnover by H. Diallo (lost ball; steal by D. Jones),42,30
112,2,10:01.0,D. Robinson misses 3-pt jump shot from 23 ft,,42,30
113,2,10:00.0,,Defensive rebound by Team,42,30
114,2,10:00.0,Loose ball foul by K. Olynyk (drawn by M. Muscala),,42,30
115,2,9:44.0,,M. Muscala misses 3-pt jump shot from 26 ft,42,30
116,2,9:42.0,Defensive rebound by Team,,42,30
117,2,9:30.0,D. Jones makes 2-pt layup from 1 ft,,44,30
118,2,9:06.0,,H. Diallo makes 3-pt jump shot from 22 ft (assist by D. Schröder),44,33
119,2,8:45.0,D. Jones misses 3-pt jump shot from 23 ft,,44,33
120,2,8:42.0,,Defensive rebound by H. Diallo,44,33
121,2,8:30.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by D. Bazley),44,36
122,2,8:22.0,Miami full timeout,,44,36
123,2,8:22.0,,N. Noel enters the game for M. Muscala,44,36
124,2,8:08.0,Shooting foul by D. Bazley (drawn by D. Jones),,44,36
125,2,8:08.0,D. Jones misses free throw 1 of 2,,44,36
126,2,8:08.0,Offensive rebound by Team,,44,36
127,2,8:08.0,K. Nunn enters the game for D. Robinson,,44,36
128,2,8:08.0,D. Jones makes free throw 2 of 2,,45,36
129,2,7:53.0,,Turnover by D. Schröder (bad pass),45,36
130,2,7:53.0,,S. Gilgeous-Alexander enters the game for C. Paul,45,36
131,2,7:37.0,Offensive foul by K. Olynyk (drawn by D. Bazley),,45,36
132,2,7:37.0,Turnover by K. Olynyk (offensive foul),,45,36
133,2,7:16.0,,D. Schröder misses 3-pt jump shot from 25 ft,45,36
134,2,7:14.0,Defensive rebound by K. Nunn,,45,36
135,2,7:07.0,K. Nunn misses 2-pt jump shot from 15 ft,,45,36
136,2,7:04.0,,Defensive rebound by S. Gilgeous-Alexander,45,36
137,2,6:59.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,45,36
138,2,6:55.0,Defensive rebound by K. Olynyk,,45,36
139,2,6:36.0,G. Dragić misses 3-pt jump shot from 25 ft,,45,36
140,2,6:32.0,,Defensive rebound by D. Schröder,45,36
141,2,6:25.0,,Turnover by D. Bazley (bad pass),45,36
142,2,6:25.0,,Loose ball foul by N. Noel (drawn by K. Nunn),45,36
143,2,6:25.0,B. Adebayo enters the game for D. Jones,,45,36
144,2,6:25.0,J. Butler enters the game for K. Olynyk,,45,36
145,2,6:25.0,,D. Burton enters the game for D. Bazley,45,36
146,2,6:25.0,,D. Gallinari enters the game for H. Diallo,45,36
147,2,6:13.0,J. Johnson misses 2-pt layup from 3 ft,,45,36
148,2,6:12.0,Offensive rebound by Team,,45,36
149,2,5:59.0,G. Dragić misses 3-pt jump shot from 26 ft,,45,36
150,2,5:56.0,,Defensive rebound by Team,45,36
151,2,5:46.0,,Def 3 sec tech foul by Team,45,36
152,2,5:46.0,,D. Gallinari makes technical free throw,45,37
153,2,5:46.0,D. Robinson enters the game for G. Dragić,,45,37
154,2,5:37.0,,Shooting foul by J. Johnson (drawn by D. Schröder),45,37
155,2,5:37.0,,D. Schröder makes free throw 1 of 2,45,38
156,2,5:37.0,,D. Schröder makes free throw 2 of 2,45,39
157,2,5:22.0,K. Nunn makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,48,39
158,2,5:10.0,,D. Burton misses 3-pt jump shot from 26 ft,48,39
159,2,5:07.0,Defensive rebound by B. Adebayo,,48,39
160,2,5:02.0,J. Johnson misses 2-pt dunk from 4 ft (block by D. Burton),,48,39
161,2,4:57.0,,Defensive rebound by D. Gallinari,48,39
162,2,4:50.0,,Oklahoma City full timeout,48,39
163,2,4:41.0,,D. Burton misses 2-pt jump shot from 7 ft,48,39
164,2,4:37.0,Defensive rebound by B. Adebayo,,48,39
165,2,4:21.0,Shooting foul by D. Schröder (drawn by J. Butler),,48,39
166,2,4:21.0,J. Butler makes free throw 1 of 2,,49,39
167,2,4:21.0,J. Butler makes free throw 2 of 2,,50,39
168,2,4:13.0,,Turnover by S. Gilgeous-Alexander (traveling),50,39
169,2,4:13.0,,C. Paul enters the game for D. Burton,50,39
170,2,3:55.0,J. Butler misses 2-pt jump shot from 18 ft,,50,39
171,2,3:51.0,,Defensive rebound by N. Noel,50,39
172,2,3:37.0,,N. Noel misses 2-pt jump shot from 13 ft,50,39
173,2,3:33.0,Defensive rebound by B. Adebayo,,50,39
174,2,3:27.0,B. Adebayo makes 2-pt jump shot from 3 ft,,52,39
175,2,3:21.0,,Personal foul by K. Nunn (drawn by C. Paul),52,39
