,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:47.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by E. Payton),0,2
1,1,11:28.0,J. Richardson makes 2-pt jump shot from 17 ft (assist by A. Horford),,2,2
2,1,11:11.0,,J. Randle makes 2-pt jump shot from 5 ft (assist by E. Payton),2,4
3,1,10:49.0,Shooting foul by T. Gibson (drawn by J. Richardson),,2,4
4,1,10:49.0,J. Richardson makes free throw 1 of 2,,3,4
5,1,10:49.0,J. Richardson makes free throw 2 of 2,,4,4
6,1,10:38.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by E. Payton),4,6
7,1,10:15.0,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),,7,6
8,1,10:01.0,,E. Payton misses 3-pt jump shot from 23 ft,7,6
9,1,9:59.0,,Offensive rebound by T. Gibson,7,6
10,1,9:51.0,,T. Gibson makes 2-pt jump shot from 17 ft (assist by E. Payton),7,8
11,1,9:36.0,B. Simmons makes 2-pt hook shot from 4 ft,,9,8
12,1,9:15.0,,J. Randle makes 3-pt jump shot from 26 ft,9,11
13,1,9:13.0,Philadelphia full timeout,,9,11
14,1,8:59.0,A. Horford misses 3-pt jump shot from 25 ft,,9,11
15,1,8:57.0,,Defensive rebound by J. Randle,9,11
16,1,8:40.0,,R. Bullock misses 2-pt jump shot from 21 ft,9,11
17,1,8:38.0,Defensive rebound by A. Horford,,9,11
18,1,8:27.0,M. Thybulle makes 2-pt layup from 1 ft (assist by A. Horford),,11,11
19,1,8:12.0,,R. Bullock misses 2-pt jump shot from 17 ft,11,11
20,1,8:09.0,Defensive rebound by B. Simmons,,11,11
21,1,7:48.0,M. Thybulle misses 3-pt jump shot from 25 ft,,11,11
22,1,7:46.0,Offensive rebound by B. Simmons,,11,11
23,1,7:42.0,M. Thybulle makes 3-pt jump shot from 27 ft (assist by J. Richardson),,14,11
24,1,7:27.0,,Personal foul by B. Simmons (drawn by M. Morris),14,11
25,1,7:18.0,,E. Payton misses 2-pt jump shot from 18 ft,14,11
26,1,7:16.0,Defensive rebound by B. Simmons,,14,11
27,1,7:10.0,B. Simmons makes 2-pt layup from 2 ft,,16,11
28,1,7:01.0,,Shooting foul by A. Horford (drawn by T. Gibson),16,11
29,1,7:01.0,,T. Gibson makes free throw 1 of 2,16,12
30,1,7:01.0,,T. Gibson makes free throw 2 of 2,16,13
31,1,6:52.0,T. Harris misses 3-pt jump shot from 25 ft,,16,13
32,1,6:50.0,,Defensive rebound by M. Morris,16,13
33,1,6:41.0,,M. Morris misses 3-pt jump shot from 25 ft,16,13
34,1,6:39.0,Defensive rebound by M. Thybulle,,16,13
35,1,6:24.0,M. Thybulle misses 2-pt layup from 4 ft,,16,13
36,1,6:22.0,Offensive rebound by M. Thybulle,,16,13
37,1,6:17.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),,18,13
38,1,5:58.0,,J. Randle misses 2-pt layup from 3 ft (block by J. Richardson),18,13
39,1,5:57.0,,Offensive rebound by Team,18,13
40,1,5:57.0,F. Korkmaz enters the game for J. Richardson,,18,13
41,1,5:57.0,,M. Robinson enters the game for T. Gibson,18,13
42,1,5:55.0,,Turnover by E. Payton (bad pass; steal by M. Thybulle),18,13
43,1,5:53.0,Turnover by M. Thybulle (bad pass),,18,13
44,1,5:40.0,,Shooting foul by T. Harris (drawn by J. Randle),18,13
45,1,5:40.0,,J. Randle misses free throw 1 of 2,18,13
46,1,5:40.0,,Offensive rebound by Team,18,13
47,1,5:40.0,,J. Randle makes free throw 2 of 2,18,14
48,1,5:25.0,A. Horford misses 2-pt hook shot from 5 ft (block by M. Robinson),,18,14
49,1,5:23.0,,Defensive rebound by M. Robinson,18,14
50,1,5:17.0,,R. Bullock misses 3-pt jump shot from 25 ft,18,14
51,1,5:15.0,Defensive rebound by T. Harris,,18,14
52,1,5:03.0,F. Korkmaz misses 3-pt jump shot from 23 ft,,18,14
