,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,Offensive foul by J. Harris (drawn by T. Young),0,0
1,1,11:47.0,,Turnover by J. Harris (offensive foul),0,0
2,1,11:47.0,Chicago full timeout,,0,0
3,1,11:47.0,C. Hutchison enters the game for K. Dunn,,0,0
4,1,11:36.0,Personal foul by T. Prince (drawn by T. Young),,0,0
5,1,11:27.0,C. Hutchison misses 2-pt jump shot from 10 ft,,0,0
6,1,11:25.0,,Defensive rebound by J. Harris,0,0
7,1,11:20.0,,K. Irving makes 3-pt jump shot from 25 ft,0,3
8,1,11:07.0,Z. LaVine makes 2-pt layup from 1 ft (assist by T. Satoranský),,2,3
9,1,10:53.0,,T. Prince makes 2-pt jump shot from 5 ft,2,5
10,1,10:43.0,Personal foul by G. Temple (drawn by L. Kornet),,2,5
11,1,10:40.0,T. Satoranský misses 3-pt jump shot from 23 ft,,2,5
12,1,10:36.0,,Defensive rebound by T. Prince,2,5
13,1,10:28.0,,K. Irving makes 2-pt layup from 1 ft (assist by J. Allen),2,7
14,1,10:14.0,Turnover by T. Satoranský (lost ball; steal by J. Allen),,2,7
15,1,9:49.0,,K. Irving makes 2-pt layup from 2 ft (assist by J. Allen),2,9
16,1,9:29.0,L. Kornet makes 2-pt jump shot from 4 ft (assist by Z. LaVine),,4,9
17,1,9:18.0,,T. Prince misses 3-pt jump shot from 26 ft,4,9
18,1,9:15.0,Defensive rebound by C. Hutchison,,4,9
19,1,9:08.0,Z. LaVine makes 2-pt jump shot from 15 ft,,6,9
20,1,8:43.0,,Shooting foul by L. Kornet (drawn by K. Irving),6,9
21,1,8:43.0,,K. Irving makes free throw 1 of 2,6,10
22,1,8:43.0,,K. Irving makes free throw 2 of 2,6,11
23,1,8:34.0,Z. LaVine misses 3-pt jump shot from 27 ft,,6,11
24,1,8:31.0,,Defensive rebound by J. Allen,6,11
25,1,8:18.0,,G. Temple misses 3-pt jump shot from 26 ft,6,11
26,1,8:15.0,Defensive rebound by C. Hutchison,,6,11
27,1,8:10.0,C. Hutchison misses 2-pt layup from 2 ft,,6,11
28,1,8:08.0,,Defensive rebound by T. Prince,6,11
29,1,8:04.0,,G. Temple misses 2-pt layup from 1 ft (block by L. Kornet),6,11
30,1,8:01.0,Defensive rebound by T. Young,,6,11
31,1,7:59.0,C. Hutchison makes 2-pt dunk from 1 ft (assist by T. Young),,8,11
32,1,7:38.0,,G. Temple makes 2-pt layup from 1 ft (assist by J. Harris),8,13
33,1,7:24.0,T. Young misses 2-pt hook shot from 9 ft,,8,13
34,1,7:22.0,,Defensive rebound by G. Temple,8,13
35,1,7:12.0,,G. Temple misses 3-pt jump shot from 23 ft,8,13
36,1,7:09.0,Defensive rebound by C. Hutchison,,8,13
37,1,7:01.0,Shooting foul by G. Temple (drawn by L. Kornet),,8,13
38,1,7:01.0,L. Kornet makes free throw 1 of 2,,9,13
39,1,7:01.0,,S. Dinwiddie enters the game for G. Temple,9,13
40,1,7:01.0,L. Kornet makes free throw 2 of 2,,10,13
41,1,6:47.0,,Personal foul by C. Hutchison (drawn by K. Irving),10,13
42,1,6:40.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),10,15
43,1,6:20.0,Turnover by T. Young (back court),,10,15
