,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:36.0,D. Smith misses 2-pt layup from 2 ft,,0,0
1,1,11:34.0,,Defensive rebound by D. Sabonis,0,0
2,1,11:15.0,,D. Sabonis misses 2-pt hook shot from 6 ft,0,0
3,1,11:13.0,Defensive rebound by J. Randle,,0,0
4,1,11:07.0,M. Morris misses 2-pt jump shot from 18 ft,,0,0
5,1,11:04.0,Offensive rebound by J. Randle,,0,0
6,1,11:02.0,J. Randle makes 2-pt layup from 2 ft,,2,0
7,1,10:37.0,,Turnover by D. Sabonis (bad pass; steal by J. Randle),2,0
8,1,10:32.0,J. Randle misses 2-pt layup from 3 ft,,2,0
9,1,10:30.0,,Defensive rebound by J. Lamb,2,0
10,1,10:25.0,,T. Warren misses 3-pt jump shot from 26 ft,2,0
11,1,10:21.0,,Offensive rebound by D. Sabonis,2,0
12,1,10:21.0,,D. Sabonis makes 2-pt layup from 1 ft,2,2
13,1,10:00.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by D. Smith),,5,2
14,1,9:46.0,,J. Lamb misses 2-pt jump shot from 18 ft,5,2
15,1,9:42.0,Defensive rebound by J. Randle,,5,2
16,1,9:33.0,Turnover by M. Morris (lost ball; steal by T. Warren),,5,2
17,1,9:22.0,,D. Sabonis makes 2-pt jump shot from 11 ft (assist by M. Brogdon),5,4
18,1,9:11.0,Offensive foul by R. Bullock (drawn by J. Lamb),,5,4
19,1,9:11.0,Turnover by R. Bullock (offensive foul),,5,4
20,1,9:03.0,,M. Turner misses 3-pt jump shot from 28 ft,5,4
21,1,9:00.0,Defensive rebound by T. Gibson,,5,4
22,1,8:49.0,T. Gibson makes 2-pt layup from 1 ft (assist by D. Smith),,7,4
23,1,8:35.0,,M. Brogdon misses 3-pt jump shot from 27 ft,7,4
24,1,8:33.0,Defensive rebound by J. Randle,,7,4
25,1,8:23.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by R. Bullock),,9,4
26,1,8:09.0,,Turnover by M. Brogdon (bad pass; steal by M. Morris),9,4
27,1,8:06.0,M. Morris makes 3-pt jump shot from 25 ft (assist by D. Smith),,12,4
28,1,7:57.0,,Indiana full timeout,12,4
29,1,7:50.0,,Personal foul by R. Bullock (drawn by J. Lamb),12,4
30,1,7:50.0,D. Dotson enters the game for R. Bullock,,12,4
31,1,7:50.0,Violation by Team (delay of game),,12,4
32,1,7:46.0,,D. Sabonis misses 2-pt jump shot from 16 ft,12,4
33,1,7:43.0,Defensive rebound by T. Gibson,,12,4
34,1,7:35.0,J. Randle misses 3-pt jump shot from 27 ft,,12,4
35,1,7:32.0,,Defensive rebound by M. Turner,12,4
36,1,7:23.0,,M. Brogdon misses 2-pt jump shot from 19 ft,12,4
37,1,7:20.0,Defensive rebound by T. Gibson,,12,4
38,1,7:01.0,J. Randle makes 2-pt jump shot from 18 ft,,14,4
39,1,6:43.0,,T. Warren makes 2-pt jump shot from 19 ft (assist by M. Turner),14,6
40,1,6:21.0,T. Gibson misses 2-pt jump shot from 5 ft,,14,6
41,1,6:18.0,Offensive rebound by T. Gibson,,14,6
42,1,6:14.0,Shooting foul by M. Brogdon (drawn by D. Smith),,14,6
43,1,6:14.0,D. Smith makes free throw 1 of 2,,15,6
44,1,6:14.0,,V. Oladipo enters the game for J. Lamb,15,6
45,1,6:14.0,D. Smith misses free throw 2 of 2,,15,6
46,1,6:13.0,,Defensive rebound by D. Sabonis,15,6
47,1,6:03.0,,M. Brogdon misses 3-pt jump shot from 26 ft,15,6
48,1,6:00.0,Defensive rebound by J. Randle,,15,6
49,1,5:51.0,Turnover by D. Smith (traveling),,15,6
50,1,5:51.0,M. Robinson enters the game for T. Gibson,,15,6
51,1,5:44.0,,Shooting foul by M. Robinson (drawn by T. Warren),15,6
52,1,5:44.0,,T. Warren makes free throw 1 of 2,15,7
53,1,5:44.0,K. Allen enters the game for D. Smith,,15,7
54,1,5:44.0,,T. Warren misses free throw 2 of 2,15,7
55,1,5:43.0,Defensive rebound by Team,,15,7
56,1,5:43.0,,Loose ball foul by D. Sabonis (drawn by K. Allen),15,7
57,1,5:32.0,K. Allen makes 2-pt jump shot from 12 ft (assist by J. Randle),,17,7
58,1,5:11.0,,V. Oladipo misses 2-pt jump shot from 22 ft,17,7
59,1,5:08.0,Defensive rebound by M. Robinson,,17,7
60,1,4:54.0,Shooting foul by M. Turner (drawn by J. Randle),,17,7
61,1,4:54.0,J. Randle makes free throw 1 of 2,,18,7
62,1,4:54.0,J. Randle makes free throw 2 of 2,,19,7
63,1,4:45.0,,V. Oladipo misses 2-pt jump shot from 16 ft,19,7
64,1,4:41.0,,Offensive rebound by M. Brogdon,19,7
65,1,4:37.0,,V. Oladipo misses 2-pt jump shot from 14 ft,19,7
66,1,4:34.0,Defensive rebound by J. Randle,,19,7
67,1,4:28.0,Offensive foul by J. Randle (drawn by V. Oladipo),,19,7
68,1,4:28.0,Turnover by J. Randle (offensive foul),,19,7
69,1,4:20.0,,T. Warren misses 2-pt jump shot from 12 ft,19,7
70,1,4:17.0,Defensive rebound by M. Robinson,,19,7
71,1,4:10.0,M. Morris misses 3-pt jump shot from 28 ft,,19,7
72,1,4:06.0,Offensive rebound by M. Morris,,19,7
73,1,4:02.0,M. Morris makes 2-pt jump shot from 14 ft,,21,7
74,1,3:46.0,,Personal foul by M. Morris (drawn by T. Warren),21,7
75,1,3:46.0,,J. Holiday enters the game for D. Sabonis,21,7
76,1,3:40.0,,V. Oladipo makes 2-pt dunk from 2 ft (assist by M. Brogdon),21,9
77,1,3:25.0,J. Randle misses 3-pt jump shot from 27 ft,,21,9
