,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,D. Green makes 3-pt jump shot from 25 ft (assist by A. Davis),,3,0
1,1,11:23.0,,D. Fox misses 3-pt jump shot from 26 ft,3,0
2,1,11:21.0,,Offensive rebound by H. Giles,3,0
3,1,11:17.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by H. Giles),3,3
4,1,11:13.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by L. James),,6,3
5,1,10:57.0,,Shooting foul by A. Bradley (drawn by D. Fox),6,3
6,1,10:57.0,,D. Fox makes free throw 1 of 2,6,4
7,1,10:57.0,,D. Fox makes free throw 2 of 2,6,5
8,1,10:39.0,A. Bradley makes 3-pt jump shot from 23 ft,,9,5
9,1,10:23.0,,D. Fox misses 2-pt layup from 3 ft,9,5
10,1,10:21.0,Defensive rebound by A. Davis,,9,5
11,1,10:16.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by L. James),,12,5
12,1,10:01.0,,H. Giles makes 2-pt dunk from 2 ft (assist by D. Fox),12,7
13,1,9:42.0,D. Green misses 3-pt jump shot from 23 ft,,12,7
14,1,9:38.0,,Defensive rebound by H. Barnes,12,7
15,1,9:26.0,,Turnover by D. Fox (bad pass; steal by D. Green),12,7
16,1,9:22.0,D. Green misses 3-pt jump shot from 25 ft,,12,7
17,1,9:18.0,,Defensive rebound by H. Giles,12,7
18,1,9:01.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),12,10
19,1,8:46.0,Shooting foul by N. Bjelica (drawn by A. Davis),,12,10
20,1,8:46.0,A. Davis makes free throw 1 of 2,,13,10
21,1,8:46.0,A. Davis makes free throw 2 of 2,,14,10
22,1,8:25.0,,H. Giles misses 2-pt jump shot from 7 ft,14,10
23,1,8:22.0,Defensive rebound by D. Green,,14,10
24,1,8:18.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,16,10
25,1,8:05.0,,Turnover by D. Fox (bad pass; steal by D. Green),16,10
26,1,8:02.0,L. James makes 2-pt layup from 3 ft (assist by D. Green),,18,10
27,1,8:02.0,Shooting foul by H. Barnes (drawn by L. James),,18,10
28,1,8:02.0,,Sacramento full timeout,18,10
29,1,8:02.0,,B. Hield enters the game for H. Giles,18,10
30,1,8:02.0,L. James makes free throw 1 of 1,,19,10
31,1,7:51.0,,Turnover by D. Fox (bad pass),19,10
32,1,7:35.0,A. Davis misses 2-pt layup from 5 ft,,19,10
33,1,7:29.0,Offensive rebound by J. McGee,,19,10
34,1,7:29.0,J. McGee makes 2-pt dunk from 1 ft,,21,10
35,1,7:18.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,21,10
36,1,7:15.0,,Offensive rebound by N. Bjelica,21,10
37,1,7:14.0,,Turnover by N. Bjelica (traveling),21,10
38,1,6:52.0,L. James makes 2-pt dunk from 1 ft (assist by A. Davis),,23,10
39,1,6:41.0,,D. Fox misses 2-pt layup from 2 ft,23,10
40,1,6:39.0,Defensive rebound by A. Davis,,23,10
41,1,6:35.0,A. Davis makes 2-pt layup from 2 ft,,25,10
42,1,6:34.0,,Sacramento full timeout,25,10
43,1,6:34.0,,K. Bazemore enters the game for B. Bogdanović,25,10
44,1,6:10.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),25,13
45,1,5:44.0,A. Bradley misses 2-pt jump shot from 3 ft,,25,13
46,1,5:42.0,,Defensive rebound by H. Barnes,25,13
47,1,5:35.0,,H. Barnes misses 2-pt layup from 3 ft (block by A. Davis),25,13
48,1,5:35.0,,Offensive rebound by Team,25,13
49,1,5:28.0,,K. Bazemore misses 3-pt jump shot from 23 ft,25,13
50,1,5:28.0,Defensive rebound by Team,,25,13
51,1,5:11.0,A. Bradley misses 3-pt jump shot from 23 ft,,25,13
52,1,5:07.0,Offensive rebound by D. Green,,25,13
53,1,5:01.0,Turnover by D. Green (lost ball; steal by B. Hield),,25,13
54,1,4:51.0,,B. Hield misses 3-pt jump shot from 26 ft,25,13
55,1,4:48.0,Defensive rebound by J. McGee,,25,13
56,1,4:45.0,Personal foul by B. Hield (drawn by L. James),,25,13
57,1,4:45.0,K. Caldwell-Pope enters the game for D. Green,,25,13
58,1,4:45.0,K. Kuzma enters the game for J. McGee,,25,13
