,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,Turnover by J. Morant (bad pass; steal by J. Embiid),,0,0
1,1,11:39.0,,B. Simmons makes 2-pt layup from 3 ft,0,2
2,1,11:19.0,J. Morant misses 2-pt jump shot from 9 ft (block by B. Simmons),,0,2
3,1,11:18.0,Offensive rebound by J. Jackson,,0,2
4,1,11:18.0,J. Jackson misses 2-pt layup from 1 ft,,0,2
5,1,11:16.0,,Defensive rebound by J. Embiid,0,2
6,1,11:11.0,,Offensive foul by B. Simmons (drawn by K. Anderson),0,2
7,1,11:11.0,,Turnover by B. Simmons (offensive foul),0,2
8,1,11:03.0,D. Brooks misses 2-pt jump shot from 12 ft,,0,2
9,1,11:02.0,,Defensive rebound by B. Simmons,0,2
10,1,10:48.0,,S. Milton misses 3-pt jump shot from 24 ft,0,2
11,1,10:44.0,Defensive rebound by D. Brooks,,0,2
12,1,10:29.0,K. Anderson misses 3-pt jump shot from 25 ft,,0,2
13,1,10:26.0,,Defensive rebound by J. Embiid,0,2
14,1,10:12.0,,J. Embiid makes 2-pt jump shot from 6 ft,0,4
15,1,9:58.0,Turnover by K. Anderson (bad pass),,0,4
16,1,9:46.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by J. Embiid),0,6
17,1,9:34.0,Offensive foul by J. Jackson (drawn by J. Embiid),,0,6
18,1,9:34.0,Turnover by J. Jackson (offensive foul),,0,6
19,1,9:22.0,,Turnover by J. Embiid (off goaltending),0,6
20,1,9:09.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,3,6
21,1,8:51.0,,Offensive foul by J. Embiid (drawn by J. Valančiūnas),3,6
22,1,8:51.0,,Turnover by J. Embiid (offensive foul),3,6
23,1,8:43.0,J. Jackson misses 3-pt jump shot from 26 ft,,3,6
24,1,8:42.0,Offensive rebound by J. Valančiūnas,,3,6
25,1,8:42.0,J. Valančiūnas misses 2-pt layup from 1 ft,,3,6
26,1,8:41.0,,Defensive rebound by T. Harris,3,6
27,1,8:30.0,,Shooting foul by J. Jackson (drawn by J. Embiid),3,6
28,1,8:30.0,,J. Embiid misses free throw 1 of 2,3,6
29,1,8:30.0,,Offensive rebound by Team,3,6
30,1,8:30.0,B. Clarke enters the game for J. Jackson,,3,6
31,1,8:30.0,,J. Embiid makes free throw 2 of 2,3,7
32,1,8:14.0,Shooting foul by S. Milton (drawn by D. Brooks),,3,7
33,1,8:14.0,D. Brooks makes free throw 1 of 2,,4,7
34,1,8:14.0,D. Brooks misses free throw 2 of 2,,4,7
35,1,8:13.0,,Defensive rebound by J. Embiid,4,7
36,1,7:57.0,,S. Milton misses 2-pt jump shot from 12 ft,4,7
37,1,7:55.0,,Offensive rebound by J. Embiid,4,7
38,1,7:51.0,,B. Simmons misses 2-pt layup from 1 ft,4,7
39,1,7:51.0,Defensive rebound by J. Valančiūnas,,4,7
40,1,7:38.0,K. Anderson makes 2-pt jump shot from 20 ft,,6,7
41,1,7:15.0,,Shooting foul by D. Brooks (drawn by J. Embiid),6,7
42,1,7:15.0,,J. Embiid makes free throw 1 of 2,6,8
43,1,7:15.0,,F. Korkmaz enters the game for S. Milton,6,8
44,1,7:15.0,,J. Embiid makes free throw 2 of 2,6,9
45,1,7:00.0,Turnover by J. Valančiūnas (lost ball; steal by J. Embiid),,6,9
46,1,6:56.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,6,9
47,1,6:50.0,Defensive rebound by D. Brooks,,6,9
48,1,6:47.0,K. Anderson misses 2-pt jump shot from 4 ft,,6,9
49,1,6:45.0,Offensive rebound by J. Valančiūnas,,6,9
50,1,6:45.0,J. Valančiūnas makes 2-pt layup from 1 ft,,8,9
51,1,6:34.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),8,12
52,1,6:20.0,J. Morant misses 2-pt layup from 4 ft,,8,12
53,1,6:17.0,,Defensive rebound by A. Horford,8,12
54,1,6:13.0,,B. Simmons misses 2-pt layup from 1 ft,8,12
55,1,6:10.0,Defensive rebound by K. Anderson,,8,12
56,1,6:04.0,K. Anderson makes 2-pt dunk from 2 ft (assist by J. Morant),,10,12
57,1,6:04.0,,Philadelphia full timeout,10,12
58,1,6:04.0,T. Jones enters the game for J. Morant,,10,12
59,1,6:04.0,,M. Thybulle enters the game for J. Embiid,10,12
