,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:48.0,,Turnover by D. Ayton (3 sec),0,0
1,1,11:36.0,E. Gordon makes 2-pt layup from 1 ft,,2,0
2,1,11:23.0,,D. Ayton makes 2-pt dunk at rim (assist by R. Rubio),2,2
3,1,11:15.0,E. Gordon misses 3-pt jump shot from 26 ft,,2,2
4,1,11:11.0,,Defensive rebound by R. Rubio,2,2
5,1,10:56.0,,K. Oubre makes 2-pt layup from 1 ft (assist by D. Ayton),2,4
6,1,10:45.0,Shooting foul by M. Bridges (drawn by J. Harden),,2,4
7,1,10:45.0,J. Harden makes free throw 1 of 3,,3,4
8,1,10:45.0,J. Harden makes free throw 2 of 3,,4,4
9,1,10:45.0,J. Harden makes free throw 3 of 3,,5,4
10,1,10:33.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by R. Rubio),5,7
11,1,10:14.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. House),,8,7
12,1,9:53.0,,Turnover by D. Ayton (out of bounds lost ball),8,7
13,1,9:45.0,J. Harden misses 3-pt jump shot from 25 ft,,8,7
14,1,9:43.0,Offensive rebound by D. House,,8,7
15,1,9:37.0,P. Tucker misses 2-pt jump shot from 10 ft (block by D. Ayton),,8,7
16,1,9:34.0,,Defensive rebound by D. Booker,8,7
17,1,9:30.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by M. Bridges),8,10
18,1,9:21.0,D. House makes 3-pt jump shot from 25 ft,,11,10
19,1,9:08.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Ayton),11,13
20,1,8:58.0,R. Covington misses 3-pt jump shot from 26 ft,,11,13
21,1,8:55.0,,Defensive rebound by D. Booker,11,13
22,1,8:42.0,,D. Ayton makes 2-pt jump shot from 10 ft (assist by D. Booker),11,15
23,1,8:30.0,P. Tucker misses 3-pt jump shot from 25 ft,,11,15
24,1,8:28.0,Offensive rebound by Team,,11,15
25,1,8:13.0,D. House misses 2-pt jump shot from 8 ft,,11,15
26,1,8:12.0,,Defensive rebound by M. Bridges,11,15
27,1,8:05.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by R. Rubio),11,18
28,1,8:03.0,Houston full timeout,,11,18
29,1,7:42.0,Shooting foul by D. Ayton (drawn by J. Harden),,11,18
30,1,7:42.0,J. Harden makes free throw 1 of 2,,12,18
31,1,7:42.0,J. Harden makes free throw 2 of 2,,13,18
32,1,7:34.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by R. Rubio),13,21
33,1,7:13.0,P. Tucker makes 2-pt layup from 1 ft (assist by J. Harden),,15,21
34,1,7:02.0,,D. Booker misses 3-pt jump shot from 27 ft,15,21
35,1,6:59.0,Defensive rebound by J. Harden,,15,21
36,1,6:55.0,E. Gordon misses 3-pt jump shot from 28 ft,,15,21
37,1,6:53.0,,Defensive rebound by D. Booker,15,21
38,1,6:44.0,,K. Oubre makes 3-pt jump shot from 26 ft,15,24
39,1,6:30.0,Shooting foul by D. Ayton (drawn by E. Gordon),,15,24
40,1,6:30.0,E. Gordon makes free throw 1 of 2,,16,24
41,1,6:30.0,,C. Diallo enters the game for D. Ayton,16,24
42,1,6:30.0,E. Gordon makes free throw 2 of 2,,17,24
43,1,6:15.0,,Turnover by D. Booker (bad pass),17,24
44,1,6:15.0,B. McLemore enters the game for R. Covington,,17,24
45,1,6:15.0,A. Rivers enters the game for E. Gordon,,17,24
46,1,6:03.0,J. Harden misses 3-pt jump shot from 26 ft,,17,24
