,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
0,1,11:37.0,,T. Satoranský misses 3-pt jump shot from 24 ft,0,0
1,1,11:33.0,Defensive rebound by D. Ayton,,0,0
2,1,11:17.0,D. Ayton misses 2-pt layup from 2 ft (block by T. Young),,0,0
3,1,11:14.0,,Defensive rebound by Z. LaVine,0,0
4,1,11:12.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by T. Satoranský),0,3
5,1,10:53.0,D. Ayton makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,3
6,1,10:31.0,,R. Arcidiacono makes 2-pt layup from 2 ft,2,5
7,1,10:15.0,K. Oubre makes 2-pt jump shot from 8 ft (assist by M. Bridges),,4,5
8,1,9:48.0,,Turnover by Z. LaVine (bad pass; steal by M. Bridges),4,5
9,1,9:35.0,D. Booker makes 2-pt jump shot from 8 ft,,6,5
10,1,9:18.0,,T. Satoranský misses 2-pt layup from 2 ft,6,5
11,1,9:16.0,Defensive rebound by D. Ayton,,6,5
12,1,9:08.0,M. Bridges misses 3-pt jump shot from 25 ft,,6,5
13,1,9:04.0,,Defensive rebound by D. Gafford,6,5
14,1,9:01.0,,Z. LaVine misses 3-pt jump shot from 26 ft,6,5
15,1,8:58.0,Defensive rebound by D. Ayton,,6,5
16,1,8:45.0,D. Booker misses 3-pt jump shot from 30 ft,,6,5
17,1,8:45.0,,Defensive rebound by Team,6,5
18,1,8:26.0,,T. Young makes 3-pt jump shot from 24 ft (assist by Z. LaVine),6,8
19,1,7:59.0,D. Ayton makes 2-pt dunk from 1 ft (assist by R. Rubio),,8,8
20,1,7:47.0,,Z. LaVine misses 2-pt layup from 2 ft,8,8
21,1,7:45.0,Defensive rebound by R. Rubio,,8,8
22,1,7:42.0,D. Booker misses 3-pt jump shot from 26 ft,,8,8
23,1,7:38.0,,Defensive rebound by T. Satoranský,8,8
24,1,7:37.0,,Turnover by T. Young (out of bounds lost ball),8,8
25,1,7:37.0,,C. Felício enters the game for D. Gafford,8,8
26,1,7:25.0,K. Oubre misses 3-pt jump shot from 24 ft,,8,8
27,1,7:24.0,Offensive rebound by Team,,8,8
28,1,7:22.0,M. Bridges misses 3-pt jump shot from 26 ft,,8,8
29,1,7:18.0,,Defensive rebound by Z. LaVine,8,8
30,1,7:12.0,,Turnover by R. Arcidiacono (bad pass; steal by R. Rubio),8,8
31,1,7:07.0,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Rubio),,11,8
32,1,6:45.0,,Z. LaVine misses 2-pt layup from 2 ft,11,8
33,1,6:43.0,Defensive rebound by M. Bridges,,11,8
34,1,6:39.0,D. Ayton makes 2-pt layup at rim (assist by M. Bridges),,13,8
35,1,6:39.0,,Chicago full timeout,13,8
36,1,6:39.0,,C. White enters the game for R. Arcidiacono,13,8
37,1,6:18.0,,T. Young misses 2-pt layup from 2 ft,13,8
38,1,6:16.0,Defensive rebound by D. Ayton,,13,8
39,1,6:13.0,Shooting foul by C. White (drawn by R. Rubio),,13,8
40,1,6:13.0,R. Rubio makes free throw 1 of 2,,14,8
41,1,6:13.0,R. Rubio makes free throw 2 of 2,,15,8
42,1,5:55.0,,T. Young misses 3-pt jump shot from 24 ft,15,8
43,1,5:53.0,Defensive rebound by R. Rubio,,15,8
44,1,5:42.0,Turnover by D. Ayton (lost ball; steal by T. Young),,15,8
45,1,5:37.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by T. Young),15,10
