,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:41.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Nunn),0,3
1,1,11:19.0,C. Osman misses 2-pt layup from 1 ft,,0,3
2,1,11:17.0,,Defensive rebound by K. Nunn,0,3
3,1,11:07.0,,K. Olynyk makes 3-pt jump shot from 28 ft (assist by D. Jones),0,6
4,1,10:49.0,L. Nance misses 3-pt jump shot from 25 ft,,0,6
5,1,10:47.0,,Defensive rebound by D. Jones,0,6
6,1,10:40.0,,Offensive foul by K. Olynyk (drawn by C. Sexton),0,6
7,1,10:40.0,,Turnover by K. Olynyk (offensive foul),0,6
8,1,10:19.0,L. Nance makes 2-pt jump shot from 14 ft,,2,6
9,1,10:07.0,,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),2,9
10,1,9:56.0,Turnover by A. Drummond (lost ball; steal by K. Olynyk),,2,9
11,1,9:46.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Nunn),2,11
12,1,9:46.0,Cleveland full timeout,,2,11
13,1,9:30.0,D. Garland makes 2-pt jump shot from 7 ft,,4,11
14,1,9:06.0,,B. Adebayo makes 2-pt jump shot from 16 ft (assist by D. Robinson),4,13
15,1,8:55.0,Shooting foul by D. Robinson (drawn by C. Osman),,4,13
16,1,8:55.0,C. Osman makes free throw 1 of 2,,5,13
17,1,8:55.0,C. Osman makes free throw 2 of 2,,6,13
18,1,8:44.0,,K. Nunn makes 2-pt jump shot from 9 ft (assist by B. Adebayo),6,15
19,1,8:24.0,C. Sexton makes 2-pt jump shot from 4 ft,,8,15
20,1,8:09.0,,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),8,17
21,1,8:09.0,Violation by Team (def goaltending),,8,17
22,1,7:49.0,C. Sexton makes 2-pt jump shot from 7 ft (assist by D. Garland),,10,17
23,1,7:49.0,Shooting foul by B. Adebayo (drawn by C. Sexton),,10,17
24,1,7:49.0,C. Sexton misses free throw 1 of 1,,10,17
25,1,7:46.0,,Defensive rebound by K. Olynyk,10,17
26,1,7:30.0,,K. Nunn makes 3-pt jump shot from 25 ft (assist by D. Jones),10,20
27,1,7:13.0,D. Garland makes 2-pt layup from 2 ft (assist by C. Osman),,12,20
28,1,7:01.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Olynyk),12,22
29,1,6:43.0,C. Osman makes 3-pt jump shot from 26 ft (assist by C. Sexton),,15,22
30,1,6:31.0,,D. Robinson misses 3-pt jump shot from 25 ft,15,22
31,1,6:30.0,Defensive rebound by A. Drummond,,15,22
32,1,6:25.0,C. Osman makes 2-pt layup from 2 ft (assist by C. Sexton),,17,22
33,1,6:07.0,,D. Jones misses 3-pt jump shot from 23 ft,17,22
34,1,6:05.0,Defensive rebound by L. Nance,,17,22
35,1,6:00.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by L. Nance),,20,22
36,1,5:59.0,,Miami full timeout,20,22
37,1,5:59.0,K. Porter enters the game for L. Nance,,20,22
38,1,5:59.0,T. Thompson enters the game for C. Sexton,,20,22
